src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,vUVAn,-59,-72,2024-09-04 05-44-16,40738068568,-25964,40700380556
alcatel,IXM,-89,67,2024-09-04 05-41-26,40754304282,-10516,40741259670
alcatel,vijXGl,20,109,2024-09-04 05-42-49,40739403594,20971,40799483453
alcatel,ZDnVE,-49,16,2024-09-04 05-42-20,40740040508,11624,40749766779
alcatel,Ynz,-31,88,2024-09-04 05-40-14,40718061316,-4566,40717279917
alcatel,hNB,71,-92,2024-09-04 05-42-42,40730347756,20752,40742185771
alcatel,jLWRm,47,-85,2024-09-04 05-40-50,40744976181,-21330,40784110238
alcatel,iuhr,-34,42,2024-09-04 05-44-30,40734340746,-25159,40778487181
alcatel,vMTONL,-39,52,2024-09-04 05-44-41,40717289621,-8085,40751574229
alcatel,nnAj,-123,-19,2024-09-04 05-41-23,40735988714,-14524,40708189413
alcatel,Gpj,15,-50,2024-09-04 05-41-47,40717573555,-1972,40777457453
alcatel,khjfh,-97,-48,2024-09-04 05-43-43,40754856777,25232,40744624910
alcatel,cJlUA,2,16,2024-09-04 05-43-00,40701687883,-6123,40749390128
alcatel,qIq,-45,15,2024-09-04 05-42-21,40723419058,22026,40728903082
alcatel,mxR,3,125,2024-09-04 05-40-02,40789782883,-21929,40719717597
alcatel,fWoU,-20,-9,2024-09-04 05-42-48,40774222135,-7536,40775307603
alcatel,OsZ,85,85,2024-09-04 05-45-01,40741265748,10427,40786531117
alcatel,tUS,-79,-72,2024-09-04 05-42-49,40716936128,9738,40732561156
alcatel,tjP,-3,-119,2024-09-04 05-44-52,40760409751,-32598,40785585595
alcatel,Cme,-40,-42,2024-09-04 05-41-28,40769964598,-7173,40738449132
alcatel,uHuW,-15,-95,2024-09-04 05-44-33,40740060795,-30580,40743486135
alcatel,fzVJGB,-30,13,2024-09-04 05-43-34,40754047678,10663,40708471973
alcatel,oCTWo,108,-112,2024-09-04 05-44-40,40778846741,-8881,40706130318
alcatel,wayXE,75,49,2024-09-04 05-40-48,40707011803,7907,40731255533
alcatel,toGd,21,-42,2024-09-04 05-44-21,40796506363,-26497,40703689230
alcatel,uEy,36,-28,2024-09-04 05-45-00,40750784566,-18700,40739713982
alcatel,DcC,127,87,2024-09-04 05-43-13,40725008144,-18051,40749287732
alcatel,nDuvdx,-7,102,2024-09-04 05-42-46,40712301850,-21847,40727679393
alcatel,ksX,-15,-3,2024-09-04 05-43-59,40754537778,-24941,40700176203
alcatel,kqLBIz,-17,-42,2024-09-04 05-41-08,40765923502,-9860,40723594547
alcatel,jljf,-45,87,2024-09-04 05-43-28,40710158957,-4848,40718399404
alcatel,TUV,-50,14,2024-09-04 05-43-03,40752700833,28976,40754582508
alcatel,Zlax,109,-50,2024-09-04 05-40-46,40758585955,321,40768357395
alcatel,iiwfjk,15,125,2024-09-04 05-42-13,40724574641,6935,40792472137
alcatel,nQFQlU,-58,-89,2024-09-04 05-40-46,40796487556,-11891,40763164609
alcatel,VOZrTR,-64,105,2024-09-04 05-43-57,40773472603,-14795,40765789148
alcatel,apiNmC,-70,-84,2024-09-04 05-42-08,40759613954,31957,40708643220
alcatel,pVCp,4,98,2024-09-04 05-40-08,40737434232,-6320,40746577720
alcatel,fUP,-111,105,2024-09-04 05-41-26,40733878363,8376,40798940960
alcatel,rhTr,36,59,2024-09-04 05-42-45,40754847331,-2154,40784142018
alcatel,JRGRV,-44,-46,2024-09-04 05-44-10,40727632472,519,40744862434
alcatel,MvraC,37,-84,2024-09-04 05-44-25,40711231033,6030,40797571547
alcatel,MBB,89,-116,2024-09-04 05-41-09,40784177385,-7535,40716068826
alcatel,Xvs,57,-125,2024-09-04 05-42-40,40771742735,30121,40700770575
alcatel,gFpt,-107,-42,2024-09-04 05-40-56,40752576061,10657,40717506484
alcatel,ZEZBo,42,-36,2024-09-04 05-44-54,40749303023,25477,40785907949
alcatel,BaEet,100,103,2024-09-04 05-43-13,40783482833,21976,40786170394
alcatel,XpCSQO,98,123,2024-09-04 05-41-41,40715405632,32370,40792417068
alcatel,dphj,-65,125,2024-09-04 05-41-54,40723800601,13276,40778839884
alcatel,DVdgia,-17,49,2024-09-04 05-40-38,40733016415,-21885,40724637293
alcatel,IWEf,67,67,2024-09-04 05-41-31,40732629152,-18740,40705505290
alcatel,wroKo,77,101,2024-09-04 05-43-49,40743596909,14006,40776195085
alcatel,hoI,-114,-15,2024-09-04 05-42-13,40785220753,-29284,40791276560
alcatel,uVTRd,-110,-120,2024-09-04 05-41-46,40775983755,-16532,40717866006
alcatel,UkuHjY,-53,109,2024-09-04 05-43-55,40761893087,-21819,40732682835
alcatel,kHi,-26,-119,2024-09-04 05-41-07,40736654178,-3649,40768130853
alcatel,obJ,115,103,2024-09-04 05-42-23,40774386056,27165,40744512866
alcatel,mmoH,57,-24,2024-09-04 05-44-14,40761016863,-11659,40765440192
alcatel,KOP,-67,-35,2024-09-04 05-41-42,40720372427,-21686,40742851612
alcatel,UXB,21,-2,2024-09-04 05-43-21,40760061406,28627,40752870076
alcatel,FzqJYx,78,125,2024-09-04 05-44-30,40703386684,-18243,40794169873
alcatel,qWP,64,7,2024-09-04 05-40-55,40766621499,15509,40745436494
alcatel,ohMJK,100,-64,2024-09-04 05-44-35,40783825508,-3807,40708242362
alcatel,MyGV,54,-118,2024-09-04 05-42-37,40763177826,25116,40752682803
alcatel,etBe,63,-25,2024-09-04 05-40-05,40752622019,-27650,40764120029
alcatel,hIaFo,-31,-53,2024-09-04 05-40-21,40740137933,-17658,40743997807
alcatel,kyc,82,-21,2024-09-04 05-42-01,40758985996,11992,40787123271
alcatel,HtYd,-78,21,2024-09-04 05-40-52,40760674418,-5891,40760363762
alcatel,RDR,111,-14,2024-09-04 05-42-57,40791739116,20040,40757048616
alcatel,TSkr,-58,5,2024-09-04 05-42-31,40712447162,18843,40749464210
alcatel,LSHt,47,24,2024-09-04 05-44-07,40752584215,28763,40711989356
alcatel,qSujEX,103,39,2024-09-04 05-41-11,40793041203,-25324,40769312744
alcatel,KTg,-103,-105,2024-09-04 05-41-45,40786026189,-2639,40768748549
alcatel,aNvH,1,-71,2024-09-04 05-41-51,40739123261,30752,40766021913
alcatel,vEB,-105,-53,2024-09-04 05-41-46,40777286805,13612,40708874099
alcatel,GEQOa,-21,-87,2024-09-04 05-44-36,40761937398,13180,40741136293
alcatel,yDHD,-21,-57,2024-09-04 05-43-21,40798030085,13675,40713905181
alcatel,duC,60,126,2024-09-04 05-41-33,40716985004,22435,40711303332
alcatel,dymOHK,-37,-121,2024-09-04 05-44-31,40790448956,348,40790988995
alcatel,AQBAp,7,-3,2024-09-04 05-42-43,40711356610,10680,40726131601
alcatel,BItH,30,54,2024-09-04 05-43-04,40737416576,-32725,40736655593
alcatel,ZKS,-64,-46,2024-09-04 05-40-56,40761191155,-19543,40762209786
alcatel,sgy,-108,18,2024-09-04 05-42-29,40791704579,-16372,40712007809
alcatel,CrjZ,125,-31,2024-09-04 05-40-04,40736918031,29423,40700337708
alcatel,HsJaug,-38,71,2024-09-04 05-41-25,40757169769,5792,40722780519
alcatel,fIK,-46,-125,2024-09-04 05-43-10,40740792718,-17071,40721784656
alcatel,CRUkyu,63,78,2024-09-04 05-43-23,40770838217,24369,40725308912
alcatel,RareM,52,-101,2024-09-04 05-41-14,40788339533,-16434,40740206121
alcatel,ISUpio,127,-100,2024-09-04 05-40-17,40740341268,-31948,40721529125
alcatel,RGEOsw,35,-32,2024-09-04 05-41-26,40791581603,-12504,40763505549
alcatel,RfLN,92,82,2024-09-04 05-41-21,40706852593,-4222,40736555901
alcatel,eUkEm,-54,121,2024-09-04 05-42-45,40723152062,11254,40777350524
alcatel,JtDAqF,46,28,2024-09-04 05-44-39,40763271535,-4386,40787340699
alcatel,Ajlmze,82,20,2024-09-04 05-42-35,40738509353,-13050,40740037931
alcatel,gQo,32,-28,2024-09-04 05-44-41,40755882400,26574,40725553194
alcatel,IAW,59,86,2024-09-04 05-42-11,40772799580,-6032,40717818864
alcatel,kormaA,-29,12,2024-09-04 05-42-06,40767153635,23081,40706550601
alcatel,kjP,45,78,2024-09-04 05-42-58,40723742826,-21328,40724430071
alcatel,qUG,113,-97,2024-09-04 05-43-07,40706410173,4089,40703767255
alcatel,JBuBHx,-128,2,2024-09-04 05-42-40,40740783529,-16400,40778136119
alcatel,oeVk,-17,65,2024-09-04 05-40-18,40799139845,20821,40703157692
alcatel,kPpQB,-38,34,2024-09-04 05-44-28,40743323275,-8223,40737352079
alcatel,rWXzYy,-78,-128,2024-09-04 05-40-16,40729857224,4551,40799246681
alcatel,dOsR,36,-96,2024-09-04 05-41-09,40729293960,23721,40729078186
alcatel,GRL,57,120,2024-09-04 05-41-56,40702435085,-9578,40729037028
alcatel,eeqw,-102,51,2024-09-04 05-41-57,40718589724,9857,40780196330
alcatel,OSgtXl,-29,-127,2024-09-04 05-40-27,40755949499,-30573,40732839676
alcatel,mkiYPC,-116,65,2024-09-04 05-44-13,40749527890,-3863,40723815500
