src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,tIL,76,-18,2024-09-04 05-57-15,40762526544,32305,40738247630
alcatel,RAhbx,70,-79,2024-09-04 05-55-29,40787544859,-8433,40757117541
alcatel,YCWDOA,10,3,2024-09-04 05-55-11,40791329759,-7853,40771054496
alcatel,ENTLAL,-88,-125,2024-09-04 06-00-01,40714242688,-10178,40754694524
alcatel,eOowYO,-92,59,2024-09-04 05-59-52,40755233347,-22490,40749086057
alcatel,QBh,25,89,2024-09-04 05-56-21,40775794255,-29948,40711963474
alcatel,OiTWVH,-109,-125,2024-09-04 05-59-26,40758000645,-17360,40795061044
alcatel,CuoLT,-115,-111,2024-09-04 05-59-23,40778375711,13840,40718478109
alcatel,WaD,-73,-58,2024-09-04 05-59-35,40737614038,-15161,40784761025
alcatel,qVyeIB,101,113,2024-09-04 05-56-03,40782816760,7577,40736645877
alcatel,vDphu,-17,98,2024-09-04 05-55-22,40768033854,6062,40702597232
alcatel,QXGlS,61,-6,2024-09-04 05-56-09,40792335874,-10595,40770564845
alcatel,KPwz,29,-56,2024-09-04 05-55-13,40794588423,19674,40793008071
alcatel,Bwlw,-13,60,2024-09-04 05-58-33,40743513500,18281,40704601897
alcatel,BOdn,78,103,2024-09-04 05-58-04,40796705007,-30136,40731102587
alcatel,YAF,27,-122,2024-09-04 05-58-08,40784479003,26011,40795678905
alcatel,FGfLQ,-127,22,2024-09-04 05-56-39,40750420891,-9736,40769272279
alcatel,CFEmf,18,107,2024-09-04 05-56-08,40771948786,-21662,40789615149
alcatel,NTwya,100,-83,2024-09-04 05-56-06,40734531122,-14338,40783063303
alcatel,ZqHEK,56,6,2024-09-04 05-58-43,40723648684,-16329,40712048561
alcatel,xFI,59,-79,2024-09-04 05-56-12,40724828401,2423,40733926606
alcatel,iqebd,66,-21,2024-09-04 05-56-10,40778638984,10463,40715162653
alcatel,YIK,-20,117,2024-09-04 05-57-47,40767478973,9500,40780708882
alcatel,ynO,-28,108,2024-09-04 05-58-34,40740289039,-27767,40768426468
alcatel,OMGej,-34,88,2024-09-04 05-58-27,40738519383,29766,40760312216
alcatel,rWVGif,-37,-17,2024-09-04 05-58-57,40763840839,-26153,40709318839
alcatel,ytQd,75,15,2024-09-04 05-59-18,40741896594,21141,40715696621
alcatel,cPL,68,75,2024-09-04 05-59-31,40765525884,-24088,40745217733
alcatel,LyVWqU,103,-13,2024-09-04 05-58-59,40774239821,2065,40789426864
alcatel,sEU,75,80,2024-09-04 05-56-03,40799542287,-30612,40771621560
alcatel,aJinKZ,126,-65,2024-09-04 05-56-32,40713863663,-27721,40752808187
alcatel,ZoIL,-53,63,2024-09-04 05-58-17,40723824003,-23681,40741483562
alcatel,seFx,-26,62,2024-09-04 05-56-49,40762773256,-7319,40799633806
alcatel,ldcXr,120,47,2024-09-04 05-55-45,40715629526,7523,40746455853
alcatel,iLLMyb,59,-53,2024-09-04 05-56-11,40700102293,-26785,40701967437
alcatel,nxL,-91,119,2024-09-04 05-55-16,40774636430,-24561,40766706246
alcatel,vMP,-2,-120,2024-09-04 05-55-50,40784201103,13234,40758516469
alcatel,DfyyC,71,43,2024-09-04 05-59-35,40748689802,1416,40791459311
alcatel,SLI,-1,-33,2024-09-04 05-59-02,40779932661,-15629,40735549720
alcatel,aQhUxz,-77,-14,2024-09-04 05-56-29,40754964318,-9354,40715865001
alcatel,RhjrH,-38,-27,2024-09-04 05-59-31,40779511188,-31159,40745589102
alcatel,TViNk,-115,-57,2024-09-04 05-56-31,40769974980,10717,40730880002
alcatel,LuZarf,-16,-10,2024-09-04 05-57-04,40777203037,-17791,40786903112
alcatel,JPWxu,53,-33,2024-09-04 05-59-04,40782300237,-20067,40784892999
alcatel,mLXi,78,-10,2024-09-04 05-59-05,40798346312,328,40750782841
alcatel,yTO,-33,81,2024-09-04 05-57-55,40726889753,27957,40724651577
alcatel,kgX,81,94,2024-09-04 05-59-17,40719840100,-28187,40755414683
alcatel,eNyX,-109,-113,2024-09-04 05-56-59,40789634476,-17958,40789314014
alcatel,mDHm,-109,79,2024-09-04 05-55-23,40725851141,8705,40729959892
alcatel,VbkS,93,-57,2024-09-04 05-55-31,40788648959,-1848,40728742117
alcatel,wDE,37,-81,2024-09-04 05-56-17,40717191476,1992,40796563901
alcatel,VsBJ,-57,-30,2024-09-04 06-00-02,40797479156,29010,40707357030
alcatel,MNdTr,50,102,2024-09-04 05-59-03,40716323724,-729,40725666310
alcatel,VPFLh,-83,-19,2024-09-04 05-57-55,40769693853,-14229,40743286083
alcatel,wnHawW,124,35,2024-09-04 05-55-24,40786083057,12913,40737750625
alcatel,MIr,10,-81,2024-09-04 05-59-37,40751148610,-14393,40766131519
alcatel,EdsK,-4,114,2024-09-04 05-58-19,40714156254,7798,40755635497
alcatel,pFJU,-26,-111,2024-09-04 05-56-36,40719824201,27373,40787464604
alcatel,SAsLg,53,40,2024-09-04 05-57-59,40728410455,-16414,40761780738
alcatel,EVWANR,26,-92,2024-09-04 05-57-17,40757526822,1072,40704747092
alcatel,YJijOh,5,-44,2024-09-04 05-59-39,40782385609,21762,40733266769
alcatel,tXtBjd,-97,17,2024-09-04 05-59-17,40789865129,11479,40732094047
alcatel,UoBMg,-61,18,2024-09-04 05-56-22,40780263602,-17925,40738993680
alcatel,zONGT,62,-95,2024-09-04 05-58-34,40759718553,5533,40765360760
alcatel,VXXxTm,34,-3,2024-09-04 05-56-11,40754989417,-3860,40743422321
alcatel,xgU,73,59,2024-09-04 05-56-51,40773202850,-26052,40791640497
alcatel,KfS,-16,-109,2024-09-04 05-56-19,40758294485,-32693,40724312468
alcatel,ihHt,-116,67,2024-09-04 05-57-51,40797921020,17085,40757636229
alcatel,tAw,113,-93,2024-09-04 05-59-44,40716404040,20376,40732007574
alcatel,zkOA,100,87,2024-09-04 05-56-07,40727177680,-15294,40779980173
alcatel,gponQ,38,78,2024-09-04 05-56-13,40721562353,4260,40763723515
alcatel,fno,67,96,2024-09-04 05-59-57,40758459458,7126,40768675670
alcatel,YFrI,101,40,2024-09-04 05-57-35,40727561833,-11828,40741210138
alcatel,UAIY,27,-10,2024-09-04 05-55-45,40741944208,-13497,40762702491
alcatel,rWvJ,-63,-49,2024-09-04 05-57-58,40715365430,-391,40783084971
alcatel,hdXBB,-74,-115,2024-09-04 05-59-05,40767810123,18630,40739262053
alcatel,iTlsJ,112,7,2024-09-04 05-57-25,40774290597,-22306,40784799141
alcatel,owrs,105,73,2024-09-04 05-55-52,40740296617,5214,40769254437
alcatel,PXQMq,-16,44,2024-09-04 05-58-55,40795056121,16925,40755579326
alcatel,FlLqS,-5,-4,2024-09-04 05-59-35,40791105452,-5859,40758675427
alcatel,NApH,-32,22,2024-09-04 05-55-43,40703747503,13922,40757744277
alcatel,JqSjz,30,124,2024-09-04 05-57-35,40711954286,6283,40739893095
alcatel,OslsJ,15,13,2024-09-04 05-56-40,40765380711,17866,40795211593
alcatel,wNZbl,116,93,2024-09-04 05-59-27,40759079219,-7480,40765430283
alcatel,qWQuiI,-35,-65,2024-09-04 05-56-11,40712958957,-12618,40755429623
alcatel,LAT,-82,113,2024-09-04 05-55-34,40707492969,20698,40718110552
alcatel,qaGvUy,2,-50,2024-09-04 05-56-24,40785800602,-13060,40706952886
alcatel,prLBIp,31,-44,2024-09-04 05-58-42,40756444127,-16585,40761643795
alcatel,UCPVCt,115,104,2024-09-04 05-56-00,40714665287,15727,40732562141
alcatel,Wlfq,-22,34,2024-09-04 05-57-34,40716438066,-30428,40700555481
alcatel,ncyI,51,-40,2024-09-04 05-55-42,40741536200,22432,40706796562
alcatel,LsI,-105,-121,2024-09-04 05-59-12,40799183295,12215,40783889548
alcatel,tdbAs,-98,111,2024-09-04 05-55-54,40722680121,-23559,40762165850
alcatel,mKSBZW,96,106,2024-09-04 05-58-14,40707309072,23455,40774721801
alcatel,Hfbf,11,-12,2024-09-04 05-57-34,40730128144,-7622,40771453441
alcatel,FHMW,-50,-109,2024-09-04 05-56-34,40773017487,-1398,40705807863
alcatel,Ead,-108,-58,2024-09-04 05-55-17,40736958971,16300,40780067627
alcatel,clMP,77,-10,2024-09-04 05-59-50,40782139385,-3687,40779014921
alcatel,MeEN,0,-58,2024-09-04 05-57-16,40754744743,-16370,40799370454
alcatel,zmRyTa,-1,-76,2024-09-04 05-58-20,40758584237,-11621,40735166549
alcatel,iGco,85,96,2024-09-04 05-57-39,40770952209,9801,40729658730
alcatel,CeI,-55,104,2024-09-04 05-56-04,40733800216,-30970,40778692144
alcatel,rhkl,-74,-64,2024-09-04 05-57-00,40789648564,5901,40717758021
alcatel,nTqt,45,60,2024-09-04 05-55-45,40715980980,26482,40739530897
alcatel,UfVi,89,96,2024-09-04 05-57-54,40752371482,5160,40794906313
alcatel,QgP,-72,-120,2024-09-04 05-59-20,40775952613,11817,40712511111
alcatel,ngxh,-46,-54,2024-09-04 05-59-23,40742738544,17380,40731489866
alcatel,qicO,-64,33,2024-09-04 05-59-59,40755661144,23740,40701860788
alcatel,hUChYI,20,-17,2024-09-04 05-56-42,40775519885,-5451,40786086282
alcatel,ZfRyW,-118,78,2024-09-04 05-57-49,40714402421,19746,40783183186
alcatel,GnuMWf,10,-6,2024-09-04 05-56-24,40754056384,2496,40716610622
alcatel,VFyscY,0,-54,2024-09-04 05-59-22,40775373643,8450,40796878094
alcatel,aCl,-121,-36,2024-09-04 05-59-56,40778705692,5374,40772575289
alcatel,qig,37,-121,2024-09-04 05-57-30,40775508263,21446,40753869010
alcatel,GydpAg,108,21,2024-09-04 05-55-22,40740035608,16600,40780733161
alcatel,Rnnq,3,-9,2024-09-04 05-56-35,40712912855,28183,40718222488
alcatel,eOFz,112,-29,2024-09-04 05-57-26,40762996964,7270,40769139934
alcatel,ZZOVl,-76,-84,2024-09-04 05-59-58,40760767848,17890,40752781628
alcatel,ilCx,-53,-5,2024-09-04 05-59-42,40716215728,-26238,40751759846
alcatel,VxDhps,-5,-84,2024-09-04 05-58-23,40767195598,-17052,40737350285
alcatel,qqpHd,-31,45,2024-09-04 05-57-22,40786202669,-30917,40786909207
alcatel,ClRN,-120,56,2024-09-04 05-58-43,40779202552,-3733,40791946770
alcatel,Erzn,-61,101,2024-09-04 05-58-03,40737468235,-12641,40795755666
alcatel,dqgG,-81,6,2024-09-04 05-56-41,40769527919,-592,40779654068
alcatel,Reu,-98,125,2024-09-04 05-57-31,40782920473,-28639,40702231321
alcatel,RLoU,-58,-46,2024-09-04 05-55-49,40708420834,-29738,40705533871
alcatel,UtkkM,79,-101,2024-09-04 05-55-27,40710372164,-17589,40712259392
alcatel,DwnlZw,-118,-14,2024-09-04 05-56-20,40765354740,18437,40718435710
alcatel,uNOcYs,-32,123,2024-09-04 05-59-02,40790555501,30430,40799110633
alcatel,OLaEQ,-120,-123,2024-09-04 05-55-29,40708372221,1776,40758473547
alcatel,lRlePa,65,-82,2024-09-04 05-56-46,40769862515,-20396,40741373847
alcatel,zdjDU,115,124,2024-09-04 05-59-04,40701402103,17976,40769108698
alcatel,mgEbU,95,-112,2024-09-04 05-58-56,40720513284,3391,40706839063
alcatel,luotUO,-77,-68,2024-09-04 05-56-18,40741005383,-16838,40787471389
alcatel,cvWYs,-13,35,2024-09-04 05-59-55,40717294004,8683,40717656233
alcatel,idlmm,-107,-120,2024-09-04 05-57-44,40756274875,-29632,40763335057
alcatel,AUfg,-32,-74,2024-09-04 05-59-24,40724757740,-11461,40742762594
alcatel,nFzE,-68,-58,2024-09-04 05-58-08,40745080614,-16205,40754609142
alcatel,cpvUSx,117,-70,2024-09-04 05-55-23,40767087838,2230,40783565006
alcatel,Zgz,-72,86,2024-09-04 05-58-46,40782712611,-27456,40724668078
alcatel,KwKHu,60,50,2024-09-04 05-55-39,40728600644,6348,40746661249
alcatel,feCI,-95,126,2024-09-04 05-59-11,40742593230,18440,40715932402
alcatel,fSnwyW,-36,-37,2024-09-04 05-55-26,40764055797,25624,40727599690
alcatel,cnaYc,-66,72,2024-09-04 05-58-24,40713448469,4688,40714694370
alcatel,yVtDRS,102,-87,2024-09-04 05-59-10,40721749316,1469,40779849986
alcatel,umQ,92,-125,2024-09-04 05-55-08,40778298020,16944,40752254307
alcatel,cuDja,-109,83,2024-09-04 05-57-55,40796709553,28281,40776872530
alcatel,nLDBO,20,20,2024-09-04 05-55-46,40786510811,22558,40775809332
alcatel,XdXauM,-13,-124,2024-09-04 05-59-53,40767852286,-26525,40762253344
alcatel,ECLEEq,35,-71,2024-09-04 05-59-35,40796584378,23867,40700586491
alcatel,Kjoy,121,-2,2024-09-04 05-56-13,40746668767,-8611,40733780232
