src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,mCBnve,56,-72,2024-09-04 06-01-33,40754197221,9274,40714547937
alcatel,wfv,-12,3,2024-09-04 06-00-19,40744561086,-23762,40754117242
alcatel,fInfKY,-25,-62,2024-09-04 06-00-09,40782283303,-25107,40789316173
alcatel,rft,91,-34,2024-09-04 06-00-46,40771166277,-26462,40755707672
alcatel,KhchEs,119,-42,2024-09-04 06-04-25,40785263144,-9794,40720178479
alcatel,pUo,-27,54,2024-09-04 06-00-39,40798498181,-31041,40729400417
alcatel,cxsjDM,-29,-125,2024-09-04 06-04-53,40778938866,13441,40706650164
alcatel,wbV,-49,-112,2024-09-04 06-02-10,40728764762,-22536,40752913563
alcatel,kABkjA,4,39,2024-09-04 06-00-44,40753371593,9198,40781221743
alcatel,wzSov,-68,-22,2024-09-04 06-00-35,40757042433,21695,40757547043
alcatel,gNvE,-112,-15,2024-09-04 06-00-20,40764489494,-19367,40758117933
alcatel,gSfxV,42,-75,2024-09-04 06-00-45,40701295830,-21381,40779751914
alcatel,Rbzd,55,110,2024-09-04 06-02-24,40773186358,-25014,40722530040
alcatel,FHSbi,108,118,2024-09-04 06-00-50,40771427522,2549,40744034435
alcatel,daHpQ,-63,31,2024-09-04 06-02-11,40716227039,-23615,40739586040
alcatel,DbB,-71,-65,2024-09-04 06-00-11,40718780214,29857,40780866581
alcatel,wkSF,61,81,2024-09-04 06-03-24,40784028105,-11121,40714094459
alcatel,ffz,-117,112,2024-09-04 06-00-42,40743014477,-24412,40776283501
alcatel,gXGO,70,107,2024-09-04 06-02-38,40775580610,8543,40780805092
alcatel,VTKYC,-46,17,2024-09-04 06-03-01,40799413498,514,40710847076
alcatel,pzzI,-126,-75,2024-09-04 06-02-22,40774113858,26857,40742510522
alcatel,PZV,-60,85,2024-09-04 06-02-39,40782292386,10190,40721508930
alcatel,KNhA,75,-102,2024-09-04 06-04-53,40752163906,17463,40787081014
alcatel,NcKeCN,89,60,2024-09-04 06-03-44,40790130806,-3405,40744200496
alcatel,wjyWv,-23,10,2024-09-04 06-00-25,40792532672,16857,40754692094
alcatel,eIr,49,-48,2024-09-04 06-03-54,40703401511,20224,40785446303
alcatel,WGwCKH,-32,22,2024-09-04 06-03-43,40762077981,-20949,40712263348
alcatel,SDIJF,68,36,2024-09-04 06-01-03,40755323860,-28584,40791786756
alcatel,Mcbc,-25,117,2024-09-04 06-03-39,40778348403,2350,40748722202
alcatel,Vcjop,-15,-118,2024-09-04 06-00-08,40751133607,-13843,40783479909
alcatel,asYixy,83,-26,2024-09-04 06-01-26,40734242868,16158,40795893433
alcatel,PTl,114,75,2024-09-04 06-03-35,40783914469,7784,40772321736
alcatel,Fec,126,-120,2024-09-04 06-00-32,40746070699,-7682,40744678739
alcatel,GRzSYc,-123,-18,2024-09-04 06-03-02,40724400432,31343,40777524167
alcatel,XBGEgJ,-50,-23,2024-09-04 06-01-16,40792866730,14531,40723102547
alcatel,robzYx,-16,-71,2024-09-04 06-01-47,40721850258,-15015,40749709304
alcatel,eddou,-103,-86,2024-09-04 06-02-10,40735987843,7988,40786092836
alcatel,fRqqu,-88,-127,2024-09-04 06-00-38,40707276650,28856,40716152481
alcatel,FfgfU,47,12,2024-09-04 06-00-53,40781407234,1851,40778915896
alcatel,Ptqp,-30,70,2024-09-04 06-00-26,40719819309,-23031,40731859014
alcatel,yaUiC,77,-19,2024-09-04 06-02-39,40786179319,-6091,40747078246
alcatel,ETNuJC,-48,-8,2024-09-04 06-00-45,40750793428,-22912,40785822155
alcatel,jUtN,-49,124,2024-09-04 06-00-11,40776483601,-32308,40774454981
alcatel,Nqd,16,-123,2024-09-04 06-03-06,40731823738,23458,40784080755
alcatel,Refgk,-77,4,2024-09-04 06-04-51,40759345670,-17332,40742482054
alcatel,rFH,109,-61,2024-09-04 06-04-38,40719806428,28084,40718985020
alcatel,DpkD,-44,96,2024-09-04 06-01-36,40708110031,27320,40795303131
alcatel,GVoLZ,-87,-86,2024-09-04 06-04-57,40794896154,-25044,40711550258
alcatel,jwA,-86,70,2024-09-04 06-04-13,40758156414,11856,40793959330
alcatel,nDSF,116,-58,2024-09-04 06-03-31,40743385496,826,40790993592
alcatel,QAeZm,87,113,2024-09-04 06-04-08,40700227852,7157,40703599704
alcatel,edRAA,93,99,2024-09-04 06-01-24,40719167950,30260,40736686517
alcatel,PKRUG,31,-72,2024-09-04 06-00-33,40778457337,-25378,40702978071
alcatel,Kdyxc,-127,-11,2024-09-04 06-01-35,40779291697,-20505,40755194261
alcatel,DTWTSZ,66,71,2024-09-04 06-01-52,40728752847,-15029,40753863067
alcatel,QHCZdA,40,-24,2024-09-04 06-04-24,40731932047,29555,40736505551
alcatel,jDt,-70,-11,2024-09-04 06-03-06,40724626756,-11051,40719805220
alcatel,mdWuz,77,89,2024-09-04 06-02-25,40794285446,14294,40707092786
alcatel,TGV,-97,54,2024-09-04 06-04-33,40745676713,27487,40770984002
alcatel,CGld,111,19,2024-09-04 06-04-16,40756645094,32670,40737909164
alcatel,nIJK,-81,-112,2024-09-04 06-00-39,40730729912,-31671,40771402271
alcatel,FZBIU,86,39,2024-09-04 06-04-31,40761724848,-32337,40722937659
alcatel,RhaFG,90,-121,2024-09-04 06-02-14,40795373332,24165,40712994169
alcatel,jHKJdk,103,-65,2024-09-04 06-04-47,40780174052,-17117,40735349622
alcatel,vXk,-12,-91,2024-09-04 06-01-06,40780418870,-26028,40732639174
alcatel,mNeE,-54,-56,2024-09-04 06-01-25,40769913705,-26243,40756046407
alcatel,nAs,35,-20,2024-09-04 06-03-56,40790752017,-30458,40720934398
alcatel,eaR,-27,71,2024-09-04 06-02-59,40720367419,11219,40767607690
alcatel,tTLNS,-122,63,2024-09-04 06-02-08,40723119895,28670,40756746654
alcatel,YMc,38,-37,2024-09-04 06-03-49,40796401839,-6097,40714313744
alcatel,vQD,-111,-105,2024-09-04 06-00-51,40742202536,22500,40704942812
alcatel,cHypIl,-107,-75,2024-09-04 06-02-51,40720976526,-3228,40718840743
alcatel,EIpBwi,80,-37,2024-09-04 06-01-42,40741563226,-11751,40755731188
alcatel,rgOR,48,58,2024-09-04 06-03-06,40799840865,-17505,40701760799
alcatel,GWOiFy,-120,106,2024-09-04 06-02-16,40793508873,22533,40717084998
alcatel,aJJsB,-58,6,2024-09-04 06-04-37,40718303994,10883,40773930467
alcatel,IKdUYK,-56,51,2024-09-04 06-00-25,40750884111,25309,40702903266
alcatel,LHV,19,-39,2024-09-04 06-04-09,40782218710,21889,40713445839
alcatel,aHw,-61,-128,2024-09-04 06-00-33,40720338372,32200,40782479277
alcatel,ChoHYM,51,-105,2024-09-04 06-02-58,40719527813,23968,40781265209
alcatel,YcQn,-84,-42,2024-09-04 06-01-16,40751017040,-30180,40770415743
alcatel,eNZs,-89,50,2024-09-04 06-03-58,40797552075,-22511,40777328296
alcatel,kAqe,57,31,2024-09-04 06-01-48,40752733547,9921,40770029217
alcatel,onfoG,21,59,2024-09-04 06-03-48,40720108047,6743,40787507023
alcatel,JQkC,-77,-122,2024-09-04 06-00-48,40703649182,-28243,40710367671
alcatel,ndXf,42,-76,2024-09-04 06-00-17,40732012463,8770,40761498355
alcatel,jldE,30,-73,2024-09-04 06-00-15,40702574053,-9146,40798434407
alcatel,saW,36,-25,2024-09-04 06-02-27,40744001140,7477,40770418449
alcatel,tuQZjX,-45,-43,2024-09-04 06-03-39,40745867270,-9767,40752559645
alcatel,HtAi,54,-116,2024-09-04 06-00-16,40701770200,-15638,40737809353
alcatel,cqhJJf,-108,64,2024-09-04 06-02-03,40722526156,-32168,40712554221
alcatel,cfub,49,-115,2024-09-04 06-04-54,40754994936,18079,40799562458
alcatel,GvQE,-114,-78,2024-09-04 06-04-05,40773425712,-6746,40706923379
alcatel,rjTGst,-58,98,2024-09-04 06-03-49,40732037447,32584,40736938986
alcatel,EYAGH,55,-97,2024-09-04 06-00-58,40781700035,11954,40722884344
alcatel,UddSkV,127,70,2024-09-04 06-03-53,40702704208,3983,40782304711
alcatel,hPWb,40,90,2024-09-04 06-02-16,40707491636,-17784,40753583027
alcatel,hvI,-23,-26,2024-09-04 06-03-09,40790161516,-10761,40704402482
alcatel,jZEgH,16,84,2024-09-04 06-01-16,40716969929,14827,40728432157
alcatel,zcRFg,67,103,2024-09-04 06-01-05,40752336708,19971,40795185694
alcatel,hyOT,115,-94,2024-09-04 06-03-52,40746054817,-17436,40730059786
alcatel,VcWtv,57,22,2024-09-04 06-01-55,40780081356,10670,40740875227
alcatel,HIWRxJ,3,-56,2024-09-04 06-00-49,40741751230,3929,40775853718
alcatel,XRrTB,-66,-21,2024-09-04 06-04-41,40749445016,-5907,40715646093
alcatel,BwNA,95,119,2024-09-04 06-02-21,40790289407,997,40795101617
alcatel,xevu,77,-126,2024-09-04 06-04-01,40738068270,28384,40703767774
alcatel,aPIj,102,38,2024-09-04 06-02-14,40740526939,6551,40765799581
alcatel,fDP,3,-13,2024-09-04 06-03-06,40761138680,-1968,40789117428
alcatel,gJF,-67,-96,2024-09-04 06-03-43,40703128061,-29270,40719882437
alcatel,mdVL,58,16,2024-09-04 06-00-41,40736004885,-19337,40768643214
alcatel,uFphk,-26,74,2024-09-04 06-01-39,40794366788,-7449,40755654914
alcatel,zCJF,40,-16,2024-09-04 06-02-24,40700961455,8862,40782772454
alcatel,YfspG,-126,-89,2024-09-04 06-04-13,40715036614,-8175,40733585935
alcatel,bId,28,110,2024-09-04 06-03-29,40754979679,12433,40701392299
alcatel,rvCvTl,-122,-51,2024-09-04 06-04-38,40772275154,22621,40793061441
alcatel,eaidVi,0,84,2024-09-04 06-01-34,40787702976,13855,40769004282
alcatel,gPql,12,-6,2024-09-04 06-00-50,40771432320,-20425,40796510563
alcatel,zAMh,-49,-47,2024-09-04 06-01-34,40754644205,15329,40772939485
alcatel,EyT,-121,72,2024-09-04 06-02-31,40750500023,-14894,40773139307
alcatel,PAALh,41,-35,2024-09-04 06-02-19,40791063296,-25514,40769146447
alcatel,xYXji,-23,-89,2024-09-04 06-02-29,40787830668,726,40778785134
alcatel,gqj,-95,-36,2024-09-04 06-03-58,40783514282,19001,40742238074
alcatel,pErsP,76,-98,2024-09-04 06-01-50,40719801324,16277,40730956474
alcatel,thOsM,-106,-67,2024-09-04 06-02-35,40786974533,-15406,40787389636
alcatel,foso,33,-89,2024-09-04 06-00-52,40731251477,-18888,40729689982
alcatel,hRfF,75,127,2024-09-04 06-02-10,40757818945,16511,40736759886
alcatel,CiBk,-89,-43,2024-09-04 06-05-00,40769868500,2524,40797683403
alcatel,ZavNe,-37,93,2024-09-04 06-03-06,40707950592,-11420,40780876568
alcatel,qGefJ,-12,15,2024-09-04 06-02-09,40752193692,-31206,40768772078
alcatel,aHP,103,-113,2024-09-04 06-01-25,40733027053,26709,40707470702
alcatel,nANBLY,-1,-106,2024-09-04 06-00-57,40715014505,-26731,40790201152
alcatel,MLyAIy,-19,83,2024-09-04 06-03-36,40768161091,-20826,40728062818
alcatel,gdct,93,-39,2024-09-04 06-02-23,40737700245,-3086,40793026222
alcatel,xuTJp,95,44,2024-09-04 06-00-49,40795957073,-8160,40783277386
alcatel,LElts,82,56,2024-09-04 06-04-46,40712416742,7365,40765512076
alcatel,mKZDAq,-36,-63,2024-09-04 06-00-59,40731678835,22705,40715903356
alcatel,xqzNz,-56,47,2024-09-04 06-00-30,40760995046,26600,40754272253
alcatel,YicgT,15,122,2024-09-04 06-01-49,40772935660,-2624,40736235015
alcatel,SPTiD,0,63,2024-09-04 06-01-40,40736843322,-31649,40793264616
alcatel,tShtJ,7,-80,2024-09-04 06-00-45,40720037952,24357,40700845111
alcatel,rZBJLV,-53,-101,2024-09-04 06-02-03,40717599582,-17240,40753581720
alcatel,Uqs,-123,62,2024-09-04 06-02-36,40777036962,-25357,40711031623
alcatel,GqMq,102,-61,2024-09-04 06-03-15,40769361169,-9531,40778109602
alcatel,uIFzd,104,11,2024-09-04 06-03-19,40740051264,9584,40785878972
alcatel,sEMvx,-24,-23,2024-09-04 06-00-22,40770818359,22567,40756415978
alcatel,ikAc,11,-14,2024-09-04 06-00-43,40748916035,-20514,40756026182
alcatel,MRQBB,1,-5,2024-09-04 06-01-45,40728562802,6908,40797033333
alcatel,fKaE,-127,-27,2024-09-04 06-02-49,40789744763,-20279,40738050187
alcatel,XuNq,116,49,2024-09-04 06-01-37,40784842329,15519,40791201543
alcatel,JZK,104,-102,2024-09-04 06-00-18,40782253179,-7496,40757727617
alcatel,OUOJr,123,28,2024-09-04 06-02-30,40798511094,28884,40797367326
alcatel,ckuXdl,-54,112,2024-09-04 06-00-32,40713638019,-11638,40730862248
alcatel,OGi,-41,117,2024-09-04 06-02-29,40769026139,-15301,40719293015
alcatel,lHGN,-125,-7,2024-09-04 06-03-15,40701072669,14503,40727622327
alcatel,OAbOsk,-112,-42,2024-09-04 06-04-33,40782373492,-21198,40773870750
alcatel,GwS,-41,28,2024-09-04 06-04-06,40716119154,8024,40752791842
alcatel,wbm,-35,57,2024-09-04 06-02-31,40747897714,-17470,40786571266
alcatel,UpxZ,98,21,2024-09-04 06-02-44,40742208914,16977,40771455003
alcatel,HDKTL,-4,-46,2024-09-04 06-03-50,40768499239,17448,40716260349
alcatel,xbsR,-64,109,2024-09-04 06-02-50,40764924328,-540,40748931809
alcatel,wstHS,74,67,2024-09-04 06-04-32,40725212470,-24444,40742197830
alcatel,VSsS,-31,-55,2024-09-04 06-04-42,40768830518,3026,40710141944
alcatel,KgSTV,115,-56,2024-09-04 06-02-00,40786791110,-13227,40725090984
alcatel,GgNto,-9,-109,2024-09-04 06-03-36,40780135231,-13277,40795210151
alcatel,GGwx,82,13,2024-09-04 06-03-13,40759112334,4977,40769663689
alcatel,KibQ,-27,50,2024-09-04 06-03-06,40784709185,8732,40701544237
alcatel,WmWMLq,85,73,2024-09-04 06-03-31,40780368544,5407,40743717112
alcatel,LnDHK,27,64,2024-09-04 06-02-19,40715356045,17008,40703333599
alcatel,LjhV,48,-51,2024-09-04 06-04-40,40705311319,-24703,40713111335
alcatel,qAepxK,54,-61,2024-09-04 06-03-11,40774311624,-2110,40777803953
alcatel,AxSNNw,94,49,2024-09-04 06-01-50,40778361580,-16959,40762151028
alcatel,WknuiE,15,71,2024-09-04 06-01-42,40729287349,30988,40794344238
alcatel,woRNDW,-68,-73,2024-09-04 06-00-21,40724483557,19056,40772333404
alcatel,WcYMY,76,9,2024-09-04 06-01-28,40792105242,8748,40707897493
alcatel,yStAfK,93,50,2024-09-04 06-01-56,40734520876,-3272,40720818975
alcatel,oyjZ,-4,46,2024-09-04 06-00-13,40757078645,-6348,40765354629
alcatel,mdumj,87,63,2024-09-04 06-01-42,40707015449,-7731,40745399957
alcatel,cngSY,19,-13,2024-09-04 06-00-35,40730787012,-1935,40770717359
alcatel,EMWbVw,125,-108,2024-09-04 06-01-08,40715082760,14781,40793675193
alcatel,XsM,-79,60,2024-09-04 06-00-29,40737472075,-27044,40720122137
alcatel,eoIJNi,-108,-5,2024-09-04 06-00-26,40746960963,-30324,40742204781
alcatel,QpfK,116,120,2024-09-04 06-03-20,40714465440,-21564,40744306497
alcatel,mXAPd,-35,19,2024-09-04 06-03-35,40729700914,-6280,40797532745
alcatel,yIBGB,21,74,2024-09-04 06-02-33,40776953086,20134,40747859711
alcatel,UxwA,53,-24,2024-09-04 06-01-13,40744494010,7995,40786375175
alcatel,kOKI,-73,-55,2024-09-04 06-02-32,40758179597,10906,40799659624
alcatel,KpBK,26,119,2024-09-04 06-02-28,40792490427,-2066,40723423970
alcatel,QsLnns,-67,4,2024-09-04 06-00-59,40752250712,-28065,40747583888
alcatel,RurBJ,-25,-34,2024-09-04 06-02-51,40796036382,-23802,40751372081
alcatel,GTec,-45,-38,2024-09-04 06-03-54,40760157339,8866,40751069647
