src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,oKM,-67,-16,2024-09-04 06-06-06,40729813224,17155,40771644083
alcatel,WWmX,-7,78,2024-09-04 06-07-00,40799129277,6674,40750756412
alcatel,ZQB,-91,116,2024-09-04 06-05-53,40711250385,-24722,40702209425
alcatel,UCBL,-110,114,2024-09-04 06-07-56,40766169835,9999,40714022696
alcatel,vZyLQ,-60,99,2024-09-04 06-09-39,40741399276,27975,40705396632
alcatel,OBX,47,-21,2024-09-04 06-07-56,40798678941,-2315,40741065530
alcatel,zdx,99,121,2024-09-04 06-08-39,40780256534,-22909,40772428388
alcatel,mbxOvn,21,-18,2024-09-04 06-08-57,40794697595,11983,40789961077
alcatel,pNci,92,-79,2024-09-04 06-09-14,40770768048,-8869,40758749549
alcatel,hFSYC,-74,10,2024-09-04 06-07-10,40739674037,-17301,40771985249
alcatel,RQz,13,-103,2024-09-04 06-06-43,40738010562,5640,40774012237
alcatel,oCm,11,-80,2024-09-04 06-06-21,40700460530,-8018,40718490670
alcatel,QLA,51,90,2024-09-04 06-08-48,40798043347,21632,40738098750
alcatel,SPpmmM,-30,-35,2024-09-04 06-09-59,40718697527,10349,40733710888
alcatel,lzHdea,114,-26,2024-09-04 06-06-56,40736026547,5727,40723984707
alcatel,LuvA,44,31,2024-09-04 06-08-07,40777255943,-28934,40787099966
alcatel,Rwrchm,121,-81,2024-09-04 06-08-21,40772834177,-31737,40721671281
alcatel,WNsCZe,-14,20,2024-09-04 06-06-19,40780265961,12501,40778861667
alcatel,PCMldV,121,-96,2024-09-04 06-08-38,40770950155,14691,40755227533
alcatel,PGEV,-62,38,2024-09-04 06-07-44,40714793659,22005,40758765759
alcatel,ZLjaiI,-20,-35,2024-09-04 06-07-30,40795739531,26879,40754424592
alcatel,daItaF,82,83,2024-09-04 06-07-13,40754682819,-6566,40738753359
alcatel,Iqax,-122,44,2024-09-04 06-06-08,40750142137,26872,40711009871
alcatel,lguDnH,-67,55,2024-09-04 06-06-13,40740271422,-16140,40790990313
alcatel,PBRF,66,-32,2024-09-04 06-08-07,40710914490,-2739,40757306544
alcatel,oBggu,63,-78,2024-09-04 06-07-19,40791045575,6631,40718028050
alcatel,lkJC,-103,-112,2024-09-04 06-05-39,40721488810,-30347,40719939459
alcatel,zIV,102,6,2024-09-04 06-08-46,40745902046,23842,40747801607
alcatel,GIvn,-18,-72,2024-09-04 06-07-29,40756627269,-16103,40728503094
alcatel,jmB,115,43,2024-09-04 06-08-02,40782006679,2830,40730998800
alcatel,THi,-87,-80,2024-09-04 06-05-19,40731192993,-22116,40701298149
alcatel,rpaidX,-14,-80,2024-09-04 06-05-23,40701819432,-20380,40763291480
alcatel,yfHfyW,19,-23,2024-09-04 06-08-10,40729578871,23063,40752329792
alcatel,UqtLAe,45,82,2024-09-04 06-05-21,40788677899,7596,40764742074
alcatel,epbGhc,49,-19,2024-09-04 06-05-54,40722637540,-15225,40772945076
alcatel,YiEkho,-97,103,2024-09-04 06-07-25,40760306223,-4985,40720193994
alcatel,QoWM,-59,73,2024-09-04 06-07-56,40768131575,-9995,40709868259
alcatel,qyeu,-15,98,2024-09-04 06-07-36,40728477094,-30615,40709906915
alcatel,vEq,92,-101,2024-09-04 06-08-28,40700422807,1304,40710194351
alcatel,GLYB,111,53,2024-09-04 06-07-05,40795389220,20673,40748748102
alcatel,rvspQp,-67,26,2024-09-04 06-05-41,40757011628,-16949,40749630043
alcatel,VoQ,115,-17,2024-09-04 06-09-14,40746982756,-13536,40732384721
alcatel,KBwLqu,15,57,2024-09-04 06-06-00,40737523885,8404,40746365830
alcatel,Kou,-65,19,2024-09-04 06-06-13,40751940201,-2083,40758056358
alcatel,DCSPy,33,-96,2024-09-04 06-08-41,40726632561,22945,40702267413
alcatel,KoPyA,-86,100,2024-09-04 06-07-49,40729789105,-27399,40720181928
alcatel,tXO,-126,93,2024-09-04 06-07-38,40716645329,31029,40735452893
alcatel,eXtJkr,-30,123,2024-09-04 06-05-56,40712055625,-18211,40743085890
alcatel,rOo,19,-13,2024-09-04 06-06-16,40727020970,25107,40734075459
alcatel,fIrgad,44,82,2024-09-04 06-07-06,40714468844,12810,40724902280
alcatel,ilBi,36,-50,2024-09-04 06-06-53,40706878842,-16093,40788645899
alcatel,DfXg,-75,-68,2024-09-04 06-07-40,40741882849,-21183,40721204272
alcatel,UhxvuY,15,-92,2024-09-04 06-06-50,40711461362,22543,40791702399
alcatel,uSpPZC,103,-114,2024-09-04 06-06-32,40714725654,3085,40718641294
alcatel,XnOR,-2,-79,2024-09-04 06-06-56,40775537741,8045,40746717176
alcatel,vomZ,-51,-29,2024-09-04 06-05-07,40741350169,3048,40741859785
alcatel,EDsLEj,37,67,2024-09-04 06-06-00,40723477703,4458,40737344545
alcatel,ZzJAJQ,-123,66,2024-09-04 06-06-54,40723175333,31782,40729102996
alcatel,MwYvv,37,-119,2024-09-04 06-09-19,40771100126,14528,40760487021
alcatel,Zrolz,-102,-48,2024-09-04 06-05-57,40761893902,-5385,40751948051
alcatel,Htjg,126,20,2024-09-04 06-05-11,40731587390,-30181,40751996556
alcatel,GUXgbU,99,-90,2024-09-04 06-08-58,40711599031,-29682,40783325923
alcatel,YvT,-70,-59,2024-09-04 06-08-41,40790520769,-11407,40715382319
alcatel,AhRScY,-98,-90,2024-09-04 06-07-13,40731684096,3452,40775562818
alcatel,uLsP,-66,-109,2024-09-04 06-07-49,40704443286,-18435,40774979961
alcatel,EQB,27,91,2024-09-04 06-07-17,40780573429,7078,40792303997
alcatel,Cel,60,84,2024-09-04 06-07-25,40756394774,20719,40796069073
alcatel,GyHoSt,52,-42,2024-09-04 06-08-55,40798207723,11634,40703366486
alcatel,GZC,-15,57,2024-09-04 06-09-48,40769322321,-1100,40756553570
alcatel,qrS,4,-11,2024-09-04 06-05-58,40711660695,-8300,40734944541
alcatel,WZisuL,53,32,2024-09-04 06-09-58,40770237735,24368,40766677639
alcatel,UsfPFZ,80,-12,2024-09-04 06-08-11,40731710308,5711,40726991865
alcatel,KuitSZ,-26,-38,2024-09-04 06-06-40,40734305041,400,40779101317
alcatel,WTh,-127,-30,2024-09-04 06-07-29,40782362372,-29770,40771695862
alcatel,WfhTGU,110,-47,2024-09-04 06-08-53,40741448395,-19521,40759455813
