src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,GlyUs,-77,14,2024-09-04 06-11-41,40724076259,1790,40774881327
alcatel,EoWm,119,-22,2024-09-04 06-10-43,40745399719,22906,40756717514
alcatel,HXA,94,-55,2024-09-04 06-13-52,40708216375,-13025,40711621425
alcatel,TjW,18,42,2024-09-04 06-10-32,40776876010,8472,40754854192
alcatel,fCmzTF,107,33,2024-09-04 06-11-25,40756093688,28797,40740429634
alcatel,QCcQQW,-55,20,2024-09-04 06-10-16,40750400120,14060,40740744251
alcatel,IBLmG,60,101,2024-09-04 06-12-12,40768631000,-29033,40785186330
alcatel,wKIi,-40,75,2024-09-04 06-12-48,40726332780,6395,40730480801
alcatel,nsfURw,-67,-114,2024-09-04 06-12-04,40714242608,25918,40743833820
alcatel,FUm,-55,54,2024-09-04 06-14-24,40779252620,-6768,40755728900
alcatel,Hkza,74,14,2024-09-04 06-12-22,40772769339,-5155,40714619520
alcatel,NGZ,-115,-21,2024-09-04 06-10-22,40756733057,-21023,40747066287
alcatel,SEJPYk,26,99,2024-09-04 06-14-27,40733825493,-21126,40738427404
alcatel,HzjQ,-48,-87,2024-09-04 06-12-05,40713063999,-28630,40756275654
alcatel,PmxNdG,-102,84,2024-09-04 06-13-15,40740767623,8110,40711611304
alcatel,EhQTV,-78,48,2024-09-04 06-14-15,40796175964,-11470,40706143855
alcatel,escuob,29,-14,2024-09-04 06-14-42,40754284281,-30946,40714613412
alcatel,fBi,-11,53,2024-09-04 06-13-58,40742834279,-16410,40738170535
alcatel,shKbAS,109,-45,2024-09-04 06-12-01,40710273045,-18687,40714445775
alcatel,icFl,77,110,2024-09-04 06-10-42,40794785936,4294,40711071393
alcatel,sPw,85,97,2024-09-04 06-11-40,40735797993,9701,40771830538
alcatel,PZvhI,-113,-104,2024-09-04 06-12-51,40731199758,27322,40717086150
alcatel,DcwWl,-115,88,2024-09-04 06-11-09,40737502300,-26302,40751012744
alcatel,WmnHx,77,9,2024-09-04 06-11-27,40750344926,-5756,40792019907
alcatel,bzNPWi,-16,-93,2024-09-04 06-11-18,40788941964,26096,40745272713
alcatel,lDgN,124,118,2024-09-04 06-14-34,40789973949,18524,40706926580
alcatel,jTaE,-101,-113,2024-09-04 06-14-48,40727027272,30893,40778444623
alcatel,GJcbI,-55,-77,2024-09-04 06-11-45,40785249897,36,40754159395
alcatel,fjUKUF,-128,31,2024-09-04 06-14-54,40714691324,27742,40752160474
alcatel,nxm,21,-123,2024-09-04 06-12-16,40754048501,10787,40765672228
alcatel,ZPW,11,118,2024-09-04 06-13-49,40714601270,30252,40763587028
alcatel,rssTB,-60,-94,2024-09-04 06-13-55,40731010677,-1629,40787050594
alcatel,hHOax,-113,10,2024-09-04 06-10-04,40718355751,-21884,40730988334
alcatel,zTvL,-54,-98,2024-09-04 06-11-37,40765716439,15681,40771354254
alcatel,evoXsh,-61,111,2024-09-04 06-12-04,40715480937,-17919,40760341324
alcatel,SuTNpd,101,13,2024-09-04 06-13-32,40709912901,10551,40702539751
alcatel,oiq,51,-6,2024-09-04 06-14-14,40785252209,-27539,40796417875
alcatel,xQGG,-8,36,2024-09-04 06-12-51,40776441581,23755,40752835503
alcatel,qAWZ,-112,-49,2024-09-04 06-13-38,40777748541,-23342,40795983279
alcatel,mSK,67,33,2024-09-04 06-12-06,40715104693,24248,40717003658
alcatel,kTbif,40,-105,2024-09-04 06-14-18,40707744368,-14705,40710893947
alcatel,dlC,-72,-24,2024-09-04 06-11-22,40727179414,32017,40714332741
alcatel,mGIVoD,21,8,2024-09-04 06-10-22,40757851983,-14395,40765663387
alcatel,ZxW,-110,65,2024-09-04 06-14-22,40755753882,-14181,40733800964
alcatel,mAfeYT,54,58,2024-09-04 06-14-39,40752123387,-24717,40708650905
alcatel,Ddik,-31,-102,2024-09-04 06-10-59,40790178345,3820,40799777337
alcatel,GUfE,17,-108,2024-09-04 06-11-41,40715964155,11085,40727846639
alcatel,HzvQRW,42,22,2024-09-04 06-13-31,40793849067,-768,40730412739
alcatel,axO,-8,-122,2024-09-04 06-12-43,40710933086,-6666,40784639214
alcatel,kXJs,-100,34,2024-09-04 06-12-56,40761845779,25786,40791046031
alcatel,XIyZ,72,101,2024-09-04 06-14-52,40768330019,-4083,40795604770
alcatel,ZbepgF,-106,-5,2024-09-04 06-12-06,40751222011,-26965,40700864079
alcatel,yTBI,121,107,2024-09-04 06-10-52,40743246129,-24086,40759624010
alcatel,BDjvch,34,-30,2024-09-04 06-13-33,40773679725,-8623,40766967813
alcatel,hGotY,19,49,2024-09-04 06-12-33,40712312919,-32034,40777045539
alcatel,irlbjW,14,80,2024-09-04 06-14-39,40731455630,7359,40714707759
alcatel,SMiXRs,-120,49,2024-09-04 06-14-30,40782397106,22282,40734658094
alcatel,BoTAFh,45,-38,2024-09-04 06-11-43,40754058224,9926,40739380851
alcatel,iByJvk,97,-82,2024-09-04 06-12-31,40733753544,11029,40723411842
alcatel,Wik,60,94,2024-09-04 06-13-53,40734014659,-1672,40701473706
alcatel,ZBXwX,22,-111,2024-09-04 06-10-39,40781331581,-8876,40792525326
alcatel,zDZePW,-27,-104,2024-09-04 06-11-11,40744649241,15306,40766485903
alcatel,fdd,-113,53,2024-09-04 06-12-43,40724174987,-26821,40754349437
alcatel,HXI,77,-65,2024-09-04 06-13-34,40798476468,12986,40752723379
alcatel,KIQRbF,29,-103,2024-09-04 06-14-13,40766781343,-5743,40748913479
alcatel,ToWO,-24,-92,2024-09-04 06-14-42,40729079674,-27192,40737444802
alcatel,ECN,-35,108,2024-09-04 06-10-16,40710085876,18755,40772750054
alcatel,uVb,-29,30,2024-09-04 06-11-07,40787257902,3729,40791873898
alcatel,hzKEBf,-17,2,2024-09-04 06-14-52,40752021417,28531,40799161954
alcatel,GeD,62,19,2024-09-04 06-13-50,40747495244,13764,40779912402
alcatel,aVhps,-92,-124,2024-09-04 06-14-46,40751164704,24673,40741322662
alcatel,UpJ,68,-59,2024-09-04 06-14-49,40702123710,707,40765162549
alcatel,zvICvT,70,2,2024-09-04 06-11-40,40795995870,-20488,40783108670
alcatel,Xvz,-75,103,2024-09-04 06-12-25,40737489058,-28094,40780534332
alcatel,wLBK,-116,17,2024-09-04 06-10-32,40755532703,18558,40728253760
alcatel,KZGsM,106,-15,2024-09-04 06-10-32,40709636544,4668,40756221731
alcatel,TEvWKu,-126,-59,2024-09-04 06-11-48,40789686197,-23065,40762494146
alcatel,bUJW,45,32,2024-09-04 06-11-16,40720179551,-26712,40720421362
alcatel,hlyywo,74,10,2024-09-04 06-12-05,40708376559,-25086,40733573208
alcatel,blvyym,-76,32,2024-09-04 06-13-16,40731921085,3335,40742862644
alcatel,lKRHm,-45,44,2024-09-04 06-12-40,40744204908,15590,40722422019
alcatel,AXDzsq,58,-5,2024-09-04 06-11-03,40705492314,-20742,40728003146
alcatel,hKiy,30,-44,2024-09-04 06-12-52,40795426425,10529,40788999523
alcatel,RuB,85,-50,2024-09-04 06-13-08,40710934298,-16469,40773615888
alcatel,fIkKeU,-86,56,2024-09-04 06-14-41,40776229439,-4238,40758878530
alcatel,olyoE,84,-7,2024-09-04 06-14-34,40797499050,-761,40775610016
alcatel,YMNnD,4,-23,2024-09-04 06-11-01,40745849757,-23166,40700450765
alcatel,nsBo,78,125,2024-09-04 06-11-51,40726955328,-12573,40743929583
alcatel,HYAf,-26,-10,2024-09-04 06-12-47,40721585119,-18505,40788163010
