src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,lixBe,7,19,2024-09-04 06-26-54,40736604225,-12082,40736830010
alcatel,pYPS,-120,123,2024-09-04 06-29-53,40722821073,23116,40794078418
alcatel,NivHY,-67,48,2024-09-04 06-28-27,40753186189,17178,40799622038
alcatel,kNc,-103,89,2024-09-04 06-25-25,40731331329,27090,40705130078
alcatel,nfhfi,-4,-38,2024-09-04 06-25-02,40741491276,20757,40758659839
alcatel,web,-96,119,2024-09-04 06-25-21,40730751307,-29557,40753878694
alcatel,bfx,75,68,2024-09-04 06-28-07,40718371853,28773,40750892478
alcatel,XcQft,27,29,2024-09-04 06-26-58,40781388598,27708,40711174907
alcatel,yeFDV,16,82,2024-09-04 06-25-17,40730335760,11981,40777023501
alcatel,cuxS,22,-111,2024-09-04 06-26-32,40769386130,-30978,40737532074
alcatel,jwp,88,-11,2024-09-04 06-28-14,40724719338,-13260,40771932189
alcatel,vDQ,-38,75,2024-09-04 06-28-55,40799179623,-31173,40748954322
alcatel,ryhU,-16,58,2024-09-04 06-27-31,40794963671,-32112,40749076267
alcatel,OhqJuQ,-30,39,2024-09-04 06-27-58,40721226124,-7992,40777642900
alcatel,JEGk,9,-28,2024-09-04 06-26-39,40725000964,-11304,40711326280
alcatel,OXURi,80,-52,2024-09-04 06-26-58,40735594270,-31271,40718771751
alcatel,uMZo,-69,0,2024-09-04 06-25-27,40769967004,29458,40756453613
alcatel,WSsPay,119,104,2024-09-04 06-29-12,40766207038,2330,40798496113
alcatel,Ois,-51,55,2024-09-04 06-28-09,40712321260,-8313,40739787773
alcatel,KbAs,79,91,2024-09-04 06-28-45,40786554925,30544,40751026897
alcatel,ltDuAY,56,55,2024-09-04 06-28-02,40700740839,-8483,40718627514
alcatel,YeAFS,-100,63,2024-09-04 06-29-02,40719692489,10145,40703458068
alcatel,shP,-87,24,2024-09-04 06-27-56,40706326744,2671,40769237736
alcatel,IAdM,-18,-96,2024-09-04 06-26-45,40700724159,25236,40752073610
alcatel,MZwOy,68,21,2024-09-04 06-27-14,40754584478,3247,40760827986
alcatel,wxxl,-111,54,2024-09-04 06-26-55,40772363970,-20406,40783362108
alcatel,fru,-33,84,2024-09-04 06-27-54,40778525669,2738,40722933759
alcatel,yQW,60,-11,2024-09-04 06-26-17,40772284874,8442,40746674260
alcatel,erKsLe,-49,-40,2024-09-04 06-27-28,40761349761,10839,40732240744
