src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,IEda,-45,-108,2024-09-04 06-35-52,40713198995,1518,40744901709
alcatel,GdU,-6,3,2024-09-04 06-39-48,40748955622,13658,40714915122
alcatel,KBwj,3,-118,2024-09-04 06-36-08,40733059964,10973,40760567213
alcatel,KDvJ,-11,-106,2024-09-04 06-35-55,40746419848,12060,40790718679
alcatel,Hcbqe,85,51,2024-09-04 06-36-06,40790397865,-16970,40771898054
alcatel,tEtv,25,-50,2024-09-04 06-35-28,40794468831,16683,40711304077
alcatel,cazI,31,70,2024-09-04 06-39-16,40761872160,1392,40792780442
alcatel,ACxIqZ,-103,-67,2024-09-04 06-39-45,40794452203,31775,40755784481
alcatel,WJiMg,119,115,2024-09-04 06-39-49,40775993586,-13549,40766735220
alcatel,TuuDsx,-45,-122,2024-09-04 06-37-24,40770517149,29974,40798808594
alcatel,lLTy,-64,17,2024-09-04 06-39-43,40752898718,17395,40707255809
alcatel,kIDqkx,-21,-79,2024-09-04 06-38-48,40790997245,-10366,40773635824
alcatel,fXFi,-114,78,2024-09-04 06-39-58,40724556423,25289,40760825880
alcatel,Zacu,116,-102,2024-09-04 06-36-14,40778878153,-12144,40781235067
alcatel,hdS,20,-10,2024-09-04 06-35-56,40736047703,20485,40747785739
alcatel,wpJZU,-104,-25,2024-09-04 06-37-45,40749226540,-7260,40734788121
alcatel,JCk,-33,30,2024-09-04 06-36-25,40777782845,-8414,40782612064
alcatel,xwzA,22,58,2024-09-04 06-36-18,40718074899,-26418,40736626494
alcatel,tULge,118,-4,2024-09-04 06-38-35,40731676690,-22031,40767333516
alcatel,nXH,-123,79,2024-09-04 06-39-42,40739685609,2812,40714747156
alcatel,ISa,16,-96,2024-09-04 06-39-09,40765793503,13446,40772398281
alcatel,pIogS,106,-121,2024-09-04 06-38-02,40747173296,-5908,40787552370
alcatel,iJCn,-16,-18,2024-09-04 06-37-18,40739684962,-5806,40701466460
alcatel,RHV,-113,46,2024-09-04 06-39-38,40783490214,-29230,40748424656
alcatel,LyTcGs,68,-33,2024-09-04 06-35-32,40778881372,12617,40777541850
alcatel,idDkR,-50,6,2024-09-04 06-35-51,40731125393,14711,40710583019
alcatel,rjA,16,113,2024-09-04 06-35-48,40725617512,6229,40797047613
alcatel,pBBec,20,51,2024-09-04 06-36-56,40763601110,-4542,40731930047
alcatel,nIu,-127,127,2024-09-04 06-35-40,40720975292,-14078,40709562510
alcatel,Bvq,52,-108,2024-09-04 06-38-18,40757436074,10281,40774542090
alcatel,dXgPw,-72,94,2024-09-04 06-37-46,40788386978,-2151,40790348295
alcatel,jDs,48,-49,2024-09-04 06-36-14,40776638851,-2780,40771607736
alcatel,XKZyF,55,-59,2024-09-04 06-39-51,40765986653,-11158,40724454627
alcatel,VtBrU,60,-30,2024-09-04 06-35-56,40745498393,5043,40729928035
alcatel,pVzFKQ,42,-39,2024-09-04 06-36-12,40788120056,-5246,40731171728
alcatel,sRNZt,-10,-8,2024-09-04 06-38-45,40753116886,-5632,40776035321
alcatel,jUY,84,-48,2024-09-04 06-39-22,40787740239,10278,40730464030
alcatel,srH,-29,-22,2024-09-04 06-35-52,40715425976,-24352,40714771969
alcatel,TmMp,36,-50,2024-09-04 06-39-30,40772399812,2657,40714264692
alcatel,yqbCK,-42,37,2024-09-04 06-38-04,40797056757,31083,40706625648
alcatel,KZQh,-80,99,2024-09-04 06-36-58,40742870750,30346,40717925176
alcatel,XGZhrU,-43,-14,2024-09-04 06-40-01,40706321677,15416,40771311684
alcatel,NPSCo,-28,-118,2024-09-04 06-39-34,40745210784,4249,40797607019
alcatel,bUJFHi,-28,-17,2024-09-04 06-37-02,40721814417,-31633,40768879481
alcatel,PKjQhK,-110,-118,2024-09-04 06-35-38,40769069009,7793,40761759794
alcatel,ACNljO,-33,-110,2024-09-04 06-38-13,40762361022,22361,40792840444
alcatel,fJgRN,120,67,2024-09-04 06-35-15,40782422925,16774,40747504588
alcatel,prrqjT,-86,-38,2024-09-04 06-40-00,40748562715,22486,40782545038
alcatel,jTuqrF,-51,87,2024-09-04 06-36-55,40763277634,8712,40772879474
alcatel,DVZTHi,-124,94,2024-09-04 06-35-10,40728266244,12554,40762446010
alcatel,yAB,82,47,2024-09-04 06-35-07,40727042995,-27463,40735841536
alcatel,WIrg,-72,79,2024-09-04 06-38-28,40700980341,30457,40724171546
alcatel,XRdVg,9,-116,2024-09-04 06-36-12,40794777424,29032,40789337265
alcatel,EHhu,-85,43,2024-09-04 06-35-17,40719479779,430,40793512015
alcatel,gxfW,91,-94,2024-09-04 06-35-48,40721430343,-9171,40756679782
alcatel,PnVk,-53,-121,2024-09-04 06-38-09,40764195990,-24646,40762241084
alcatel,dAG,-11,-90,2024-09-04 06-38-42,40768956817,7789,40797205663
alcatel,UWEJIp,18,-100,2024-09-04 06-39-41,40750830389,-18910,40743827684
alcatel,LUmo,-62,-55,2024-09-04 06-39-44,40776926845,-20307,40779281338
alcatel,bPanbA,-75,-126,2024-09-04 06-39-40,40724255439,-4201,40793169884
alcatel,oAU,34,126,2024-09-04 06-37-11,40755968707,-8127,40743960171
alcatel,rjotJy,51,66,2024-09-04 06-35-14,40743833121,15649,40703835637
alcatel,NqFQv,-30,-118,2024-09-04 06-38-16,40747624238,31339,40707767558
alcatel,otyj,126,91,2024-09-04 06-36-17,40715843154,-13291,40787953813
alcatel,CqiEAB,-66,-5,2024-09-04 06-36-44,40766469760,-30757,40725367003
alcatel,Ruiv,13,42,2024-09-04 06-38-15,40770385084,-11357,40771420112
alcatel,uvlf,65,111,2024-09-04 06-39-02,40704146389,15054,40700723401
alcatel,OCp,-24,33,2024-09-04 06-36-39,40738853876,-2163,40782395678
alcatel,EzQaM,-7,-108,2024-09-04 06-38-45,40765767552,-25299,40793567075
alcatel,fnLQ,-6,-13,2024-09-04 06-35-27,40785626047,4452,40784723255
alcatel,LtGk,-126,-8,2024-09-04 06-36-19,40765726536,8709,40739494865
alcatel,QJAsHm,79,-47,2024-09-04 06-38-30,40791088963,-16747,40792616698
alcatel,ldapsV,-81,-23,2024-09-04 06-35-36,40778727221,-13771,40755768530
alcatel,sEyd,-7,17,2024-09-04 06-36-28,40726821317,-5801,40765068653
alcatel,xLi,-108,-28,2024-09-04 06-39-37,40784673845,27098,40706471256
alcatel,MwI,-49,115,2024-09-04 06-38-08,40765843874,-17247,40702134742
alcatel,DYH,-61,103,2024-09-04 06-39-30,40782438832,-2537,40700078400
alcatel,WUrOD,-97,18,2024-09-04 06-37-35,40769885227,16678,40720482516
alcatel,uwdD,-64,57,2024-09-04 06-39-23,40745820403,28746,40738204534
alcatel,NeJ,-72,119,2024-09-04 06-38-17,40785598822,-17052,40736682408
alcatel,OiJ,36,1,2024-09-04 06-38-38,40757337222,-14601,40765365080
alcatel,cdyX,-54,48,2024-09-04 06-37-25,40776396536,16443,40741771109
alcatel,TIrTs,-120,15,2024-09-04 06-39-59,40721666996,4323,40795888450
alcatel,WxrTxE,-43,-20,2024-09-04 06-37-11,40766738003,-30173,40761147538
alcatel,CTuQ,-122,11,2024-09-04 06-35-14,40734656947,7964,40796117889
alcatel,iqH,-97,12,2024-09-04 06-38-27,40748164512,14613,40715300751
alcatel,HQnEm,36,90,2024-09-04 06-39-27,40783509345,-17144,40764840829
alcatel,FaeXp,64,-38,2024-09-04 06-36-16,40790256183,-32417,40776969691
alcatel,esQXSl,87,88,2024-09-04 06-39-44,40747978554,7748,40720411751
alcatel,zry,100,2,2024-09-04 06-36-05,40778500041,14467,40762927521
alcatel,VpyU,59,-105,2024-09-04 06-39-47,40720988764,26639,40776240319
alcatel,DnmT,111,71,2024-09-04 06-36-29,40773293123,12595,40734600146
alcatel,eWNFV,-71,71,2024-09-04 06-35-43,40795097698,12514,40709569564
alcatel,KxxOFe,-20,36,2024-09-04 06-35-11,40729058005,25447,40788048236
alcatel,EJc,-29,99,2024-09-04 06-36-57,40780121731,-15164,40758714404
alcatel,cKUDXi,-22,27,2024-09-04 06-38-42,40732586776,16930,40716971625
alcatel,sADxUH,-113,41,2024-09-04 06-38-05,40738036686,25297,40742050295
alcatel,Vawv,34,97,2024-09-04 06-36-34,40720026045,-4820,40781682607
alcatel,HfLnk,105,-31,2024-09-04 06-36-28,40766032461,4692,40737604948
alcatel,RltWpr,-106,80,2024-09-04 06-39-20,40776126214,-21169,40773810488
alcatel,wDdNC,-50,113,2024-09-04 06-36-51,40701780682,1858,40723027530
alcatel,PSrmx,58,-81,2024-09-04 06-39-03,40728827897,-25281,40728147211
alcatel,BFkyJj,29,65,2024-09-04 06-39-43,40796395142,-7467,40746147857
alcatel,AHdCjk,-55,76,2024-09-04 06-35-51,40762732877,-30974,40724068718
alcatel,gXC,61,-7,2024-09-04 06-38-31,40758986177,25350,40760841134
alcatel,zHJ,-97,108,2024-09-04 06-35-30,40777077887,18615,40799346035
alcatel,robr,53,-17,2024-09-04 06-37-16,40748492908,6273,40789578352
alcatel,pMYaCW,-92,12,2024-09-04 06-38-54,40743901894,-19063,40729592812
alcatel,YmKoVP,107,122,2024-09-04 06-35-28,40728789175,-25065,40772121086
alcatel,rmqt,43,-115,2024-09-04 06-37-04,40791797580,8547,40705155728
alcatel,BAoerw,-36,13,2024-09-04 06-39-22,40775493958,-17410,40769235912
alcatel,ywYSL,59,117,2024-09-04 06-38-52,40729604845,32308,40720248843
alcatel,bpBjP,-31,-81,2024-09-04 06-36-05,40731665016,-21077,40709890040
alcatel,sLQkB,-89,112,2024-09-04 06-37-21,40720589614,9497,40783783847
alcatel,zDMJ,-68,-40,2024-09-04 06-37-15,40723184140,-14032,40764018153
alcatel,vEFFJ,-48,-81,2024-09-04 06-36-48,40738750888,5274,40751841096
