src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,qWO,-76,-13,2024-09-04 06-47-31,40785924403,8918,40728854844
alcatel,OmLyl,42,-49,2024-09-04 06-46-50,40790547691,5441,40728783703
alcatel,Bbqdb,40,32,2024-09-04 06-45-04,40782059287,7376,40797994647
alcatel,Ipm,-128,94,2024-09-04 06-47-34,40728327481,-15470,40704092089
alcatel,qXxAQ,-97,108,2024-09-04 06-45-47,40778229493,23662,40734147920
alcatel,MQXPza,-14,-69,2024-09-04 06-48-21,40781081075,-9852,40729379215
alcatel,yBSMEV,-1,-45,2024-09-04 06-46-57,40729914918,-1380,40746912686
alcatel,UjG,92,-61,2024-09-04 06-49-01,40773807135,-31982,40769809593
alcatel,ZWq,95,113,2024-09-04 06-49-24,40740589864,-16230,40788335684
alcatel,OVb,-107,65,2024-09-04 06-47-57,40725773886,-12195,40773924302
alcatel,dcF,-40,51,2024-09-04 06-47-46,40746186833,23976,40711088780
alcatel,FSROnq,106,-103,2024-09-04 06-48-28,40702165132,-24195,40748333529
alcatel,TkDZX,65,-49,2024-09-04 06-45-09,40778864658,-12927,40773585117
alcatel,memQI,31,4,2024-09-04 06-48-44,40719530067,23172,40785193282
alcatel,rYkXW,-42,-15,2024-09-04 06-49-30,40790594511,26523,40708588756
alcatel,WIhbUV,-63,-20,2024-09-04 06-49-45,40789102659,-19298,40743127336
alcatel,XtYDz,90,17,2024-09-04 06-46-53,40746091889,2269,40712865534
alcatel,SzuaM,120,-37,2024-09-04 06-48-46,40747063235,-4855,40729352817
alcatel,gRUl,5,3,2024-09-04 06-46-51,40722109915,-10680,40709712353
alcatel,rSHwM,86,67,2024-09-04 06-49-00,40730552307,25979,40774546914
alcatel,wXvos,123,37,2024-09-04 06-45-13,40753003246,-15997,40772374541
alcatel,mCaNZw,-40,8,2024-09-04 06-46-34,40759081979,26038,40796072041
alcatel,PDV,-50,-14,2024-09-04 06-46-11,40767807883,-2931,40786123943
alcatel,BqcXY,-62,48,2024-09-04 06-45-39,40715682421,19254,40741701690
alcatel,IqyJBf,126,-37,2024-09-04 06-47-56,40721288469,7937,40776414408
alcatel,GCf,-95,86,2024-09-04 06-45-34,40776437161,-20567,40754175158
alcatel,uJJt,-74,-95,2024-09-04 06-49-13,40729064097,25711,40768476837
alcatel,wJPaQ,10,-100,2024-09-04 06-50-00,40708388424,-17862,40715628307
alcatel,XstP,27,81,2024-09-04 06-48-17,40788846788,22706,40795446948
alcatel,pvB,87,112,2024-09-04 06-49-21,40765540941,-13849,40763687244
alcatel,jnZp,73,43,2024-09-04 06-48-35,40733950380,15816,40763408822
alcatel,lWtZ,10,21,2024-09-04 06-46-41,40796223817,9002,40795951015
alcatel,HGwy,-3,-48,2024-09-04 06-48-16,40754946308,7024,40771670461
alcatel,SeB,-85,-122,2024-09-04 06-49-20,40730002713,10610,40799693253
alcatel,TNxq,-5,119,2024-09-04 06-47-05,40716475061,25202,40777051923
alcatel,yqrmj,68,-66,2024-09-04 06-46-35,40707566850,18484,40781675283
alcatel,mLUNfr,71,13,2024-09-04 06-49-21,40725624937,8409,40754764974
alcatel,bFOMZu,-46,-67,2024-09-04 06-47-02,40713492983,9983,40705601621
alcatel,xWjc,-105,-23,2024-09-04 06-45-59,40729487804,8419,40750070469
alcatel,phz,-46,-48,2024-09-04 06-49-26,40739117460,-24845,40758791634
alcatel,mTSjU,100,-25,2024-09-04 06-45-38,40748229206,7060,40741802417
alcatel,yMjhg,-126,69,2024-09-04 06-46-41,40774211617,-32126,40734946144
alcatel,NDJxgT,122,-13,2024-09-04 06-46-59,40744980483,-27380,40737183626
alcatel,hIXgBj,-25,-40,2024-09-04 06-47-48,40729984481,16099,40782652376
alcatel,xdIz,74,62,2024-09-04 06-46-37,40705194158,13046,40774031390
alcatel,wAdR,125,124,2024-09-04 06-45-56,40788204352,-23250,40776090973
alcatel,GMyMWt,-85,124,2024-09-04 06-45-14,40740709572,-9381,40796916749
alcatel,FlX,83,-38,2024-09-04 06-47-56,40775144865,-9638,40775152150
alcatel,lKl,-101,82,2024-09-04 06-48-34,40762412323,4706,40714211815
alcatel,fRDdRF,108,111,2024-09-04 06-45-03,40756867528,-8558,40778637228
alcatel,GLI,34,-69,2024-09-04 06-45-08,40772268618,-9136,40761757432
alcatel,YoZs,-59,48,2024-09-04 06-49-25,40731047336,-1696,40708261461
alcatel,zcole,-104,-45,2024-09-04 06-49-04,40734389188,2291,40744052595
alcatel,OJA,47,16,2024-09-04 06-45-10,40767756350,-3037,40767361574
alcatel,fYM,-72,41,2024-09-04 06-47-40,40756809029,-31405,40774937074
alcatel,CtFZCq,-60,-54,2024-09-04 06-47-02,40789929162,-6615,40739018559
alcatel,nBeL,123,-4,2024-09-04 06-46-37,40742748017,25268,40791858786
alcatel,QfcI,-78,-72,2024-09-04 06-46-57,40739436993,-32758,40747581975
alcatel,HMz,2,-22,2024-09-04 06-49-03,40785157017,-26316,40759473369
alcatel,WGr,-8,-2,2024-09-04 06-49-30,40764427897,-18800,40797438995
alcatel,NLWzzI,-112,62,2024-09-04 06-48-12,40734581058,31847,40764416851
alcatel,Yvuo,92,-70,2024-09-04 06-49-24,40753027886,5534,40701059420
alcatel,yxucIh,109,23,2024-09-04 06-48-43,40735025932,-28679,40730226655
alcatel,rBFAqh,-56,-124,2024-09-04 06-45-21,40723499157,14419,40780404858
alcatel,hsje,-79,-16,2024-09-04 06-47-10,40726217247,-28440,40722922451
alcatel,uNNXU,-29,123,2024-09-04 06-49-46,40783037359,20255,40734081079
alcatel,RaUmQn,64,15,2024-09-04 06-49-43,40786276486,3034,40756037512
alcatel,fdN,-124,-78,2024-09-04 06-47-41,40758400748,7248,40792646607
alcatel,mJgVdU,-40,46,2024-09-04 06-49-56,40721875800,4251,40753426359
alcatel,hRC,-84,-119,2024-09-04 06-47-42,40780510481,-24417,40726651104
alcatel,Uxo,57,18,2024-09-04 06-48-56,40787862472,-16398,40760776950
alcatel,PtS,-34,56,2024-09-04 06-46-22,40744320851,17949,40763484344
alcatel,pXLpEJ,-35,52,2024-09-04 06-45-23,40700671661,-15104,40712830494
alcatel,eOzx,0,-108,2024-09-04 06-49-05,40795570219,-17579,40748927933
alcatel,vyhPgC,80,34,2024-09-04 06-48-52,40716784373,24388,40740103812
alcatel,Mtjtr,-6,127,2024-09-04 06-49-28,40707087009,-15296,40721633492
alcatel,kDCbQ,-113,-87,2024-09-04 06-48-18,40789227764,19186,40721302486
alcatel,QTwbe,51,20,2024-09-04 06-49-26,40778870461,5584,40791528701
alcatel,yQbmcF,108,59,2024-09-04 06-46-12,40731098841,-13389,40760074402
alcatel,ITR,127,103,2024-09-04 06-46-17,40793999418,-4086,40763973980
alcatel,kJYSL,114,124,2024-09-04 06-47-18,40735881751,19201,40712094456
alcatel,Fnd,-56,-102,2024-09-04 06-46-48,40714195429,10463,40747703539
alcatel,cnwdWo,79,18,2024-09-04 06-46-37,40770610566,-10647,40740158402
