src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,xrOC,-44,-33,2024-09-04 06-52-18,40788888857,-460,40719077712
alcatel,fCZ,-44,124,2024-09-04 06-50-48,40790941965,-6876,40779355863
alcatel,VLcYh,-21,-63,2024-09-04 06-52-11,40746694295,7009,40720774895
alcatel,Qhw,-55,89,2024-09-04 06-50-24,40732472015,3697,40708625998
alcatel,Ocpp,77,119,2024-09-04 06-53-24,40773169146,-2814,40736640593
alcatel,vXMz,-36,-42,2024-09-04 06-51-50,40774929261,-21237,40782788653
alcatel,XjJhH,-59,94,2024-09-04 06-52-54,40779359095,30389,40735071180
alcatel,rjoxOP,-48,-112,2024-09-04 06-53-38,40700407660,-22770,40740891551
alcatel,WEllpV,-21,-5,2024-09-04 06-51-13,40736066548,-14408,40740813530
alcatel,fAd,77,-94,2024-09-04 06-50-33,40790942176,6303,40766062729
alcatel,PnKIP,-49,-122,2024-09-04 06-51-26,40740534604,16387,40707449597
alcatel,Clgis,73,17,2024-09-04 06-50-48,40718774395,-4933,40715482510
alcatel,CTF,-54,11,2024-09-04 06-50-42,40731598000,-1098,40717185948
alcatel,jIN,122,25,2024-09-04 06-52-52,40777484939,-6381,40704779317
alcatel,hSS,61,-51,2024-09-04 06-50-30,40747156452,2793,40797641777
alcatel,gGQjhh,-24,86,2024-09-04 06-54-55,40720230299,-11645,40729903215
alcatel,napV,43,51,2024-09-04 06-52-44,40706769816,1145,40769413358
alcatel,ztVy,60,120,2024-09-04 06-52-08,40736431775,23467,40746560160
alcatel,iysaOC,114,-8,2024-09-04 06-53-01,40767226836,9469,40733123134
alcatel,JjMt,127,-17,2024-09-04 06-50-59,40756197587,-20084,40720119891
alcatel,wKa,-60,-47,2024-09-04 06-51-11,40732667786,-30802,40757726284
alcatel,aCMlnQ,106,119,2024-09-04 06-50-51,40799288326,21099,40788610579
alcatel,VQwVkR,-56,-122,2024-09-04 06-50-22,40744213428,10366,40772922179
alcatel,fLcZ,-31,-43,2024-09-04 06-51-05,40790798734,-6079,40732577134
alcatel,UZnV,-16,46,2024-09-04 06-54-39,40789030800,29930,40707136974
alcatel,rgVW,75,57,2024-09-04 06-50-06,40776453716,18944,40708258412
alcatel,hiAS,3,15,2024-09-04 06-51-16,40753828015,-12136,40772804966
alcatel,zPYlhX,-76,-85,2024-09-04 06-51-51,40749692829,20087,40714348829
alcatel,tFW,-11,-12,2024-09-04 06-53-12,40705804334,-9325,40720212952
alcatel,KLgMKL,-25,-107,2024-09-04 06-53-17,40779227630,16662,40722971240
alcatel,OdnMr,-72,74,2024-09-04 06-55-00,40799068999,3496,40733228025
alcatel,yLHSZB,76,67,2024-09-04 06-52-54,40754368318,7766,40784275248
alcatel,PWpsT,6,54,2024-09-04 06-54-02,40766681334,-15552,40741046663
alcatel,DQsoU,69,-60,2024-09-04 06-53-02,40797630083,32048,40769809161
alcatel,QVOKc,20,79,2024-09-04 06-54-02,40719481769,-29858,40709816002
alcatel,XvVcv,-96,-45,2024-09-04 06-53-10,40778254802,5290,40727396855
alcatel,lqLrt,-69,-95,2024-09-04 06-52-52,40712322539,-31556,40705050808
alcatel,fOy,-14,-75,2024-09-04 06-51-27,40780338369,31746,40770440882
alcatel,xUDZd,121,45,2024-09-04 06-50-28,40723086080,-17963,40731483372
alcatel,Gvqj,-4,89,2024-09-04 06-50-30,40776208366,-29037,40738622276
alcatel,evpal,-6,-113,2024-09-04 06-52-33,40719733122,-31009,40782826820
alcatel,PpNs,11,15,2024-09-04 06-51-22,40748933493,3171,40755480119
alcatel,edV,47,-115,2024-09-04 06-51-54,40717622566,5053,40735495082
alcatel,SPF,5,-115,2024-09-04 06-51-34,40731053474,-20012,40700983542
alcatel,CkgjQP,44,-128,2024-09-04 06-52-05,40709131666,-3245,40711929899
alcatel,QCT,99,5,2024-09-04 06-54-59,40722825101,1935,40773309548
alcatel,twh,83,-101,2024-09-04 06-51-50,40748979228,-10501,40782027673
alcatel,ZVpbb,-11,-126,2024-09-04 06-51-29,40718797487,-16849,40799098275
alcatel,FJQ,63,-124,2024-09-04 06-50-35,40706878301,8158,40719375146
alcatel,Llqo,-103,-38,2024-09-04 06-52-19,40714183942,16988,40798823572
alcatel,RtyMA,-15,-18,2024-09-04 06-52-37,40771125561,-18234,40707297415
alcatel,bfSOXk,-102,91,2024-09-04 06-50-08,40759438717,29467,40797884645
alcatel,RFsK,3,88,2024-09-04 06-54-26,40730192220,11010,40768530563
alcatel,VSsP,18,-19,2024-09-04 06-52-06,40770789765,11415,40799588816
alcatel,XNgy,-45,-73,2024-09-04 06-51-28,40788202654,-2159,40753575426
alcatel,TeRx,-47,98,2024-09-04 06-53-49,40769343622,19104,40756229396
alcatel,Tlti,52,-80,2024-09-04 06-53-47,40789784473,17732,40786055021
alcatel,eYr,120,60,2024-09-04 06-50-10,40764758036,23264,40711560239
alcatel,PaQp,-115,-82,2024-09-04 06-50-57,40742007995,-26370,40788441324
alcatel,VfcfD,120,33,2024-09-04 06-53-42,40774387703,15307,40776893667
alcatel,ioxGW,-38,9,2024-09-04 06-50-43,40707585347,11422,40705583622
alcatel,SgJe,89,-10,2024-09-04 06-50-46,40723500575,21194,40769896128
alcatel,LIALTi,-28,-46,2024-09-04 06-53-35,40766065671,-4761,40766663318
alcatel,rZdf,-36,17,2024-09-04 06-50-01,40760186067,5966,40732981191
alcatel,hlcSH,-87,103,2024-09-04 06-51-25,40784200319,19877,40739052447
alcatel,GfEEoi,60,86,2024-09-04 06-50-44,40741506255,-20842,40747347866
alcatel,AtYDs,-99,89,2024-09-04 06-54-10,40731626728,15594,40769232999
alcatel,RVQdZw,-127,-58,2024-09-04 06-52-10,40765829277,26963,40703351536
alcatel,zpTJ,43,-74,2024-09-04 06-51-41,40734496807,-13710,40746148402
alcatel,hLNz,49,39,2024-09-04 06-54-26,40765981025,-20050,40750289449
alcatel,yGu,32,-73,2024-09-04 06-52-59,40731705340,-19484,40729390928
alcatel,aLhul,49,-63,2024-09-04 06-50-06,40755963615,-25240,40787080222
alcatel,cyQkB,63,106,2024-09-04 06-52-29,40739780605,-24606,40794140756
alcatel,SErXV,58,-16,2024-09-04 06-51-19,40756086429,6177,40732589319
alcatel,OVYKKX,-22,31,2024-09-04 06-51-48,40728862201,-27761,40737148562
alcatel,oPC,52,-9,2024-09-04 06-50-22,40776485960,355,40749800925
alcatel,sNTxqZ,7,-1,2024-09-04 06-50-10,40713403760,-1779,40715618574
alcatel,JLZ,35,-82,2024-09-04 06-52-16,40762673558,20105,40797635252
alcatel,bPRuTX,82,-4,2024-09-04 06-50-21,40776410853,-22328,40731060473
alcatel,FsYjH,58,-108,2024-09-04 06-53-49,40779366548,14062,40781286653
alcatel,pkhIh,68,77,2024-09-04 06-55-01,40767879427,12709,40730057428
alcatel,NLRfKk,-52,-64,2024-09-04 06-52-13,40745431705,-19721,40720057807
alcatel,LjlMGc,86,-24,2024-09-04 06-53-39,40777150892,196,40723863502
alcatel,grzz,-50,21,2024-09-04 06-53-59,40745347977,-2865,40757853254
alcatel,sDOKPl,56,-118,2024-09-04 06-50-30,40714790381,4312,40716236467
alcatel,naVPV,-21,107,2024-09-04 06-53-14,40769082460,18322,40719965805
alcatel,slQZid,-106,-59,2024-09-04 06-54-35,40700950337,13829,40765130434
alcatel,ntoYB,113,-85,2024-09-04 06-52-45,40701300723,32678,40709367455
alcatel,bafEw,-93,-109,2024-09-04 06-53-05,40771715310,-21129,40770389647
alcatel,eVVh,23,-76,2024-09-04 06-50-14,40739167170,26460,40728273856
alcatel,TqbiIQ,101,-19,2024-09-04 06-51-52,40702022532,-26410,40743359838
alcatel,xBtmgc,70,-52,2024-09-04 06-51-51,40741725099,20436,40768867703
alcatel,RwSF,35,-61,2024-09-04 06-51-11,40761199466,-13628,40779459452
alcatel,Xpq,26,127,2024-09-04 06-50-45,40755902943,-8030,40767141423
alcatel,gRQkxZ,123,-84,2024-09-04 06-54-12,40740555144,26825,40752676654
alcatel,YNI,124,61,2024-09-04 06-50-12,40740681917,-2846,40777240500
alcatel,XqeXy,-50,24,2024-09-04 06-53-23,40732302839,-25754,40772831977
alcatel,tSjlNF,60,-128,2024-09-04 06-52-28,40790868798,17879,40708168300
alcatel,kkMG,82,-4,2024-09-04 06-50-08,40743297820,6607,40786014353
alcatel,gzFUn,-102,-16,2024-09-04 06-52-37,40794980907,-7814,40757893347
alcatel,Ttpad,-84,115,2024-09-04 06-54-40,40716370077,-27015,40770359851
