src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,iXSIy,24,88,2024-09-04 07-05-45,40761282929,-28447,40718794315
alcatel,Suht,51,2,2024-09-04 07-08-02,40791321334,-459,40711353753
alcatel,cHuJCQ,-127,37,2024-09-04 07-08-16,40752331431,29776,40740630411
alcatel,WxoQnG,-43,-8,2024-09-04 07-07-04,40737185891,42,40715916945
alcatel,zSs,60,-86,2024-09-04 07-08-20,40781074990,32389,40701091174
alcatel,JsvQgG,72,1,2024-09-04 07-09-37,40783535678,-31159,40790554660
alcatel,PUVStN,83,62,2024-09-04 07-07-58,40798495292,-31537,40714308511
alcatel,MISy,32,3,2024-09-04 07-06-44,40721107637,-32663,40753200479
alcatel,KzJWb,68,72,2024-09-04 07-06-36,40790224518,7143,40748105932
alcatel,rhyco,-43,-3,2024-09-04 07-07-19,40792188343,-8397,40756228813
alcatel,LnK,-29,-38,2024-09-04 07-09-14,40704421480,32583,40738472164
alcatel,QCrs,-75,18,2024-09-04 07-05-15,40739098331,14978,40739361358
alcatel,QOij,106,-80,2024-09-04 07-07-09,40755507685,-13311,40752054985
alcatel,vBs,103,18,2024-09-04 07-07-24,40717094096,-20380,40728432976
alcatel,XaVQ,59,-10,2024-09-04 07-07-46,40750877030,-3027,40743211259
alcatel,vPREBl,11,32,2024-09-04 07-07-28,40775157150,-20383,40777399524
alcatel,MAXhcB,74,-83,2024-09-04 07-05-53,40798790562,-9814,40706565162
alcatel,bHG,-57,1,2024-09-04 07-09-24,40717621017,19105,40779302935
alcatel,dKzkk,-26,84,2024-09-04 07-05-51,40725405217,-27277,40717816357
alcatel,iwPQhC,-16,122,2024-09-04 07-09-35,40787508220,31623,40771023022
alcatel,iNSSkT,-6,37,2024-09-04 07-07-31,40757309507,11805,40770628681
alcatel,ZZuapz,119,-127,2024-09-04 07-05-42,40706063154,-13774,40783439980
alcatel,bdc,108,-77,2024-09-04 07-07-09,40776376453,-22582,40707448468
alcatel,LLAk,84,-65,2024-09-04 07-07-08,40752560171,19917,40723758971
alcatel,sAIc,93,-51,2024-09-04 07-09-30,40720812295,-14625,40794899585
alcatel,oCClB,-88,20,2024-09-04 07-05-27,40784487697,13193,40745111506
alcatel,tCo,70,83,2024-09-04 07-08-21,40732453116,-7773,40725701402
alcatel,pksZ,-13,89,2024-09-04 07-06-08,40742306227,-18780,40744479747
alcatel,QLcAF,-29,-42,2024-09-04 07-09-46,40759335654,1876,40774241719
alcatel,OKbnU,11,-30,2024-09-04 07-06-33,40779511728,-12352,40792717086
alcatel,PpQW,12,-98,2024-09-04 07-09-06,40781162277,23582,40779656144
