src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,kNwbV,91,-51,2024-09-04 07-15-31,40792124638,7465,40762452367
alcatel,GQOpDS,111,-29,2024-09-04 07-18-51,40722022197,-11678,40742114549
alcatel,qNeopU,-41,118,2024-09-04 07-18-02,40761033005,-607,40784890571
alcatel,PqqVd,-48,-11,2024-09-04 07-18-40,40789379894,-5550,40771048861
alcatel,fkEGc,-75,16,2024-09-04 07-19-44,40750467057,7091,40748833331
alcatel,odZJ,6,-72,2024-09-04 07-16-42,40799498767,-9040,40705188964
alcatel,ymwg,26,97,2024-09-04 07-17-38,40778102236,22046,40743734326
alcatel,jjeffx,-72,-109,2024-09-04 07-18-44,40770947697,25845,40762961630
alcatel,GKgevW,65,-52,2024-09-04 07-16-08,40773973046,11787,40795049767
alcatel,dtlsc,12,83,2024-09-04 07-19-45,40794569232,-23271,40735755565
alcatel,acUoEC,124,6,2024-09-04 07-16-12,40786727148,-8750,40720210369
alcatel,fVqVOu,-91,-65,2024-09-04 07-15-52,40757002987,-10751,40707553330
alcatel,ttigAo,13,90,2024-09-04 07-15-08,40735251879,30057,40707487828
alcatel,xNMxZv,56,10,2024-09-04 07-18-45,40708005361,-17468,40788899302
alcatel,Cpfxo,97,-100,2024-09-04 07-17-19,40733583264,-6645,40749881357
alcatel,CYi,43,28,2024-09-04 07-16-37,40792111595,-26184,40702563061
alcatel,cbigG,-2,101,2024-09-04 07-17-19,40774844490,-32689,40706509716
alcatel,cVDQU,126,-111,2024-09-04 07-17-17,40740097056,18289,40700342423
alcatel,OZRo,-29,-74,2024-09-04 07-19-19,40754125456,-224,40745389998
alcatel,MSs,-65,-108,2024-09-04 07-17-47,40747414529,-14013,40799929836
alcatel,Yax,-91,-70,2024-09-04 07-19-02,40712694428,-14746,40780091393
alcatel,IfAjvJ,-39,118,2024-09-04 07-15-35,40744050432,-18520,40711638067
alcatel,dOW,92,28,2024-09-04 07-15-26,40789582487,11270,40760590642
alcatel,BmPLht,110,-77,2024-09-04 07-15-39,40773437111,-11471,40717501501
alcatel,ZFB,84,-72,2024-09-04 07-16-10,40700674283,834,40735648024
alcatel,sQyiIj,54,-115,2024-09-04 07-15-35,40785468846,-17375,40720381039
alcatel,CVnWwR,82,-50,2024-09-04 07-16-56,40737612223,-30863,40765629194
alcatel,WbFL,-54,44,2024-09-04 07-18-30,40763494328,-9107,40712265164
alcatel,XDi,26,-14,2024-09-04 07-17-23,40727319999,31476,40781269014
alcatel,JPdkLl,-58,38,2024-09-04 07-16-22,40700063240,6496,40782753094
alcatel,kfKTN,-101,-55,2024-09-04 07-18-41,40704627696,26145,40721028466
alcatel,MYX,118,-60,2024-09-04 07-18-33,40752126264,-14777,40777675569
alcatel,FwL,-27,-36,2024-09-04 07-17-12,40764005698,-11268,40710129470
alcatel,yjllli,-47,8,2024-09-04 07-16-26,40714066274,-29438,40715174083
alcatel,EREok,-115,90,2024-09-04 07-17-47,40768077203,8949,40788110228
alcatel,yKd,91,-124,2024-09-04 07-16-41,40703438840,4207,40750278935
alcatel,WKWF,113,-13,2024-09-04 07-18-41,40744887326,2632,40777162506
alcatel,iMeeE,20,68,2024-09-04 07-19-36,40722668662,-3531,40780964793
alcatel,cYpiC,-77,-105,2024-09-04 07-15-06,40771671005,-18226,40714561734
alcatel,caK,14,63,2024-09-04 07-19-13,40741328710,3334,40703968681
alcatel,JsGpmO,104,-22,2024-09-04 07-17-22,40712784268,4790,40771739467
alcatel,XfDuWQ,-39,40,2024-09-04 07-16-16,40717814118,8206,40727527668
alcatel,zQY,-93,-88,2024-09-04 07-19-59,40745004162,-14974,40780653502
alcatel,jFyh,-61,-1,2024-09-04 07-17-54,40705181595,20317,40765390998
alcatel,dLHf,-104,-86,2024-09-04 07-16-38,40751851439,-12267,40706229813
alcatel,lFhvM,-35,90,2024-09-04 07-19-45,40756213389,4637,40728370911
alcatel,JusOyE,46,-42,2024-09-04 07-17-18,40734325402,-19390,40738373221
alcatel,VKl,-10,-74,2024-09-04 07-15-11,40728331897,-21211,40767061185
alcatel,JqnB,-52,-82,2024-09-04 07-18-21,40733395680,32095,40793758865
alcatel,veLdsW,-116,-55,2024-09-04 07-17-15,40727057935,-4572,40785320333
alcatel,pXeyZF,67,127,2024-09-04 07-16-38,40757499537,16039,40730422864
alcatel,xMkLe,-60,-107,2024-09-04 07-18-54,40792649422,3778,40703789809
