src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,peuZ,105,-55,2024-09-04 07-24-59,40723078584,12630,40799947707
alcatel,LRX,-32,-88,2024-09-04 07-22-02,40731401934,23526,40757207255
alcatel,wOnFMF,-6,-76,2024-09-04 07-23-48,40708652348,-27522,40780250035
alcatel,vFsrB,19,109,2024-09-04 07-22-26,40748190152,-6140,40766032460
alcatel,TvsZmp,70,9,2024-09-04 07-22-20,40704347322,-29875,40791115839
alcatel,GTAv,-81,78,2024-09-04 07-24-24,40771598565,4644,40782996292
alcatel,HTdeo,-24,-2,2024-09-04 07-22-03,40792711082,25722,40730352256
alcatel,qZSOD,-95,-65,2024-09-04 07-21-00,40783506134,-19311,40765624081
alcatel,AVNECZ,-46,123,2024-09-04 07-24-31,40777531814,16398,40708625855
alcatel,XHabt,81,39,2024-09-04 07-21-39,40716974521,23862,40720566679
alcatel,NJM,-7,-31,2024-09-04 07-20-32,40705226586,21942,40790685631
alcatel,zBh,-115,-97,2024-09-04 07-20-51,40782958016,7648,40714900116
alcatel,eofl,26,-37,2024-09-04 07-21-37,40794862668,-26881,40726449290
alcatel,aWQhn,49,125,2024-09-04 07-22-47,40705306030,-8655,40714821294
alcatel,jwtVf,-116,109,2024-09-04 07-22-10,40729537517,-18197,40716068210
alcatel,tdqU,-57,-22,2024-09-04 07-24-21,40707580317,18027,40726318694
alcatel,fzcKx,88,81,2024-09-04 07-20-06,40700042963,10367,40708745318
alcatel,WtjEE,-9,-5,2024-09-04 07-23-15,40743767262,-4914,40763139044
alcatel,PRN,32,45,2024-09-04 07-22-18,40755902338,-12110,40799251134
alcatel,KePna,102,-75,2024-09-04 07-20-50,40793318801,9401,40743284481
alcatel,psHI,-101,34,2024-09-04 07-23-34,40784303871,-19528,40789624517
alcatel,knExqf,-94,-14,2024-09-04 07-20-30,40757789073,-25498,40730467916
alcatel,eXwo,-11,52,2024-09-04 07-24-01,40725600398,5303,40759336959
alcatel,ihnt,72,-119,2024-09-04 07-21-34,40751488291,-6190,40704636497
alcatel,Acxps,17,109,2024-09-04 07-24-16,40777698137,4212,40701402424
alcatel,dez,-76,16,2024-09-04 07-24-32,40761413751,17242,40737566540
alcatel,MGV,23,49,2024-09-04 07-22-41,40777897061,-21382,40730082124
alcatel,Dydk,59,-120,2024-09-04 07-20-40,40730393311,-19210,40758489146
alcatel,CKmvqQ,98,83,2024-09-04 07-21-37,40718768506,-22297,40757162179
alcatel,rQpsW,-111,127,2024-09-04 07-21-26,40731998191,-490,40784440501
alcatel,vTXoK,-23,-72,2024-09-04 07-21-19,40738848410,30335,40730040309
alcatel,aPgUg,69,12,2024-09-04 07-24-00,40790656201,-9014,40771447789
alcatel,wHs,-62,1,2024-09-04 07-22-24,40762489602,-5694,40798504054
alcatel,TLQB,104,-108,2024-09-04 07-24-36,40714837375,-750,40744997446
alcatel,WNa,22,45,2024-09-04 07-21-28,40781463019,3542,40774976862
alcatel,Imdka,-126,-69,2024-09-04 07-24-10,40725613837,5760,40790233973
alcatel,EDA,43,37,2024-09-04 07-24-08,40705495037,-26527,40717038794
alcatel,jBO,16,-75,2024-09-04 07-24-14,40772963401,-22024,40799807991
alcatel,wfhXn,57,-63,2024-09-04 07-22-01,40799186079,23970,40749267969
alcatel,BdcTz,100,-19,2024-09-04 07-22-26,40791923018,-5041,40744983316
alcatel,JKcvog,-99,18,2024-09-04 07-23-23,40783345725,21951,40741244574
alcatel,OvrLfM,0,-96,2024-09-04 07-23-41,40721927156,-10342,40758969263
alcatel,vOXq,-80,-18,2024-09-04 07-22-49,40705901724,-10934,40736278446
alcatel,bhRqv,-93,33,2024-09-04 07-23-46,40700121678,822,40771514938
alcatel,FUSP,-60,-73,2024-09-04 07-22-35,40747718471,9744,40769275655
alcatel,rQx,-25,-106,2024-09-04 07-23-28,40788301753,-19050,40796921057
alcatel,KTFtYr,126,33,2024-09-04 07-24-42,40720825537,-7922,40767921237
alcatel,jWChV,20,67,2024-09-04 07-21-17,40701662513,21219,40784932305
alcatel,uDW,37,64,2024-09-04 07-20-31,40740046243,11524,40781227557
alcatel,qOLB,74,26,2024-09-04 07-24-38,40722578505,-26928,40755735049
alcatel,IMjE,122,-107,2024-09-04 07-23-12,40735550417,-23444,40737206248
alcatel,eAQC,49,39,2024-09-04 07-21-07,40778655041,-2630,40778152598
alcatel,PWc,71,97,2024-09-04 07-20-54,40741005978,22073,40799610070
alcatel,GBempj,-16,-91,2024-09-04 07-23-21,40788501631,24843,40780480386
alcatel,UUcoT,-94,62,2024-09-04 07-20-03,40760201298,10996,40753842228
alcatel,hvCH,75,69,2024-09-04 07-23-48,40754534697,870,40728943719
alcatel,tSu,0,-36,2024-09-04 07-23-13,40799088047,21021,40729845425
