src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,MCvC,-19,-9,2024-09-04 07-28-01,40702675573,17380,40709784746
alcatel,YvNZn,38,-80,2024-09-04 07-29-38,40754155320,-9180,40748253146
alcatel,Ezg,-49,36,2024-09-04 07-25-56,40796193498,11191,40793651788
alcatel,JOYniP,111,-15,2024-09-04 07-28-48,40782058437,11339,40790953808
alcatel,sZe,-118,102,2024-09-04 07-26-59,40757770393,1319,40756227340
alcatel,qBB,-12,-40,2024-09-04 07-29-56,40765190717,4086,40761322974
alcatel,yIjTgE,-44,123,2024-09-04 07-28-27,40768869631,-16058,40714954928
alcatel,PjRt,-3,3,2024-09-04 07-26-22,40713579891,-5108,40780194548
alcatel,smu,2,37,2024-09-04 07-26-45,40702788637,-10217,40712689534
alcatel,xUlg,-91,-61,2024-09-04 07-26-47,40772227329,8570,40794290050
alcatel,DLTFDJ,93,-45,2024-09-04 07-29-41,40728763572,30315,40792357133
alcatel,ZAPdz,64,8,2024-09-04 07-29-05,40768593863,12669,40751367614
alcatel,CxTad,22,-19,2024-09-04 07-28-22,40700332266,19252,40702227997
alcatel,JPEr,53,-5,2024-09-04 07-29-25,40791739863,13962,40740359362
alcatel,kUWoU,-76,39,2024-09-04 07-27-53,40762065853,-14880,40753153898
alcatel,zpBps,-60,101,2024-09-04 07-28-28,40720275061,6421,40749613193
alcatel,eNzXw,-18,-96,2024-09-04 07-26-18,40781415644,-6008,40717880359
alcatel,VmHqc,-17,78,2024-09-04 07-26-21,40778017853,-21547,40783101615
alcatel,NbKuRH,-39,19,2024-09-04 07-29-33,40718172163,-9346,40751011702
alcatel,VAXdza,-119,-64,2024-09-04 07-27-29,40741626091,-4881,40797833399
alcatel,rnANZi,-46,-44,2024-09-04 07-29-23,40763824816,23209,40793912654
alcatel,qykvER,9,-35,2024-09-04 07-26-48,40704905046,-24407,40705190866
alcatel,rYzSDv,-22,-31,2024-09-04 07-28-23,40706891698,-9452,40749320306
alcatel,vXwEm,-8,-90,2024-09-04 07-28-27,40797980553,2188,40780755933
alcatel,AxfL,101,-112,2024-09-04 07-25-59,40780248732,-9949,40734765698
alcatel,VQKhb,76,-85,2024-09-04 07-27-49,40784442937,-18175,40753128453
alcatel,eon,-64,-9,2024-09-04 07-29-38,40700078773,-15666,40726407109
alcatel,yPif,108,85,2024-09-04 07-26-04,40702623367,32738,40767012418
alcatel,jtiQmS,34,35,2024-09-04 07-25-48,40778863255,13117,40771547984
alcatel,oIcEy,33,-60,2024-09-04 07-26-51,40787597046,-18472,40753667460
alcatel,dqh,-27,-60,2024-09-04 07-27-23,40759570491,25691,40734564941
alcatel,AehW,40,-128,2024-09-04 07-26-04,40739581551,-25712,40798953985
alcatel,NOlc,-42,-118,2024-09-04 07-28-40,40700608582,-3463,40782310120
alcatel,GpgypQ,-95,47,2024-09-04 07-26-27,40759968687,-21069,40760260872
alcatel,mQW,-94,-103,2024-09-04 07-27-16,40741894754,7951,40704321710
alcatel,mrqE,-109,-63,2024-09-04 07-26-08,40739433215,7479,40768761628
alcatel,ojZ,109,-127,2024-09-04 07-25-07,40727951991,6662,40702421267
alcatel,ODHk,-26,116,2024-09-04 07-30-01,40704572147,30064,40774579922
alcatel,mHr,70,100,2024-09-04 07-25-41,40709903525,3055,40724345449
alcatel,dTt,-120,-3,2024-09-04 07-28-03,40730047603,-6592,40749435673
alcatel,OxHKP,-98,123,2024-09-04 07-28-39,40761794840,13377,40792569274
alcatel,wTmuAH,-8,127,2024-09-04 07-25-38,40742951909,-29867,40751420422
alcatel,oGfoTm,44,-81,2024-09-04 07-27-04,40799423221,-3457,40714467423
alcatel,EFK,101,-119,2024-09-04 07-29-04,40723865595,-29424,40760135649
alcatel,hWSnQ,92,-46,2024-09-04 07-26-27,40738214296,5758,40725590921
alcatel,Eab,79,13,2024-09-04 07-29-33,40773131435,5629,40717724140
alcatel,ZFS,51,23,2024-09-04 07-28-00,40793417362,9021,40721694282
alcatel,kYMC,-55,5,2024-09-04 07-28-23,40700239914,14358,40793013771
alcatel,BqZaKL,88,115,2024-09-04 07-26-29,40743110277,19070,40768057658
alcatel,hyc,57,-25,2024-09-04 07-28-23,40792851765,6729,40796557229
alcatel,Ciz,-27,69,2024-09-04 07-26-25,40728995943,-9260,40783399829
alcatel,pAyKH,-12,-15,2024-09-04 07-25-18,40754203737,-2491,40702370699
