src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,qvuIJ,-31,-61,2024-09-04 07-34-19,40789786413,8632,40722554390
alcatel,ZvevU,116,90,2024-09-04 07-31-32,40728402463,26113,40756122849
alcatel,mrXf,-104,32,2024-09-04 07-33-42,40797251470,-20224,40724559145
alcatel,AErVFb,36,-76,2024-09-04 07-30-36,40756890858,-16720,40744863596
alcatel,yxSTy,42,-7,2024-09-04 07-30-11,40726873112,19038,40790786125
alcatel,two,-11,-102,2024-09-04 07-34-17,40724253197,-14363,40775762957
alcatel,Mrpbtg,96,-10,2024-09-04 07-33-43,40760767552,-11111,40701272613
alcatel,UgJJ,-116,83,2024-09-04 07-33-39,40774229738,27601,40772303724
alcatel,EgVogs,-69,-9,2024-09-04 07-34-59,40757735630,5439,40719116035
alcatel,CsCb,40,126,2024-09-04 07-34-43,40793842466,-29989,40738414308
alcatel,TngH,23,55,2024-09-04 07-34-37,40771369463,-17981,40732782777
alcatel,Ccx,43,19,2024-09-04 07-31-35,40739338184,4622,40728979554
alcatel,gkgXvM,-112,94,2024-09-04 07-32-36,40701651395,16868,40707797241
alcatel,KEdj,-5,22,2024-09-04 07-30-51,40783699804,-24746,40718512530
alcatel,MgHeO,37,-100,2024-09-04 07-33-53,40730311875,13068,40748303116
alcatel,SdzJMi,72,67,2024-09-04 07-33-08,40787599074,3382,40784471369
alcatel,bWINz,-58,-50,2024-09-04 07-33-02,40708726841,-13999,40728838971
alcatel,csG,-99,80,2024-09-04 07-31-04,40773293376,-5718,40792518652
alcatel,ZcEvtc,28,-61,2024-09-04 07-30-58,40756744641,-26080,40753829269
alcatel,GZpUch,65,47,2024-09-04 07-31-07,40747867099,-16994,40766285658
alcatel,ljl,-77,83,2024-09-04 07-30-45,40726692610,-15637,40788576477
alcatel,EpRsk,-42,48,2024-09-04 07-31-56,40712840379,25059,40760085186
alcatel,gLL,73,80,2024-09-04 07-34-15,40784120392,14292,40730882437
alcatel,uPf,107,58,2024-09-04 07-34-32,40757020785,-4164,40748581554
alcatel,ata,95,-3,2024-09-04 07-34-28,40767656051,18555,40783203923
alcatel,leLhu,-1,-28,2024-09-04 07-30-39,40753539297,-32103,40771836212
alcatel,lAGp,-21,79,2024-09-04 07-34-06,40757326393,20960,40745363974
alcatel,cqE,47,8,2024-09-04 07-34-54,40776073065,8408,40752589285
