src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,merj,10,-36,2024-09-04 07-39-07,40745105463,27365,40796780877
alcatel,ltPtU,-13,-78,2024-09-04 07-37-21,40730448387,18626,40722898736
alcatel,EApII,32,-127,2024-09-04 07-39-35,40791330092,-6707,40772638883
alcatel,ItkOlA,59,-116,2024-09-04 07-39-07,40783264981,-22693,40778856704
alcatel,UHuQc,-18,3,2024-09-04 07-38-46,40738362636,-28958,40739989215
alcatel,iEFbew,-113,48,2024-09-04 07-36-19,40799503393,-31468,40746609317
alcatel,ZeB,71,73,2024-09-04 07-39-04,40730674701,10587,40791848645
alcatel,mpwkO,-80,67,2024-09-04 07-38-25,40779586561,-5833,40707937292
alcatel,EWlYuI,102,37,2024-09-04 07-36-36,40760659385,-2456,40748916358
alcatel,hxWef,-22,-82,2024-09-04 07-36-39,40720653348,25958,40707703437
alcatel,GvF,0,-78,2024-09-04 07-39-46,40700882746,-21178,40733548669
alcatel,LUX,57,44,2024-09-04 07-39-06,40763671887,-2304,40773239921
alcatel,KuUd,-49,102,2024-09-04 07-37-36,40716321107,12971,40713766910
alcatel,OCbVzY,-96,-77,2024-09-04 07-37-36,40728874146,32313,40725524670
alcatel,OJszGQ,89,-32,2024-09-04 07-39-20,40772030029,-27598,40722965132
alcatel,oUgv,71,-71,2024-09-04 07-39-39,40762552425,11204,40714783992
alcatel,Vtm,70,124,2024-09-04 07-38-41,40784318735,-20892,40734307316
alcatel,zTKEiM,37,-104,2024-09-04 07-39-25,40745189563,9886,40749445972
alcatel,CUmj,-31,31,2024-09-04 07-39-48,40720326310,-23932,40703135854
alcatel,zYi,66,-107,2024-09-04 07-37-15,40749219804,4458,40776999776
alcatel,TNmKie,77,-23,2024-09-04 07-35-09,40794776122,19999,40791655395
alcatel,xpf,-105,18,2024-09-04 07-37-19,40715496229,-14970,40705944905
alcatel,nIl,21,-33,2024-09-04 07-39-14,40715342290,4822,40729446274
alcatel,HZLW,68,-82,2024-09-04 07-38-46,40792656798,407,40754988693
alcatel,ylpnF,-121,-79,2024-09-04 07-36-43,40753409839,-14691,40781810584
alcatel,vmrD,-12,12,2024-09-04 07-38-16,40722474196,-13302,40740644412
alcatel,vSTa,-61,100,2024-09-04 07-39-58,40746597764,3562,40752645919
alcatel,wQyL,69,-120,2024-09-04 07-39-31,40787257255,17654,40770108904
alcatel,exnul,99,-63,2024-09-04 07-36-40,40738574922,20863,40735989185
alcatel,iGZ,-107,-71,2024-09-04 07-36-59,40716198910,2391,40715589996
alcatel,QEuG,-77,-128,2024-09-04 07-37-48,40743832141,-23542,40727711304
alcatel,ATRET,62,90,2024-09-04 07-37-50,40722026713,-21487,40758122782
alcatel,TEEZ,64,-28,2024-09-04 07-36-44,40737584068,-19957,40777555992
alcatel,dfjf,113,-63,2024-09-04 07-36-20,40746604547,567,40706284536
alcatel,eECGE,47,-1,2024-09-04 07-36-10,40797219954,21541,40742814885
alcatel,zuR,82,32,2024-09-04 07-38-22,40710055665,-28933,40741749802
alcatel,UuddGR,112,-53,2024-09-04 07-37-57,40772386763,-3904,40733345136
alcatel,xweCR,98,-26,2024-09-04 07-35-14,40791148273,-21056,40735973907
alcatel,oAEpCH,87,3,2024-09-04 07-37-45,40717825903,-22716,40707173780
alcatel,OtU,-70,-93,2024-09-04 07-35-51,40782502774,14079,40708613114
alcatel,XLDhDF,69,-127,2024-09-04 07-38-57,40760107120,-29252,40704808282
alcatel,gDiCm,121,-106,2024-09-04 07-37-04,40713502932,19072,40781626826
alcatel,dQdqmE,73,-88,2024-09-04 07-36-25,40702052069,-29373,40786042076
alcatel,AbVSD,-67,-93,2024-09-04 07-36-29,40796058359,-10820,40735891225
alcatel,Hnf,-36,-34,2024-09-04 07-35-13,40763217357,8878,40720446762
