src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,rrMI,-94,-91,2024-09-04 08-06-25,40707763566,14990,40709722840
alcatel,ZarNNx,-8,-92,2024-09-04 08-09-20,40756892589,1776,40789949827
alcatel,JfnWP,-108,-14,2024-09-04 08-09-27,40744145327,-31242,40727688050
alcatel,Jdt,63,-85,2024-09-04 08-07-58,40717218863,-21399,40754194751
alcatel,ZiM,36,92,2024-09-04 08-08-12,40724894017,-5670,40749839299
alcatel,eVSQv,-104,-52,2024-09-04 08-06-28,40758454273,22770,40731442604
alcatel,ghBjG,42,56,2024-09-04 08-07-20,40772716529,-1586,40767600206
alcatel,WGFjx,-9,30,2024-09-04 08-05-24,40773556413,8148,40784960419
alcatel,ZIb,4,-7,2024-09-04 08-08-06,40706130640,15801,40721239970
alcatel,FNsFRa,108,39,2024-09-04 08-09-02,40748968386,-14285,40710151329
alcatel,wYm,-32,-101,2024-09-04 08-09-57,40716924347,-18247,40781294660
alcatel,QpXX,-37,17,2024-09-04 08-07-33,40749480425,-29283,40771687128
alcatel,gFxSF,25,117,2024-09-04 08-06-57,40741097711,-30084,40787896169
alcatel,Yxd,53,-102,2024-09-04 08-08-56,40746405890,-24845,40759847462
alcatel,SFnXT,-89,78,2024-09-04 08-06-53,40773857069,-2597,40787213105
alcatel,JRGzi,-94,-4,2024-09-04 08-05-11,40725353691,14082,40793010733
alcatel,GNt,-28,78,2024-09-04 08-09-20,40759339280,16765,40755033911
alcatel,Uxsl,-59,3,2024-09-04 08-05-20,40715038222,29634,40747491988
alcatel,lhfX,-117,-54,2024-09-04 08-05-35,40765688205,8729,40717519655
alcatel,soQirH,76,6,2024-09-04 08-06-48,40701474530,-32620,40778050904
alcatel,lyGXQo,124,-91,2024-09-04 08-09-05,40785575024,31976,40738966948
alcatel,PuMw,64,-31,2024-09-04 08-08-51,40770145658,8755,40732516893
alcatel,FbpU,-12,99,2024-09-04 08-05-09,40758760146,21680,40718663058
alcatel,YjU,-107,-113,2024-09-04 08-07-59,40720800199,11936,40783964780
alcatel,SIYFh,-57,-122,2024-09-04 08-07-18,40735035866,-19480,40784100800
