src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,UmYJOL,-11,117,2024-09-04 08-16-58,40725859826,19838,40736132544
alcatel,LvSg,63,-67,2024-09-04 08-17-37,40705523066,-30392,40706827703
alcatel,htoqY,-44,43,2024-09-04 08-15-23,40762043331,29918,40702080951
alcatel,eOJG,75,0,2024-09-04 08-18-33,40786666266,9347,40706275252
alcatel,suBA,104,-68,2024-09-04 08-19-08,40792202255,30720,40769915496
alcatel,Ebzv,-113,-44,2024-09-04 08-19-04,40766302008,4895,40772962399
alcatel,yfhlP,-98,44,2024-09-04 08-16-22,40739010853,25051,40739353329
alcatel,WSBPcj,121,45,2024-09-04 08-19-28,40781894500,3611,40719768596
alcatel,vOJ,-52,-94,2024-09-04 08-19-45,40707272129,-20503,40704825960
alcatel,pRoqWK,70,-107,2024-09-04 08-15-21,40761279780,24676,40764246144
alcatel,WTjHv,-33,-24,2024-09-04 08-19-09,40750659975,-32702,40768239067
alcatel,farE,49,-75,2024-09-04 08-19-45,40771815955,27207,40749653036
alcatel,YwTzmd,-44,31,2024-09-04 08-16-09,40777489510,-21227,40746422882
alcatel,bLmDOl,63,2,2024-09-04 08-15-31,40755649648,27769,40712658284
alcatel,FsE,-101,-15,2024-09-04 08-15-16,40716731252,-1784,40780529487
alcatel,afhTA,3,-26,2024-09-04 08-17-41,40726594451,14696,40799696448
alcatel,kpfSm,-106,37,2024-09-04 08-16-13,40748399713,-7327,40799977099
alcatel,DSmJP,-4,10,2024-09-04 08-18-19,40703843194,3843,40728535315
alcatel,QDz,90,-90,2024-09-04 08-17-41,40707358102,17224,40790243295
alcatel,ilnbOV,107,126,2024-09-04 08-17-49,40783938712,19341,40758771360
alcatel,DLpluI,34,-21,2024-09-04 08-17-43,40772253284,17259,40721353048
alcatel,pYa,-61,112,2024-09-04 08-16-31,40705508068,22683,40796507933
alcatel,gqwpzt,-19,-96,2024-09-04 08-18-55,40759492337,-12618,40706575697
alcatel,xHcT,102,40,2024-09-04 08-19-23,40787030884,8743,40746297252
alcatel,tKum,-116,25,2024-09-04 08-19-45,40733829344,-25132,40754814435
alcatel,SRNqHd,13,-110,2024-09-04 08-17-30,40719430580,-1337,40759140629
alcatel,PjQUs,-33,-3,2024-09-04 08-17-19,40757688627,-19478,40744232387
alcatel,cTX,-100,14,2024-09-04 08-17-33,40732457465,-8488,40731305032
alcatel,lEMoNY,-107,-109,2024-09-04 08-19-46,40765321829,23637,40710252979
alcatel,fRdel,-117,95,2024-09-04 08-19-35,40718863268,27083,40757362163
alcatel,YzaD,108,10,2024-09-04 08-16-29,40788976452,8033,40764024932
alcatel,vgMbof,125,-15,2024-09-04 08-16-38,40709443074,3873,40739206139
alcatel,XqHkQ,98,71,2024-09-04 08-18-45,40728679601,20086,40768947466
alcatel,PpGAB,-55,-23,2024-09-04 08-15-45,40799250062,14712,40756056379
alcatel,aOFof,125,87,2024-09-04 08-17-25,40790774072,-3769,40781104432
alcatel,IJMVh,-89,14,2024-09-04 08-18-46,40734521584,-8597,40722466396
alcatel,QchmU,36,-42,2024-09-04 08-19-39,40767150674,687,40740024083
alcatel,qlNT,44,-58,2024-09-04 08-18-07,40713964293,5591,40724596708
alcatel,QivR,117,123,2024-09-04 08-15-03,40799984741,32395,40781739212
alcatel,lQQSsi,-25,-110,2024-09-04 08-16-56,40708250301,-19131,40722779672
alcatel,Cef,31,-69,2024-09-04 08-19-01,40700990484,8566,40757543035
alcatel,vjMw,105,76,2024-09-04 08-17-15,40780391156,14735,40747851061
alcatel,eSUR,-25,-18,2024-09-04 08-17-01,40719068894,13754,40716466187
alcatel,mMOBe,68,-25,2024-09-04 08-16-45,40733016887,-7906,40783993298
alcatel,yks,80,46,2024-09-04 08-15-55,40739882142,-8555,40746842378
alcatel,KOlRA,51,110,2024-09-04 08-19-09,40789999959,-14303,40784403540
alcatel,hQGO,55,127,2024-09-04 08-19-20,40758309299,-4953,40759507604
alcatel,BRUR,-53,85,2024-09-04 08-17-21,40718031663,-27551,40732406189
alcatel,FgKrpg,103,-48,2024-09-04 08-18-23,40763363739,-12372,40745880733
alcatel,zPwdd,101,-56,2024-09-04 08-15-29,40731231000,-27414,40708838323
alcatel,PkTk,-16,97,2024-09-04 08-18-20,40711407752,4762,40758199013
alcatel,tVK,28,-112,2024-09-04 08-20-00,40770418734,-3056,40773030266
alcatel,pVwppn,99,-1,2024-09-04 08-18-03,40777738686,26865,40764105684
alcatel,IxfOM,-18,-76,2024-09-04 08-18-03,40711456033,-16295,40721022485
alcatel,tTY,-4,-25,2024-09-04 08-17-14,40770858722,-12237,40770570260
alcatel,uPpNFW,-64,-71,2024-09-04 08-16-23,40795026653,-6233,40766253454
alcatel,BMDlup,-65,-38,2024-09-04 08-17-06,40742721579,-4758,40725675378
alcatel,UHJEMn,-61,32,2024-09-04 08-16-44,40799226755,32464,40700807271
alcatel,syA,-115,70,2024-09-04 08-15-52,40798112139,-19256,40703619338
alcatel,SuKbMI,-31,20,2024-09-04 08-16-37,40730702914,-18615,40786423448
alcatel,QbHDVk,10,90,2024-09-04 08-18-30,40730742523,9361,40796958497
alcatel,FCbR,-105,-4,2024-09-04 08-16-08,40710159837,11492,40708992021
alcatel,uVGOl,1,105,2024-09-04 08-16-11,40760023781,17705,40731026567
alcatel,zQo,-115,-82,2024-09-04 08-16-42,40778361326,16172,40748088132
alcatel,zfh,64,43,2024-09-04 08-16-28,40754040641,5185,40778230023
alcatel,rnatNo,21,82,2024-09-04 08-16-22,40754113622,-21235,40730915371
alcatel,XkBo,85,19,2024-09-04 08-17-49,40740727962,-15122,40776906093
