src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,BrF,-34,10,2024-09-04 08-24-39,40701645312,26568,40745457325
alcatel,YXU,-19,67,2024-09-04 08-22-36,40711006432,-12427,40749006481
alcatel,ydUe,-93,40,2024-09-04 08-20-39,40732536734,-14963,40725066245
alcatel,yFWZx,-58,100,2024-09-04 08-22-07,40711876423,-21245,40729308593
alcatel,iOojd,-96,23,2024-09-04 08-22-41,40756139561,-12930,40744837270
alcatel,PDVt,43,29,2024-09-04 08-20-46,40747898068,-23909,40776158187
alcatel,SMFeBC,22,-33,2024-09-04 08-21-35,40745134816,-14558,40787583751
alcatel,gvHJ,-103,7,2024-09-04 08-23-09,40719966715,-28655,40762579189
alcatel,mBl,60,18,2024-09-04 08-24-39,40740499355,-15889,40744303897
alcatel,JIH,-48,2,2024-09-04 08-20-45,40791871017,-4405,40707905963
alcatel,Fjj,-51,85,2024-09-04 08-21-34,40707641818,12458,40754462000
alcatel,iMyP,-87,77,2024-09-04 08-20-06,40761800241,12427,40799743608
alcatel,JdfJXH,59,21,2024-09-04 08-24-25,40749812031,-31564,40736483494
alcatel,fXiETs,-81,-45,2024-09-04 08-22-20,40753025829,8476,40723689189
alcatel,qNAag,-52,36,2024-09-04 08-21-18,40730345272,22934,40770741737
alcatel,jWDQE,-121,100,2024-09-04 08-21-44,40729606627,27281,40795317761
alcatel,JOzxYU,-124,14,2024-09-04 08-20-23,40745045313,-25186,40719531875
alcatel,nShm,-126,32,2024-09-04 08-23-42,40749082360,24352,40724016063
alcatel,KyR,78,-82,2024-09-04 08-21-50,40711234962,-29310,40791252535
alcatel,KYrv,-112,-64,2024-09-04 08-22-51,40776037175,-29464,40719043374
alcatel,lpvY,80,16,2024-09-04 08-24-50,40774535248,27354,40729703980
alcatel,atz,-24,-66,2024-09-04 08-23-34,40721476433,26463,40738857270
alcatel,sXevW,73,40,2024-09-04 08-24-09,40785882299,10663,40769487656
alcatel,rejvji,107,20,2024-09-04 08-21-22,40705080907,9335,40714268163
alcatel,dwoUlw,-101,69,2024-09-04 08-24-54,40795270883,16379,40725256836
alcatel,MdX,110,111,2024-09-04 08-20-38,40729232928,27913,40745127894
alcatel,ujl,-124,-31,2024-09-04 08-24-03,40765879020,20756,40783672042
alcatel,RBW,-79,76,2024-09-04 08-23-56,40730945708,8776,40728127901
alcatel,GhDRx,-88,59,2024-09-04 08-23-36,40706041406,-14390,40725077991
alcatel,omLeT,-9,-90,2024-09-04 08-22-07,40740506925,-7391,40781405240
alcatel,DbYOqD,3,29,2024-09-04 08-21-53,40741598604,-26676,40778127269
alcatel,RjSBl,30,31,2024-09-04 08-21-56,40757238802,15396,40744164187
alcatel,TTO,-18,89,2024-09-04 08-22-21,40738588029,11002,40701605425
alcatel,yZIW,38,101,2024-09-04 08-21-13,40742605795,24175,40791960430
alcatel,zja,-40,10,2024-09-04 08-23-43,40761367198,-23949,40758733116
alcatel,iqnw,81,-108,2024-09-04 08-21-58,40704729340,-21149,40709088614
alcatel,nVMg,-9,-65,2024-09-04 08-22-42,40727572778,9297,40733889534
alcatel,eBT,-6,-103,2024-09-04 08-23-55,40788329845,-4003,40735802653
alcatel,IEKsy,-28,38,2024-09-04 08-22-36,40713007974,-30813,40758531524
alcatel,Sqs,122,77,2024-09-04 08-24-40,40767935341,-25513,40771863365
