src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,VTD,54,-28,2024-09-04 09-13-02,40796190903,-3970,40703869010
alcatel,CuS,-118,7,2024-09-04 09-10-26,40710409055,24361,40788715964
alcatel,BRf,63,-47,2024-09-04 09-10-38,40712993234,-5771,40730731400
alcatel,JGqr,-111,-128,2024-09-04 09-13-11,40724581336,-4406,40797945345
alcatel,owAjSn,-89,16,2024-09-04 09-12-49,40784740056,4576,40771226868
alcatel,aDKNT,120,-114,2024-09-04 09-13-31,40722058270,27003,40781652078
alcatel,GNI,-102,-10,2024-09-04 09-10-17,40784645792,-32137,40715571490
alcatel,LFTjqV,36,38,2024-09-04 09-11-47,40744460871,19269,40733302002
alcatel,BITjlU,-97,60,2024-09-04 09-11-05,40751500650,-1948,40727884852
alcatel,MgO,-123,39,2024-09-04 09-11-21,40745856102,-1849,40757283202
alcatel,haeuP,-94,-65,2024-09-04 09-11-06,40712493450,15618,40740281528
alcatel,ouVq,-30,98,2024-09-04 09-11-46,40755667780,-17418,40775502212
alcatel,yKKI,14,101,2024-09-04 09-10-52,40715347877,24197,40708403508
alcatel,sIx,30,92,2024-09-04 09-11-51,40774209952,-7152,40767811843
alcatel,Imyz,-15,-106,2024-09-04 09-13-38,40715449858,-2670,40708052432
alcatel,jtMYF,62,-81,2024-09-04 09-12-19,40785275459,-5766,40716681129
alcatel,choA,58,34,2024-09-04 09-12-42,40733771927,27034,40744190079
alcatel,CQmp,-40,60,2024-09-04 09-11-28,40765235419,-31774,40741853973
alcatel,uGGt,32,-80,2024-09-04 09-13-40,40736006508,19694,40754903899
alcatel,rjISt,-44,56,2024-09-04 09-14-29,40772237184,-2638,40781401770
alcatel,ltPHm,-13,-116,2024-09-04 09-13-14,40754778680,13334,40771810819
alcatel,BSdUed,40,-48,2024-09-04 09-11-56,40737325121,8258,40772603961
alcatel,CDcJvo,-37,120,2024-09-04 09-12-36,40726903999,-24069,40731402105
alcatel,zFfou,-65,103,2024-09-04 09-11-05,40731652593,-26219,40778920729
alcatel,MorLr,57,-27,2024-09-04 09-12-49,40724900800,-31943,40776865756
alcatel,IKWiSm,93,-115,2024-09-04 09-13-00,40750675649,12650,40742319598
