src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,fBLcw,-90,-47,2024-09-04 09-23-35,40743634879,24066,40745869038
alcatel,pnJnk,-51,98,2024-09-04 09-24-03,40713393913,-20106,40715907418
alcatel,bkOZ,-34,17,2024-09-04 09-23-10,40726449710,-26644,40732007286
alcatel,BqI,-104,-4,2024-09-04 09-20-36,40782013309,-4707,40747324368
alcatel,kMq,-42,47,2024-09-04 09-23-05,40724220913,-17729,40744747812
alcatel,sKsI,106,-7,2024-09-04 09-21-44,40746839902,25885,40711799762
alcatel,qtw,26,28,2024-09-04 09-20-21,40711559725,-9894,40708487621
alcatel,YKkZH,99,6,2024-09-04 09-22-34,40756055453,-20835,40744108767
alcatel,RRS,19,124,2024-09-04 09-23-15,40738074471,3013,40797101343
alcatel,zHyjxM,-83,-44,2024-09-04 09-20-20,40784811769,-12189,40713166231
alcatel,uamHb,118,-31,2024-09-04 09-20-30,40709231825,19289,40770601484
alcatel,nBjMyC,-13,-98,2024-09-04 09-20-49,40789971967,-19706,40772690098
alcatel,adx,45,-82,2024-09-04 09-21-48,40749609830,-17084,40728463161
alcatel,btyZR,107,99,2024-09-04 09-24-31,40713817174,11106,40749755563
alcatel,ZdvJSo,-11,58,2024-09-04 09-20-11,40751231432,-923,40749404780
alcatel,brRgO,10,-77,2024-09-04 09-20-39,40782942494,29165,40751831390
alcatel,XpjIPI,15,-49,2024-09-04 09-23-57,40755481014,-32329,40749724208
alcatel,mSd,65,-33,2024-09-04 09-24-27,40710088787,-16725,40765531446
alcatel,rkK,-98,91,2024-09-04 09-24-37,40776577385,22297,40734870324
alcatel,VwVff,104,-27,2024-09-04 09-23-32,40796865759,18017,40777928393
alcatel,riA,-111,79,2024-09-04 09-20-43,40704783730,27452,40764025150
alcatel,sNalE,7,-125,2024-09-04 09-21-13,40735432000,12626,40764392430
alcatel,YRf,-6,-70,2024-09-04 09-21-37,40755899876,23820,40732492200
alcatel,oHwf,44,30,2024-09-04 09-22-48,40712801635,-217,40702485577
alcatel,IntcZ,75,115,2024-09-04 09-21-13,40725392176,31309,40777127503
alcatel,Dcl,-79,115,2024-09-04 09-20-14,40761385739,-16809,40778534713
alcatel,eouEIy,63,84,2024-09-04 09-23-37,40702388463,25498,40714187057
alcatel,TNK,-110,72,2024-09-04 09-21-51,40731797342,6664,40753085605
alcatel,tbpv,58,102,2024-09-04 09-20-42,40725679946,28893,40709527300
alcatel,IHI,-89,61,2024-09-04 09-21-30,40721180811,-28007,40791280168
alcatel,ofRum,6,62,2024-09-04 09-21-46,40705009551,-3678,40793579442
alcatel,LChZ,-70,-120,2024-09-04 09-23-14,40715772248,21286,40762996081
