src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,KbtK,-74,116,2024-09-04 09-25-53,40746431616,-18567,40761382902
alcatel,QAdnbG,-68,11,2024-09-04 09-26-13,40730554056,21302,40788395729
alcatel,Too,105,-64,2024-09-04 09-25-24,40792145285,-24981,40748942706
alcatel,mUqWEN,-28,-31,2024-09-04 09-25-02,40767939203,27063,40756321186
alcatel,eIqrAZ,-83,-39,2024-09-04 09-27-49,40706385098,20294,40702830173
alcatel,oRAS,-35,1,2024-09-04 09-25-04,40779303518,-13581,40786625818
alcatel,VWNS,18,125,2024-09-04 09-29-16,40725038615,-28171,40782785306
alcatel,GEs,-30,54,2024-09-04 09-28-44,40737975957,-17958,40761010930
alcatel,PRPghj,31,109,2024-09-04 09-27-24,40796237939,-16502,40717447549
alcatel,ueGz,46,104,2024-09-04 09-26-15,40740965702,-10361,40780085423
alcatel,nOqRF,10,29,2024-09-04 09-28-40,40770567899,-25723,40788312155
alcatel,iEQSw,45,76,2024-09-04 09-25-03,40714390583,16153,40781386660
alcatel,KQD,-114,75,2024-09-04 09-28-55,40717162154,1243,40794964515
alcatel,ELTR,59,-36,2024-09-04 09-29-59,40765074961,-24913,40765940205
alcatel,VyLHGr,-30,77,2024-09-04 09-25-17,40789667746,7419,40784926332
alcatel,xUFS,109,92,2024-09-04 09-26-59,40770574077,-29861,40796075196
alcatel,EJB,98,-115,2024-09-04 09-26-11,40771103491,5227,40705573484
alcatel,wHc,100,8,2024-09-04 09-26-29,40781063895,290,40723735672
alcatel,sbK,120,-86,2024-09-04 09-25-11,40750059569,9664,40771408577
alcatel,IymPp,117,85,2024-09-04 09-27-47,40762102715,-31385,40737914399
alcatel,eGSMp,70,-73,2024-09-04 09-28-02,40726941251,-31456,40747500615
alcatel,eCJEI,13,49,2024-09-04 09-28-39,40707038825,21738,40744916142
alcatel,mEzE,-88,2,2024-09-04 09-25-19,40705851549,30794,40719008553
alcatel,rbEXgr,-9,-32,2024-09-04 09-28-11,40754504733,-29242,40788315785
alcatel,WgF,33,-24,2024-09-04 09-25-07,40746342660,-9273,40761575969
alcatel,VjDctr,-68,86,2024-09-04 09-28-06,40759079374,32450,40748371368
alcatel,HbFG,28,-121,2024-09-04 09-27-51,40771458348,-3146,40717460381
alcatel,vpv,124,95,2024-09-04 09-28-00,40765377475,29763,40731392085
alcatel,uZE,70,-100,2024-09-04 09-29-43,40718318595,-8088,40774011867
alcatel,gnW,-93,4,2024-09-04 09-28-08,40716405121,19934,40795313422
alcatel,MAG,81,16,2024-09-04 09-25-44,40737852301,-5007,40706604802
alcatel,YEK,-70,-5,2024-09-04 09-25-43,40744317763,29533,40725796820
alcatel,ymDVe,23,-32,2024-09-04 09-29-32,40744569919,-21055,40791653490
alcatel,mehYdV,-94,-102,2024-09-04 09-27-53,40733803915,11901,40725958782
alcatel,aXJQF,22,-117,2024-09-04 09-26-16,40700634984,-12565,40702585512
alcatel,uBTp,23,65,2024-09-04 09-27-21,40707772753,-1815,40725395784
alcatel,aPamv,-122,36,2024-09-04 09-25-20,40776504514,-4798,40772760935
alcatel,WclcAi,-33,67,2024-09-04 09-29-55,40771330117,-26509,40794125435
alcatel,uUHN,-121,-60,2024-09-04 09-28-51,40726813769,3704,40765211185
alcatel,Svwbe,8,31,2024-09-04 09-27-07,40754622906,21556,40745031984
alcatel,ngpPc,122,4,2024-09-04 09-25-33,40715460219,7190,40784992901
alcatel,ZJtcE,-39,-72,2024-09-04 09-25-17,40798327722,12704,40734053801
alcatel,uWX,-71,-98,2024-09-04 09-29-32,40733223475,28348,40729411617
alcatel,hqLHj,-65,-55,2024-09-04 09-29-56,40782256057,32321,40725095682
alcatel,rTHf,-120,39,2024-09-04 09-29-10,40743567960,-32361,40756574555
alcatel,ReYTaO,-22,60,2024-09-04 09-29-21,40779860804,-14223,40764298458
alcatel,XwK,73,96,2024-09-04 09-29-42,40767605152,-24421,40749065535
alcatel,FTNVp,123,39,2024-09-04 09-26-51,40721473331,18178,40730205616
alcatel,sDSTkj,57,-6,2024-09-04 09-25-50,40751160682,-4787,40720770071
alcatel,uXDU,96,-45,2024-09-04 09-29-16,40730311443,17672,40758554154
alcatel,GJF,127,73,2024-09-04 09-28-29,40775389186,17675,40789670472
alcatel,gDIL,-77,-23,2024-09-04 09-27-35,40746578234,-13320,40725124468
alcatel,uAcip,9,101,2024-09-04 09-29-20,40795013681,-21064,40720437460
alcatel,xDZWM,-61,1,2024-09-04 09-25-06,40737972141,5018,40762280275
alcatel,xVvwSx,71,115,2024-09-04 09-29-11,40717310489,27046,40721878592
alcatel,yGtb,59,-49,2024-09-04 09-25-09,40797068019,32249,40714528521
alcatel,Scls,-15,84,2024-09-04 09-29-59,40757362779,-22169,40702793916
alcatel,UpxsWo,-103,-25,2024-09-04 09-26-11,40797338612,-20742,40764950574
alcatel,MnKB,-40,-115,2024-09-04 09-27-17,40773218834,-272,40747439329
alcatel,Rvz,14,8,2024-09-04 09-26-18,40733444386,581,40715865407
alcatel,DbvA,83,-94,2024-09-04 09-28-07,40758793743,-30078,40712058507
alcatel,DqjrF,-52,-3,2024-09-04 09-26-23,40748420669,-20738,40764075800
alcatel,CKLTy,15,14,2024-09-04 09-26-03,40724121398,27733,40734840706
alcatel,dkJ,42,89,2024-09-04 09-25-20,40722438038,24511,40781328984
alcatel,tHure,-73,-78,2024-09-04 09-28-55,40713599806,1018,40780341404
alcatel,oUsZs,-100,23,2024-09-04 09-26-32,40779673716,-29213,40700921736
alcatel,fVN,-24,-24,2024-09-04 09-27-37,40702370260,8401,40714859103
alcatel,iCpho,58,36,2024-09-04 09-25-54,40749035974,13252,40737727569
alcatel,buHJjl,12,123,2024-09-04 09-29-15,40784448597,28352,40712370101
alcatel,cQB,-100,112,2024-09-04 09-28-23,40791964166,25844,40758722645
alcatel,mnXm,-26,33,2024-09-04 09-26-03,40778398186,26836,40711432585
alcatel,TWh,-124,38,2024-09-04 09-26-06,40707462142,7245,40798375889
alcatel,zSCuZ,24,-83,2024-09-04 09-26-01,40776953884,15839,40756213863
alcatel,KKvAJL,60,-49,2024-09-04 09-29-14,40750083652,-25567,40774030505
alcatel,BcO,36,-127,2024-09-04 09-25-40,40771622909,12641,40742481931
alcatel,bJoz,-66,5,2024-09-04 09-26-51,40767453633,1029,40779523941
alcatel,Cmj,84,90,2024-09-04 09-28-26,40789263289,-425,40781630184
alcatel,TQn,49,-15,2024-09-04 09-29-18,40758665769,-14720,40790232781
alcatel,oHR,-47,-13,2024-09-04 09-27-02,40736356009,9676,40745113924
alcatel,scX,-56,-63,2024-09-04 09-27-47,40726984889,32313,40750937850
alcatel,Zdo,-57,-32,2024-09-04 09-27-44,40795311610,-11939,40726111688
alcatel,YPrV,118,25,2024-09-04 09-26-11,40790761804,-14466,40775199871
alcatel,Sof,-76,66,2024-09-04 09-28-27,40763479803,26478,40781970540
alcatel,dNEE,32,82,2024-09-04 09-29-23,40726358705,-20794,40796805449
alcatel,UQimz,-54,-109,2024-09-04 09-29-20,40781240994,11048,40751927298
alcatel,FcS,-60,102,2024-09-04 09-26-00,40723454676,25769,40799621030
alcatel,GRSjHJ,94,-37,2024-09-04 09-26-05,40736432294,12436,40755970251
alcatel,wkmo,15,66,2024-09-04 09-25-16,40765874468,27565,40786792074
alcatel,vgX,112,-56,2024-09-04 09-25-07,40703133535,-18997,40713680847
alcatel,qpSrz,12,14,2024-09-04 09-28-36,40736477236,-29987,40777208837
alcatel,BwRV,-37,38,2024-09-04 09-28-24,40751172827,6301,40769866899
alcatel,eJl,117,-127,2024-09-04 09-26-02,40753871474,-28168,40716048018
alcatel,AySLYw,65,-121,2024-09-04 09-25-26,40782542889,-3869,40765922293
alcatel,vTv,33,-39,2024-09-04 09-29-57,40766131494,30048,40729948979
alcatel,EzVNX,-34,39,2024-09-04 09-25-19,40786732321,16057,40723330544
alcatel,kCyzHT,0,-125,2024-09-04 09-25-13,40778235986,-8396,40724194005
alcatel,Wfq,16,90,2024-09-04 09-27-30,40733087661,-7342,40785122400
alcatel,xnJsL,-5,8,2024-09-04 09-29-45,40785679167,6548,40722203014
alcatel,ZhKI,-88,-31,2024-09-04 09-25-18,40719868077,21429,40705671001
alcatel,blDEo,-26,-108,2024-09-04 09-28-47,40782471583,-15081,40717503006
alcatel,pnM,-42,-40,2024-09-04 09-28-22,40790779298,10907,40778209106
alcatel,NrF,36,-5,2024-09-04 09-26-53,40772615113,-8184,40783636266
alcatel,zwdm,76,24,2024-09-04 09-27-11,40776199036,-24781,40788449022
alcatel,eux,73,99,2024-09-04 09-28-38,40725142308,-12210,40757238681
