src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,unF,123,31,2024-09-04 09-32-16,40715680342,15422,40741837490
alcatel,YazOb,-109,-43,2024-09-04 09-31-36,40769920008,-25203,40717409176
alcatel,tWPAE,102,38,2024-09-04 09-33-38,40700386024,-11249,40708854141
alcatel,UVUr,92,102,2024-09-04 09-30-18,40745919707,26874,40781310212
alcatel,QkiPn,-26,91,2024-09-04 09-34-40,40752602694,-2652,40747193530
alcatel,HPcx,47,-113,2024-09-04 09-30-22,40765127336,-16551,40707725142
alcatel,Gln,-45,18,2024-09-04 09-32-43,40798949555,-31412,40737849836
alcatel,YOrcy,-34,-55,2024-09-04 09-33-31,40764682892,-17007,40748248499
alcatel,GGHwe,113,70,2024-09-04 09-31-06,40741013972,4205,40787433029
alcatel,yLtEgP,87,45,2024-09-04 09-32-31,40767632551,21587,40795467037
alcatel,IAFx,-50,79,2024-09-04 09-30-40,40787649987,-27940,40792451071
alcatel,cCI,14,65,2024-09-04 09-34-19,40760914390,1189,40721955020
alcatel,Zpk,102,-58,2024-09-04 09-32-24,40708358797,-7213,40724248984
alcatel,CFYoDo,-54,-115,2024-09-04 09-30-31,40707831976,1917,40736889480
alcatel,VoYj,-58,-94,2024-09-04 09-34-11,40745806099,-24647,40764796163
alcatel,BqmAp,1,-13,2024-09-04 09-30-39,40791434254,2307,40787873692
alcatel,zcokN,17,88,2024-09-04 09-32-47,40736804231,8937,40716602616
alcatel,YDO,-24,-22,2024-09-04 09-30-41,40788930800,5767,40704502385
alcatel,nQI,-83,68,2024-09-04 09-33-36,40701377228,10690,40790156912
alcatel,GgkJJ,56,17,2024-09-04 09-32-48,40744417550,-25089,40781068840
alcatel,JgYAOf,-64,79,2024-09-04 09-32-18,40716866928,13355,40707715810
alcatel,tfb,-13,70,2024-09-04 09-31-17,40741027244,-30692,40751184915
alcatel,UXBn,-66,-64,2024-09-04 09-32-14,40713689770,14262,40714935957
alcatel,zUwfGW,81,-49,2024-09-04 09-32-09,40710629640,-32150,40752732554
alcatel,UYtZG,31,10,2024-09-04 09-34-21,40715272137,-30452,40716268323
alcatel,lDd,92,58,2024-09-04 09-30-39,40742593842,-9398,40764618534
alcatel,NrLA,124,8,2024-09-04 09-31-15,40740683669,23457,40741008254
alcatel,cijNBA,-73,39,2024-09-04 09-32-48,40764608261,5166,40781400498
alcatel,VOvrX,72,-44,2024-09-04 09-31-10,40707417184,-6683,40765970617
alcatel,DtWSK,114,126,2024-09-04 09-31-33,40708108859,-25625,40723165041
alcatel,YajyA,16,127,2024-09-04 09-30-43,40765664489,-15206,40753266814
alcatel,sGQE,87,-66,2024-09-04 09-34-53,40797030212,-8320,40757198133
alcatel,QzHzt,48,71,2024-09-04 09-33-58,40790288426,-13443,40792372366
alcatel,Glko,-41,46,2024-09-04 09-33-28,40782421052,-11945,40739131926
alcatel,PnFPo,-128,28,2024-09-04 09-34-55,40776065850,-4819,40753049839
alcatel,DcfsCJ,-106,109,2024-09-04 09-30-28,40754518693,-5641,40763887906
alcatel,gxy,66,-26,2024-09-04 09-31-11,40745875599,-8145,40769181662
alcatel,FuNsU,-78,-67,2024-09-04 09-33-42,40779380348,-25596,40792115475
alcatel,SJu,-38,74,2024-09-04 09-33-07,40725937334,31366,40724887453
alcatel,FbIPOp,-96,41,2024-09-04 09-32-55,40718443634,-12552,40781826055
alcatel,QhzRvK,-127,-103,2024-09-04 09-30-45,40788658838,-28266,40719885288
alcatel,WPg,18,-49,2024-09-04 09-34-06,40765479082,-6419,40782100655
alcatel,JTggr,-90,-39,2024-09-04 09-34-45,40772135424,29420,40759906644
