src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,PxUVaX,80,-89,2024-09-04 09-45-51,40727521730,-29750,40783354602
alcatel,Zcql,76,124,2024-09-04 09-46-51,40731429038,-12791,40777236717
alcatel,bHxJ,29,22,2024-09-04 09-49-01,40765145395,-27931,40721038930
alcatel,zsYmKx,29,-80,2024-09-04 09-48-14,40764384736,-17942,40729674557
alcatel,fpU,109,-97,2024-09-04 09-47-20,40710468951,22768,40715144983
alcatel,Tmyk,-77,-116,2024-09-04 09-45-18,40780438891,24587,40779820347
alcatel,zCcUZ,100,-94,2024-09-04 09-48-02,40753379061,-21592,40714174119
alcatel,nBC,121,68,2024-09-04 09-46-54,40778728846,14504,40701095812
alcatel,NOu,-65,-56,2024-09-04 09-48-45,40753756296,-24732,40763680934
alcatel,MwXpqr,84,-5,2024-09-04 09-49-44,40708757401,26233,40710145755
alcatel,NveqXv,36,77,2024-09-04 09-48-18,40723435680,-30021,40703150989
alcatel,Eis,-105,-90,2024-09-04 09-45-15,40760702982,32575,40739570049
alcatel,tyQ,16,-55,2024-09-04 09-49-17,40774369787,11009,40711852447
alcatel,viG,3,69,2024-09-04 09-46-47,40761732327,-12328,40720561179
alcatel,ouz,-74,-57,2024-09-04 09-49-20,40714944177,-16544,40768935059
alcatel,mOPQ,-22,-97,2024-09-04 09-47-07,40729177074,-28169,40719314115
alcatel,jHH,122,-5,2024-09-04 09-49-11,40740585653,-23363,40719920844
alcatel,kukk,-125,-52,2024-09-04 09-47-27,40719160074,-29617,40777137466
alcatel,mnCO,-98,-95,2024-09-04 09-48-12,40791234924,10298,40732141149
alcatel,HREIMY,-107,-123,2024-09-04 09-46-49,40765825014,26397,40749841841
alcatel,QhBAMI,-90,-23,2024-09-04 09-49-41,40708877425,26976,40738492245
alcatel,Gxhgtj,-22,65,2024-09-04 09-48-59,40782185302,-17116,40766983443
alcatel,FMo,48,117,2024-09-04 09-45-39,40795172611,23823,40786090862
alcatel,ayYXK,84,123,2024-09-04 09-47-18,40740864900,18378,40725568949
alcatel,msFRrT,35,-84,2024-09-04 09-47-45,40741591589,30750,40798414290
alcatel,nDPBC,72,-13,2024-09-04 09-49-34,40776493934,21735,40748940098
alcatel,nAZgk,-125,-8,2024-09-04 09-46-05,40740888272,10747,40724015642
alcatel,lXCy,39,16,2024-09-04 09-45-24,40771235966,-22531,40737228611
alcatel,qEjU,70,-112,2024-09-04 09-45-51,40736353786,-6570,40769723174
alcatel,sGyNcb,-92,91,2024-09-04 09-46-47,40762490256,5604,40702938583
alcatel,nwFF,-107,90,2024-09-04 09-46-02,40745905593,2838,40701105513
alcatel,GSt,-53,70,2024-09-04 09-47-41,40709338514,23447,40770878618
alcatel,TXulAP,-96,115,2024-09-04 09-46-15,40745389046,22749,40764583560
alcatel,tQT,-128,-81,2024-09-04 09-47-45,40715929802,-5786,40770950215
alcatel,kQDsb,-27,-122,2024-09-04 09-49-37,40768784452,-24954,40768509154
alcatel,oSNoe,-54,9,2024-09-04 09-48-08,40723810015,-16410,40702376326
alcatel,huHpx,87,-53,2024-09-04 09-45-57,40770655962,23065,40781340701
alcatel,LZuac,-86,-123,2024-09-04 09-45-32,40758885171,-24869,40774621133
alcatel,XtWC,-1,-127,2024-09-04 09-49-39,40769320033,-440,40703272881
alcatel,ouwlc,-9,-52,2024-09-04 09-47-41,40731599611,8932,40716251387
alcatel,vbCo,-107,127,2024-09-04 09-46-51,40703483901,7483,40711901092
alcatel,Eqwib,-7,-123,2024-09-04 09-45-13,40716041226,31337,40712326995
alcatel,IiSEB,124,120,2024-09-04 09-45-53,40780694071,-9312,40758830042
alcatel,GVpoJ,27,-58,2024-09-04 09-48-46,40752391403,24113,40794677728
alcatel,sVHf,81,-77,2024-09-04 09-49-47,40774358136,1322,40759580789
alcatel,BXK,-25,95,2024-09-04 09-46-36,40726279743,24880,40700802636
