src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,cdK,73,-21,2024-09-04 09-50-12,40772337036,-2647,40785367408
alcatel,WuUZk,-91,117,2024-09-04 09-50-50,40754175631,6556,40780847951
alcatel,JiF,3,-112,2024-09-04 09-53-58,40783942062,15659,40785257889
alcatel,mxP,124,-9,2024-09-04 09-52-29,40736154221,-16752,40722263430
alcatel,ZJXWmt,0,124,2024-09-04 09-52-10,40721746750,-12154,40746876451
alcatel,XFid,109,127,2024-09-04 09-54-38,40781131522,-4848,40762259340
alcatel,MGrDQ,-102,80,2024-09-04 09-54-59,40792882599,26003,40760872212
alcatel,lsF,-37,-81,2024-09-04 09-52-23,40764412202,21997,40758675983
alcatel,cigpV,78,113,2024-09-04 09-51-46,40746662116,-17888,40724547782
alcatel,zXIgDp,-54,49,2024-09-04 09-50-15,40708687885,-20592,40781051305
alcatel,FpyxEm,108,-30,2024-09-04 09-52-03,40703387039,-23409,40722631332
alcatel,GxhIO,43,-91,2024-09-04 09-53-11,40799503618,-23595,40707900107
alcatel,SqF,23,-92,2024-09-04 09-50-43,40716331240,2506,40713272188
alcatel,rUDxpQ,-127,-73,2024-09-04 09-52-12,40781458593,-16007,40741791935
alcatel,MJq,-66,-23,2024-09-04 09-52-33,40736425045,17538,40710810224
alcatel,wRji,-69,19,2024-09-04 09-53-28,40719473338,4117,40785448271
alcatel,XxkkUb,48,67,2024-09-04 09-51-40,40759568815,-963,40709294485
alcatel,GskRlC,46,25,2024-09-04 09-54-26,40790091857,5036,40735808286
alcatel,iKTiQz,90,19,2024-09-04 09-51-43,40753062356,26030,40777015839
alcatel,PBa,83,-122,2024-09-04 09-51-57,40762618411,-23602,40712291287
alcatel,xwmHY,54,-128,2024-09-04 09-50-25,40778563224,14716,40792433180
alcatel,Tmj,-100,6,2024-09-04 09-52-23,40727955666,-19334,40737202927
alcatel,JqQPOD,44,126,2024-09-04 09-53-06,40753858243,1062,40730322986
alcatel,vkm,74,-116,2024-09-04 09-54-22,40746558531,-1260,40781307599
alcatel,aoi,47,71,2024-09-04 09-53-45,40705786838,-16843,40704257322
alcatel,wlSNW,-64,107,2024-09-04 09-54-54,40709975354,-21402,40716512314
alcatel,zAtN,-12,-124,2024-09-04 09-53-06,40711154069,7197,40711889176
alcatel,jwiuXf,-84,8,2024-09-04 09-50-27,40727102159,29989,40700233468
alcatel,wTqRye,-124,111,2024-09-04 09-54-37,40778204935,23894,40755807028
alcatel,OKQi,-53,36,2024-09-04 09-53-33,40734381506,21917,40717283571
alcatel,OcgU,48,-65,2024-09-04 09-51-12,40747803018,13975,40710949608
alcatel,ugGyC,57,-82,2024-09-04 09-54-11,40734578762,-7123,40772009615
alcatel,Gci,-95,-86,2024-09-04 09-52-09,40722622921,-23691,40749234043
alcatel,juvY,71,120,2024-09-04 09-50-40,40781257495,-6034,40767667109
alcatel,Trijr,60,-118,2024-09-04 09-52-14,40734070939,10147,40726835239
alcatel,sRnNA,115,-36,2024-09-04 09-51-25,40761775011,12052,40747684623
alcatel,nmeW,0,-105,2024-09-04 09-54-32,40796573962,-24224,40792316097
alcatel,ZVm,-72,102,2024-09-04 09-51-28,40711706844,-25497,40782224114
alcatel,ghf,38,59,2024-09-04 09-52-41,40794994758,-8780,40777822818
alcatel,bfRWwY,48,-6,2024-09-04 09-50-32,40770017299,5332,40764634331
alcatel,JSFYgD,-79,-107,2024-09-04 09-52-51,40732825446,-20981,40788332466
alcatel,cQqo,-93,91,2024-09-04 09-51-12,40763082343,-5512,40799477676
alcatel,FJTRd,-67,40,2024-09-04 09-52-04,40733817716,-7445,40719809595
alcatel,aJe,28,-89,2024-09-04 09-50-07,40712222330,-31663,40713215165
alcatel,MCLm,-20,-42,2024-09-04 09-53-22,40715602532,21824,40788760891
alcatel,EspWhy,-58,41,2024-09-04 09-50-14,40772314950,-25288,40758528936
alcatel,lgYqUI,44,-41,2024-09-04 09-52-52,40772930893,32005,40706283478
alcatel,pAxI,-11,-100,2024-09-04 09-52-58,40778140988,19529,40745552637
alcatel,YZp,-30,24,2024-09-04 09-51-49,40750686265,-2679,40768612383
alcatel,fuYGKZ,40,6,2024-09-04 09-51-10,40784921835,-19523,40701315858
alcatel,dcNhgf,14,-85,2024-09-04 09-51-46,40745677478,-12728,40782912602
alcatel,lIsrxF,51,-49,2024-09-04 09-54-46,40731930445,-569,40764488445
alcatel,mjIF,-4,-114,2024-09-04 09-52-10,40759841973,-13232,40775616301
alcatel,HRYv,-93,-109,2024-09-04 09-51-13,40791647070,-26038,40740518505
alcatel,HNphi,20,6,2024-09-04 09-53-40,40704195594,29531,40787838517
alcatel,ugt,-16,-127,2024-09-04 09-53-17,40788009504,-28066,40771972417
alcatel,Qksesr,34,-73,2024-09-04 09-54-01,40705205616,-18494,40752452918
alcatel,GoKB,11,61,2024-09-04 09-52-45,40720600089,25955,40727140522
alcatel,YgTCja,-8,19,2024-09-04 09-52-22,40706578915,32503,40729988427
alcatel,Pmd,-7,-42,2024-09-04 09-51-30,40732501008,-9594,40716274693
alcatel,ORevc,-4,124,2024-09-04 09-54-24,40796748593,8020,40779488466
alcatel,GyZPj,-82,-30,2024-09-04 09-50-25,40725670023,5451,40716869415
alcatel,VeEmFy,119,-8,2024-09-04 09-53-21,40714831315,-31126,40732929634
alcatel,lqwJ,-41,121,2024-09-04 09-54-10,40765826032,2258,40766445952
alcatel,cQIi,89,-24,2024-09-04 09-53-50,40762288080,-25652,40782507561
alcatel,BLUzBY,-41,-67,2024-09-04 09-50-53,40723956688,-11503,40737754264
alcatel,yfLTQ,122,16,2024-09-04 09-52-50,40798461604,3953,40702293848
alcatel,pMmMt,56,126,2024-09-04 09-53-06,40715044939,16609,40788370820
alcatel,DYAEZz,-98,-2,2024-09-04 09-53-28,40750926124,-3908,40761653953
alcatel,tmheIw,70,-17,2024-09-04 09-52-12,40727463988,-21249,40708140353
alcatel,yFna,-8,-65,2024-09-04 09-52-06,40781600261,-1917,40737692720
alcatel,OWf,-85,115,2024-09-04 09-50-39,40795774715,11548,40730714359
alcatel,ypOZLY,96,-81,2024-09-04 09-54-15,40721796903,19493,40741324355
alcatel,BgS,68,59,2024-09-04 09-53-30,40757139353,-29921,40716936831
alcatel,nfX,123,73,2024-09-04 09-51-51,40741837715,237,40726473151
alcatel,CkIhB,-118,-44,2024-09-04 09-50-49,40794420715,-3691,40791901300
alcatel,YYRRR,82,100,2024-09-04 09-50-59,40797875268,18802,40714494825
alcatel,QrqX,-54,-35,2024-09-04 09-51-03,40773578118,29337,40779307291
alcatel,SXkK,-79,-124,2024-09-04 09-52-04,40719162773,18271,40703098099
alcatel,DLao,-82,108,2024-09-04 09-52-00,40726519752,2610,40776878146
alcatel,Lygp,-71,115,2024-09-04 09-53-07,40770009908,32368,40772300932
alcatel,TiAikW,-81,125,2024-09-04 09-53-01,40709384756,18648,40772052956
alcatel,DYlvq,-14,39,2024-09-04 09-52-01,40722663489,19893,40794610169
alcatel,XvZj,12,116,2024-09-04 09-53-13,40787485555,-5808,40786635114
alcatel,Bur,-21,-124,2024-09-04 09-50-51,40706778397,24576,40768973039
alcatel,vYJN,-27,25,2024-09-04 09-50-06,40795579763,31880,40733713933
alcatel,MCw,127,-12,2024-09-04 09-53-00,40747013885,24046,40735939934
alcatel,Mqzxge,53,-5,2024-09-04 09-52-00,40799070534,-32384,40742160150
alcatel,SITiDc,3,-126,2024-09-04 09-54-01,40766057636,-3342,40720128496
alcatel,lmTQPf,106,119,2024-09-04 09-50-28,40733098131,-12345,40707699046
alcatel,fFmOyV,93,-71,2024-09-04 09-53-13,40777445272,-5170,40712928649
alcatel,IcT,-67,-24,2024-09-04 09-53-05,40711287262,-14855,40783012013
alcatel,bdp,-20,45,2024-09-04 09-50-43,40773978692,20997,40715528385
alcatel,mpTeJW,36,94,2024-09-04 09-52-26,40761271093,25976,40777809108
alcatel,mrnKU,-7,-14,2024-09-04 09-51-26,40749369742,18271,40729922426
alcatel,Drnj,-66,-29,2024-09-04 09-54-20,40797690698,-27273,40707312211
alcatel,pnyw,95,-52,2024-09-04 09-50-42,40795299307,23462,40705178867
alcatel,WXw,70,-71,2024-09-04 09-52-34,40777935953,-1201,40735843545
alcatel,Uiprw,19,-22,2024-09-04 09-53-45,40758174040,-5574,40709202945
alcatel,uiRai,116,-105,2024-09-04 09-52-53,40748687510,16829,40713461615
alcatel,pcYv,35,56,2024-09-04 09-53-25,40737594456,-624,40766723620
alcatel,fXSoTo,60,-15,2024-09-04 09-53-40,40745691536,14406,40734462786
alcatel,ujcA,53,-15,2024-09-04 09-51-58,40754213562,-10690,40711391218
alcatel,tbhEj,-106,-26,2024-09-04 09-50-03,40706577497,31996,40745523551
alcatel,OdS,59,126,2024-09-04 09-53-33,40733676687,3971,40707862856
alcatel,hRGV,107,87,2024-09-04 09-53-40,40793455758,15036,40746377669
alcatel,vNcFM,-34,-78,2024-09-04 09-52-39,40735096329,-9193,40732365026
alcatel,nuCZ,12,86,2024-09-04 09-50-12,40700909762,24702,40730010734
alcatel,vxxLt,-68,-57,2024-09-04 09-52-58,40789508067,28928,40775606108
alcatel,nARQK,-85,-26,2024-09-04 09-54-05,40749092099,17639,40762659381
alcatel,VHECf,-113,-82,2024-09-04 09-51-20,40777155193,-1087,40730764278
alcatel,ZQGru,-17,-47,2024-09-04 09-50-05,40737077993,21082,40742816384
alcatel,GeffR,76,95,2024-09-04 09-54-31,40702943898,26626,40763691026
alcatel,lcc,14,-3,2024-09-04 09-50-53,40783091276,-13343,40795364795
alcatel,ImAQ,108,85,2024-09-04 09-51-08,40705177962,13601,40797692334
alcatel,YPXPYj,-16,100,2024-09-04 09-54-40,40741255379,9083,40798947560
alcatel,dbMBaE,-60,1,2024-09-04 09-51-25,40757111320,10805,40784116238
alcatel,dEJl,-15,34,2024-09-04 09-54-07,40764932787,-4800,40703158639
alcatel,aNVTI,-41,-115,2024-09-04 09-51-39,40750491146,-16318,40706939452
alcatel,fXHtW,-34,-6,2024-09-04 09-54-33,40770495614,2874,40785173979
alcatel,hyznT,-3,13,2024-09-04 09-52-58,40737449641,-25708,40726992346
alcatel,jOf,-69,98,2024-09-04 09-54-20,40736958908,-11645,40717978070
alcatel,dNBx,25,-69,2024-09-04 09-51-04,40733002637,-8879,40727336066
alcatel,sVPfYp,-58,24,2024-09-04 09-50-06,40780759797,28045,40700141556
alcatel,ofSo,94,-14,2024-09-04 09-51-54,40730065634,-22844,40754639035
alcatel,PMxaHv,-103,118,2024-09-04 09-53-55,40770317341,-17233,40753659956
alcatel,rjNz,-33,-58,2024-09-04 09-52-45,40753905426,20118,40727390352
alcatel,wxDXCD,65,-7,2024-09-04 09-53-44,40741311943,10004,40710329802
alcatel,FJVG,-108,-83,2024-09-04 09-52-55,40743232555,13934,40727469271
alcatel,ETdHXO,69,105,2024-09-04 09-51-00,40704256584,-26327,40712803295
