src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,LGG,-109,81,2024-09-04 10-01-10,40708299014,7007,40753243812
alcatel,iVsI,90,75,2024-09-04 10-00-22,40739309299,-2770,40709275414
alcatel,mRhlgz,-125,-31,2024-09-04 10-02-40,40726991707,24936,40769059611
alcatel,TLzvN,82,9,2024-09-04 10-02-16,40731567189,-21553,40703316543
alcatel,FaMoGV,-120,18,2024-09-04 10-00-11,40779349438,-6700,40799794967
alcatel,dWMLtO,46,-36,2024-09-04 10-01-19,40795338352,-22102,40752700255
alcatel,FsGw,75,95,2024-09-04 10-04-21,40778313588,-28845,40741442791
alcatel,BywvK,107,-80,2024-09-04 10-03-27,40747741404,15972,40795477576
alcatel,oMZSwm,-85,-37,2024-09-04 10-04-44,40763152153,9963,40761181976
alcatel,vovrQ,4,-6,2024-09-04 10-03-51,40750860802,14407,40774413757
alcatel,xAOw,74,11,2024-09-04 10-03-42,40745211004,-18910,40767284266
alcatel,aXW,-73,-42,2024-09-04 10-00-08,40726280505,-27043,40775028120
alcatel,Udc,-55,-80,2024-09-04 10-00-32,40757248370,24826,40747285753
alcatel,JjBamf,70,-16,2024-09-04 10-00-57,40753231808,8191,40764271966
alcatel,SfHzaW,-23,85,2024-09-04 10-04-16,40718896244,21449,40783890425
alcatel,ACi,50,-66,2024-09-04 10-03-14,40757946585,-27781,40797419011
alcatel,fUj,119,-45,2024-09-04 10-03-28,40795987073,21874,40713877520
alcatel,Ivsr,-19,107,2024-09-04 10-04-20,40713791806,-24789,40776394636
alcatel,gdfpcv,122,87,2024-09-04 10-03-51,40776473375,-24043,40783945780
alcatel,TUVXJH,-88,-78,2024-09-04 10-04-14,40744346365,21533,40705355057
alcatel,OEec,6,75,2024-09-04 10-04-07,40703845363,-27239,40798609496
alcatel,dhMG,-93,-32,2024-09-04 10-02-17,40789618290,-20937,40709040204
alcatel,OLZ,96,-116,2024-09-04 10-03-23,40736556595,-20816,40774503907
alcatel,IlCiWQ,-40,115,2024-09-04 10-00-11,40718209495,-8016,40764992632
alcatel,ubvT,-85,94,2024-09-04 10-00-09,40707958277,19795,40756495875
alcatel,MSh,109,32,2024-09-04 10-03-21,40733125276,12944,40703991276
alcatel,LdO,41,-66,2024-09-04 10-01-36,40753385396,-21375,40776486998
alcatel,iuV,57,18,2024-09-04 10-01-52,40749994103,25957,40736699030
alcatel,jUlTz,-96,22,2024-09-04 10-00-49,40703820720,17481,40749271770
alcatel,iLH,-44,-63,2024-09-04 10-05-00,40713105202,-14687,40796907096
alcatel,mLV,32,-39,2024-09-04 10-03-25,40790647159,14717,40771681950
alcatel,AhkR,14,68,2024-09-04 10-04-44,40757382874,8343,40718743477
alcatel,YaF,60,-73,2024-09-04 10-02-40,40737109350,2011,40714886603
alcatel,SIONyn,97,-31,2024-09-04 10-00-02,40792624406,-32065,40700764515
alcatel,uwXCJg,39,-33,2024-09-04 10-02-46,40796664727,23711,40707219658
alcatel,BhPNa,95,-81,2024-09-04 10-00-41,40774406705,11805,40714840626
alcatel,UKYfD,51,103,2024-09-04 10-04-27,40780068072,-13909,40701135550
alcatel,qFXEt,-8,123,2024-09-04 10-01-37,40718114894,31577,40712312370
alcatel,xdN,-79,71,2024-09-04 10-00-33,40726834968,-11223,40724452455
alcatel,qerp,-128,-16,2024-09-04 10-04-30,40723999922,-17577,40731903249
alcatel,xosKM,-60,105,2024-09-04 10-03-56,40751758298,11123,40736226112
alcatel,LMzibp,-91,68,2024-09-04 10-01-11,40773008152,12694,40735393503
alcatel,lnu,42,78,2024-09-04 10-01-50,40766962785,-20389,40747746184
alcatel,rtM,-2,-110,2024-09-04 10-02-46,40780748783,12890,40793851224
alcatel,NUp,-67,24,2024-09-04 10-04-23,40793546726,-290,40754241743
alcatel,xqPvK,-2,20,2024-09-04 10-01-38,40767023953,30413,40724985460
alcatel,Jpcap,33,-128,2024-09-04 10-02-09,40762673346,5386,40766148405
alcatel,NHnRh,-73,102,2024-09-04 10-04-23,40733358410,-20260,40735726869
alcatel,gSgLu,123,-29,2024-09-04 10-01-51,40704619240,-30346,40736323711
alcatel,EfBG,124,-112,2024-09-04 10-00-25,40768293711,2610,40773242738
alcatel,oaZSg,-127,-128,2024-09-04 10-02-06,40777030996,-17953,40741000045
