src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,gnbO,-102,38,2024-09-04 10-05-02,40753530401,12364,40722313256
alcatel,ivf,79,95,2024-09-04 10-05-48,40793922159,-27188,40798857444
alcatel,OMuDtP,78,-71,2024-09-04 10-05-44,40745760820,-657,40756238325
alcatel,KTDw,-52,-127,2024-09-04 10-05-44,40703853714,31502,40769941034
alcatel,rpMe,83,110,2024-09-04 10-05-29,40752953390,14877,40799698608
alcatel,yiyu,105,-106,2024-09-04 10-09-14,40769465796,-8823,40707124500
alcatel,lmOBx,-13,112,2024-09-04 10-06-05,40713021216,-17508,40798362572
alcatel,UWiHp,31,27,2024-09-04 10-09-43,40781679467,-31495,40706179221
alcatel,scKk,68,-103,2024-09-04 10-09-21,40743957167,5159,40759721841
alcatel,JPZfgI,-105,-77,2024-09-04 10-09-08,40727852251,-23405,40708710261
alcatel,VGCdz,87,-68,2024-09-04 10-07-59,40744973020,18642,40773033665
alcatel,RaUAc,44,-64,2024-09-04 10-07-05,40785233179,-6298,40728041990
alcatel,xlbJ,49,75,2024-09-04 10-07-53,40775116381,-13776,40785611402
alcatel,iRt,-96,93,2024-09-04 10-05-28,40785817654,-2496,40732198702
alcatel,xNlHka,-90,-16,2024-09-04 10-09-37,40717171919,4147,40731614368
alcatel,ZdkSh,8,-127,2024-09-04 10-05-33,40730048048,-6791,40791232435
alcatel,yar,-77,19,2024-09-04 10-06-18,40772406169,-10148,40783992708
alcatel,LlL,-6,-91,2024-09-04 10-06-14,40713885742,4499,40760479568
alcatel,TbZZ,-80,-127,2024-09-04 10-07-53,40730188924,-12814,40761214764
alcatel,ELz,-64,-124,2024-09-04 10-06-17,40748968136,-30634,40703462052
alcatel,xRO,54,-16,2024-09-04 10-05-09,40739094994,-5167,40769943927
alcatel,VJi,-64,111,2024-09-04 10-08-39,40733183770,11627,40766462649
alcatel,Keykt,-29,-52,2024-09-04 10-07-26,40799841779,-9934,40704603805
alcatel,XZqNL,97,-45,2024-09-04 10-08-55,40787490132,-2481,40729385878
alcatel,NnUsR,51,-3,2024-09-04 10-08-05,40727399441,-22998,40774482907
alcatel,lRV,-93,-79,2024-09-04 10-07-33,40799369928,8326,40792940977
alcatel,FXiZ,75,-86,2024-09-04 10-07-44,40718285402,-24983,40722696672
alcatel,eNLAA,-104,-89,2024-09-04 10-06-11,40778387196,24696,40727042694
