src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,OBgB,-12,-21,2024-09-04 10-33-06,40731992499,16058,40749060803
alcatel,SuhaN,25,13,2024-09-04 10-32-47,40707183494,938,40774446297
alcatel,hxP,-25,72,2024-09-04 10-34-23,40748773779,18449,40780076623
alcatel,lSf,16,-90,2024-09-04 10-33-16,40755676401,10033,40757272032
alcatel,YTm,92,-128,2024-09-04 10-34-31,40792781109,-28575,40749659801
alcatel,sDp,12,-68,2024-09-04 10-30-39,40715217549,-16280,40708591339
alcatel,YAPcfY,-82,69,2024-09-04 10-33-02,40732502096,25258,40728681268
alcatel,VYjWkx,112,-103,2024-09-04 10-32-06,40740654512,-30566,40701557600
alcatel,uyUxm,78,7,2024-09-04 10-33-10,40733157195,-17880,40779279237
alcatel,rczPQC,107,-115,2024-09-04 10-32-12,40729115085,-23133,40798956431
alcatel,kzFCF,113,85,2024-09-04 10-34-31,40700351952,1490,40715164807
alcatel,qZGE,44,50,2024-09-04 10-31-29,40721983860,-23230,40702304714
alcatel,eay,40,-92,2024-09-04 10-34-13,40704142387,4074,40743035256
alcatel,wuSTa,60,67,2024-09-04 10-34-10,40739303649,3693,40756709602
alcatel,uRz,65,79,2024-09-04 10-33-40,40739307400,-31135,40700916931
alcatel,pWJT,13,23,2024-09-04 10-32-21,40736725141,10623,40781473168
alcatel,ZzmEm,-118,123,2024-09-04 10-32-38,40725607841,1789,40772748102
alcatel,vXhkl,88,-45,2024-09-04 10-34-09,40791845642,26865,40715754795
alcatel,hqFPv,-76,-8,2024-09-04 10-32-03,40783218238,9820,40734457466
alcatel,nVB,19,-104,2024-09-04 10-30-53,40746960589,-12446,40708630530
alcatel,jXF,-98,-92,2024-09-04 10-32-54,40741375023,-4368,40743869568
alcatel,ftGf,-83,-108,2024-09-04 10-34-47,40777245582,28737,40760302387
alcatel,ACtZXe,82,-111,2024-09-04 10-34-52,40788097627,-4849,40745939510
alcatel,Cbfw,30,-126,2024-09-04 10-30-14,40703433390,-17662,40702011318
alcatel,PrbyW,-30,-57,2024-09-04 10-30-26,40797958167,11733,40711025213
alcatel,Pmb,-120,22,2024-09-04 10-31-14,40714253100,25569,40780164711
alcatel,EKErpx,113,-13,2024-09-04 10-34-06,40788298493,1762,40734647649
alcatel,WNDqqF,58,-69,2024-09-04 10-33-56,40727827697,16403,40794102756
alcatel,oiJW,-14,-121,2024-09-04 10-33-11,40789812946,8933,40786893957
alcatel,oyRiY,116,-16,2024-09-04 10-33-46,40775206747,-5717,40778697261
alcatel,DXuSYl,31,-57,2024-09-04 10-32-25,40760861411,15093,40727148471
alcatel,sLTM,67,-77,2024-09-04 10-32-09,40781451539,22948,40729400069
alcatel,VmmBKa,58,-106,2024-09-04 10-34-59,40797215191,27780,40758433230
alcatel,dJuFAG,-40,-70,2024-09-04 10-32-36,40725958160,27053,40713453002
alcatel,LTim,-118,-96,2024-09-04 10-32-03,40795398106,20010,40764569277
alcatel,aAxXF,8,4,2024-09-04 10-31-39,40728290870,30846,40780262366
alcatel,xXQP,14,54,2024-09-04 10-31-18,40734080147,-30590,40702247778
alcatel,akY,69,-15,2024-09-04 10-30-52,40720947054,-6745,40753507990
alcatel,wREzpJ,-56,-40,2024-09-04 10-30-39,40717968189,-32526,40703602899
alcatel,AYkd,-109,-111,2024-09-04 10-33-28,40745626459,-25803,40748162712
alcatel,VJV,-22,-91,2024-09-04 10-32-32,40769479289,-21992,40793688724
alcatel,pFoUH,-66,24,2024-09-04 10-34-51,40720091465,9252,40755424656
alcatel,dDMW,35,25,2024-09-04 10-34-41,40782378262,-15865,40766284218
alcatel,bFeV,0,35,2024-09-04 10-31-15,40702662775,-30129,40722964437
alcatel,luw,69,15,2024-09-04 10-34-33,40763427935,-4408,40782310017
alcatel,bmS,-48,-12,2024-09-04 10-31-42,40791542935,-24804,40761635917
alcatel,aVEOXC,-26,-105,2024-09-04 10-33-23,40769200293,32535,40729778812
alcatel,mXNf,15,-126,2024-09-04 10-30-48,40738496453,22840,40709939806
alcatel,evWyG,-25,84,2024-09-04 10-31-50,40711226640,24575,40758997972
alcatel,WTg,53,-116,2024-09-04 10-34-10,40763488725,32094,40711234188
alcatel,GCR,107,95,2024-09-04 10-32-01,40776066682,-5902,40782375943
alcatel,hGPrm,26,-127,2024-09-04 10-31-21,40775025895,32281,40761892351
alcatel,onRTe,30,113,2024-09-04 10-31-02,40718769604,-12235,40767184336
alcatel,zrI,-44,-29,2024-09-04 10-34-20,40779126868,15343,40727656108
alcatel,bAgEx,-55,-96,2024-09-04 10-34-29,40720982514,-3404,40725317808
alcatel,hvfanl,78,40,2024-09-04 10-34-14,40797089366,-1279,40755855703
alcatel,xnqPM,-83,55,2024-09-04 10-31-32,40713948330,-20638,40715463133
alcatel,lNmYPz,107,92,2024-09-04 10-32-20,40702338940,-25156,40719796288
alcatel,qmv,-64,-118,2024-09-04 10-33-48,40770184060,-12781,40780096115
alcatel,UmdDiW,33,-104,2024-09-04 10-32-06,40796889118,23203,40781480909
alcatel,ifkWUU,-68,-6,2024-09-04 10-33-43,40702233854,-10145,40706332278
alcatel,qizP,-90,113,2024-09-04 10-32-23,40710013044,-23544,40742936198
alcatel,zehN,16,104,2024-09-04 10-30-17,40736763329,-30261,40724330328
alcatel,gQfcGu,78,-44,2024-09-04 10-34-48,40725258906,1359,40735054288
alcatel,RuqO,-108,90,2024-09-04 10-31-36,40766605013,-10217,40727604125
alcatel,KQvT,25,-73,2024-09-04 10-30-41,40722442149,21196,40783813870
alcatel,DCyj,-80,83,2024-09-04 10-32-45,40703750271,-1855,40733625747
alcatel,uXs,-96,78,2024-09-04 10-34-34,40785778092,24824,40727495314
alcatel,Lqc,-74,108,2024-09-04 10-30-01,40711170683,18814,40707670815
alcatel,gjynsZ,27,26,2024-09-04 10-33-17,40738673537,8770,40780382210
