src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,lKS,-98,-95,2024-09-04 10-53-32,40776497252,-29169,40724594203
alcatel,qtq,-84,107,2024-09-04 10-51-47,40781556630,9803,40789242305
alcatel,uTEL,-79,-30,2024-09-04 10-51-41,40768639042,30423,40782565965
alcatel,WGQH,41,-90,2024-09-04 10-51-09,40785241913,23005,40703502548
alcatel,cmpCDK,-124,44,2024-09-04 10-51-57,40730744317,-8534,40776273878
alcatel,ktAD,-24,1,2024-09-04 10-54-01,40739250391,-27433,40797523553
alcatel,sVKAu,-16,-62,2024-09-04 10-53-22,40755979112,-10298,40796032309
alcatel,xUvH,72,85,2024-09-04 10-50-46,40753890562,-22684,40782438810
alcatel,HbM,105,-43,2024-09-04 10-54-29,40741097104,27854,40717134630
alcatel,mIHikY,87,-34,2024-09-04 10-52-35,40704279728,26674,40706058540
alcatel,ZQtFm,26,-39,2024-09-04 10-53-27,40774485671,12167,40737907783
alcatel,XNtkf,-79,-5,2024-09-04 10-50-30,40787589825,22886,40768999361
alcatel,JkJ,114,-27,2024-09-04 10-52-47,40717637081,-11159,40792186549
alcatel,anT,-95,-110,2024-09-04 10-51-45,40741485081,-24193,40796347599
alcatel,fwK,-96,-41,2024-09-04 10-54-14,40703042268,-20015,40794182049
alcatel,IAGFP,-98,-25,2024-09-04 10-53-17,40742333456,-978,40770397969
alcatel,tdP,-83,-92,2024-09-04 10-50-22,40731104339,32423,40773710286
alcatel,PFoFd,-82,-103,2024-09-04 10-51-53,40717185465,27568,40747062041
alcatel,PqeSw,-64,-7,2024-09-04 10-51-46,40738570771,6127,40731995316
alcatel,hRsz,56,121,2024-09-04 10-52-08,40743517517,4865,40772987931
alcatel,CSssNo,66,-75,2024-09-04 10-52-50,40778498517,-17595,40713165306
alcatel,Nak,56,-99,2024-09-04 10-50-25,40791665844,25991,40782135031
alcatel,MjB,-27,-107,2024-09-04 10-50-12,40774574327,6364,40791907513
alcatel,XRAbEo,-43,72,2024-09-04 10-54-52,40706884427,17468,40779281640
alcatel,DaqBwb,-22,-123,2024-09-04 10-52-36,40707319349,-12770,40723027608
alcatel,coldy,-59,108,2024-09-04 10-50-29,40719886313,-13619,40713850494
alcatel,KUa,93,-32,2024-09-04 10-51-06,40759017428,-31610,40777869975
alcatel,YzdD,58,-107,2024-09-04 10-54-20,40730867394,-28837,40754769962
alcatel,bXhg,-31,-63,2024-09-04 10-52-08,40715168625,1250,40744097159
alcatel,WbNOg,116,-33,2024-09-04 10-52-00,40754134133,19420,40791800675
alcatel,SzhGVX,94,53,2024-09-04 10-53-58,40787369589,15084,40725979682
alcatel,Ytg,62,26,2024-09-04 10-51-30,40752469327,10676,40715007610
alcatel,CXY,-6,59,2024-09-04 10-52-32,40765148117,14289,40773192064
alcatel,mlCj,51,-111,2024-09-04 10-52-30,40704055862,22066,40790198626
alcatel,rMQfWN,62,16,2024-09-04 10-51-38,40761207523,23832,40768083386
alcatel,hBA,127,19,2024-09-04 10-51-21,40711908289,-11143,40749007008
alcatel,tpovO,25,123,2024-09-04 10-54-50,40748781447,-22349,40723600656
alcatel,nKA,66,120,2024-09-04 10-50-01,40719858250,-13897,40765325627
alcatel,HGuRKj,59,102,2024-09-04 10-53-55,40727069198,5635,40744379877
alcatel,Owlvqj,-40,-79,2024-09-04 10-50-53,40757705446,25737,40787373609
alcatel,kfapOu,3,-55,2024-09-04 10-53-20,40740191288,-19340,40789318342
alcatel,LZBXT,-125,89,2024-09-04 10-50-22,40700231391,-1310,40739461615
alcatel,MCj,-123,-48,2024-09-04 10-53-08,40747414701,-27641,40734720075
alcatel,PUQeb,91,-105,2024-09-04 10-52-47,40712889122,-8768,40774978396
alcatel,iJTU,-58,-125,2024-09-04 10-54-03,40737655890,807,40736204324
alcatel,sYw,-117,-13,2024-09-04 10-52-18,40781546827,4490,40764229915
alcatel,xcoR,-89,-28,2024-09-04 10-53-18,40779938663,-23079,40703651739
alcatel,jiwmFe,-55,-28,2024-09-04 10-50-16,40781329790,-26139,40735695905
alcatel,Qky,-58,127,2024-09-04 10-51-08,40787867759,32697,40791832911
alcatel,Bke,-60,-15,2024-09-04 10-54-03,40795228291,16165,40793305310
alcatel,fLMK,106,-39,2024-09-04 10-54-13,40779433970,-132,40737666572
alcatel,HMZw,84,-36,2024-09-04 10-51-15,40776998455,-9399,40765715216
alcatel,aNfjMh,-40,59,2024-09-04 10-50-49,40797394236,23662,40747630179
alcatel,uLSuCC,-93,68,2024-09-04 10-52-16,40780729527,-13129,40752885528
alcatel,RXBUK,15,20,2024-09-04 10-53-43,40732458857,-22135,40718329120
alcatel,Oyo,53,-69,2024-09-04 10-54-39,40716784643,29902,40765396388
alcatel,mjvMF,-111,-123,2024-09-04 10-52-27,40717658352,-2342,40790849805
alcatel,kUa,-62,-121,2024-09-04 10-51-30,40770498038,-24735,40709846649
alcatel,rSzz,-75,-4,2024-09-04 10-53-49,40781998974,-18988,40728311427
alcatel,CvU,-112,102,2024-09-04 10-51-25,40731682797,-26783,40794083036
alcatel,WyaVd,97,62,2024-09-04 10-50-23,40798977167,-12235,40700461757
alcatel,GDjmMm,-61,-1,2024-09-04 10-51-17,40732392250,3923,40732674000
alcatel,djSm,101,-67,2024-09-04 10-50-57,40752539178,22997,40734140692
alcatel,TUp,92,115,2024-09-04 10-51-39,40735981186,-20741,40797604818
alcatel,HFl,23,-36,2024-09-04 10-52-59,40735218637,17210,40786643908
alcatel,GYSXmC,-101,-91,2024-09-04 10-50-23,40770062113,-1409,40700123938
alcatel,ZjR,117,-77,2024-09-04 10-51-26,40787404697,28229,40758743070
alcatel,iCN,87,39,2024-09-04 10-50-50,40700017529,-4601,40705851255
alcatel,cTIYtf,-86,-69,2024-09-04 10-54-52,40752554445,-29715,40798623937
alcatel,qOCAa,-61,6,2024-09-04 10-52-38,40761708251,18799,40750735569
alcatel,uEVgs,44,-99,2024-09-04 10-53-33,40741190670,-3800,40791442164
alcatel,AoxDSt,42,-65,2024-09-04 10-53-38,40729121048,-3059,40761019306
alcatel,uDjXpE,-1,-8,2024-09-04 10-51-13,40733452934,-5716,40780643530
alcatel,MKAMQH,62,45,2024-09-04 10-53-09,40775112400,6285,40734775655
