src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,yfeJob,65,92,2024-09-04 10-59-35,40728335801,-8337,40797364564
alcatel,clHzP,-80,-2,2024-09-04 10-57-22,40762934454,30333,40763535580
alcatel,Rlv,-71,108,2024-09-04 10-59-19,40797900054,7454,40757172673
alcatel,hGsXz,119,50,2024-09-04 10-59-52,40737612538,-26239,40791676498
alcatel,lZNWi,90,119,2024-09-04 10-57-19,40724734712,28487,40783295548
alcatel,fDkO,98,56,2024-09-04 10-59-55,40743190137,-10660,40737590254
alcatel,wgL,27,-102,2024-09-04 10-57-36,40734120125,-20124,40777984011
alcatel,aDQOUr,72,33,2024-09-04 10-57-07,40763364217,13677,40738549230
alcatel,Lgk,-110,-111,2024-09-04 10-58-14,40756457167,-18613,40703968341
alcatel,ZKB,112,-45,2024-09-04 10-58-48,40742939682,27562,40774472000
alcatel,UXRlpX,25,28,2024-09-04 10-59-58,40776802668,-6006,40796777097
alcatel,lxiP,41,101,2024-09-04 10-56-09,40797311432,27330,40745735049
alcatel,xRxgjr,-12,-8,2024-09-04 10-59-37,40796293931,-19535,40736926975
alcatel,yHTs,38,-71,2024-09-04 10-56-21,40709877036,17645,40778662129
alcatel,lzvvnN,-24,-121,2024-09-04 10-57-57,40735618719,-10930,40714808997
alcatel,uHPMxD,101,-63,2024-09-04 10-59-01,40722280947,19452,40704012612
alcatel,qczaB,110,-44,2024-09-04 10-58-17,40703177640,-16933,40774099057
alcatel,sYBH,-55,26,2024-09-04 10-55-47,40796653786,7633,40773816739
alcatel,SAIVG,-2,-125,2024-09-04 10-58-32,40756938087,20247,40754593683
alcatel,haI,-69,-99,2024-09-04 10-58-08,40793127309,20557,40733872262
alcatel,fYn,121,60,2024-09-04 10-56-01,40788806900,18362,40793218104
alcatel,tejb,67,17,2024-09-04 10-57-44,40729768307,21412,40787573492
alcatel,QcS,-19,101,2024-09-04 10-56-35,40704439355,-11105,40798376469
alcatel,kgoZ,-55,0,2024-09-04 10-58-47,40773860046,-26385,40707836135
alcatel,ofBPxu,-89,-117,2024-09-04 10-58-06,40769878095,-4083,40714078156
alcatel,mSWUon,-93,-53,2024-09-04 10-58-27,40731480210,28215,40729753822
alcatel,fxn,-48,-59,2024-09-04 10-57-14,40779702744,-28970,40786569660
alcatel,mNj,96,-31,2024-09-04 10-56-53,40727541327,-7711,40717981467
alcatel,MGvQ,92,127,2024-09-04 10-58-44,40799630299,28938,40744935994
alcatel,bckNTf,-66,-52,2024-09-04 10-58-10,40748909338,19095,40788505636
alcatel,NOsY,-101,-23,2024-09-04 10-55-51,40720731567,-1952,40728198583
alcatel,GAfIV,3,-61,2024-09-04 10-56-11,40703935310,-14843,40796930963
alcatel,Beo,-50,37,2024-09-04 10-57-09,40780347519,-3646,40704185047
alcatel,VeeIVR,-127,-80,2024-09-04 10-55-42,40769920795,683,40781586634
alcatel,IbQdw,-12,91,2024-09-04 10-57-36,40763380906,-17528,40756701108
alcatel,HtY,-70,8,2024-09-04 10-56-02,40743427896,-22605,40737442045
alcatel,CWGo,61,32,2024-09-04 10-58-09,40780306952,11306,40790115210
alcatel,EFZcmB,51,24,2024-09-04 10-59-16,40766230377,-13637,40793524480
alcatel,FdNtu,-14,52,2024-09-04 10-55-18,40751516814,-443,40722655236
alcatel,PaY,-39,-119,2024-09-04 10-57-00,40701672469,967,40712261699
alcatel,eNVH,-105,121,2024-09-04 10-58-27,40736462043,-14185,40769309166
alcatel,rvf,98,78,2024-09-04 10-59-37,40744130546,-8951,40733698809
alcatel,EiH,79,-32,2024-09-04 10-58-57,40706614017,13472,40735281346
alcatel,UuQ,107,110,2024-09-04 10-59-06,40740601200,10973,40766685099
alcatel,CJaflu,-46,-100,2024-09-04 10-58-04,40766348714,22340,40759818435
alcatel,TyIadX,37,-92,2024-09-04 10-57-08,40772399893,-6943,40754500028
alcatel,ZzHdPX,54,75,2024-09-04 10-57-36,40799358597,11774,40791937296
alcatel,oUoUFP,-121,-4,2024-09-04 10-58-12,40725498197,27883,40715499453
alcatel,xrqNP,83,44,2024-09-04 10-59-20,40774836006,21930,40793911492
alcatel,HzW,-82,-124,2024-09-04 10-55-40,40770842218,5037,40786343816
alcatel,fSGdZj,120,-52,2024-09-04 10-57-25,40795660128,15910,40712911320
alcatel,TbstI,-112,124,2024-09-04 10-55-22,40702913604,10849,40764869824
alcatel,lNhos,-36,87,2024-09-04 10-55-43,40740263945,-24371,40730032417
alcatel,dNkZ,-2,17,2024-09-04 10-55-19,40724209427,-18552,40704898005
alcatel,SnDlsM,-107,39,2024-09-04 10-55-52,40723833936,10251,40776636142
