src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,taUWas,-124,6,2024-09-04 11-03-41,40797579818,-29404,40789893832
alcatel,mBVjf,82,-86,2024-09-04 11-00-15,40770507030,17556,40773695238
alcatel,GeIpZi,-120,111,2024-09-04 11-02-42,40792936574,-1821,40754212617
alcatel,wLVPz,58,46,2024-09-04 11-02-54,40799395018,-11167,40774366549
alcatel,SLEBpL,-84,18,2024-09-04 11-03-53,40706843176,-21233,40751279709
alcatel,WZouC,-21,-66,2024-09-04 11-02-25,40787041937,8544,40731814947
alcatel,NIH,115,100,2024-09-04 11-04-41,40754266463,25656,40791053491
alcatel,eRcPK,-51,28,2024-09-04 11-01-20,40759139174,-10965,40713147606
alcatel,yqyQ,-40,-17,2024-09-04 11-02-20,40768948888,13171,40724249964
alcatel,bXSFMg,-73,68,2024-09-04 11-03-23,40760011491,-25255,40751991940
alcatel,bctcWg,-100,52,2024-09-04 11-01-14,40725345076,-13502,40721075054
alcatel,XEWus,5,67,2024-09-04 11-00-19,40715613254,23759,40771625534
alcatel,zWi,108,-122,2024-09-04 11-00-05,40798518159,27700,40728932230
alcatel,MLWb,-80,25,2024-09-04 11-02-38,40727113706,-3660,40703758896
alcatel,OYuqOJ,-110,90,2024-09-04 11-00-55,40704014035,-22311,40710035117
alcatel,ZmMfPe,-113,16,2024-09-04 11-01-40,40763444490,-5124,40712488602
alcatel,OyQX,-22,-65,2024-09-04 11-02-15,40709225845,7532,40759059650
alcatel,smnCD,-19,-102,2024-09-04 11-02-24,40735763722,-4414,40744438578
alcatel,rgqKpp,3,21,2024-09-04 11-04-30,40751728118,2908,40766316102
alcatel,lhUmZ,105,-118,2024-09-04 11-00-54,40754528392,-20297,40734065171
alcatel,djGv,-74,34,2024-09-04 11-01-03,40792328522,683,40797553631
alcatel,jjmHRV,-63,-64,2024-09-04 11-03-15,40711585610,-6045,40791762413
alcatel,KCwmXP,-24,-73,2024-09-04 11-01-04,40787553307,14410,40749154596
alcatel,PwclOw,73,-119,2024-09-04 11-00-21,40724474116,7400,40732402805
