src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,KKO,107,-114,2024-09-04 11-05-20,40704913118,-14970,40731801808
alcatel,AiUrA,98,-87,2024-09-04 11-06-43,40798511334,3134,40723632660
alcatel,AoXxH,-83,93,2024-09-04 11-08-02,40770798484,-27824,40760143917
alcatel,kfdkS,-42,108,2024-09-04 11-08-28,40714729411,-21017,40717493916
alcatel,KJr,51,-122,2024-09-04 11-08-39,40739156671,-18243,40732795291
alcatel,sAMTs,-20,80,2024-09-04 11-05-06,40701313305,-19413,40724483031
alcatel,lLFTXv,68,102,2024-09-04 11-05-18,40796571862,-18204,40774209027
alcatel,kvk,51,-4,2024-09-04 11-05-26,40761030523,2332,40701910673
alcatel,ZRfU,39,42,2024-09-04 11-09-34,40710866714,26791,40762942840
alcatel,wlmDB,11,124,2024-09-04 11-09-50,40776472796,21137,40718711480
alcatel,Thy,101,-107,2024-09-04 11-09-20,40766677297,9779,40711251022
alcatel,xLRnzF,-100,-2,2024-09-04 11-05-27,40738377695,-24688,40794949154
alcatel,xZqnNr,67,108,2024-09-04 11-08-02,40787771836,11674,40735852263
alcatel,kTRhIj,73,1,2024-09-04 11-06-08,40745328602,18040,40703479677
alcatel,gal,87,-80,2024-09-04 11-06-32,40766655870,10126,40747762827
alcatel,ahNoyB,73,-39,2024-09-04 11-08-23,40779200694,-1130,40745699208
alcatel,GZpnm,-89,-16,2024-09-04 11-09-59,40765205725,-27110,40755176059
alcatel,oDw,45,-40,2024-09-04 11-06-12,40704163341,28486,40766002518
alcatel,Gvo,103,-122,2024-09-04 11-07-04,40732506007,-14355,40768837809
alcatel,Smk,-92,64,2024-09-04 11-08-18,40747147866,30295,40726966886
alcatel,hEub,-111,-46,2024-09-04 11-08-51,40759029790,31548,40720356835
alcatel,lLcHK,14,63,2024-09-04 11-05-40,40702067855,23578,40720353198
alcatel,jFCX,55,111,2024-09-04 11-05-15,40759110817,-28266,40704510664
alcatel,UaT,37,71,2024-09-04 11-05-22,40723443371,25027,40727130167
alcatel,bgKwOJ,85,64,2024-09-04 11-06-35,40712670382,-22481,40783872925
alcatel,Bpu,-25,11,2024-09-04 11-07-40,40713019401,1928,40770227764
alcatel,sec,80,84,2024-09-04 11-07-10,40717846262,8868,40762683212
alcatel,TNjSk,47,48,2024-09-04 11-06-34,40724230003,-8640,40764715287
alcatel,Jrfx,18,-5,2024-09-04 11-06-56,40757603224,10437,40705904468
alcatel,gImPK,-127,76,2024-09-04 11-08-59,40782169796,2498,40742029816
alcatel,zAP,56,-121,2024-09-04 11-06-53,40738705555,-12841,40714251992
alcatel,DEvOe,-19,-10,2024-09-04 11-05-33,40721076915,-17141,40778876420
alcatel,Mgq,96,-12,2024-09-04 11-05-20,40716663780,-12485,40708845151
alcatel,TKT,-16,8,2024-09-04 11-05-14,40700499177,-1109,40717633712
alcatel,rcmu,-89,-112,2024-09-04 11-09-23,40738222412,-23434,40714447479
alcatel,dJzroe,-75,96,2024-09-04 11-05-41,40749157032,-25068,40715434229
alcatel,zGfLR,-58,80,2024-09-04 11-05-42,40767789490,4594,40754769375
alcatel,BzKsT,40,81,2024-09-04 11-09-45,40719621137,5401,40783281893
alcatel,aui,31,14,2024-09-04 11-09-30,40717298877,18145,40721133247
alcatel,TQMs,-95,92,2024-09-04 11-08-37,40772459613,15479,40799792064
