src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,lkLHg,-66,38,2024-09-04 11-17-56,40759112539,-14742,40746607279
alcatel,eopg,18,-107,2024-09-04 11-16-59,40727504727,-10255,40719932490
alcatel,BKaw,-4,17,2024-09-04 11-19-56,40729200664,-20825,40701301146
alcatel,LXgE,-67,-28,2024-09-04 11-17-45,40732353043,-23896,40796793439
alcatel,mKJD,-76,106,2024-09-04 11-15-48,40739722008,1297,40730703544
alcatel,bICr,102,-96,2024-09-04 11-17-33,40794589339,-21329,40724645358
alcatel,moYolO,19,-122,2024-09-04 11-17-50,40754753811,-576,40709204239
alcatel,VRxy,-5,-83,2024-09-04 11-18-16,40735014677,6139,40731527598
alcatel,itEy,-24,65,2024-09-04 11-17-54,40735700384,-17054,40715453324
alcatel,HdWVR,-83,-28,2024-09-04 11-17-32,40761476276,9770,40794588967
alcatel,UwtQD,-48,125,2024-09-04 11-18-04,40753846004,-32373,40757518455
alcatel,bjPG,-59,26,2024-09-04 11-15-26,40717402251,3670,40789620492
alcatel,QNm,-45,5,2024-09-04 11-16-48,40794764353,-3211,40768077573
alcatel,DcD,-58,-93,2024-09-04 11-18-09,40763409600,-12183,40788656030
alcatel,Guvb,-104,-30,2024-09-04 11-19-54,40708035648,12208,40792402812
alcatel,IAstiQ,-44,98,2024-09-04 11-15-34,40747325261,2717,40704059729
alcatel,oCW,-50,-117,2024-09-04 11-19-55,40712588064,8654,40729605728
alcatel,gfohR,-89,-98,2024-09-04 11-19-55,40789910184,-14964,40762403140
alcatel,tXKegy,-35,-102,2024-09-04 11-15-36,40789171700,-23286,40777283566
alcatel,WQhD,-3,-12,2024-09-04 11-18-52,40772386307,-10596,40775221305
alcatel,zEvO,-17,-33,2024-09-04 11-16-22,40737711448,-11691,40712663884
alcatel,PsB,80,-3,2024-09-04 11-18-03,40748947672,-15920,40775251983
alcatel,OhGGFW,-92,66,2024-09-04 11-17-25,40736924660,32323,40787790399
alcatel,TzS,-87,-17,2024-09-04 11-17-44,40756354199,17412,40711081822
alcatel,uhVUrY,9,109,2024-09-04 11-19-23,40734358189,2651,40717107284
alcatel,BpP,-119,-11,2024-09-04 11-16-27,40797196941,-26897,40797536540
alcatel,kqCgvO,-55,-113,2024-09-04 11-19-10,40796666487,9415,40777921291
alcatel,ivwfq,-9,113,2024-09-04 11-15-36,40725503185,26453,40751044131
alcatel,YRHwS,106,87,2024-09-04 11-15-57,40763448299,-24997,40792079211
alcatel,inYg,9,-29,2024-09-04 11-19-16,40777992041,84,40723175015
alcatel,twnH,93,121,2024-09-04 11-18-41,40793479332,3087,40743377302
alcatel,KHObv,-50,-91,2024-09-04 11-16-47,40783550725,8926,40723401993
alcatel,FYni,-62,29,2024-09-04 11-16-00,40797735455,5457,40731073011
alcatel,zTCxrw,108,-63,2024-09-04 11-15-17,40752243095,3382,40767161258
alcatel,yve,-89,118,2024-09-04 11-19-59,40743340224,-14559,40737852734
alcatel,STlxav,81,117,2024-09-04 11-17-46,40793131835,-19456,40770937334
alcatel,fWI,34,-105,2024-09-04 11-15-53,40757824442,-25569,40799238351
alcatel,DJWPUS,53,38,2024-09-04 11-16-05,40766197131,13810,40703962888
alcatel,WuGhK,-97,-21,2024-09-04 11-17-54,40756191599,329,40775501599
alcatel,ihX,-68,13,2024-09-04 11-17-18,40750540748,-2066,40743793340
alcatel,PZaZx,-91,12,2024-09-04 11-17-31,40775631597,-11272,40716081300
alcatel,xAY,-61,119,2024-09-04 11-19-10,40708895568,11988,40773022819
alcatel,vrcot,61,79,2024-09-04 11-17-33,40735274374,3463,40773991631
alcatel,JOfMow,108,44,2024-09-04 11-16-21,40796250036,18383,40759103609
alcatel,dhRij,-48,-45,2024-09-04 11-17-55,40709082055,20653,40755337700
alcatel,Iggv,-94,96,2024-09-04 11-17-24,40756103669,11560,40741471762
alcatel,cUTW,99,46,2024-09-04 11-15-29,40752645387,1999,40760314111
alcatel,rNne,-15,-117,2024-09-04 11-18-16,40720828410,-20699,40773661196
alcatel,pyTjl,108,-33,2024-09-04 11-19-07,40785562283,-8240,40785351602
alcatel,hGbEqE,-124,-108,2024-09-04 11-16-23,40752690853,31751,40744842412
alcatel,sXcu,78,-120,2024-09-04 11-17-25,40796776708,-10587,40710552413
alcatel,lPHg,119,75,2024-09-04 11-19-15,40772356589,17491,40757836512
alcatel,qnxQ,-99,-104,2024-09-04 11-19-15,40774898765,12276,40772602699
alcatel,GTA,50,77,2024-09-04 11-17-01,40762312188,26459,40700435704
alcatel,uSe,-111,63,2024-09-04 11-20-00,40748590176,11635,40762592951
alcatel,zJR,-73,30,2024-09-04 11-15-46,40770021798,14865,40701078208
alcatel,MdIzP,-11,125,2024-09-04 11-18-10,40723804194,5354,40701679752
alcatel,IfKebz,-99,115,2024-09-04 11-17-49,40796743732,-22707,40763110830
alcatel,HRkAN,111,-120,2024-09-04 11-19-49,40705734522,-30770,40742388776
alcatel,rbMjY,-82,-13,2024-09-04 11-17-03,40733894559,20498,40791142466
alcatel,fPUWiE,8,91,2024-09-04 11-18-38,40792546174,-32695,40749368855
alcatel,GJkD,-36,96,2024-09-04 11-16-25,40787820230,25342,40770002997
alcatel,cXn,-22,-32,2024-09-04 11-17-06,40714847193,20232,40765354702
alcatel,esW,-76,-71,2024-09-04 11-16-15,40751631331,17,40739054273
alcatel,TbiyI,61,84,2024-09-04 11-19-50,40728956850,-10525,40762837083
alcatel,lzO,105,83,2024-09-04 11-18-12,40745536957,23373,40701413718
alcatel,LOqjxS,-106,10,2024-09-04 11-18-41,40774662670,29393,40777463683
alcatel,xLEL,88,105,2024-09-04 11-19-28,40729192129,-22280,40711147552
alcatel,xnQwRq,-42,28,2024-09-04 11-19-34,40772472205,-19258,40732609252
alcatel,wlFCdu,59,-60,2024-09-04 11-16-04,40783377590,-28532,40748313291
alcatel,wPoh,-3,34,2024-09-04 11-18-21,40790901349,-26277,40772832906
alcatel,TMix,-52,-121,2024-09-04 11-18-36,40734049817,26524,40771180283
alcatel,GGXRfx,-60,-43,2024-09-04 11-16-39,40700463938,954,40751039015
alcatel,dmWZ,-98,102,2024-09-04 11-17-45,40744829387,-13962,40755614248
alcatel,ctoc,40,-122,2024-09-04 11-18-05,40721360566,8108,40766652958
alcatel,RHAV,-45,115,2024-09-04 11-16-17,40712369904,12251,40772354759
alcatel,VKt,-25,-36,2024-09-04 11-16-56,40791171957,595,40752574608
alcatel,UpdUlM,1,-78,2024-09-04 11-19-39,40784942739,28223,40785681085
alcatel,ceq,103,65,2024-09-04 11-20-00,40799802752,-23357,40709515056
alcatel,GSKgEh,65,-23,2024-09-04 11-17-47,40728199091,22216,40780364626
alcatel,weQ,20,24,2024-09-04 11-17-23,40776849276,13575,40735808956
alcatel,iIKV,-34,-68,2024-09-04 11-15-39,40780403411,5335,40779762846
alcatel,SUzpdb,78,-51,2024-09-04 11-19-51,40761352666,12665,40703933067
alcatel,asmAG,-115,-5,2024-09-04 11-18-20,40738593092,-19956,40749026007
alcatel,cPwP,-49,62,2024-09-04 11-16-12,40740306133,-19516,40741466411
alcatel,tBt,6,-36,2024-09-04 11-18-20,40753539631,-24617,40720586172
alcatel,aOpW,-6,-8,2024-09-04 11-18-54,40792443404,14561,40760758879
alcatel,KBAmT,-104,91,2024-09-04 11-18-45,40701650195,-23650,40722159298
alcatel,gFd,36,70,2024-09-04 11-17-11,40719286104,-6571,40714266799
alcatel,mkK,9,52,2024-09-04 11-19-39,40732633588,-29805,40719032404
alcatel,qaQN,-95,-20,2024-09-04 11-17-47,40744877948,-21909,40730555354
alcatel,Xjvpra,35,125,2024-09-04 11-17-21,40718043942,11264,40743884613
alcatel,kzfuV,-35,102,2024-09-04 11-18-03,40766420642,25944,40743950262
alcatel,aBw,-118,-58,2024-09-04 11-15-36,40756148297,30374,40774229510
alcatel,CafnA,45,104,2024-09-04 11-15-10,40713178586,32095,40767719641
alcatel,lVQnv,-16,87,2024-09-04 11-16-15,40783604076,-490,40785300751
alcatel,GDGn,-7,-64,2024-09-04 11-19-04,40744959346,30443,40781600992
alcatel,EjT,-67,-32,2024-09-04 11-15-43,40781089333,-10444,40738214811
alcatel,ttgP,62,30,2024-09-04 11-15-24,40799663554,1777,40775715478
alcatel,SSk,28,-113,2024-09-04 11-19-48,40706946456,-1,40701232593
alcatel,yAaS,-92,9,2024-09-04 11-16-10,40799520439,18412,40722323032
alcatel,rggQ,97,85,2024-09-04 11-19-05,40758104245,-28987,40724774795
alcatel,LxAyT,118,126,2024-09-04 11-19-13,40711117861,-28095,40765133954
alcatel,nDZtc,-46,-94,2024-09-04 11-17-30,40720004498,18511,40774476522
alcatel,Vww,32,-100,2024-09-04 11-18-42,40728375039,21926,40709221756
alcatel,MWMx,-7,80,2024-09-04 11-16-07,40782396532,-29444,40755870560
alcatel,fYtC,-92,64,2024-09-04 11-18-35,40762752057,20640,40731394789
alcatel,Tyutu,113,-40,2024-09-04 11-18-15,40775042937,-25072,40797772718
alcatel,JvEeM,-91,4,2024-09-04 11-16-45,40731492936,1646,40733750656
alcatel,mNsU,-5,33,2024-09-04 11-15-11,40750231327,5985,40711518308
alcatel,TSaM,17,88,2024-09-04 11-17-44,40772567914,22559,40776269288
alcatel,VtaW,127,-110,2024-09-04 11-16-56,40750538924,29093,40734650321
alcatel,ZMJGmA,15,-104,2024-09-04 11-18-59,40785942430,19210,40779599213
alcatel,SZgisB,-107,-123,2024-09-04 11-17-02,40778608003,23060,40743205184
alcatel,nYr,56,64,2024-09-04 11-17-51,40798558793,-25667,40798476842
alcatel,EpUqdh,-58,3,2024-09-04 11-16-55,40761614042,11247,40710343259
alcatel,BovD,-49,-49,2024-09-04 11-15-12,40733805345,2368,40783983483
alcatel,jMWYFa,-32,109,2024-09-04 11-15-35,40719996333,-31049,40705320377
alcatel,fqpq,13,-52,2024-09-04 11-16-10,40706394677,-12665,40707726140
alcatel,EUJSly,-42,115,2024-09-04 11-19-36,40717295626,13946,40728977263
