src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,IUj,-128,-5,2024-09-04 11-37-06,40722928925,-18662,40715648067
alcatel,gnzzZU,-97,-75,2024-09-04 11-35-08,40730238440,-13670,40781015214
alcatel,smrxls,-25,-44,2024-09-04 11-35-03,40760437949,16845,40742252077
alcatel,ZtgmJ,-29,-38,2024-09-04 11-36-18,40770362761,-24555,40768966821
alcatel,vrt,-18,54,2024-09-04 11-36-56,40753435581,-11724,40796294534
alcatel,cSDHLf,-96,-112,2024-09-04 11-37-45,40796956133,28130,40725204896
alcatel,poc,-2,-110,2024-09-04 11-39-51,40732588317,-5147,40771284030
alcatel,FdXV,121,34,2024-09-04 11-35-45,40764081477,-17323,40774744184
alcatel,FNWFYm,85,44,2024-09-04 11-39-20,40720654942,24643,40759384179
alcatel,eeP,58,-72,2024-09-04 11-35-04,40750325850,12166,40798137421
alcatel,UBkD,77,103,2024-09-04 11-37-20,40734837133,-26195,40771767834
alcatel,wnId,35,21,2024-09-04 11-38-47,40731864698,-19839,40751133889
alcatel,smTJG,84,118,2024-09-04 11-39-28,40755972041,-8727,40743688643
alcatel,jkwINB,-66,80,2024-09-04 11-38-43,40720333502,-15734,40777085530
alcatel,wGVWLw,-65,22,2024-09-04 11-36-09,40705471701,7953,40769008795
alcatel,LMOlDn,19,-44,2024-09-04 11-37-49,40768342436,-20289,40721318009
alcatel,PGOb,-1,52,2024-09-04 11-37-28,40713403582,30920,40772519737
alcatel,YxVrdj,94,14,2024-09-04 11-38-25,40737291682,-27071,40752499393
alcatel,SoVnXg,65,-68,2024-09-04 11-37-43,40715282120,16714,40706798941
alcatel,tSUd,-5,60,2024-09-04 11-37-51,40716147056,-15993,40770145470
alcatel,dCmW,82,25,2024-09-04 11-36-01,40744041614,-28581,40760227291
alcatel,NLPrQ,-64,95,2024-09-04 11-35-12,40761210747,-24805,40751245110
alcatel,KbuwFR,94,51,2024-09-04 11-35-04,40723901692,-30925,40757076104
alcatel,svOde,-1,100,2024-09-04 11-35-47,40754636520,-11963,40790974114
alcatel,yIwq,105,78,2024-09-04 11-39-41,40732566401,1212,40782343648
alcatel,Nop,14,66,2024-09-04 11-37-05,40742168604,-14111,40726624500
alcatel,EdI,-93,-46,2024-09-04 11-39-54,40753526276,17852,40760197655
alcatel,XDhE,-104,-59,2024-09-04 11-36-33,40767987447,-2963,40714246694
alcatel,LAD,84,125,2024-09-04 11-37-47,40789980485,20133,40754016168
alcatel,ugNV,20,126,2024-09-04 11-36-01,40724051474,-26100,40712794189
alcatel,AQBvug,65,-72,2024-09-04 11-36-25,40750095852,2983,40706322060
alcatel,CfU,72,33,2024-09-04 11-39-53,40770678096,-16826,40789506988
alcatel,rbWN,78,104,2024-09-04 11-37-14,40703600820,-9842,40708388384
alcatel,Xjky,34,58,2024-09-04 11-35-54,40747656275,-22037,40746327595
alcatel,WWcP,16,-118,2024-09-04 11-38-42,40774887815,26940,40728551777
alcatel,alHgcT,49,95,2024-09-04 11-39-45,40756842766,-525,40715789169
alcatel,nox,122,68,2024-09-04 11-35-17,40712641535,-18906,40780833156
alcatel,RIr,-96,29,2024-09-04 11-38-50,40744342129,23029,40766472440
alcatel,qWlAI,-80,21,2024-09-04 11-38-39,40781028846,17542,40706853728
alcatel,kbXgZU,81,51,2024-09-04 11-39-01,40777611076,10939,40704757000
alcatel,LVl,3,-106,2024-09-04 11-37-02,40790212037,-13518,40747228539
alcatel,YImcKu,22,9,2024-09-04 11-37-28,40785760960,-1187,40793612783
alcatel,cOpToY,-4,61,2024-09-04 11-35-54,40718650656,-8669,40708891526
alcatel,HkERCY,-82,94,2024-09-04 11-38-24,40729769882,3093,40790593497
alcatel,MXuq,54,19,2024-09-04 11-38-12,40726949223,13523,40718168039
alcatel,NhnVi,9,122,2024-09-04 11-35-49,40704105815,-27164,40727631248
alcatel,zExpR,-19,78,2024-09-04 11-38-18,40761001228,27472,40787557469
alcatel,aVxRAS,51,78,2024-09-04 11-38-02,40761185635,11040,40730320889
alcatel,cuEbul,68,-111,2024-09-04 11-37-32,40719264851,6576,40772939458
alcatel,PscVH,-43,47,2024-09-04 11-39-03,40716583751,-13122,40716909639
alcatel,edK,120,-22,2024-09-04 11-36-21,40705348428,-4498,40726473599
alcatel,xtX,87,-103,2024-09-04 11-38-39,40715388309,2955,40799727416
alcatel,Jnfs,110,6,2024-09-04 11-36-40,40737826624,134,40702433097
alcatel,EnScPS,83,-18,2024-09-04 11-38-45,40782651723,-4045,40788283193
alcatel,AvjhO,102,-27,2024-09-04 11-37-48,40776450998,-4194,40778781624
alcatel,aaUI,-93,-54,2024-09-04 11-39-48,40791400262,4919,40712000404
alcatel,MspjX,-111,-76,2024-09-04 11-35-23,40712047106,4746,40750663280
alcatel,vsNCk,-102,6,2024-09-04 11-36-30,40717879699,-1260,40797712547
alcatel,Rwpnt,-111,75,2024-09-04 11-38-37,40770492623,17571,40740685483
alcatel,jPcl,-49,-82,2024-09-04 11-36-04,40757593876,-26902,40709232387
