src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,DVrS,31,-116,2024-09-04 11-40-26,40771480951,12264,40760220386
alcatel,HHef,58,-94,2024-09-04 11-40-53,40702504709,30837,40781851631
alcatel,ANS,-41,60,2024-09-04 11-42-57,40781487920,28641,40750869540
alcatel,ibP,-26,102,2024-09-04 11-41-17,40720281967,-25968,40781075818
alcatel,LGW,-13,50,2024-09-04 11-42-10,40755155306,26459,40719919325
alcatel,DFPFO,-87,4,2024-09-04 11-44-45,40705168681,-7182,40701956421
alcatel,WasM,7,-113,2024-09-04 11-40-25,40701842979,1791,40745641917
alcatel,XtI,72,-96,2024-09-04 11-44-42,40780944305,-22376,40728000302
alcatel,MMj,85,71,2024-09-04 11-44-27,40709922296,7157,40782004337
alcatel,ZgMkG,67,-59,2024-09-04 11-44-36,40709796914,-28057,40744880171
alcatel,owfEaF,-45,-66,2024-09-04 11-44-13,40708459948,-11515,40751616190
alcatel,Jmb,58,-1,2024-09-04 11-43-35,40761538509,23720,40785612208
alcatel,NYWc,-41,26,2024-09-04 11-41-55,40704234988,-975,40752446118
alcatel,tnCE,-48,-10,2024-09-04 11-41-46,40723143633,-30256,40761014296
alcatel,lXFC,-72,-85,2024-09-04 11-42-04,40707570616,21714,40745453785
alcatel,vPq,59,-60,2024-09-04 11-42-19,40794818022,-18885,40753272275
alcatel,ARgQAx,65,112,2024-09-04 11-44-05,40793000134,-20873,40777810500
alcatel,ayC,99,-112,2024-09-04 11-43-36,40786535234,-16417,40741287943
alcatel,PkpVWG,-96,-30,2024-09-04 11-42-58,40756759646,-31353,40730578310
alcatel,exgCC,109,47,2024-09-04 11-44-51,40750053111,-26510,40793257203
alcatel,wQbdO,-107,81,2024-09-04 11-40-01,40746222038,-9223,40748833546
alcatel,ZRr,-94,-1,2024-09-04 11-44-56,40788592055,15062,40749022581
alcatel,KEVKsQ,55,86,2024-09-04 11-42-18,40761214879,-23372,40733777601
alcatel,XGRo,-23,-73,2024-09-04 11-44-15,40758059185,-17671,40732175312
alcatel,WYHlPk,117,1,2024-09-04 11-40-46,40764771470,-13281,40702540196
alcatel,yCQETQ,-48,-118,2024-09-04 11-41-19,40781879616,19113,40781473513
alcatel,xzW,-76,36,2024-09-04 11-43-49,40776883855,-2564,40732687102
alcatel,bEdSQ,-40,-107,2024-09-04 11-42-35,40716539412,-98,40781550233
alcatel,lun,58,-123,2024-09-04 11-42-47,40787074864,-27380,40799956228
alcatel,jCCi,-98,45,2024-09-04 11-41-16,40794047828,-12207,40756426824
alcatel,SaDAz,-50,118,2024-09-04 11-42-20,40719574933,29253,40747671896
alcatel,tCcZ,-88,21,2024-09-04 11-42-56,40786530794,-21309,40737192559
alcatel,rmpjzR,119,-102,2024-09-04 11-43-16,40796874336,-5427,40726137437
alcatel,NWWNJ,-3,-7,2024-09-04 11-41-53,40757883183,-10677,40770613290
alcatel,BNLQF,0,5,2024-09-04 11-42-15,40750282436,-17416,40712605342
alcatel,ofmsJJ,-110,71,2024-09-04 11-41-31,40784647917,-15365,40753333322
alcatel,EDNh,-5,-46,2024-09-04 11-41-04,40735560897,-25902,40700432253
alcatel,HlZk,-122,70,2024-09-04 11-42-21,40776289663,-13562,40720201724
alcatel,cuKL,-126,69,2024-09-04 11-42-05,40782271367,-23394,40740795126
alcatel,RlcJ,91,-117,2024-09-04 11-44-31,40738791881,28494,40787220509
alcatel,WeSx,-65,-65,2024-09-04 11-43-33,40761900381,-31128,40779132413
alcatel,OYiduz,36,121,2024-09-04 11-42-19,40746621596,24841,40719246829
