src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,tqIAlY,-127,-53,2024-09-04 11-48-36,40736290503,6426,40793821600
alcatel,erQPzL,65,52,2024-09-04 11-49-54,40745528046,8072,40751370711
alcatel,UXu,87,76,2024-09-04 11-45-15,40743070035,-4549,40745370299
alcatel,grZj,-109,-76,2024-09-04 11-46-27,40791128844,-11704,40762135147
alcatel,gMh,-107,70,2024-09-04 11-49-17,40774709985,26333,40797051605
alcatel,mBRCcf,41,-104,2024-09-04 11-49-21,40704671936,-7445,40711942721
alcatel,gBnM,117,49,2024-09-04 11-49-43,40714790417,-29234,40792272787
alcatel,kujLtm,-74,-98,2024-09-04 11-45-04,40768732803,2547,40756898790
alcatel,AKIgH,-71,99,2024-09-04 11-48-42,40787953302,-18213,40722723473
alcatel,YYdpND,-115,105,2024-09-04 11-46-47,40761867660,-26673,40780435071
alcatel,DSPqif,54,94,2024-09-04 11-45-06,40763703772,8860,40753397466
alcatel,bbw,-6,-73,2024-09-04 11-45-59,40753209466,21753,40712376363
alcatel,nemRBu,-28,-57,2024-09-04 11-45-17,40751867544,-16703,40762667193
alcatel,rbLiSf,-95,81,2024-09-04 11-48-44,40760368200,29432,40783721359
alcatel,updZd,-18,6,2024-09-04 11-45-23,40733810544,6083,40717597009
alcatel,Hqw,-21,33,2024-09-04 11-46-39,40767880531,-23924,40721563465
alcatel,fAfY,33,-60,2024-09-04 11-45-31,40747587663,26568,40785247020
alcatel,tpz,-22,75,2024-09-04 11-49-29,40786324599,-10421,40706631132
alcatel,IFTtP,-11,91,2024-09-04 11-48-52,40755103601,22295,40755798833
alcatel,dTC,-123,96,2024-09-04 11-48-43,40771497328,-1388,40770627695
alcatel,Unr,-116,-103,2024-09-04 11-45-59,40711419183,-31904,40700781440
alcatel,QMcHyF,120,126,2024-09-04 11-45-55,40751207834,-20330,40719087284
alcatel,LBgZEr,-23,0,2024-09-04 11-49-07,40794119255,6738,40787931705
alcatel,NobS,49,-77,2024-09-04 11-47-18,40789206874,-20929,40752353611
alcatel,LPyx,-47,-69,2024-09-04 11-46-40,40715862812,22693,40740139108
alcatel,jjek,70,3,2024-09-04 11-46-09,40751127764,-19565,40770968626
alcatel,xmWQLu,41,57,2024-09-04 11-46-56,40770123872,27447,40798850887
alcatel,LUjAr,106,26,2024-09-04 11-48-32,40765717939,-5878,40789045604
alcatel,fAT,123,20,2024-09-04 11-47-48,40792920164,16824,40757973232
alcatel,mLAq,3,-3,2024-09-04 11-46-34,40738274834,-6644,40719107034
alcatel,FKG,105,-125,2024-09-04 11-48-11,40708033752,-17180,40744995362
alcatel,wNUju,-99,-127,2024-09-04 11-48-56,40761383115,-1293,40730938675
alcatel,SOuaQq,-7,-39,2024-09-04 11-48-55,40731148675,-30745,40775701755
alcatel,YNE,-32,21,2024-09-04 11-45-40,40759426718,535,40714471711
alcatel,hzAUFh,-119,125,2024-09-04 11-45-17,40723600271,-31772,40701716545
alcatel,cckD,-41,-94,2024-09-04 11-47-17,40764769978,-1741,40773370392
alcatel,IWCoM,-87,62,2024-09-04 11-47-44,40767657195,-25896,40710522300
alcatel,WcpX,90,-18,2024-09-04 11-46-56,40751304839,20361,40741527962
alcatel,jet,-83,108,2024-09-04 11-45-38,40729001512,22044,40792805266
alcatel,iZQ,-88,90,2024-09-04 11-48-55,40751313904,-1876,40724880299
alcatel,WpFLb,-22,-82,2024-09-04 11-46-30,40745301804,16168,40770629536
alcatel,GKY,-73,-81,2024-09-04 11-49-45,40793336428,-8883,40753772865
alcatel,Chg,113,-83,2024-09-04 11-46-59,40725102468,14792,40781060582
alcatel,DvzK,45,-21,2024-09-04 11-48-49,40771524340,-247,40729570403
alcatel,HqH,-40,-62,2024-09-04 11-45-16,40780909459,6415,40770583217
alcatel,ITvItE,-1,-69,2024-09-04 11-46-32,40758856137,15439,40755745240
alcatel,qUVg,-87,80,2024-09-04 11-45-12,40709132185,23993,40712141550
alcatel,luAOT,-78,112,2024-09-04 11-45-03,40759251315,26386,40773066880
alcatel,Kba,28,-52,2024-09-04 11-48-45,40745793883,-24054,40780615279
alcatel,vasuaT,108,-55,2024-09-04 11-45-55,40774771205,2182,40770801126
alcatel,UPH,82,-121,2024-09-04 11-47-34,40743787779,-29855,40798814054
alcatel,VcX,9,71,2024-09-04 11-48-23,40737729121,27738,40785911867
alcatel,Syncf,26,-101,2024-09-04 11-47-20,40737818083,32205,40722988119
alcatel,IibN,2,32,2024-09-04 11-47-03,40744389046,-13878,40735444743
alcatel,HcGO,-52,-18,2024-09-04 11-46-39,40764930233,-31172,40753932353
alcatel,Ptn,-116,25,2024-09-04 11-48-26,40711100944,-29131,40754017463
alcatel,KoGzM,-19,5,2024-09-04 11-48-36,40740312483,28754,40738264674
alcatel,zLf,-70,62,2024-09-04 11-47-38,40770600771,9234,40779356850
alcatel,VsIGTF,62,-51,2024-09-04 11-46-24,40720416457,22073,40723559170
alcatel,bjfJ,-26,-102,2024-09-04 11-46-22,40711241977,-28834,40732790058
alcatel,ZZkyTW,76,-70,2024-09-04 11-47-13,40730450418,25262,40799790685
alcatel,xzhOL,78,89,2024-09-04 11-45-44,40743687762,6955,40782102497
