src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,mMw,-101,-40,2024-09-04 11-54-32,40711213116,-32489,40753857844
alcatel,Vyjs,-92,10,2024-09-04 11-53-40,40718074238,-2267,40719236265
alcatel,NdYuW,127,36,2024-09-04 11-50-17,40754550373,11471,40708586217
alcatel,ngKigR,80,-40,2024-09-04 11-52-16,40754185858,-11279,40710171387
alcatel,zwUzfb,15,-98,2024-09-04 11-55-01,40725720052,23124,40773834061
alcatel,SFlbLr,-34,-119,2024-09-04 11-53-50,40750079901,-24235,40778559302
alcatel,kWmMpZ,-117,100,2024-09-04 11-53-47,40717965054,-9306,40798830426
alcatel,fGUEN,40,-63,2024-09-04 11-50-39,40716770317,28569,40768668083
alcatel,FIMD,44,-91,2024-09-04 11-50-05,40782747331,-26553,40782381997
alcatel,oKKE,-109,-50,2024-09-04 11-51-58,40750673158,-30737,40762974678
alcatel,onVuWX,-66,-43,2024-09-04 11-50-37,40726603147,-9886,40797978960
alcatel,NGcELA,30,-66,2024-09-04 11-53-45,40786599171,30198,40765900275
alcatel,AZkSTa,-66,1,2024-09-04 11-50-44,40762856715,-17463,40725193351
alcatel,txlQ,-52,17,2024-09-04 11-54-32,40715726932,2839,40789264644
alcatel,sYiDoE,64,22,2024-09-04 11-54-02,40794764395,-32502,40799847838
alcatel,Psvfy,25,96,2024-09-04 11-52-33,40707497172,29493,40721341971
alcatel,qxF,92,-65,2024-09-04 11-50-03,40724098131,21108,40722106739
alcatel,Rtynyl,-121,16,2024-09-04 11-52-03,40781023525,-14205,40719120546
alcatel,HpBsK,-5,28,2024-09-04 11-52-18,40767852262,-13294,40717529837
alcatel,VZP,75,-25,2024-09-04 11-53-11,40713208573,-24619,40731332195
alcatel,dXHsOs,96,36,2024-09-04 11-54-30,40764228437,-14661,40728302811
alcatel,YGSRo,-87,36,2024-09-04 11-50-48,40780677504,20153,40771055908
alcatel,aEN,81,92,2024-09-04 11-50-28,40788803128,-25536,40792397610
alcatel,OuYat,117,-93,2024-09-04 11-54-23,40738796413,-23384,40734028992
alcatel,KvjR,58,-15,2024-09-04 11-53-31,40765387498,581,40737216525
alcatel,rDsHep,46,-66,2024-09-04 11-51-55,40702110062,-22572,40748570249
alcatel,geIG,-100,-113,2024-09-04 11-52-16,40715541967,-9556,40717355804
alcatel,mdmDms,47,-109,2024-09-04 11-54-03,40724622868,3656,40752056413
alcatel,XMk,75,76,2024-09-04 11-54-10,40796825615,-24171,40714873669
alcatel,LfhFm,68,45,2024-09-04 11-50-33,40747093675,-1277,40762336742
alcatel,Vzcawg,-116,80,2024-09-04 11-55-01,40770180012,-101,40781904666
alcatel,WRkzn,48,-96,2024-09-04 11-52-19,40798850390,-21234,40707066718
alcatel,ArvDkr,80,-112,2024-09-04 11-50-22,40765937591,21692,40759709592
