src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,rwMxS,-25,-32,2024-09-04 11-58-30,40718248392,-18955,40742679868
alcatel,rADTzk,-73,8,2024-09-04 11-56-45,40782881573,-32529,40702337731
alcatel,FIEQH,-37,104,2024-09-04 11-57-38,40712874371,26194,40726161967
alcatel,YntbS,-43,-125,2024-09-04 11-55-55,40727521904,9862,40782363631
alcatel,foPii,-122,91,2024-09-04 11-55-03,40786325761,-18718,40771853532
alcatel,cBHGD,-117,-125,2024-09-04 11-59-20,40773206742,11436,40796865488
alcatel,YbFaM,38,99,2024-09-04 11-56-30,40764726405,13808,40739390553
alcatel,lcROs,-15,-91,2024-09-04 11-59-09,40724662411,22317,40742643604
alcatel,KUKrTl,-18,-101,2024-09-04 11-58-10,40712950880,-4119,40782792408
alcatel,VLJMLZ,-41,109,2024-09-04 11-55-15,40719825000,15599,40796617693
alcatel,SDcvZ,19,47,2024-09-04 11-59-01,40782703464,2266,40741575984
alcatel,qDe,105,-73,2024-09-04 11-55-57,40767437226,16291,40793326027
alcatel,HtCxi,-109,70,2024-09-04 11-56-10,40777505148,-13514,40728714651
alcatel,LBN,92,35,2024-09-04 11-56-28,40786128632,5832,40748589382
alcatel,gPOtF,108,74,2024-09-04 11-58-05,40700646411,-22621,40722025144
alcatel,buNv,10,96,2024-09-04 11-55-25,40717366505,15240,40742515061
alcatel,piWXx,80,10,2024-09-04 11-55-21,40787982295,-16427,40740308779
alcatel,VNbbw,-14,-103,2024-09-04 11-58-49,40752071894,-9735,40735482368
alcatel,newDx,-85,-68,2024-09-04 11-57-56,40796207411,-19432,40701336786
alcatel,bis,79,75,2024-09-04 11-56-45,40780948962,-14369,40785458493
alcatel,LGp,-90,-70,2024-09-04 11-55-54,40762589776,-15120,40752858403
alcatel,iHeO,-10,-8,2024-09-04 11-59-20,40794776740,-25343,40785920280
alcatel,sfk,71,-25,2024-09-04 11-57-26,40712516920,6600,40777596129
alcatel,wCaMh,77,84,2024-09-04 11-58-11,40797724792,-12284,40705005175
alcatel,uLg,-65,-50,2024-09-04 11-55-54,40709755525,-3663,40767191927
alcatel,kwP,53,-96,2024-09-04 11-55-17,40775208213,14429,40730143590
alcatel,lepA,116,53,2024-09-04 11-55-25,40741922052,10439,40768013969
alcatel,FuyE,53,-37,2024-09-04 11-56-41,40728678741,-16907,40723872269
alcatel,tLQZIT,16,-91,2024-09-04 11-57-36,40787671288,25618,40789047444
alcatel,ldd,-72,-75,2024-09-04 11-57-49,40733286859,-12193,40701240108
alcatel,LDOi,11,-17,2024-09-04 11-55-06,40752485785,-22425,40779621859
alcatel,aPOJA,44,81,2024-09-04 11-57-09,40706603494,-3845,40714401458
alcatel,CkA,-114,-51,2024-09-04 11-56-14,40736931082,12006,40756539467
alcatel,mHnBUS,-48,-114,2024-09-04 11-56-48,40784397300,-24086,40781981365
alcatel,vQdLg,26,-69,2024-09-04 11-57-54,40706514660,-11463,40765841229
alcatel,ebvCnP,-110,35,2024-09-04 11-58-55,40762388968,-11705,40745903362
alcatel,lOVOf,25,-92,2024-09-04 11-58-50,40741030991,-26639,40727757540
alcatel,dMEy,22,64,2024-09-04 11-57-55,40728249787,10369,40777178957
alcatel,hEDRKK,-39,79,2024-09-04 11-57-35,40752199651,10511,40737134383
alcatel,gReewW,32,-51,2024-09-04 11-58-00,40759332093,-27140,40744495309
alcatel,REejI,39,124,2024-09-04 11-59-02,40784716878,-15196,40716994920
alcatel,peZmEB,66,-110,2024-09-04 11-58-22,40725296238,-23819,40755644551
alcatel,JkM,-80,124,2024-09-04 11-57-32,40771370179,20270,40772829860
alcatel,FsrXx,-20,-109,2024-09-04 11-58-26,40778456467,-14222,40784776690
alcatel,QcW,-4,39,2024-09-04 11-58-17,40749974536,-26402,40725515234
alcatel,UcPei,95,-89,2024-09-04 11-55-44,40785434625,22844,40773835500
alcatel,QcLn,-127,45,2024-09-04 11-55-05,40774834121,-9454,40793327934
alcatel,jzPdd,38,102,2024-09-04 11-56-26,40733426218,29944,40731873517
alcatel,zbr,64,116,2024-09-04 11-56-16,40725446105,8233,40746069747
alcatel,dOQj,113,125,2024-09-04 11-55-48,40748344220,17565,40783589421
alcatel,inrL,127,-34,2024-09-04 11-56-53,40710287039,12671,40756452804
alcatel,XxdOu,18,123,2024-09-04 11-57-05,40732683995,6193,40756403468
alcatel,Okj,-21,-17,2024-09-04 11-57-09,40783147569,18091,40783612098
alcatel,iOEmHe,8,38,2024-09-04 11-55-10,40768704527,26484,40741759904
alcatel,xuGvw,17,10,2024-09-04 11-56-56,40712693632,13241,40791914360
alcatel,FyY,-79,70,2024-09-04 11-59-46,40745606111,-20264,40729578883
alcatel,AaRiV,-105,-1,2024-09-04 11-56-14,40755594186,-4468,40789001675
alcatel,bRrw,-19,47,2024-09-04 12-00-01,40722776439,-26982,40751289682
alcatel,yLDGK,-44,-124,2024-09-04 11-55-58,40714136507,-23421,40787925763
alcatel,TTE,-33,0,2024-09-04 12-00-00,40719902795,23886,40795365386
alcatel,ZyImCf,119,103,2024-09-04 11-55-52,40775033371,-29047,40748738321
alcatel,rgeZOx,-50,75,2024-09-04 11-58-34,40783930573,-8983,40747480104
alcatel,urrhEy,-17,22,2024-09-04 11-55-57,40762888732,-29609,40779001764
alcatel,SWH,15,119,2024-09-04 11-57-36,40784275064,19905,40739005232
alcatel,Libm,117,113,2024-09-04 11-59-52,40786808745,-18472,40738992518
alcatel,nNLgQk,-112,30,2024-09-04 11-59-29,40733300589,-17719,40709501965
alcatel,CEsANd,-50,-53,2024-09-04 11-58-49,40715915131,-17508,40732174864
alcatel,ASJ,-93,-98,2024-09-04 11-57-26,40708182422,-9958,40737362023
alcatel,rGT,125,-100,2024-09-04 11-57-55,40798851152,-11924,40765988639
alcatel,RbFKD,-110,-68,2024-09-04 11-59-57,40780615429,-8995,40758455950
alcatel,wzi,122,105,2024-09-04 11-57-30,40775323780,-22974,40761805381
alcatel,Lyrz,107,-62,2024-09-04 11-57-20,40715045855,24782,40713972125
alcatel,JmqCG,-100,-102,2024-09-04 11-56-17,40780536105,23067,40767732671
alcatel,hJyEa,-73,95,2024-09-04 11-55-23,40727353569,21401,40737341161
alcatel,cIf,95,2,2024-09-04 11-55-25,40735143323,-22393,40789389648
alcatel,rwKd,-53,109,2024-09-04 11-59-42,40722502007,-19444,40792805312
alcatel,fVpjD,-6,-6,2024-09-04 11-55-42,40708377122,-12583,40796130708
alcatel,rBQ,124,100,2024-09-04 11-59-01,40748179840,1120,40770203337
alcatel,DIcBrc,-7,71,2024-09-04 11-59-25,40704179001,27643,40769933896
alcatel,iuh,-47,-9,2024-09-04 11-56-08,40721015828,21079,40704808029
alcatel,eFeuj,52,-109,2024-09-04 11-55-53,40774529592,30245,40784509444
alcatel,GWtPv,-90,-49,2024-09-04 11-58-14,40745930785,15992,40726111381
alcatel,UqbV,53,92,2024-09-04 11-58-10,40704428927,-4452,40762440879
alcatel,Jkx,5,-42,2024-09-04 11-56-47,40756905217,-5510,40754162142
alcatel,VdgzP,13,-79,2024-09-04 11-58-11,40797169355,30445,40712796720
alcatel,cQXg,-16,86,2024-09-04 11-59-31,40785799098,25068,40705343381
alcatel,BkAXlG,23,-82,2024-09-04 11-59-31,40700184490,26445,40723117657
alcatel,uScMys,18,81,2024-09-04 11-56-39,40796763625,9281,40724124350
alcatel,grD,-80,-7,2024-09-04 11-59-28,40754667739,-4484,40710215131
alcatel,MKmDxd,87,-78,2024-09-04 11-59-03,40730299665,25671,40797746407
alcatel,Wgo,-123,-16,2024-09-04 11-58-11,40747733603,8615,40746987587
alcatel,WVS,63,-24,2024-09-04 11-58-42,40719489310,-30790,40743197310
alcatel,RLp,15,30,2024-09-04 11-59-02,40794801714,-9133,40722520635
