src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,HmPeY,-79,15,2024-09-04 12-09-00,40757843506,31045,40716553990
alcatel,erGjE,-114,-120,2024-09-04 12-08-49,40708810508,-3625,40755593212
alcatel,VEhmd,-71,117,2024-09-04 12-08-19,40748214155,-16099,40763518880
alcatel,GAwcv,-11,65,2024-09-04 12-06-02,40722474198,-28128,40765025791
alcatel,aqtCq,-45,-36,2024-09-04 12-06-06,40745672858,30300,40700055352
alcatel,MRzz,48,73,2024-09-04 12-05-33,40713387465,4184,40792457409
alcatel,jUrfV,111,26,2024-09-04 12-07-10,40761917207,6267,40743357788
alcatel,pTgORA,-37,-88,2024-09-04 12-09-58,40720588870,5423,40717307312
alcatel,Crxxez,-58,-117,2024-09-04 12-09-19,40746631879,22898,40763679509
alcatel,ycIW,-17,-31,2024-09-04 12-09-05,40701857653,-7807,40797152053
alcatel,qZNh,30,-4,2024-09-04 12-08-28,40701377606,4578,40721450169
alcatel,ptIEV,-21,-100,2024-09-04 12-05-27,40702735847,16515,40701916804
alcatel,IwxxGR,105,-97,2024-09-04 12-05-23,40717454466,20281,40773237984
alcatel,btTGm,-42,-17,2024-09-04 12-08-18,40762968565,17288,40717289149
alcatel,mTPht,28,85,2024-09-04 12-07-30,40775295038,-7444,40756429265
alcatel,LDhYn,118,86,2024-09-04 12-05-59,40714327740,31878,40729342842
alcatel,dCrY,77,120,2024-09-04 12-06-00,40752246782,-974,40720323075
alcatel,TjZEkV,123,115,2024-09-04 12-07-01,40736184162,-5866,40717673890
alcatel,Svy,124,126,2024-09-04 12-08-29,40792889460,-9026,40734094238
alcatel,wzBVag,66,52,2024-09-04 12-05-43,40753955963,-6088,40787997843
alcatel,hKgoH,1,-13,2024-09-04 12-09-02,40782366635,-24940,40765592799
alcatel,AMIY,-119,-73,2024-09-04 12-09-07,40764812293,13785,40774102789
alcatel,LCTD,-94,19,2024-09-04 12-07-45,40774836813,4811,40796460120
alcatel,yfIG,-8,-50,2024-09-04 12-09-10,40782313975,-31074,40772894585
alcatel,lsFzm,-112,93,2024-09-04 12-08-05,40713947782,-21988,40784157212
alcatel,flKY,19,-68,2024-09-04 12-06-54,40784642234,-32202,40739629590
alcatel,uyqQo,108,-106,2024-09-04 12-06-43,40729245226,-10933,40738660783
alcatel,qQL,27,-108,2024-09-04 12-07-54,40771906659,-20585,40789989986
alcatel,CvMHw,98,-32,2024-09-04 12-06-53,40718524355,-27758,40711074520
alcatel,DfCl,104,-74,2024-09-04 12-09-51,40786425795,2501,40775851745
alcatel,JNAh,101,75,2024-09-04 12-05-50,40785619386,9808,40704837265
alcatel,AadZl,119,-122,2024-09-04 12-07-27,40799893253,-10613,40718058045
alcatel,SjT,33,-13,2024-09-04 12-05-51,40759668742,-10585,40700215724
alcatel,qTp,-74,-80,2024-09-04 12-08-57,40779028789,31062,40730470744
alcatel,onDq,25,22,2024-09-04 12-05-36,40795036719,12003,40711937407
alcatel,KeMnCQ,-21,-63,2024-09-04 12-06-49,40749449803,-16599,40715617935
alcatel,aawOm,-116,64,2024-09-04 12-05-24,40783401842,11124,40704489957
alcatel,pdfDSA,108,96,2024-09-04 12-05-50,40794330297,-24681,40732549081
alcatel,OVp,-128,0,2024-09-04 12-09-01,40766620209,-20066,40755581602
alcatel,eIQ,-35,116,2024-09-04 12-08-56,40777886735,30453,40768711049
alcatel,dUaWg,-55,-98,2024-09-04 12-08-20,40713959642,17877,40736821952
alcatel,zQsxKk,-8,57,2024-09-04 12-06-01,40770327466,-11861,40741911546
alcatel,GfbG,-88,-80,2024-09-04 12-09-43,40771501408,-22616,40769030603
alcatel,pCRxp,67,4,2024-09-04 12-06-52,40704764291,-26880,40705798147
alcatel,OzrFzl,116,109,2024-09-04 12-08-58,40731144375,-29720,40759287430
alcatel,wysxkD,99,125,2024-09-04 12-06-30,40771448917,-32753,40790719857
alcatel,otbA,31,42,2024-09-04 12-06-08,40724318597,-5287,40796810057
alcatel,eHw,104,76,2024-09-04 12-06-33,40770155387,-32572,40782106031
alcatel,UcOZ,-100,-24,2024-09-04 12-05-58,40781573569,-752,40734480042
alcatel,YuN,-120,-68,2024-09-04 12-09-25,40741637059,-10791,40713498515
alcatel,UXrdkO,-120,-18,2024-09-04 12-06-13,40740952713,-27084,40751231018
alcatel,FgEfr,86,-33,2024-09-04 12-05-42,40716356206,-4983,40781930492
alcatel,ziV,-49,13,2024-09-04 12-05-08,40700464433,31135,40796522892
alcatel,ZcoCK,-87,-77,2024-09-04 12-07-44,40772824843,13990,40709915158
alcatel,qXNN,-25,86,2024-09-04 12-08-57,40744575908,6045,40733041764
alcatel,aIBm,46,43,2024-09-04 12-08-59,40754986019,31971,40752698723
