src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,NoxxV,7,25,2024-09-04 12-23-27,40733175813,18050,40793062061
alcatel,UzwDm,109,123,2024-09-04 12-24-25,40734607647,21553,40713786866
alcatel,thhsEr,16,6,2024-09-04 12-23-18,40754170621,4689,40706589637
alcatel,aswN,-95,-12,2024-09-04 12-20-29,40746393433,-31651,40736747244
alcatel,FCLppY,17,111,2024-09-04 12-24-56,40792050422,-25294,40743019307
alcatel,zvg,-65,60,2024-09-04 12-23-28,40774152656,3609,40755419868
alcatel,aMLI,-22,-84,2024-09-04 12-24-48,40741603077,11282,40725596070
alcatel,tushB,-15,-6,2024-09-04 12-23-22,40757708103,31987,40717101345
alcatel,QgyaFc,85,126,2024-09-04 12-23-31,40795146882,4392,40723046680
alcatel,AGQRF,-35,81,2024-09-04 12-24-41,40745920864,20715,40792498697
alcatel,mtGa,-95,-61,2024-09-04 12-23-33,40703714036,6825,40743383074
alcatel,Yys,-128,-65,2024-09-04 12-21-56,40775394318,30814,40795492382
alcatel,goHN,-45,63,2024-09-04 12-22-07,40704372952,-25813,40719447350
alcatel,CxOXzW,-80,79,2024-09-04 12-23-12,40724350885,31916,40737410530
alcatel,SnKT,-102,31,2024-09-04 12-21-11,40743578837,-3169,40708954800
alcatel,vcImEZ,120,55,2024-09-04 12-22-21,40791581886,-32628,40775961568
alcatel,lDCHh,103,28,2024-09-04 12-24-11,40709714133,-11524,40732498666
alcatel,YNV,-86,-98,2024-09-04 12-23-18,40726890957,-24511,40796348228
alcatel,hrEU,42,54,2024-09-04 12-24-25,40784165861,-8966,40702794576
alcatel,Nszw,-121,76,2024-09-04 12-22-54,40769105402,29140,40771307386
alcatel,yvdb,91,11,2024-09-04 12-24-43,40793869061,18684,40711497790
alcatel,gAW,52,-42,2024-09-04 12-23-32,40776324572,-22262,40769753330
alcatel,vkg,12,-106,2024-09-04 12-20-12,40799458562,29235,40762306943
alcatel,azt,29,69,2024-09-04 12-23-40,40790180784,16893,40766146381
alcatel,cyM,126,117,2024-09-04 12-20-29,40763736552,-29372,40721837441
alcatel,pUa,8,72,2024-09-04 12-22-38,40731621479,-8510,40790604405
alcatel,GnnzyD,111,-58,2024-09-04 12-22-01,40700598894,-21969,40764155131
alcatel,rzYO,-18,-113,2024-09-04 12-22-49,40723211239,-6228,40724672323
alcatel,iUTIIj,41,57,2024-09-04 12-20-06,40799366592,15100,40742311644
alcatel,ZVeD,117,102,2024-09-04 12-24-50,40768169860,-9268,40752273359
alcatel,FPKqNy,98,-43,2024-09-04 12-22-28,40760513674,20107,40702027730
alcatel,GuOr,-69,38,2024-09-04 12-23-45,40757298077,9630,40707356129
alcatel,bPsyHF,41,-73,2024-09-04 12-21-52,40715927359,24612,40768369685
alcatel,orlNu,-61,27,2024-09-04 12-21-32,40737321250,29746,40794851707
alcatel,DtcFP,37,-81,2024-09-04 12-20-31,40712916601,20538,40722095595
alcatel,YzOzCi,-102,75,2024-09-04 12-23-04,40754697071,-815,40702554952
alcatel,fMsaE,-105,120,2024-09-04 12-23-57,40700888006,-26019,40723131879
alcatel,MfvYx,53,-64,2024-09-04 12-20-11,40737664543,14287,40701549117
alcatel,ZHllSY,4,-96,2024-09-04 12-20-21,40720278461,23207,40791267295
alcatel,nzTugS,49,-75,2024-09-04 12-23-26,40782383202,-22733,40789302582
alcatel,dzKXSL,-115,95,2024-09-04 12-20-57,40730960658,8528,40747282190
alcatel,FviZU,89,37,2024-09-04 12-21-19,40774447934,-6618,40790734946
alcatel,pscvze,99,19,2024-09-04 12-21-46,40768767352,24910,40766530476
alcatel,BEUZg,-64,5,2024-09-04 12-20-54,40777007707,11026,40787687713
alcatel,KWKWhl,11,-105,2024-09-04 12-21-36,40771196820,-4038,40780158515
alcatel,YNsg,-103,79,2024-09-04 12-22-16,40761374435,24829,40717124535
alcatel,SGlBH,47,55,2024-09-04 12-20-34,40767694300,-12697,40761618312
alcatel,TyNHiF,127,99,2024-09-04 12-23-14,40739873557,-15356,40784379095
alcatel,QOFcBC,62,-78,2024-09-04 12-23-02,40769355058,2642,40771567606
alcatel,qQC,124,-84,2024-09-04 12-21-52,40756687167,-16684,40746552557
alcatel,CDm,-63,85,2024-09-04 12-21-25,40771085028,-4764,40799270843
alcatel,nFS,-25,-81,2024-09-04 12-22-48,40712363614,15406,40729948145
alcatel,upS,-69,-76,2024-09-04 12-21-49,40763739863,-7911,40777740648
alcatel,EOxOO,-96,-34,2024-09-04 12-23-26,40744565738,-7336,40764847832
alcatel,GilEEb,-53,78,2024-09-04 12-23-40,40735515235,-11933,40705769132
alcatel,gKquAu,-115,33,2024-09-04 12-23-56,40701087207,823,40719366298
alcatel,MDNemi,41,62,2024-09-04 12-20-44,40735853246,-5291,40735557262
alcatel,MFPqiH,20,-103,2024-09-04 12-20-37,40758966679,7694,40757790000
alcatel,jlHUV,88,107,2024-09-04 12-20-09,40732715129,18482,40738096286
alcatel,oxf,-98,-8,2024-09-04 12-20-35,40764294932,-22849,40760666158
alcatel,aDRSLA,26,-53,2024-09-04 12-24-13,40700805293,-6331,40736325235
alcatel,DIzL,-98,99,2024-09-04 12-21-35,40771882500,2782,40736401941
alcatel,LZC,-43,-50,2024-09-04 12-20-06,40789188091,21512,40707298042
alcatel,ODQbh,-17,-77,2024-09-04 12-20-35,40710788053,-24751,40773020535
alcatel,KPHtM,42,38,2024-09-04 12-21-57,40722643239,19260,40714198689
alcatel,GLxeJ,-127,87,2024-09-04 12-21-10,40711815289,12888,40765121840
alcatel,RlkMW,-13,111,2024-09-04 12-24-53,40712577820,13334,40793201345
alcatel,MDcvBl,-82,53,2024-09-04 12-23-19,40750742097,-31544,40767223405
alcatel,YbJA,123,-52,2024-09-04 12-24-27,40750051194,6951,40761083262
alcatel,ebXA,-112,-10,2024-09-04 12-21-16,40748540387,6582,40713381362
alcatel,KUNecE,-113,-85,2024-09-04 12-21-27,40766576258,1530,40740309436
alcatel,DsBaCs,69,-42,2024-09-04 12-23-31,40718702897,26363,40797210306
alcatel,EXqf,-110,65,2024-09-04 12-20-54,40746357363,-7978,40796263369
alcatel,WBLcvm,-93,-126,2024-09-04 12-23-38,40785788219,-32237,40700892467
alcatel,uznoF,61,-65,2024-09-04 12-22-05,40701817718,5203,40724690325
alcatel,FJE,-125,-111,2024-09-04 12-24-04,40726097657,-4574,40702348514
alcatel,Sezn,-128,-108,2024-09-04 12-21-11,40736159451,17350,40775598732
alcatel,hqY,-11,71,2024-09-04 12-24-37,40758968430,-29757,40753274037
alcatel,Who,4,-94,2024-09-04 12-21-15,40793306315,-26205,40763141766
alcatel,jOWfaY,117,4,2024-09-04 12-22-02,40796070730,21173,40786797849
alcatel,YGs,-89,87,2024-09-04 12-20-05,40721229687,-12296,40718338630
alcatel,wAFhdv,-51,-120,2024-09-04 12-24-40,40770892744,31611,40703706571
alcatel,eKGZ,-123,7,2024-09-04 12-22-50,40730381897,19132,40791401061
alcatel,jzzqO,-7,71,2024-09-04 12-20-20,40760836175,-23530,40748842224
alcatel,dIV,-65,71,2024-09-04 12-23-27,40709172417,-31239,40756556677
alcatel,ZUFjyV,-15,33,2024-09-04 12-21-12,40739164747,25636,40711759097
alcatel,QDCD,-55,-65,2024-09-04 12-21-17,40784990788,2864,40774687141
alcatel,QrYQ,-75,-62,2024-09-04 12-21-23,40703348480,-19516,40768780065
alcatel,POyiX,-51,119,2024-09-04 12-22-03,40747274643,15728,40736335521
alcatel,fmLkw,3,-20,2024-09-04 12-22-47,40777574458,-5171,40708676987
alcatel,cAbb,21,4,2024-09-04 12-24-43,40724735107,21051,40774711810
alcatel,HZvuz,-99,74,2024-09-04 12-20-35,40737639076,-19493,40724693176
alcatel,TdlOfp,-83,38,2024-09-04 12-22-57,40791830476,-9926,40752104379
alcatel,kwWqL,110,-69,2024-09-04 12-22-37,40791309029,-18521,40749793427
alcatel,HXsCxU,45,-6,2024-09-04 12-21-13,40701665517,-8210,40704257930
alcatel,NomYu,-100,37,2024-09-04 12-21-52,40724587848,-23966,40757490775
alcatel,EfY,-92,31,2024-09-04 12-20-28,40780649482,19156,40781232909
alcatel,pBnbAa,-103,-79,2024-09-04 12-20-06,40700781665,18338,40780532769
alcatel,RXztN,-38,-126,2024-09-04 12-21-44,40707506680,26812,40757245913
alcatel,mJRbez,-51,-4,2024-09-04 12-22-27,40763302313,12519,40718420187
alcatel,SqrnC,-91,-23,2024-09-04 12-23-07,40727166505,-30666,40737826347
alcatel,Rat,94,-23,2024-09-04 12-23-06,40711071127,18958,40712128762
alcatel,CpI,30,58,2024-09-04 12-22-59,40721692956,-30190,40762902116
alcatel,LMf,-22,112,2024-09-04 12-22-10,40759447669,13788,40776132907
alcatel,VtY,2,126,2024-09-04 12-23-28,40797250225,-28853,40725252289
alcatel,GAwiCy,-59,-20,2024-09-04 12-23-36,40707581053,30401,40745683433
alcatel,UWQoEy,53,6,2024-09-04 12-21-36,40716408157,13565,40744882518
alcatel,EuPzE,-45,68,2024-09-04 12-24-27,40785408808,28280,40748288964
alcatel,DAqPMO,-5,-22,2024-09-04 12-22-24,40725023682,-885,40768031718
alcatel,RUuZQg,-21,54,2024-09-04 12-22-50,40723856669,-9057,40784267039
alcatel,BgiEZ,89,-46,2024-09-04 12-24-44,40747063798,-26334,40769730043
alcatel,EhBFZ,11,-110,2024-09-04 12-22-50,40795937312,24660,40705254563
alcatel,BBs,-120,115,2024-09-04 12-23-15,40715412220,29871,40745089223
alcatel,IgiGSr,117,18,2024-09-04 12-23-26,40713715685,19946,40721864342
alcatel,sIgf,-6,115,2024-09-04 12-23-17,40702467287,-31465,40778821230
alcatel,MxJ,38,125,2024-09-04 12-21-06,40720554653,2003,40762787971
alcatel,jZzV,45,-87,2024-09-04 12-21-18,40762392265,-27812,40753440225
alcatel,sabx,11,-52,2024-09-04 12-24-31,40744930651,7925,40709263854
alcatel,BTg,7,-97,2024-09-04 12-20-29,40762806354,2415,40719030593
alcatel,BMgf,1,95,2024-09-04 12-21-37,40795675585,30090,40712232801
alcatel,WyXKkf,50,-7,2024-09-04 12-21-45,40730975060,9789,40703189502
alcatel,EWCG,68,103,2024-09-04 12-20-27,40768318236,8404,40773087957
alcatel,ITaP,-63,-23,2024-09-04 12-22-17,40783759194,26470,40739988788
alcatel,nUdYJ,-82,124,2024-09-04 12-24-39,40710193340,8391,40726373148
alcatel,CqHp,-116,122,2024-09-04 12-24-08,40702207050,-16670,40720382437
alcatel,beiRXW,-16,-32,2024-09-04 12-24-01,40782580417,-13827,40719765432
alcatel,zAlg,34,52,2024-09-04 12-24-21,40778387926,4105,40727463029
alcatel,mKnaNr,-108,-100,2024-09-04 12-22-50,40783006839,-22472,40768566845
alcatel,pcq,-128,-3,2024-09-04 12-20-38,40702994168,-5601,40741417381
alcatel,zUH,28,-82,2024-09-04 12-22-51,40718009315,15935,40712197391
alcatel,Intf,18,93,2024-09-04 12-20-23,40791270430,-9983,40770479425
alcatel,gHh,-45,126,2024-09-04 12-24-09,40775636286,20890,40722604040
alcatel,VDOzSV,-32,-5,2024-09-04 12-22-07,40741015405,-24486,40711343017
alcatel,Lwxp,-123,-102,2024-09-04 12-24-04,40769115204,-23113,40703344544
alcatel,flA,107,95,2024-09-04 12-24-26,40707394955,-24419,40777036169
alcatel,iRgIpJ,55,97,2024-09-04 12-24-36,40769580433,25401,40755548778
alcatel,sdEjLz,-66,-118,2024-09-04 12-21-09,40785371013,6325,40729781890
alcatel,vOnT,75,81,2024-09-04 12-22-44,40734875456,-8780,40714192305
