src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,hSf,25,-83,2024-09-04 12-50-38,40745521306,26709,40752118864
alcatel,KAt,127,-120,2024-09-04 12-50-50,40798674754,13699,40762991393
alcatel,HFhaFA,108,12,2024-09-04 12-50-24,40707811507,-12033,40791268134
alcatel,VWaxR,-54,-111,2024-09-04 12-51-13,40794501356,-10445,40775307843
alcatel,phLK,74,-69,2024-09-04 12-50-05,40743943166,24803,40740051356
alcatel,QFooB,-5,-11,2024-09-04 12-53-25,40787032605,-17410,40762572619
alcatel,MDe,-50,20,2024-09-04 12-50-12,40746860726,1507,40742482744
alcatel,LWjyf,-65,85,2024-09-04 12-52-59,40738308688,12774,40760906424
alcatel,nOEz,-123,67,2024-09-04 12-54-52,40794753129,24783,40729461654
alcatel,vvMGU,-74,20,2024-09-04 12-51-45,40722233159,-2788,40712487974
alcatel,pfN,-106,38,2024-09-04 12-52-39,40785205984,11291,40758821621
alcatel,GiSraP,82,54,2024-09-04 12-54-54,40712717924,13055,40778286359
alcatel,Mlgaqy,50,-13,2024-09-04 12-50-52,40785850292,28852,40796596134
alcatel,bOzI,-51,117,2024-09-04 12-53-23,40743601341,-20223,40785774932
alcatel,hhs,-127,-70,2024-09-04 12-50-54,40731383546,-25254,40773530328
alcatel,QDqUo,-103,-30,2024-09-04 12-52-38,40741150327,2509,40722017172
alcatel,igE,60,87,2024-09-04 12-51-45,40732818448,29712,40753516040
alcatel,mlI,-102,61,2024-09-04 12-53-16,40741245050,-27663,40706785660
alcatel,jPyb,110,113,2024-09-04 12-52-13,40733931710,29200,40749429783
alcatel,mRPs,-38,87,2024-09-04 12-53-15,40715383400,-30325,40702852687
alcatel,fwNV,110,-78,2024-09-04 12-54-29,40700099087,16218,40702141108
alcatel,kKJA,-91,-73,2024-09-04 12-53-02,40764972399,-15018,40737844811
alcatel,LypQ,58,18,2024-09-04 12-52-28,40717293004,4335,40716063476
alcatel,MrlzY,-121,27,2024-09-04 12-51-20,40788343250,29861,40717044174
alcatel,KfeQ,-36,120,2024-09-04 12-51-32,40740938519,-5404,40781138668
alcatel,StJ,3,-106,2024-09-04 12-52-38,40701194061,-416,40793183939
