src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,JwH,-65,87,2024-09-04 13-14-12,40753860675,-24863,40702527282
alcatel,GTj,-35,-111,2024-09-04 13-12-08,40710607741,-15444,40744009937
alcatel,UDc,-68,35,2024-09-04 13-10-26,40788936132,-1700,40724336111
alcatel,CiapI,46,-73,2024-09-04 13-10-20,40741159594,-25902,40726415766
alcatel,Jjzfpx,14,51,2024-09-04 13-10-07,40781469715,26376,40707498659
alcatel,cuXQ,-59,108,2024-09-04 13-12-14,40799587118,18936,40781628192
alcatel,BBae,-97,62,2024-09-04 13-12-51,40700515263,-21919,40775216367
alcatel,jYW,42,27,2024-09-04 13-10-24,40771150265,-12840,40734354191
alcatel,fnzpz,-90,-108,2024-09-04 13-10-57,40747695586,10478,40756831896
alcatel,ujrP,43,88,2024-09-04 13-11-12,40721212643,-13509,40782927306
alcatel,lJXhz,87,47,2024-09-04 13-11-22,40770389884,-32506,40722100465
alcatel,KSpsw,-44,-121,2024-09-04 13-12-47,40777978441,22175,40710789104
alcatel,vCSxIT,97,-38,2024-09-04 13-14-14,40748085174,-11965,40715912298
alcatel,WhDoMG,-10,-115,2024-09-04 13-12-02,40775309482,-3396,40743098326
alcatel,Yly,-64,27,2024-09-04 13-10-39,40750944625,-24990,40735460020
alcatel,XXOUw,-44,84,2024-09-04 13-12-35,40770331608,-29971,40747105445
alcatel,Jpf,41,-8,2024-09-04 13-10-56,40798007140,9878,40783861108
alcatel,RueWf,-123,-97,2024-09-04 13-14-44,40793290279,29613,40738261900
alcatel,Xtwd,-116,63,2024-09-04 13-13-32,40779941981,-5642,40752270073
alcatel,gLheEL,71,-102,2024-09-04 13-13-00,40776593354,-23330,40769042124
alcatel,hBkGqD,-97,-67,2024-09-04 13-10-25,40706023077,8679,40766206197
alcatel,CndlVd,-25,78,2024-09-04 13-11-04,40714582107,-26630,40779546236
alcatel,YYN,19,79,2024-09-04 13-12-48,40721175858,9840,40793557611
alcatel,IiOij,-91,-76,2024-09-04 13-12-41,40712921915,-17748,40759258178
alcatel,azNp,-123,-43,2024-09-04 13-14-34,40785369561,20442,40743272643
alcatel,yQBMim,95,117,2024-09-04 13-14-14,40702353492,-26433,40727606909
alcatel,MaHM,33,76,2024-09-04 13-11-41,40709525500,-3209,40788702533
alcatel,Rbr,-67,68,2024-09-04 13-14-20,40722304863,14468,40744529644
alcatel,RpvjaP,-92,10,2024-09-04 13-14-56,40764834481,20900,40758594882
alcatel,GQrXX,-124,108,2024-09-04 13-14-00,40760956272,28053,40785275327
alcatel,KrSoM,-119,-15,2024-09-04 13-12-43,40741538876,27189,40706266342
alcatel,lTlOB,-56,83,2024-09-04 13-12-13,40735369988,19653,40789998039
alcatel,SYbHX,53,-64,2024-09-04 13-11-20,40784671986,28080,40706511335
alcatel,lVQrZb,-78,94,2024-09-04 13-11-52,40701536726,-24792,40787915712
alcatel,vLUzJS,4,-48,2024-09-04 13-14-06,40735245046,3453,40719969018
alcatel,aHinr,32,61,2024-09-04 13-10-03,40776248841,30012,40742632435
alcatel,wEzZDN,-114,-66,2024-09-04 13-12-08,40785717110,-28244,40796092383
alcatel,FvnYf,-20,-120,2024-09-04 13-11-36,40766347657,11202,40729336620
alcatel,IrQAE,-111,-103,2024-09-04 13-12-24,40750141883,25487,40781936217
alcatel,pfO,63,-93,2024-09-04 13-13-30,40786365749,27641,40737703493
alcatel,EnTtGR,-120,-52,2024-09-04 13-14-14,40702324900,17815,40720481683
alcatel,TXpdWb,-122,-52,2024-09-04 13-12-11,40742626566,-16638,40763989449
alcatel,dFUQkv,0,-50,2024-09-04 13-14-01,40729910815,-19703,40728066419
alcatel,fTKx,-70,51,2024-09-04 13-13-52,40713671628,-20448,40782161956
alcatel,imCfb,118,61,2024-09-04 13-11-45,40742709388,-27040,40727511017
alcatel,byja,6,9,2024-09-04 13-11-17,40764993849,30866,40715640895
alcatel,mvfpoS,-73,123,2024-09-04 13-10-25,40788853516,17017,40741407611
alcatel,eNQCZ,10,9,2024-09-04 13-13-59,40793120440,7342,40795111500
alcatel,TYdLg,-8,30,2024-09-04 13-11-36,40714523238,-17099,40784291494
alcatel,qfh,60,-105,2024-09-04 13-10-59,40791355806,-17067,40753677598
alcatel,gNwGF,79,32,2024-09-04 13-12-47,40728002446,21044,40781158458
alcatel,Baodbp,70,40,2024-09-04 13-12-27,40711595141,12350,40746297092
alcatel,HRl,-127,-92,2024-09-04 13-13-43,40755853177,-3799,40730898069
alcatel,oVnyp,76,115,2024-09-04 13-11-33,40752752666,-32630,40716071658
alcatel,ZlZsr,100,-6,2024-09-04 13-11-46,40741040629,-27384,40703826837
alcatel,wNT,125,62,2024-09-04 13-10-33,40758700758,-19753,40725652267
alcatel,bXG,111,-40,2024-09-04 13-10-32,40773090451,10558,40757135743
alcatel,lRWbbg,117,26,2024-09-04 13-10-35,40708906013,5600,40776726588
alcatel,ljK,-116,-33,2024-09-04 13-14-38,40754944846,-2587,40751759675
alcatel,sYUSzq,-61,112,2024-09-04 13-12-33,40783127509,31476,40777125482
alcatel,NsVQwy,-54,-43,2024-09-04 13-10-44,40702345087,-19214,40768104176
alcatel,WUthy,-22,5,2024-09-04 13-10-08,40776501428,-7230,40736135285
alcatel,BEoKDY,-90,48,2024-09-04 13-10-30,40725034138,-12637,40792051972
alcatel,fzaNmy,57,35,2024-09-04 13-13-50,40769366262,-28457,40760901475
alcatel,OwGDj,-66,60,2024-09-04 13-10-07,40736824690,-18464,40714573883
alcatel,SLxcN,-85,-39,2024-09-04 13-13-25,40727527996,-30549,40743516525
alcatel,aZwbO,-79,-128,2024-09-04 13-12-12,40724553589,-26893,40712329349
alcatel,mXyUg,98,-65,2024-09-04 13-12-01,40754508982,-9935,40724833003
alcatel,bcoa,-100,-126,2024-09-04 13-12-22,40764217178,445,40773773614
alcatel,MdtcD,4,81,2024-09-04 13-10-30,40735481887,-7329,40714591564
alcatel,vOCT,14,115,2024-09-04 13-13-35,40784892572,2297,40784265301
alcatel,Vbi,-66,70,2024-09-04 13-10-40,40796706419,17024,40706012930
alcatel,dWz,-9,5,2024-09-04 13-13-23,40754610249,-11840,40740466682
alcatel,YfkKf,117,7,2024-09-04 13-12-36,40781502812,29433,40706002251
alcatel,EsTqV,-125,125,2024-09-04 13-13-17,40742980275,-23811,40744931096
alcatel,CGtC,112,29,2024-09-04 13-14-12,40750500034,-16775,40768138131
alcatel,jAE,78,66,2024-09-04 13-10-07,40782552944,30494,40780626100
alcatel,fAAryP,-17,-36,2024-09-04 13-13-13,40725914670,28047,40747884424
alcatel,NLLil,-76,29,2024-09-04 13-13-49,40739181632,-4286,40762774632
alcatel,mZyvR,3,0,2024-09-04 13-14-23,40778322768,-7758,40712673093
alcatel,FHP,8,-121,2024-09-04 13-11-39,40792309477,-29886,40762917258
alcatel,Idmbg,-23,-103,2024-09-04 13-10-02,40758855273,-25056,40788084950
alcatel,jvKSR,-107,59,2024-09-04 13-13-38,40782685762,7204,40707169647
alcatel,ixUqkz,-110,32,2024-09-04 13-11-15,40732544170,-5985,40792840445
alcatel,VRYGY,-29,120,2024-09-04 13-14-00,40716329568,-22738,40739982788
alcatel,kDZ,28,1,2024-09-04 13-13-15,40716543238,-5063,40738997554
alcatel,OXFOy,-6,35,2024-09-04 13-12-26,40715013328,-31168,40761760154
alcatel,Jxig,-70,112,2024-09-04 13-11-09,40702464772,27364,40753530157
alcatel,WDg,-80,-40,2024-09-04 13-12-36,40763788106,-29011,40747619181
alcatel,zPj,-109,-16,2024-09-04 13-10-56,40769642201,-20938,40748664756
alcatel,EOc,18,-45,2024-09-04 13-12-35,40741315447,-31537,40702933924
alcatel,eRHL,-6,-30,2024-09-04 13-13-40,40793840941,3598,40775755163
alcatel,iigx,-81,-79,2024-09-04 13-13-45,40725911241,-22601,40729667488
alcatel,tMLcLt,5,-60,2024-09-04 13-11-57,40711668192,27913,40715662397
alcatel,Egcbp,-94,18,2024-09-04 13-10-05,40767473500,1009,40797573575
alcatel,BPnZg,-16,42,2024-09-04 13-13-44,40789030293,-27777,40705656177
alcatel,dTU,97,0,2024-09-04 13-11-54,40787190861,-27003,40736332519
alcatel,vEE,-38,-74,2024-09-04 13-10-37,40769027944,16630,40707022755
alcatel,yCOPuf,-99,-90,2024-09-04 13-12-50,40707580127,-20448,40792486089
alcatel,TdFOY,-60,-62,2024-09-04 13-10-53,40787605144,26766,40773089870
alcatel,DFN,-32,-53,2024-09-04 13-10-18,40708325269,7392,40716446223
alcatel,lvyuR,-79,78,2024-09-04 13-11-35,40793481169,-25445,40789084147
alcatel,zEuzU,-82,84,2024-09-04 13-11-34,40799736169,26666,40759875493
alcatel,rDWQ,115,-37,2024-09-04 13-11-42,40772337907,-3595,40745135771
alcatel,xEfzOy,-10,-52,2024-09-04 13-13-59,40745207262,-9945,40705392694
alcatel,IcxviO,77,88,2024-09-04 13-10-45,40768578107,30377,40794779082
alcatel,qlpoEX,107,-103,2024-09-04 13-14-07,40753490775,3642,40786209775
alcatel,oqLX,28,5,2024-09-04 13-10-07,40797709077,2549,40720519567
alcatel,dwAzHu,-63,2,2024-09-04 13-10-04,40792504550,-26635,40710483636
alcatel,eLao,42,16,2024-09-04 13-12-41,40768211995,31806,40734342083
alcatel,cJay,-64,65,2024-09-04 13-14-26,40716381370,24971,40750622338
alcatel,KIwF,-86,-83,2024-09-04 13-13-36,40737060748,15683,40764095058
