src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,vWpeK,27,-37,2024-09-04 13-27-45,40711129030,25417,40766593462
alcatel,aDJSD,-106,92,2024-09-04 13-29-16,40744888695,19810,40778423316
alcatel,crCFpX,-43,-112,2024-09-04 13-26-48,40786739834,-22878,40797075598
alcatel,ajC,31,-8,2024-09-04 13-27-11,40767558726,11719,40724902323
alcatel,cEbb,54,87,2024-09-04 13-27-49,40754084854,-16947,40703623875
alcatel,OxDpmQ,-110,83,2024-09-04 13-25-47,40783385541,-28315,40723324018
alcatel,vwwpiM,-89,93,2024-09-04 13-29-51,40764641342,30974,40789864288
alcatel,XWYQWy,-96,-94,2024-09-04 13-26-12,40703183233,-25009,40729154726
alcatel,NQI,-6,-123,2024-09-04 13-27-40,40772797571,27307,40791093273
alcatel,lsXx,-36,-107,2024-09-04 13-25-26,40797797826,3637,40721456338
alcatel,HoH,-24,-50,2024-09-04 13-29-11,40785263603,6720,40721762045
alcatel,nRA,104,6,2024-09-04 13-28-16,40775236185,30528,40768594594
alcatel,BrLQPY,16,-122,2024-09-04 13-29-47,40746173687,-18125,40782503820
alcatel,GsiDNq,16,97,2024-09-04 13-27-27,40727675199,28180,40707965957
alcatel,APgnZc,-25,50,2024-09-04 13-29-21,40730988733,-23633,40777858861
alcatel,brUos,34,-6,2024-09-04 13-25-31,40796201653,-11050,40725013654
alcatel,EWZ,-12,0,2024-09-04 13-29-17,40712143811,30057,40772953271
alcatel,Rdt,104,-23,2024-09-04 13-27-25,40719153194,22835,40745955240
alcatel,CDJX,-8,-105,2024-09-04 13-26-08,40772144308,1133,40768869311
alcatel,dmvNh,24,-35,2024-09-04 13-25-41,40732498917,31399,40704432142
alcatel,JjPBf,110,67,2024-09-04 13-29-04,40708772830,-1168,40739379213
alcatel,uUPon,-40,-100,2024-09-04 13-28-14,40779546384,-24540,40795902190
alcatel,ToA,-34,88,2024-09-04 13-28-20,40787171135,-17061,40794468302
alcatel,Iqf,-32,81,2024-09-04 13-27-56,40706287942,-25526,40711111194
alcatel,coImQM,-81,46,2024-09-04 13-29-43,40787399904,23790,40729669196
alcatel,KBNrS,-114,-23,2024-09-04 13-29-21,40785072563,-17648,40716813566
alcatel,Yvb,71,13,2024-09-04 13-28-45,40756871891,1947,40719282221
alcatel,eCvM,65,38,2024-09-04 13-29-15,40744439985,-21965,40765123082
alcatel,fHKq,98,-124,2024-09-04 13-25-54,40710238217,-13580,40716206281
alcatel,AZlq,-17,-118,2024-09-04 13-27-01,40729824999,29443,40711275506
alcatel,lwas,-33,42,2024-09-04 13-28-50,40722380978,-10357,40706660443
alcatel,EmsYS,-91,73,2024-09-04 13-25-23,40705760057,12429,40768451672
alcatel,kyzUB,60,76,2024-09-04 13-27-40,40742292126,22141,40760773964
alcatel,ghZzW,19,119,2024-09-04 13-27-17,40724679571,-19956,40723274439
alcatel,jcXW,-96,-30,2024-09-04 13-26-33,40751141654,31546,40738292719
alcatel,fsNA,113,-84,2024-09-04 13-29-16,40771531385,21446,40774038807
alcatel,obJ,79,-127,2024-09-04 13-26-05,40774239351,24546,40791911293
alcatel,VCPu,54,-72,2024-09-04 13-29-05,40767081813,-10066,40759967105
alcatel,jrP,-50,7,2024-09-04 13-26-11,40764338469,-4006,40795431736
alcatel,jNz,66,-121,2024-09-04 13-26-15,40707606290,-16595,40798806190
alcatel,uJyoR,36,35,2024-09-04 13-28-42,40745831226,-20029,40795233971
