src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,iBbbNo,36,-96,2024-09-04 13-45-51,40738305252,28351,40712461947
alcatel,BNgo,-20,-82,2024-09-04 13-49-28,40712746471,21029,40703832009
alcatel,LFX,79,-103,2024-09-04 13-48-13,40782422025,-3782,40701586809
alcatel,DNIF,127,-113,2024-09-04 13-47-40,40789203205,2810,40733799529
alcatel,EtaIEg,-38,62,2024-09-04 13-49-12,40791451498,-25522,40707411473
alcatel,JbCy,-58,-65,2024-09-04 13-47-32,40735351426,12412,40797842264
alcatel,quTB,-69,52,2024-09-04 13-48-35,40759118454,-84,40713767673
alcatel,AJOvFG,66,111,2024-09-04 13-45-46,40770517394,18775,40799387251
alcatel,YRpX,120,-31,2024-09-04 13-49-08,40775183480,-3290,40719827350
alcatel,OhkHaV,114,-8,2024-09-04 13-48-50,40730094014,-16356,40767919104
alcatel,ONF,-107,-17,2024-09-04 13-48-57,40703358539,2304,40723552053
alcatel,zZO,9,45,2024-09-04 13-48-47,40760281068,-29936,40747530528
alcatel,cgj,-86,-77,2024-09-04 13-49-30,40782019817,19369,40799483518
alcatel,ubxC,-10,-91,2024-09-04 13-48-40,40756800670,11461,40739169973
alcatel,WwQ,-120,-9,2024-09-04 13-46-00,40777492931,-15887,40782649220
alcatel,pek,-95,-113,2024-09-04 13-49-13,40785851856,-2487,40729566434
alcatel,fvxah,-53,29,2024-09-04 13-46-05,40757996022,30857,40716500344
alcatel,PPH,-43,55,2024-09-04 13-49-44,40745047218,30736,40724354460
alcatel,DwYI,-22,83,2024-09-04 13-46-04,40764017990,1657,40749290476
alcatel,EZn,-100,-33,2024-09-04 13-48-07,40708448421,279,40769884334
alcatel,PJqdT,-110,101,2024-09-04 13-46-54,40711266476,14169,40732613569
alcatel,FOCLc,-54,116,2024-09-04 13-49-27,40775052794,15473,40793216771
alcatel,EiWR,47,-68,2024-09-04 13-46-33,40713200994,181,40726898085
