src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,NyY,-48,-46,2024-09-04 13-56-00,40773470962,449,40739788458
alcatel,ANW,-111,125,2024-09-04 13-58-20,40755779192,31345,40799049344
alcatel,RgeC,45,107,2024-09-04 13-59-51,40764508362,-28113,40792270522
alcatel,yVXa,-92,19,2024-09-04 14-00-00,40780784392,26729,40755660844
alcatel,rrs,42,108,2024-09-04 13-58-48,40768027332,-847,40777326363
alcatel,gqat,114,-50,2024-09-04 13-59-44,40761939463,-24437,40709021552
alcatel,SPvcn,33,-92,2024-09-04 13-56-25,40704092836,-3722,40770218605
alcatel,TDjJ,-33,-87,2024-09-04 13-58-16,40790473993,-9948,40776881090
alcatel,PtPb,5,-121,2024-09-04 13-56-04,40759400227,-21171,40779028414
alcatel,PSSgO,-48,-94,2024-09-04 13-55-06,40751029692,-3564,40725755591
alcatel,WgNsGv,-83,16,2024-09-04 13-58-19,40793356031,22349,40765181388
alcatel,Poqd,-87,-53,2024-09-04 13-56-28,40768491915,-12722,40795032433
alcatel,lFKA,98,-34,2024-09-04 13-56-44,40724744325,5433,40769619208
alcatel,nPYwLD,111,-114,2024-09-04 13-57-42,40792588298,-8524,40733172454
alcatel,DeeV,-20,73,2024-09-04 13-59-30,40749057354,-22469,40763545932
alcatel,ikfmCm,10,80,2024-09-04 13-58-40,40783093930,-19797,40766043576
alcatel,FSTG,-125,-96,2024-09-04 13-55-46,40727419766,-24050,40709223341
alcatel,OSrxBw,19,30,2024-09-04 13-58-16,40792830501,-294,40774397421
alcatel,VRVD,44,-40,2024-09-04 13-56-24,40723176142,4157,40708088856
alcatel,QjE,-49,-26,2024-09-04 13-56-00,40754531294,-17398,40723733511
alcatel,abrr,-23,-118,2024-09-04 13-59-11,40771752403,11962,40776413709
alcatel,FRwq,-107,-106,2024-09-04 13-55-26,40764677234,-12549,40743241297
alcatel,qGB,81,78,2024-09-04 13-58-05,40700312308,-8013,40771129541
alcatel,ibXgd,53,-51,2024-09-04 13-55-46,40704819525,10123,40727927388
alcatel,LzGKv,22,-47,2024-09-04 13-59-21,40701688986,31836,40740865476
alcatel,VcbY,-36,-85,2024-09-04 13-58-33,40712709460,18800,40758453548
alcatel,AsGL,-122,-61,2024-09-04 13-56-26,40777618710,-16281,40734706677
alcatel,FceIN,58,91,2024-09-04 13-58-18,40781598180,20190,40719730915
alcatel,jgJkGA,-76,86,2024-09-04 13-57-42,40782178019,-17379,40757218789
alcatel,mcDLsS,-24,-64,2024-09-04 13-56-37,40728315021,29136,40786877577
alcatel,FUM,92,33,2024-09-04 13-57-20,40732683536,31401,40703541602
alcatel,pOS,-118,97,2024-09-04 13-55-40,40763514329,-19277,40731786612
alcatel,XNMfyA,91,-57,2024-09-04 13-59-25,40732601688,11324,40729684403
alcatel,qMUYJ,113,2,2024-09-04 13-57-12,40794124509,-12490,40726130699
alcatel,spsr,-68,-110,2024-09-04 13-57-40,40753890199,18956,40707691586
alcatel,kDzr,91,-123,2024-09-04 13-58-16,40767951446,20144,40700701432
alcatel,TuYa,-29,-11,2024-09-04 13-58-54,40761412429,-1667,40722974789
alcatel,wnvRiu,-118,-15,2024-09-04 13-58-03,40749245941,27028,40765173078
alcatel,lLVmG,-49,-34,2024-09-04 13-57-23,40720088263,-2745,40720516641
alcatel,hXnrk,99,-92,2024-09-04 13-55-57,40713913186,-28233,40737332517
alcatel,sZEnET,122,57,2024-09-04 13-56-05,40746450774,-24667,40736982520
alcatel,tidLib,99,78,2024-09-04 13-55-40,40761652108,19884,40789616027
alcatel,zoX,-21,61,2024-09-04 13-55-44,40744510242,14174,40727821088
alcatel,WWufE,112,59,2024-09-04 13-55-30,40702361917,-11329,40791400706
alcatel,pEVFt,116,44,2024-09-04 13-58-04,40712605036,-24469,40746943419
