src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,8,226057988367745,40727799041,2024-09-03 15-31-22,108.148.13.194,-990302572,internet,122.10.77.52,143850682,-986099347,-5498,-36
huawei,124,226053442134867,40753833650,2024-09-03 15-34-23,95.60.70.145,198226918,internet,141.205.98.14,799678428,-603670754,-5788,75
huawei,-61,226052117235629,40785569459,2024-09-03 15-34-14,247.10.10.199,-740849014,ims,109.77.172.219,-1545118010,1614146596,-4388,-125
huawei,119,226058417372883,40752666204,2024-09-03 15-33-09,173.186.196.175,1225355323,ims,28.123.147.66,777192627,1448452999,15454,-96
huawei,67,226053015951306,40752242536,2024-09-03 15-35-03,217.10.98.208,518712310,ims,232.141.121.233,-1179358298,-827118182,-15391,103
huawei,-34,226052635172061,40750585464,2024-09-03 15-33-12,59.103.193.131,-1478751590,ims,174.19.128.242,-1632265902,1912999220,-26408,66
huawei,1,226058594106458,40762662057,2024-09-03 15-34-30,206.55.208.23,2080873718,ims,16.88.192.41,1561530929,589443561,13740,-12
huawei,-115,226051669894037,40789883773,2024-09-03 15-33-39,172.166.68.223,-1993583572,internet,131.197.68.252,-1532278451,1298820411,-5771,108
huawei,56,226058738793130,40718172709,2024-09-03 15-32-45,202.5.74.222,-1477712100,ims,234.128.211.135,-740372471,-63263477,24370,-116
huawei,-120,226051917232024,40773499539,2024-09-03 15-35-05,26.146.244.241,-1018080952,ims,84.236.198.161,-1453539260,502789687,6365,-78
huawei,14,226050692455488,40785825331,2024-09-03 15-33-37,105.63.186.43,45324249,ims,246.169.126.193,-1108090589,-1855681167,1135,123
huawei,64,226052378806382,40706789742,2024-09-03 15-31-14,207.222.29.211,1866080951,internet,163.143.222.177,1334186795,-941312145,-8214,-52
huawei,-89,226057755937961,40761243397,2024-09-03 15-32-23,111.154.160.74,994759987,internet,205.3.91.156,243748912,-2079026077,-15910,-101
huawei,28,226059548609416,40736555354,2024-09-03 15-34-57,94.17.44.206,438161475,ims,58.226.211.2,-1507590816,474253093,5708,-81
huawei,16,226050408108609,40722912392,2024-09-03 15-35-30,254.166.66.4,1414807843,internet,219.74.213.100,1321621030,-427129472,-20597,-16
huawei,56,226052888670770,40781188599,2024-09-03 15-35-45,23.94.22.5,-1780651811,internet,33.77.226.208,88623722,89372886,-20302,25
huawei,67,226058002033975,40710554556,2024-09-03 15-30-46,127.61.56.170,1908751584,internet,198.230.91.94,224257222,-934705887,18050,-30
huawei,49,226057772133046,40793142357,2024-09-03 15-31-01,165.230.165.146,1161989570,internet,220.203.189.73,-1314481576,814091421,5071,-107
huawei,33,226054495455537,40766761338,2024-09-03 15-35-15,93.194.253.132,3340216,ims,143.95.200.196,-1408790868,706002132,-7182,9
huawei,36,226053299307455,40740334345,2024-09-03 15-30-56,167.189.169.235,1280740890,ims,246.138.70.184,95797548,-923650727,30653,-79
huawei,123,226056956574720,40758129913,2024-09-03 15-33-07,85.131.77.193,109460649,ims,171.203.239.90,-600311775,-1105201481,3338,-115
huawei,-22,226058925668901,40728189589,2024-09-03 15-33-56,147.244.93.192,599100062,internet,67.156.20.119,1226024923,-1877020407,11467,-34
huawei,-72,226054261299248,40775338503,2024-09-03 15-33-53,223.177.168.75,36097534,internet,255.202.197.16,-626892133,30264401,7713,-6
huawei,-93,226059303330331,40768638034,2024-09-03 15-33-33,109.19.70.145,2057875396,internet,47.254.118.12,-899478394,-747478807,-17198,-1
huawei,41,226058302353556,40742182819,2024-09-03 15-31-42,116.182.9.151,1560007655,ims,139.12.247.202,592096473,-1630456345,-21887,-88
huawei,-66,226051216417620,40752845998,2024-09-03 15-33-35,66.238.63.180,445747261,ims,139.37.25.76,404069011,-2139594615,-14796,-126
huawei,-110,226052264538290,40761780251,2024-09-03 15-35-28,49.13.47.89,-1982976592,ims,25.203.107.2,1442321751,665638578,14804,48
huawei,124,226053196654536,40753229644,2024-09-03 15-35-12,227.112.218.188,816233875,ims,106.50.247.177,-283449359,213055598,-16406,-43
huawei,-16,226056659714215,40712339923,2024-09-03 15-31-06,162.109.251.218,-1425036262,ims,113.151.169.93,-186483042,-1679500560,-875,-118
huawei,35,226056190833431,40700946956,2024-09-03 15-35-39,217.76.110.97,955146173,ims,185.22.99.207,828363409,-590908488,28861,-10
huawei,-22,226052433578506,40711982695,2024-09-03 15-34-01,28.53.66.38,1752705741,internet,61.162.230.32,1149735072,720520324,-23484,-115
huawei,100,226050257450040,40744297153,2024-09-03 15-31-02,234.141.240.22,-1911379801,internet,175.87.201.94,-1127592906,1960370734,-22027,80
huawei,89,226052508763052,40710112894,2024-09-03 15-34-19,212.187.215.14,-1154524487,ims,171.217.101.120,-1957002127,794717608,-29271,-119
huawei,59,226052018510741,40702779678,2024-09-03 15-33-06,99.179.89.39,1623370222,ims,96.9.121.147,-46290851,-1245872617,-21028,83
huawei,50,226054185696708,40724982019,2024-09-03 15-34-03,7.185.236.146,-1673917619,internet,193.149.111.240,880751417,576983100,24414,95
huawei,52,226055121029334,40773679702,2024-09-03 15-33-01,181.48.48.83,1380462414,internet,63.200.163.32,-1530077396,-150670732,9805,-71
huawei,-85,226056734716040,40792713023,2024-09-03 15-30-46,167.29.241.18,-1666031575,ims,201.149.158.144,1157062654,1381425042,-11597,108
huawei,-112,226050528889769,40712123038,2024-09-03 15-32-28,234.67.128.187,2019094120,ims,112.36.64.195,1604289781,1780492621,15925,61
huawei,13,226056666919153,40798016937,2024-09-03 15-33-23,16.153.29.233,-2094572411,ims,20.118.211.241,-1915503147,-1093391109,-30104,-124
huawei,-100,226051745548946,40708999094,2024-09-03 15-31-46,181.197.95.212,-379676993,internet,34.131.30.14,-1143744327,-206712033,-17692,-100
huawei,32,226057689759997,40772357666,2024-09-03 15-33-23,170.184.101.235,-114666405,ims,141.128.225.219,-1819257874,-1611995232,-23509,-22
huawei,-92,226050821041737,40768017096,2024-09-03 15-30-45,68.229.10.255,-496768676,ims,228.245.216.133,-1493141531,-661020504,18591,-10
huawei,69,226058605846505,40758262842,2024-09-03 15-35-44,32.237.235.201,-1828985121,ims,95.88.66.93,1633823344,-6907598,-27636,49
huawei,62,226054150036038,40764334945,2024-09-03 15-33-02,160.23.102.2,268547936,ims,147.152.29.43,-1117437783,-72725507,10539,47
huawei,104,226050731623603,40709887112,2024-09-03 15-30-53,25.71.6.210,1392641126,ims,16.8.102.216,112684256,1611972585,-22722,-109
huawei,11,226054992255173,40798616962,2024-09-03 15-32-15,252.14.42.40,725806886,ims,122.126.104.160,-1509193096,279424136,18157,11
huawei,-71,226051401366925,40767852237,2024-09-03 15-31-49,122.179.93.7,-1651725230,ims,239.237.84.144,-524559610,1108815932,-10605,22
huawei,-64,226055959705522,40753883526,2024-09-03 15-34-22,184.44.236.166,830510248,ims,174.127.102.22,945793534,-2043783634,31257,-28
huawei,99,226051388003677,40737865435,2024-09-03 15-30-48,255.95.157.234,-92303958,internet,250.232.181.116,1441241807,2073118775,-18916,-105
huawei,89,226056887486932,40724649711,2024-09-03 15-32-22,165.232.203.58,-835733511,ims,75.226.215.41,-908930446,-603349166,11112,56
huawei,110,226053608094749,40750132490,2024-09-03 15-32-27,41.179.162.146,-273856199,internet,180.99.56.151,1759391639,-1183656977,-25806,89
huawei,59,226050998805429,40772909736,2024-09-03 15-35-32,197.102.128.136,-1637614874,ims,211.88.245.253,1658153394,206695078,3415,-103
huawei,-45,226050427869292,40715844693,2024-09-03 15-33-50,61.173.156.124,1978725013,internet,59.9.226.182,-736091127,-1134203059,8768,121
huawei,-70,226055862102132,40776261115,2024-09-03 15-33-15,61.216.254.157,1150031427,ims,245.170.31.24,-339446131,-332277666,-2843,36
huawei,61,226052823372752,40727624497,2024-09-03 15-33-09,53.81.100.168,1813018070,ims,26.16.227.199,-1555186658,-681268917,5357,21
huawei,-84,226058251303466,40703358523,2024-09-03 15-35-39,167.195.246.144,1221859092,ims,68.235.118.184,-87502859,-1028842288,14027,32
huawei,-25,226055636535076,40724741522,2024-09-03 15-31-03,43.63.174.227,-727110390,internet,65.10.173.33,997108961,-1753298822,-3664,-105
huawei,56,226058122755061,40778352623,2024-09-03 15-31-32,172.141.144.60,-421779001,ims,227.153.56.183,1183809401,275151030,-62,-62
huawei,4,226050382743736,40734091070,2024-09-03 15-34-44,249.3.223.208,-2019667665,ims,47.15.60.197,-940499484,-1006265870,4005,109
huawei,-98,226055003986826,40777791669,2024-09-03 15-33-17,245.201.142.127,642272738,ims,155.157.64.17,-640379318,-1743965639,-10490,3
huawei,-53,226058194463366,40722382559,2024-09-03 15-30-51,73.209.226.146,1901856942,ims,162.237.182.201,730835814,1577748964,-14729,-104
huawei,-1,226055886557013,40798394450,2024-09-03 15-31-33,193.213.239.215,-15492046,ims,239.83.201.162,-160785432,-87989542,-8757,-72
huawei,77,226055144119332,40792682357,2024-09-03 15-30-53,3.54.201.8,-447362495,ims,21.28.194.99,-26394781,1923566950,-6400,-78
huawei,-42,226057352828009,40761762413,2024-09-03 15-34-38,35.11.79.232,-998418441,internet,11.132.16.38,1946511804,1450061579,-5348,82
huawei,60,226050057768670,40775472546,2024-09-03 15-33-07,81.183.192.129,-150084171,ims,11.180.46.211,1177140258,2039813349,15505,-85
huawei,86,226051778350943,40700986017,2024-09-03 15-35-30,245.221.190.105,252896789,ims,24.215.131.87,383342658,1359352660,-25576,-46
huawei,-37,226056577750521,40796762491,2024-09-03 15-35-15,142.251.72.81,-1229599086,internet,64.60.224.237,-986021847,745282252,-16464,15
huawei,-121,226059815721847,40778302602,2024-09-03 15-34-47,215.169.216.82,-1161307511,ims,188.201.232.185,1450888187,367556438,22555,111
huawei,102,226056511129923,40708213192,2024-09-03 15-31-39,34.222.92.187,-575356360,internet,191.66.225.162,884388266,405540444,-4681,37
huawei,15,226050135860580,40791500587,2024-09-03 15-34-50,150.62.213.13,-1763051367,ims,220.39.106.112,1995207241,-308762097,-20094,-109
huawei,53,226055745576725,40730148341,2024-09-03 15-33-04,197.128.111.128,-214587865,ims,220.8.177.240,603805308,357883806,6567,42
huawei,3,226053182364951,40701141813,2024-09-03 15-33-04,116.139.248.223,2011144616,ims,166.143.97.23,1496824299,1981189753,1100,-55
huawei,-14,226058623622988,40706645442,2024-09-03 15-31-52,78.48.250.43,1284443418,ims,188.247.223.76,887765377,-909247112,28897,26
huawei,21,226053449049991,40779873199,2024-09-03 15-35-31,82.30.246.116,1946652784,ims,115.65.245.48,1123820318,227078789,13607,-56
huawei,69,226057801624787,40730373270,2024-09-03 15-33-32,175.111.117.81,-1203303787,ims,65.219.79.58,1750366361,-1748974196,25917,54
huawei,-87,226051129664149,40710009730,2024-09-03 15-33-40,94.137.206.223,-2070271930,internet,95.209.16.51,-394816738,449732507,-14357,-26
huawei,81,226053879485525,40720086550,2024-09-03 15-33-48,0.249.134.241,-1829629984,internet,108.79.148.109,300844372,1051700097,30892,12
huawei,-107,226059374589416,40711868521,2024-09-03 15-34-16,216.250.148.30,1313008538,ims,109.0.85.52,-986408606,636968932,14944,71
huawei,-100,226052733324446,40725998374,2024-09-03 15-32-53,2.250.160.73,232908748,ims,82.136.129.112,966784126,740105886,-11832,-9
huawei,-4,226054384244196,40726578609,2024-09-03 15-33-13,240.46.89.48,-1484182243,ims,38.65.25.153,-1859099560,-321976250,-12955,72
huawei,68,226050498777530,40752946675,2024-09-03 15-34-26,71.2.30.238,1932581596,internet,62.117.38.165,679417547,1863441410,11088,123
huawei,-44,226056289048919,40737332246,2024-09-03 15-34-11,62.5.229.235,1075520048,ims,170.220.241.181,905826394,666514129,-32370,43
huawei,-14,226054338025532,40746859237,2024-09-03 15-33-04,94.157.131.203,1533739327,internet,166.161.109.131,-2027004228,-1259508882,31828,-31
huawei,-71,226051744022239,40794203858,2024-09-03 15-33-25,97.138.88.253,991971320,ims,6.98.24.171,-1101418060,-1943182724,-25533,-59
huawei,98,226052179830473,40785573864,2024-09-03 15-30-59,154.135.177.148,-772220352,ims,179.229.232.90,-1587243723,456812857,12362,43
huawei,-114,226057669617966,40754174592,2024-09-03 15-32-49,36.198.146.248,1235583637,internet,116.77.131.86,1200619914,-1134659176,32546,86
huawei,42,226050884897666,40775745011,2024-09-03 15-32-38,33.0.159.40,-837261505,ims,48.46.171.187,1423918650,1768179757,5398,98
huawei,102,226054471258202,40727879544,2024-09-03 15-30-59,65.239.104.5,-1596340568,internet,120.134.33.155,483997619,-1215986366,6348,61
huawei,-33,226054502669911,40722888066,2024-09-03 15-32-12,89.179.122.177,872078558,ims,186.119.237.34,1637980017,-2116868488,-19309,-15
huawei,-84,226058777504254,40770079186,2024-09-03 15-34-23,194.218.224.248,-295423242,internet,244.206.32.177,-1842557787,-133106040,10778,107
huawei,-7,226059220885185,40773545393,2024-09-03 15-35-16,82.47.248.112,-1972708793,ims,124.6.255.124,368944116,-634208236,27277,23
huawei,-9,226051740721638,40703082125,2024-09-03 15-31-07,182.97.197.46,-1828446292,internet,168.54.68.171,-1700961909,721958309,16300,127
huawei,-116,226059186493688,40780807015,2024-09-03 15-31-14,229.6.23.108,-2586070,ims,72.216.138.29,-1822224582,-1551552795,5750,90
huawei,90,226058466231104,40762138625,2024-09-03 15-31-20,76.165.172.154,426986838,ims,198.100.81.25,-1066191893,1367365903,28408,17
huawei,-108,226050606020473,40754843585,2024-09-03 15-30-45,78.63.131.45,1667148361,ims,112.27.8.201,1369653959,591823429,14909,-103
huawei,-55,226052264184048,40782348661,2024-09-03 15-31-14,247.120.14.135,2091467875,ims,44.27.125.111,2142999348,-317262328,6556,-39
huawei,-42,226058762418718,40750665779,2024-09-03 15-31-30,175.180.65.62,1091454966,ims,124.222.123.207,-1765641994,973398802,17297,-3
huawei,-52,226054032690868,40762603210,2024-09-03 15-34-15,186.90.95.195,-257413689,internet,136.52.211.16,947114912,577777021,-8435,70
huawei,110,226053247023981,40738024933,2024-09-03 15-35-18,209.78.14.100,-961360281,ims,234.95.95.223,1881938142,-1874811903,-29602,-48
huawei,50,226055975788156,40775220818,2024-09-03 15-35-17,6.162.223.86,731895041,internet,42.223.81.8,2061871423,-1113967642,10437,-90
huawei,52,226059490220906,40733624494,2024-09-03 15-31-47,169.50.244.204,543842361,ims,110.215.138.86,476487605,767058982,5757,19
huawei,-80,226056292738474,40759944974,2024-09-03 15-33-08,65.95.222.220,846183582,ims,236.142.209.122,-1820431422,-393799760,5777,45
