src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,-62,226056362045144,40739839256,2024-09-03 17-08-37,244.154.114.94,1442622439,internet,162.231.60.38,-775778817,-1555968399,15086,-64
huawei,26,226051603258959,40797185437,2024-09-03 17-09-47,169.115.193.124,-233932091,internet,107.171.221.216,469885455,1946702509,20484,-41
huawei,119,226059647079436,40755864860,2024-09-03 17-09-03,64.161.248.146,1901480233,ims,130.216.7.55,788359433,236817985,-30025,48
huawei,75,226052459296283,40705147846,2024-09-03 17-06-55,176.174.246.246,1747122237,internet,125.178.157.236,2126800532,1876074456,-18879,120
huawei,69,226059018252740,40798399989,2024-09-03 17-05-20,221.233.250.85,267973829,internet,97.33.30.217,12727310,1871954105,-2430,-93
huawei,-37,226056413675973,40719349154,2024-09-03 17-10-00,203.41.210.107,-1740398250,internet,136.174.208.34,-916366122,219962200,15598,42
huawei,-77,226057008231726,40741188323,2024-09-03 17-08-56,156.29.102.43,-780690916,ims,226.58.135.179,1398221017,-817111397,-26140,6
huawei,-16,226050550554921,40739240602,2024-09-03 17-08-51,230.19.221.95,-272219282,internet,187.77.46.92,896149127,-777147078,-32094,49
huawei,-87,226050627916396,40762113258,2024-09-03 17-05-32,13.199.181.99,-133637934,internet,182.122.27.172,-1289154411,-192043568,-25668,-118
huawei,-73,226055731343890,40745625544,2024-09-03 17-07-10,175.247.245.75,1128448770,internet,88.119.72.228,-532476359,-1609341479,2370,84
huawei,-83,226052840651224,40724059682,2024-09-03 17-09-22,36.13.240.40,233193504,ims,196.29.171.102,1078602904,1929284828,-31421,-111
huawei,-87,226055252457992,40729310888,2024-09-03 17-05-18,59.62.46.223,-1389273689,ims,80.184.141.118,-1740920516,1790999933,-22349,33
huawei,34,226052932289090,40730786004,2024-09-03 17-08-07,228.66.199.220,-900496129,internet,70.195.160.211,-966694296,-282608233,18122,110
huawei,88,226051418168777,40797953240,2024-09-03 17-06-14,50.81.40.201,-1970859077,ims,197.62.203.141,685045095,-1203721757,-4995,-69
huawei,-23,226051961317150,40792527392,2024-09-03 17-08-17,185.194.72.82,-1985028490,internet,244.12.164.95,-284137205,-193388221,19281,-25
huawei,-122,226059992220962,40765746786,2024-09-03 17-08-44,129.90.85.89,-1047932697,internet,58.104.255.107,1298959154,-1130385213,-20418,-44
huawei,23,226055327279739,40751557796,2024-09-03 17-08-48,201.113.22.28,1072944750,ims,176.98.224.246,613132442,-551109209,14590,55
huawei,11,226058855962150,40702640569,2024-09-03 17-08-49,140.187.69.155,-203397715,internet,60.143.240.46,-615319849,-1610178899,-7168,65
huawei,-89,226058407136326,40791922183,2024-09-03 17-06-21,85.93.203.229,-130115734,internet,36.199.62.48,-781646626,-963931193,-17903,34
huawei,-116,226055279739110,40775105184,2024-09-03 17-07-48,187.129.19.62,522032023,ims,94.214.214.58,-880144519,1841308519,-25906,62
huawei,-116,226053492807662,40751467689,2024-09-03 17-06-46,219.120.154.59,-1643531325,internet,100.10.103.191,274961617,1457884397,19469,-30
huawei,-121,226056718460301,40747474088,2024-09-03 17-07-05,134.143.139.172,-770436111,ims,11.47.99.33,-2050539453,-1487168596,-16675,9
huawei,28,226054720531990,40723855994,2024-09-03 17-05-31,191.182.17.239,1180781351,ims,141.247.77.99,1410794015,2053075385,18392,-101
huawei,77,226058439859772,40780999457,2024-09-03 17-06-20,184.32.91.176,-1480581854,internet,79.16.160.75,226600260,423423957,8711,66
huawei,-17,226050515935205,40737491563,2024-09-03 17-05-28,184.173.135.105,738222558,internet,153.154.174.233,23870866,380451803,31706,125
huawei,-19,226057622129084,40713820406,2024-09-03 17-09-21,94.32.224.120,-132419212,ims,231.238.86.221,719477855,1764332090,-1694,6
huawei,-83,226057882686337,40775997068,2024-09-03 17-08-02,80.17.142.167,-1874751329,ims,181.248.232.49,1063317224,1556900890,-17597,-77
huawei,-92,226051145890746,40765529490,2024-09-03 17-08-21,149.81.243.132,-1480093092,ims,190.236.68.85,2066670625,976334295,-10578,47
huawei,-16,226056463768369,40714863002,2024-09-03 17-05-56,52.70.246.162,-307438588,internet,106.119.205.24,118645798,1271968625,-26039,43
huawei,-112,226057524680917,40777550129,2024-09-03 17-09-00,66.196.69.112,657863931,ims,24.110.214.32,-552580409,1321751132,-8452,46
huawei,-121,226056729540798,40736006741,2024-09-03 17-08-38,190.106.226.112,745505772,ims,121.41.250.33,-728334626,-482423194,-2005,-99
huawei,-54,226059684963734,40787896006,2024-09-03 17-09-39,247.142.154.30,1370559999,ims,84.157.122.13,-1479017841,1587073433,-17111,-14
huawei,-84,226051922994873,40784326096,2024-09-03 17-09-15,215.5.82.144,494898731,internet,206.60.58.245,-136595856,-1978145622,11595,-123
huawei,52,226056035401524,40747485992,2024-09-03 17-08-07,121.99.5.214,1844646178,internet,208.233.102.34,715096812,678355271,-31115,-119
huawei,-24,226051884412582,40799346268,2024-09-03 17-07-38,175.109.96.140,94653469,ims,125.188.252.138,1457778488,-1915416482,6288,105
huawei,108,226050273453155,40713467678,2024-09-03 17-05-36,125.33.242.137,-703138576,ims,64.72.65.124,194597983,1963981959,14461,-39
huawei,30,226050419800301,40716513633,2024-09-03 17-09-47,124.165.200.210,-419177670,internet,150.175.42.220,-1789122430,658530329,20735,56
huawei,-50,226056699299253,40740408455,2024-09-03 17-06-00,15.82.216.11,-442541472,ims,170.251.90.199,-451450201,-1161507439,-31700,-98
huawei,31,226055369507866,40786149963,2024-09-03 17-06-10,140.27.80.60,-766136932,internet,0.212.104.183,-1406092488,-11446177,19864,-120
huawei,-71,226052246353645,40734528331,2024-09-03 17-06-28,103.2.187.40,272120064,internet,215.218.119.54,142108018,688682079,22665,116
huawei,126,226055067122405,40787320584,2024-09-03 17-05-54,41.137.227.143,-1477401068,internet,129.137.233.241,511031382,41189291,-23747,-11
huawei,-86,226059385900688,40733001131,2024-09-03 17-08-11,126.89.253.251,-88383082,internet,186.161.46.71,-641148935,-1206306798,-632,-90
huawei,19,226054005840188,40792068898,2024-09-03 17-06-31,102.65.92.53,-810398995,internet,134.55.184.199,-994932598,-1032240294,-14585,-40
huawei,-67,226056813783028,40713292162,2024-09-03 17-06-46,54.26.210.38,-1200863708,internet,235.250.101.18,-2033732932,1192620440,-3457,37
huawei,46,226052427861400,40714920383,2024-09-03 17-09-07,98.121.39.205,285769129,internet,226.46.115.124,556538816,923049771,-11516,37
huawei,77,226052905197728,40723655463,2024-09-03 17-06-56,1.40.66.196,1282749585,ims,216.199.50.183,222798934,-665754535,-4094,112
huawei,20,226057869260218,40708327018,2024-09-03 17-09-17,213.150.211.0,1933275705,internet,169.17.54.31,584140741,858578318,-9615,-120
huawei,-92,226051131157733,40737660391,2024-09-03 17-05-55,1.169.246.234,2039867190,internet,52.33.48.99,620194854,-1479477915,22957,-113
huawei,59,226057791991671,40719180541,2024-09-03 17-07-11,138.114.55.145,-1581915968,ims,99.67.67.176,-1141595727,-1587958991,15170,-111
huawei,-75,226059213819476,40784441263,2024-09-03 17-09-46,90.202.131.253,-1417066015,internet,150.54.129.11,2597010,1829702815,3525,-14
huawei,88,226055957638866,40779336379,2024-09-03 17-06-41,72.144.244.13,384327776,ims,0.96.180.45,771565990,-969923475,-27051,80
huawei,-103,226050828569747,40703821197,2024-09-03 17-06-39,54.191.115.15,-1357837882,ims,154.18.194.26,-1918332562,-1436309120,-27740,13
huawei,-56,226059379140352,40716733910,2024-09-03 17-07-41,2.109.99.237,-447829927,ims,159.138.130.230,-2061464245,737009538,-3827,88
huawei,100,226053603178498,40733670396,2024-09-03 17-07-18,193.204.65.167,1099637752,internet,169.99.148.68,-1285556067,437014849,-7822,52
huawei,2,226052872804216,40787069798,2024-09-03 17-07-55,252.251.5.209,1185571860,ims,162.65.139.194,-973448367,2072053108,-9379,53
huawei,12,226055502831794,40756170385,2024-09-03 17-05-33,170.34.26.197,-436514668,ims,6.152.252.81,-922825530,1996033659,-9124,124
huawei,18,226054733347112,40786981527,2024-09-03 17-09-45,192.110.146.239,2070789974,ims,84.97.54.145,-2060880280,-2058685138,-23849,18
huawei,-76,226058371051228,40739573773,2024-09-03 17-05-43,133.29.87.160,-1894373910,internet,14.18.113.45,-1176879413,-1952248612,-17397,-41
huawei,38,226050406636478,40773002457,2024-09-03 17-05-37,108.75.192.186,1730161484,ims,16.176.140.62,1912071493,457779492,-16460,78
huawei,72,226055667457928,40774503472,2024-09-03 17-08-10,253.186.33.15,604778790,ims,72.135.229.190,-1571125787,807910606,22290,4
huawei,-102,226054089804768,40744303809,2024-09-03 17-08-23,3.86.82.167,1055747238,internet,131.184.136.252,-1443094194,1929900615,-25015,-13
huawei,-67,226052243085105,40752286178,2024-09-03 17-05-52,84.70.136.101,-2006246821,ims,77.113.185.159,-871619775,1597196660,464,106
huawei,2,226052877040784,40775495871,2024-09-03 17-07-32,68.191.226.168,1529458878,ims,45.169.208.253,404111625,1985004449,-6685,106
huawei,123,226052115316742,40773790850,2024-09-03 17-08-22,62.77.67.13,607377783,ims,162.214.81.50,-1188913949,-1001432478,-31191,-122
huawei,-65,226059718159860,40705282684,2024-09-03 17-05-18,88.226.110.115,-775839387,ims,10.86.148.245,513641122,255707473,-1508,125
huawei,86,226058291597909,40725424888,2024-09-03 17-07-06,70.163.33.241,51432620,internet,23.61.205.188,-917939449,-408834275,19098,107
huawei,95,226050650326428,40724368252,2024-09-03 17-05-34,33.151.124.158,-320925254,ims,38.92.68.88,-799803605,-1615232563,9929,-7
huawei,17,226052312976785,40728273937,2024-09-03 17-08-52,81.188.70.154,-1697223644,ims,167.52.157.120,-2088217516,1104702524,17832,97
huawei,-15,226053900181258,40707371120,2024-09-03 17-08-20,136.12.57.72,1884698357,internet,173.15.218.109,-216496995,572835544,14127,-3
huawei,120,226054432416139,40738749471,2024-09-03 17-09-51,84.109.118.141,1611689618,ims,145.192.138.253,946512014,114565369,13006,-2
huawei,83,226059411646739,40755830370,2024-09-03 17-05-01,119.166.88.236,2003477493,internet,255.46.154.72,-967178204,586813970,2159,-97
huawei,-89,226058289334545,40772065069,2024-09-03 17-06-11,103.221.255.149,1615631412,internet,243.121.59.233,1101127769,130035395,-3443,32
huawei,78,226051547912897,40768178655,2024-09-03 17-06-10,156.206.85.10,-1857146602,ims,128.223.215.59,-331729703,-871404631,6744,51
huawei,48,226057154483939,40771518230,2024-09-03 17-08-32,233.0.48.139,2140466091,ims,94.26.58.114,-1682874636,-2046145291,-19364,-41
huawei,119,226050231425106,40733250937,2024-09-03 17-06-28,171.104.1.104,-1973963382,ims,140.144.26.190,-1135113231,1700610648,200,-105
huawei,-99,226050424881027,40740168899,2024-09-03 17-07-35,40.13.71.197,381907098,internet,249.243.143.253,1568173686,-155931599,-11768,-108
huawei,46,226057881210713,40722344195,2024-09-03 17-05-43,47.81.16.210,1746789611,ims,206.189.134.3,728892912,1338124447,-6940,98
huawei,-37,226052060764828,40746820721,2024-09-03 17-05-17,93.167.168.86,-281581985,internet,86.100.120.55,-1917115931,-624547681,-29524,45
huawei,6,226052425245293,40788839837,2024-09-03 17-08-44,173.219.223.232,1850442477,ims,190.161.206.78,-160007583,-2056595830,-3045,87
huawei,-26,226057751667248,40757263876,2024-09-03 17-07-28,227.158.61.62,1569812443,internet,146.104.230.62,1827151134,-767375050,-15157,79
huawei,-53,226051905799413,40792024137,2024-09-03 17-06-53,27.105.125.93,-668166726,ims,227.183.22.41,2140333071,-385802235,-4196,68
huawei,78,226051874229438,40779809037,2024-09-03 17-05-54,148.50.10.148,-66772791,ims,237.82.34.96,-175208489,-1373047988,6443,111
huawei,-62,226051992339599,40779941656,2024-09-03 17-06-26,131.215.38.109,249414173,internet,131.85.128.16,2069086363,-1759673104,-15698,-21
huawei,104,226056212940301,40718003067,2024-09-03 17-07-12,214.66.236.151,1559467677,ims,36.178.186.6,-183987313,-471010749,28228,63
huawei,50,226051071916062,40788878134,2024-09-03 17-05-17,8.18.229.83,1350237449,internet,96.150.234.174,-1005013647,1686084607,1194,-108
huawei,-45,226054774378144,40770697327,2024-09-03 17-09-41,132.235.30.136,315035956,ims,163.58.119.66,1924041288,812843212,-25199,85
huawei,18,226057341644324,40720289465,2024-09-03 17-05-27,18.243.1.47,-1748896219,internet,219.195.204.95,-983079398,1794247314,-30138,-52
huawei,-76,226051658100004,40722007831,2024-09-03 17-07-11,136.254.168.80,-29600756,internet,170.143.185.241,1563701916,-1147364471,27653,126
huawei,34,226057859958101,40779344516,2024-09-03 17-07-30,30.239.83.17,-747573517,internet,88.106.226.131,-957274591,-800687442,-23661,44
huawei,22,226059085576497,40721226844,2024-09-03 17-09-39,223.109.217.42,-2096374505,ims,203.154.211.50,-2071768688,714637480,-6914,-60
huawei,20,226050622316525,40754688229,2024-09-03 17-09-46,108.106.174.90,2139599615,internet,17.133.73.66,-1621555636,102065064,-28084,80
huawei,9,226051395429223,40778548618,2024-09-03 17-06-52,175.44.122.36,836969686,ims,148.198.203.90,-1447044091,1478614003,12535,103
huawei,119,226056113795689,40706572928,2024-09-03 17-08-46,122.219.209.6,915048467,internet,208.120.233.242,1067745241,-1464897185,-13792,-127
huawei,-56,226053568984122,40765795300,2024-09-03 17-09-39,184.3.40.244,-1194082798,internet,91.148.213.137,-1959995452,-324065295,6625,-35
huawei,-107,226051031852198,40754614304,2024-09-03 17-08-01,81.229.6.106,567676372,ims,113.210.152.180,1230581961,767166882,-17903,-102
huawei,-15,226058065169898,40745179993,2024-09-03 17-08-45,109.96.6.172,-947904698,internet,147.196.248.7,-547039957,-884994330,-14774,-68
huawei,37,226056783720871,40710984216,2024-09-03 17-06-03,81.206.107.47,-43148997,ims,140.18.191.102,530558933,1727923861,22105,-58
huawei,-11,226058533726336,40728329596,2024-09-03 17-09-45,221.36.118.163,-1191559750,ims,183.118.48.76,1434695339,905343143,-10055,38
huawei,111,226055005681246,40785268150,2024-09-03 17-05-27,241.134.13.143,582275603,internet,45.239.82.5,1504857215,-11279041,-31383,-16
huawei,98,226051999836132,40729742079,2024-09-03 17-09-47,89.171.8.51,69494857,internet,214.14.19.245,-86368225,619560943,-21137,-34
huawei,26,226050619751314,40726610441,2024-09-03 17-08-32,158.43.79.247,-1076725877,internet,168.61.217.31,-1763251351,-2107262633,8200,96
huawei,55,226056716676041,40742959316,2024-09-03 17-07-45,90.150.195.157,-593681462,internet,171.91.170.91,1409334280,-1891626639,-4294,-8
huawei,1,226057003532328,40718793617,2024-09-03 17-05-06,41.180.30.249,1539473351,ims,199.100.201.248,164845172,-621594662,22129,40
huawei,61,226059095846774,40730233726,2024-09-03 17-05-53,76.102.195.80,672808040,internet,123.185.45.27,400601828,-1216375427,11755,98
huawei,-81,226054368052270,40791240734,2024-09-03 17-09-40,145.232.208.40,-580725494,ims,220.98.114.59,1702810527,-172083907,13115,-123
huawei,44,226057974014398,40785401850,2024-09-03 17-09-01,30.255.215.208,-894933351,ims,225.129.105.219,-1313584965,1277068249,-32329,122
huawei,-62,226057026122566,40763797845,2024-09-03 17-07-46,245.253.113.66,551596153,ims,164.169.156.104,1608083627,-1573713036,29561,103
huawei,117,226050360856188,40709969897,2024-09-03 17-09-22,220.58.204.150,-42373684,ims,96.178.123.173,693385808,-1729258726,-4414,-51
huawei,-24,226054301426684,40721661326,2024-09-03 17-06-26,232.41.90.137,-810673947,internet,150.238.148.215,-2121393034,323929487,-5020,-14
huawei,8,226053536604803,40727802562,2024-09-03 17-08-10,35.191.138.255,-2106355272,internet,78.213.105.26,-476203713,607719505,31366,-85
huawei,-2,226059660893039,40742574685,2024-09-03 17-08-04,232.39.187.173,-161990350,ims,86.33.170.93,-812123609,1750027237,28147,81
huawei,-33,226052943887258,40760655218,2024-09-03 17-05-11,37.159.88.16,-1502903702,internet,42.68.113.243,720994497,136329076,-9300,89
huawei,-14,226055272056323,40798544734,2024-09-03 17-06-34,128.54.242.52,-1366550719,internet,38.25.1.247,-1477518207,823605106,14061,2
huawei,90,226053549785054,40760583208,2024-09-03 17-06-53,162.7.20.197,1574009180,ims,255.205.135.158,-109982299,1853139119,-27102,-10
huawei,-35,226051146209034,40727161081,2024-09-03 17-08-26,87.31.243.36,-38107346,ims,90.41.12.4,1704747724,1382623837,23693,23
huawei,-119,226059902223947,40740215957,2024-09-03 17-09-02,236.68.209.91,-1276548670,ims,35.111.97.44,1058699072,-1751585433,-10508,-64
huawei,-30,226056151197243,40707951820,2024-09-03 17-06-09,141.34.128.207,-1359844544,internet,68.243.44.239,943190590,-12782857,24504,10
huawei,75,226051473968922,40794314098,2024-09-03 17-05-11,174.115.188.4,-2005982664,internet,239.98.213.163,1978823011,416195655,-4021,9
