src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,-113,226052158510435,40753594678,2024-09-03 17-15-26,93.196.133.195,129415376,internet,77.125.215.254,1899902395,1508395927,-7144,-104
huawei,-113,226054994039770,40774245295,2024-09-03 17-16-39,169.92.134.38,977699647,internet,77.233.204.159,-882346306,1579022276,-4716,-93
huawei,42,226059965811419,40789707106,2024-09-03 17-17-03,224.97.50.16,-1685999251,ims,253.59.159.218,-411774888,-1021743343,2333,50
huawei,40,226056072967193,40780235960,2024-09-03 17-19-19,241.120.108.150,356836625,internet,84.105.33.156,1584534817,1819298251,-30091,22
huawei,92,226058925497230,40795906837,2024-09-03 17-16-46,204.36.61.15,-145311411,ims,77.196.156.204,1613266242,1747898115,-8058,-121
huawei,90,226054971106899,40789921173,2024-09-03 17-16-16,19.12.246.37,2094551965,ims,22.112.15.84,1745339771,-1147687160,14283,28
huawei,105,226058825581561,40740043729,2024-09-03 17-16-54,24.179.16.7,-262112350,internet,17.229.120.197,1526724047,1825063182,10819,-59
huawei,19,226051398266684,40798334139,2024-09-03 17-19-49,215.139.107.175,-856978782,internet,115.9.98.157,-1122208398,1536768583,12659,87
huawei,4,226054364000493,40791808097,2024-09-03 17-15-21,40.240.28.130,1666321904,ims,73.200.1.49,-170348640,1780509848,15353,-98
huawei,50,226054647362899,40769758123,2024-09-03 17-17-32,254.33.9.149,-1821918592,ims,34.15.241.34,-1280410708,-1542335457,21614,75
huawei,-54,226053475423867,40741277021,2024-09-03 17-17-08,242.239.143.50,1992941954,ims,2.242.63.2,1662974471,1429130535,6113,84
huawei,-63,226051356718030,40723089160,2024-09-03 17-16-32,170.191.211.123,-1009961249,ims,44.115.226.60,1011156609,1128319181,3719,-108
huawei,-110,226052642131396,40789090989,2024-09-03 17-19-38,110.127.112.102,-1171287898,ims,41.96.127.87,1249059866,-1536458518,-23678,-42
huawei,125,226051701123800,40763405066,2024-09-03 17-16-40,206.247.157.170,570984442,internet,30.157.48.61,-1915397444,-732201616,18888,9
huawei,120,226056457648593,40783896816,2024-09-03 17-17-18,25.22.38.154,-947689855,ims,219.97.97.88,93507779,-757336420,14565,-114
huawei,-15,226054306933685,40760519468,2024-09-03 17-16-12,172.2.203.14,104274997,ims,135.162.124.126,1847488277,-2145260364,30210,43
huawei,-86,226057054034735,40799418183,2024-09-03 17-16-40,186.64.240.8,-1466523669,ims,54.234.25.204,-47872024,964781857,32171,-7
huawei,-89,226054674603308,40725335050,2024-09-03 17-19-26,239.84.114.201,-415672201,internet,134.92.226.222,1724238729,30758874,11299,-95
huawei,36,226059787538406,40771352458,2024-09-03 17-18-43,8.75.73.73,1330568590,ims,161.29.187.97,97969230,420183390,27744,-88
huawei,37,226055652150467,40741893856,2024-09-03 17-18-12,227.131.190.84,-318674035,ims,119.118.105.244,317070972,-60969130,-21455,-63
huawei,-65,226058298356296,40759565202,2024-09-03 17-18-26,85.120.108.125,-667649844,internet,171.68.104.97,983907160,-986812368,11375,-71
huawei,-65,226053902808214,40719535151,2024-09-03 17-16-18,182.56.85.178,-157746269,internet,198.47.17.125,-794943436,-390283295,3687,-17
huawei,-125,226055884191963,40727587243,2024-09-03 17-15-45,200.215.242.88,445004693,internet,103.151.165.253,1639038877,-957959138,2183,88
huawei,-3,226057100048481,40700302906,2024-09-03 17-16-55,193.185.2.66,2103280947,internet,123.25.101.133,139954411,2039901779,11119,-112
huawei,22,226053954696632,40727998324,2024-09-03 17-19-07,171.58.52.45,-481819032,ims,162.253.214.254,-1584395057,-2006732446,6335,122
huawei,53,226053399990962,40747396871,2024-09-03 17-15-22,224.164.187.121,2139443180,ims,138.38.60.157,-966444863,1221458752,-17138,92
huawei,59,226051396106754,40757660636,2024-09-03 17-16-25,104.87.4.94,1471638509,ims,84.62.187.99,-324508113,-121450923,-19755,-49
huawei,-102,226057230809786,40763532497,2024-09-03 17-19-48,74.216.6.153,472709880,internet,220.248.96.49,-737747712,-561820755,-26804,-94
huawei,-24,226056473549638,40751924131,2024-09-03 17-18-42,56.15.218.231,-1248872279,internet,200.22.212.75,1784870783,-888318996,32292,28
huawei,109,226056907115418,40756013377,2024-09-03 17-15-39,153.238.246.60,994085341,ims,37.140.130.122,-1981623390,-845327172,4723,-90
huawei,-32,226058042627535,40789289318,2024-09-03 17-16-57,247.50.55.101,-1338027503,ims,85.68.158.197,91588116,-2001872462,6853,-115
huawei,-93,226055662542166,40778035737,2024-09-03 17-17-24,76.212.37.20,346366129,internet,86.149.55.210,-1296258264,-1123026380,-19303,-49
huawei,-100,226050608869882,40733221137,2024-09-03 17-15-18,97.234.16.65,-1951642377,internet,35.153.165.64,-1575984174,-1256549159,24958,-90
huawei,-6,226055991866222,40732544008,2024-09-03 17-16-49,121.43.54.249,-61237466,ims,64.155.39.204,970583871,-332332913,30429,78
huawei,-52,226056743350512,40742413143,2024-09-03 17-16-48,25.43.161.187,2050946145,internet,81.38.216.161,1863598330,-613481272,30643,-98
huawei,61,226055042131799,40745116465,2024-09-03 17-18-44,197.206.169.142,-1329988288,internet,201.167.137.182,-922134990,-1140686724,1176,21
huawei,-126,226053653468394,40755008134,2024-09-03 17-18-00,14.54.141.7,-1201767996,internet,136.91.4.15,2043282450,-1447119966,-9515,65
huawei,-123,226055220190124,40747255678,2024-09-03 17-17-33,91.213.24.36,1553734751,internet,186.214.208.132,1705792817,541163751,25812,88
huawei,4,226058246527465,40730125054,2024-09-03 17-15-40,249.247.182.4,-1766666417,ims,54.183.51.210,544917839,1874279273,-12602,52
huawei,-116,226051833130689,40792374229,2024-09-03 17-18-55,103.76.16.23,2130891768,ims,219.123.29.178,-238622177,714932772,11422,-48
huawei,96,226057831205111,40795614709,2024-09-03 17-16-37,22.220.238.236,163711014,internet,154.72.12.114,-1745945764,181529723,-30283,-113
huawei,-22,226054236227323,40753132677,2024-09-03 17-18-51,197.179.64.64,-1418554737,ims,12.174.227.88,-2119844652,-811364960,25035,-89
huawei,98,226056455806855,40703769449,2024-09-03 17-19-37,202.35.143.37,1907604928,ims,172.45.44.19,-743446366,971526483,18280,-29
huawei,94,226059254152811,40779199697,2024-09-03 17-16-02,156.150.25.91,-1984467116,internet,181.140.105.51,248097296,-634023022,25243,-68
huawei,-64,226052928858673,40714758068,2024-09-03 17-18-39,65.223.64.31,658600450,ims,209.179.60.32,278999889,-2057182137,21868,112
huawei,-117,226056521589902,40775916183,2024-09-03 17-15-54,213.226.236.201,648592615,ims,244.214.60.115,-1534406505,-1950003848,-7385,-56
huawei,-107,226053895673599,40773065549,2024-09-03 17-17-34,41.221.231.214,-78474530,ims,110.241.197.214,-2071995169,-315415248,25586,106
huawei,-105,226059330200721,40780866741,2024-09-03 17-17-53,28.77.84.226,-1956282128,internet,157.211.35.235,-329135680,1398727652,-19117,-59
huawei,48,226058988464491,40775345231,2024-09-03 17-19-58,30.99.85.42,1060703559,ims,251.84.212.7,2145752075,-1378555370,28594,58
huawei,-49,226055139507861,40730726865,2024-09-03 17-15-44,215.199.74.141,1142193925,internet,42.54.239.184,554171271,-845448113,1696,127
huawei,-49,226054412035035,40737466585,2024-09-03 17-17-53,138.136.60.191,1987691529,ims,180.209.251.69,-435492951,-451466001,6636,91
huawei,-19,226055414157475,40712566370,2024-09-03 17-19-25,117.51.186.253,1675838724,ims,131.29.20.222,57882513,249519898,17041,112
huawei,-79,226055193374826,40779003327,2024-09-03 17-18-27,162.155.19.148,-244349481,internet,42.8.178.234,510343206,1446888934,-6530,-34
huawei,103,226059444036431,40768397979,2024-09-03 17-15-42,62.36.180.66,-1577311775,ims,121.61.244.173,1927486776,-916888002,13330,-68
huawei,46,226054574764875,40785125497,2024-09-03 17-19-01,228.159.162.113,698959741,internet,38.10.220.41,1131034607,1138784259,-20117,15
