src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,62,226059239058867,40745495358,2024-09-03 17-32-58,51.211.225.42,-1204649814,internet,195.150.175.165,210847083,1160531473,12831,-38
huawei,-79,226054151796268,40701260669,2024-09-03 17-33-17,113.231.238.186,1167554052,internet,225.174.184.11,1234403502,-1506720477,-21528,-32
huawei,104,226054723399937,40721899631,2024-09-03 17-32-34,19.111.13.47,2094587652,ims,76.25.50.139,-1762029887,-1621887249,-19813,32
huawei,-12,226053107779654,40772309254,2024-09-03 17-31-21,149.171.62.206,1344971351,ims,102.161.178.121,1088498201,-1603207499,2243,-20
huawei,-121,226053588032991,40764541965,2024-09-03 17-30-35,151.136.188.99,1376026662,internet,185.236.67.41,1986151375,1542559233,2423,103
huawei,-14,226052642044623,40732398050,2024-09-03 17-33-25,129.11.84.128,1068085555,internet,101.150.248.47,-530485038,975808065,-8844,-8
huawei,32,226055743248446,40736974705,2024-09-03 17-31-09,189.148.215.247,-79846226,ims,104.86.40.162,2077213581,2139097454,-29895,25
huawei,27,226054386667751,40775041196,2024-09-03 17-33-54,222.251.59.0,-1104757217,ims,105.83.252.50,-309233349,1136550891,-2465,49
huawei,1,226059619487738,40705769669,2024-09-03 17-33-53,174.242.91.123,-379712409,internet,107.151.29.162,-1837549746,-297856150,-10932,46
huawei,35,226059319212549,40779855020,2024-09-03 17-34-57,252.29.74.151,-1208900824,internet,223.212.151.13,-117085704,-2116271056,-12006,48
huawei,-128,226059254508280,40773197898,2024-09-03 17-34-17,181.183.74.194,-1861039989,internet,46.199.24.3,-95410854,573586451,1960,-83
huawei,65,226057340633425,40744580100,2024-09-03 17-32-11,109.154.243.161,225013494,ims,7.197.248.226,-1590075662,-680987549,18702,-49
huawei,-100,226059324455467,40723778793,2024-09-03 17-34-56,144.134.135.140,934500112,ims,237.107.148.151,-575897034,1384697258,-21838,69
huawei,22,226053437133528,40787985795,2024-09-03 17-30-53,38.149.33.87,348508337,ims,81.85.123.139,986930354,295481371,5113,19
huawei,125,226054347009623,40763632563,2024-09-03 17-34-11,248.17.200.138,373501557,internet,173.70.156.111,-137476470,-708133754,-161,12
huawei,-123,226053151765433,40734968757,2024-09-03 17-35-00,253.36.186.255,140089122,ims,154.46.238.175,-49984788,-2082879204,23496,-56
huawei,75,226056442714427,40727559767,2024-09-03 17-30-03,47.188.117.121,-1581446614,ims,135.101.79.17,818389707,-1841360126,-14234,-47
huawei,-110,226050011243606,40737159306,2024-09-03 17-30-11,239.121.162.142,2009799612,internet,242.235.232.122,261169198,-130584917,-6120,-42
huawei,34,226055443228403,40781960428,2024-09-03 17-33-09,59.244.145.227,-1366287133,internet,140.185.140.47,-458859906,-594554101,-17329,50
huawei,80,226051769971583,40721614824,2024-09-03 17-31-51,14.218.12.53,24162913,ims,198.199.30.112,-1620007049,1970495611,-3717,-106
huawei,-43,226054395337064,40710285833,2024-09-03 17-30-17,228.98.179.189,-429639292,internet,160.24.25.214,1191472135,-1741394595,18649,-102
huawei,84,226052269845323,40707420114,2024-09-03 17-30-08,165.64.69.235,1545698915,internet,106.221.224.6,614096651,-1971093546,-18360,-127
huawei,45,226055871284471,40745138472,2024-09-03 17-32-19,51.64.71.182,-341071602,ims,41.46.159.39,1398207535,1557794580,-30956,39
huawei,-28,226056934067660,40721309229,2024-09-03 17-33-13,53.241.230.45,1524992309,ims,39.80.35.110,825841331,-1514033173,-8893,48
huawei,121,226056137572252,40734215638,2024-09-03 17-34-13,115.222.131.249,644377824,internet,0.198.124.237,127732603,-1807793908,14630,-16
huawei,-127,226053945384135,40747719774,2024-09-03 17-34-14,62.22.209.47,1591461549,internet,46.107.222.203,-760627387,-567005655,-20325,-26
huawei,-94,226055153042808,40710078283,2024-09-03 17-30-33,220.126.128.177,914516696,ims,100.175.82.31,-1817602559,-1175275071,3189,-18
huawei,39,226054555246557,40736637185,2024-09-03 17-33-50,120.15.92.13,678456331,internet,126.150.87.239,500231346,1786307442,-4092,100
huawei,-82,226055843206019,40772800081,2024-09-03 17-31-25,0.245.39.35,-1746607979,ims,152.180.158.133,-2112671320,-614420049,-3742,-37
huawei,-91,226050142611229,40776768434,2024-09-03 17-33-50,106.11.111.164,-1377121334,ims,86.204.153.205,384466043,-810381556,10601,12
huawei,32,226052681896004,40722422249,2024-09-03 17-34-16,179.195.103.238,896381943,ims,134.177.251.28,878829978,526548213,-20010,-91
huawei,-17,226058122604730,40763495851,2024-09-03 17-32-19,174.23.99.200,2110130106,internet,180.236.131.241,-724012758,-1070243838,27005,34
