src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,59,226054751164304,40774743621,2024-09-03 17-35-49,1.123.226.118,1132578635,internet,2.49.148.255,-2024268838,-552799876,-10636,72
huawei,15,226057215738872,40789973703,2024-09-03 17-38-27,60.158.164.90,1392261797,internet,131.255.232.195,1700689577,-822771448,20400,29
huawei,-122,226051009305148,40751187310,2024-09-03 17-38-21,22.115.44.4,-930206564,internet,40.184.255.160,-1713354686,-493413834,-4162,52
huawei,97,226053290764272,40724000731,2024-09-03 17-37-59,241.81.82.127,556080177,ims,37.108.238.188,1244049572,-449721481,-24157,79
huawei,95,226051946545108,40797428114,2024-09-03 17-35-14,197.9.84.123,280055609,internet,217.91.90.235,-1812203042,1849430213,21515,58
huawei,118,226053685420201,40704445246,2024-09-03 17-36-00,220.229.157.119,-1357840624,internet,42.122.242.8,341515965,-1073607039,7576,70
huawei,93,226059247935263,40701098344,2024-09-03 17-38-41,108.112.218.238,1147822599,ims,162.167.111.45,-127014882,-78907488,50,-124
huawei,-52,226055914798672,40755120315,2024-09-03 17-37-19,34.113.109.146,-354865217,internet,227.83.66.12,1665063364,1381200049,-16737,3
huawei,110,226055192904816,40788637488,2024-09-03 17-39-36,8.205.91.165,-941890384,internet,42.202.12.97,-1374925383,1807849255,26260,-27
huawei,-117,226058183213367,40791275747,2024-09-03 17-36-47,146.181.233.204,181383060,ims,126.212.158.68,-317827896,-1032636339,15783,-27
huawei,-27,226059626202540,40782631705,2024-09-03 17-37-25,167.109.149.144,1263750634,ims,72.222.13.42,848403021,24551496,2979,15
huawei,-1,226052683264970,40726116885,2024-09-03 17-37-13,177.212.135.226,1895099542,internet,228.15.68.163,-902471151,-1139207948,5483,-29
huawei,-92,226052531186347,40706941442,2024-09-03 17-39-19,63.105.252.200,979435771,internet,134.139.239.238,1669537150,1926639589,9609,112
huawei,-53,226058601831893,40786065811,2024-09-03 17-39-46,28.39.32.84,1838751765,internet,195.30.158.79,-183093905,-1354976202,14815,114
huawei,-39,226051665772991,40789370137,2024-09-03 17-36-48,165.104.143.185,297002573,internet,214.18.137.42,358981806,-1488140818,23211,-82
huawei,96,226055344768718,40788514978,2024-09-03 17-37-35,150.18.120.247,-1547658419,ims,57.100.103.66,263309308,917688659,22390,-58
huawei,-78,226053273703504,40787499204,2024-09-03 17-38-58,226.253.188.29,1107566618,internet,62.144.152.160,1167952309,-277190075,25967,118
huawei,96,226056602032724,40721363030,2024-09-03 17-35-39,159.68.173.117,1966017894,ims,15.75.161.214,-1439619961,1433751614,32240,-49
huawei,8,226053116554748,40765034162,2024-09-03 17-37-15,95.2.107.134,-310701616,internet,208.4.12.248,845327662,1132333600,-7502,79
huawei,-72,226054813991165,40797712148,2024-09-03 17-35-32,232.225.53.136,-1336639170,ims,81.167.84.250,-1055459121,785661311,819,-77
huawei,-35,226058681243179,40739495778,2024-09-03 17-38-38,237.77.14.114,-1701275408,ims,91.225.148.92,1852991055,207331001,-6464,88
huawei,120,226057917064118,40710949826,2024-09-03 17-38-45,191.49.91.170,-1684089797,internet,106.18.84.74,-1715490463,1236830925,646,-58
huawei,-76,226059634266915,40727188555,2024-09-03 17-38-48,161.208.65.155,-1670225660,ims,2.137.1.24,-1739907729,-971623210,25589,-101
huawei,27,226059920178854,40712181001,2024-09-03 17-39-33,126.69.160.247,1803481201,ims,195.238.84.44,1602675538,58934238,17276,-43
huawei,68,226053121643173,40754672423,2024-09-03 17-36-35,2.218.213.252,1282727667,internet,144.149.221.4,-1899993123,1969712429,-1137,-76
huawei,115,226053446755841,40755440154,2024-09-03 17-38-31,222.223.225.63,1511839652,internet,51.91.8.97,1646068846,1698467719,-21900,107
huawei,-33,226059886947723,40741053113,2024-09-03 17-36-50,47.0.160.204,1144831350,ims,182.44.147.16,545171454,-312928200,29339,98
huawei,94,226056877735405,40764905553,2024-09-03 17-36-19,249.155.58.188,1469387872,ims,44.214.38.88,-1128819208,-732372997,11026,-106
huawei,66,226056784410768,40754650585,2024-09-03 17-36-08,72.38.94.134,-2002666682,internet,207.147.238.252,1143960109,-118505545,-25193,-100
huawei,1,226053809899204,40798214614,2024-09-03 17-38-52,215.240.61.234,-758210250,internet,228.25.252.252,1903289616,-590890795,-7957,-40
huawei,29,226059282684141,40739687102,2024-09-03 17-37-58,20.61.55.252,-1570099849,ims,26.221.223.136,-517898283,-640606423,-2144,39
huawei,94,226059761147050,40776872347,2024-09-03 17-39-38,192.60.172.254,1946793351,internet,215.127.69.89,-870413573,1700879567,-16107,-97
huawei,62,226053717883367,40785541028,2024-09-03 17-38-09,207.170.208.96,-426597180,internet,243.227.24.142,-426978225,-1452596106,11912,33
huawei,-29,226052687150352,40727550222,2024-09-03 17-39-31,106.133.60.142,1696710693,ims,32.205.73.83,-8023231,-671727915,-12458,84
huawei,86,226057757707538,40784698457,2024-09-03 17-38-46,146.50.113.149,1361356256,internet,231.236.111.102,-1674626684,139392434,4151,77
