src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,-41,226054030921159,40796851742,2024-09-03 17-44-17,167.236.23.236,-1925603241,ims,47.253.103.54,1992062212,1555639059,5570,16
huawei,62,226052035106966,40723057724,2024-09-03 17-42-42,134.93.235.75,-1757835073,internet,29.177.105.215,-708329967,1120151125,-9238,-74
huawei,105,226055939495639,40730434687,2024-09-03 17-42-20,253.194.210.131,-1483417604,ims,112.180.94.127,-585812487,1757150567,22762,-62
huawei,-29,226055448984179,40789420807,2024-09-03 17-41-56,175.25.160.144,252728748,ims,224.220.164.23,2147392417,-210817630,-9522,-67
huawei,-8,226054107286898,40719747331,2024-09-03 17-43-38,55.37.36.138,2097272344,ims,113.115.50.165,610400617,1461176113,18138,-31
huawei,39,226054916806734,40760102035,2024-09-03 17-44-52,180.229.245.60,825331046,internet,221.43.31.96,-1695010778,-891348685,22062,-53
huawei,70,226055912947113,40713184709,2024-09-03 17-42-51,121.181.25.187,1399660333,ims,87.225.238.236,147600408,-1668459622,-28353,-61
huawei,13,226056990224757,40705958642,2024-09-03 17-42-01,56.97.92.202,1531300944,internet,86.122.108.29,-948263119,1406469259,24817,-29
huawei,-38,226054226073905,40738105377,2024-09-03 17-40-56,205.6.114.204,1585729941,ims,127.66.117.170,1827624755,-1497009211,11423,9
huawei,96,226055635296192,40704452594,2024-09-03 17-42-30,110.66.111.13,-1374851298,ims,97.104.228.105,922395213,1797625810,26894,58
huawei,-10,226051886788869,40779083372,2024-09-03 17-41-08,147.116.253.187,-1217297040,internet,3.39.140.196,845454360,-612324274,-10590,41
huawei,-116,226056501016238,40799204830,2024-09-03 17-40-04,238.52.33.145,-207172958,ims,168.87.85.143,2133685919,408947552,21827,-107
huawei,-74,226054021098617,40712978309,2024-09-03 17-41-17,98.186.160.102,1386965027,ims,191.101.11.24,-1597502035,-1547239661,-4986,-32
huawei,-125,226055362630886,40737337153,2024-09-03 17-40-20,89.52.212.229,1165641082,ims,203.84.23.190,-64147573,-729294482,21855,-31
huawei,-38,226050789877504,40797240007,2024-09-03 17-43-12,102.253.67.77,-1744303235,internet,49.48.198.115,-1051175060,-2025626680,15403,73
huawei,85,226059955050454,40775754851,2024-09-03 17-41-23,174.34.80.141,-184733949,internet,56.219.240.220,-1978776062,-479260119,-15720,-100
huawei,-40,226055167019723,40789996375,2024-09-03 17-40-14,117.126.7.65,1192317556,ims,29.31.106.157,-1256416125,-1825631439,-9572,-11
huawei,100,226050184738529,40715368268,2024-09-03 17-43-20,184.32.238.119,1889797626,internet,53.101.193.1,-1487158301,130720192,-10065,-101
huawei,-70,226059368304987,40702826370,2024-09-03 17-43-10,101.231.191.243,1631824179,internet,212.226.160.191,-1331508242,-1974728834,-15686,-69
huawei,-67,226058922961215,40731707014,2024-09-03 17-41-30,164.28.227.102,1180873575,internet,211.249.122.127,994213817,1024026522,12027,-127
huawei,-112,226056777613503,40788265414,2024-09-03 17-40-01,65.251.48.70,409952610,ims,58.239.45.88,-1820523018,1233227609,24174,-18
huawei,45,226050854659826,40775660337,2024-09-03 17-44-52,97.171.241.250,-1188612366,ims,53.249.231.26,183332464,217712841,24195,16
huawei,109,226057967122977,40741973430,2024-09-03 17-43-23,63.21.203.250,-1345775234,internet,137.126.63.132,-1725414514,-377595708,-20081,91
huawei,-55,226056354443638,40792393310,2024-09-03 17-40-25,172.219.90.138,-2137284366,internet,123.139.115.14,-150688349,-144446543,-7900,-3
huawei,-40,226057814720988,40747003072,2024-09-03 17-42-47,153.60.231.255,-674514708,internet,27.138.96.103,-1389232971,135979124,-28300,45
huawei,108,226057751760673,40777341942,2024-09-03 17-40-06,228.99.115.81,1532073903,ims,101.208.114.154,-1319626670,-1647799398,10414,120
huawei,-84,226053490576612,40740748879,2024-09-03 17-43-29,196.165.192.74,1916796277,internet,101.113.34.49,975177556,-1224608183,28022,92
huawei,42,226059685187824,40765295118,2024-09-03 17-44-02,114.138.85.10,-123136547,internet,209.164.215.61,-1327248467,1006192205,3493,-23
huawei,-85,226053372024953,40735072069,2024-09-03 17-44-35,179.34.96.224,953720073,ims,13.27.216.58,-388920717,1611637752,-18169,-41
huawei,99,226055331645204,40753749502,2024-09-03 17-43-26,180.114.164.80,1749772047,internet,11.116.205.65,1346513846,-1715587960,-7461,42
huawei,-120,226059643057369,40769918286,2024-09-03 17-45-00,104.81.4.85,1939559712,internet,21.42.53.29,1097545233,-1007575441,-21325,-84
huawei,-12,226054511444120,40729014545,2024-09-03 17-44-16,204.24.211.119,1917214944,internet,143.160.119.187,-170730034,921677724,3099,114
huawei,0,226059793080926,40778782174,2024-09-03 17-43-58,119.64.103.48,-1728572805,internet,142.208.43.112,-768873619,-974717322,32531,101
huawei,115,226054937499493,40770671731,2024-09-03 17-40-25,245.124.191.101,2029876322,ims,251.56.30.105,-960002117,-475787458,13432,43
huawei,109,226058084776685,40731465068,2024-09-03 17-43-43,3.211.148.202,1812632655,ims,196.79.81.245,-1199893141,396962089,32298,109
huawei,121,226054202300200,40728764400,2024-09-03 17-40-55,57.130.236.228,717059003,internet,152.129.110.190,695305388,329767885,16291,58
