src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,29,226057408925860,40785094415,2024-09-03 18-34-31,155.190.77.142,-528491942,internet,180.240.239.194,1888646170,2060630382,-14915,91
huawei,-7,226056795565993,40743352063,2024-09-03 18-30-02,54.147.89.138,345857442,ims,102.51.104.96,-343593279,741746852,-24471,-85
huawei,-39,226053318714626,40732957215,2024-09-03 18-32-08,90.4.84.168,1438524535,internet,72.253.3.184,1930833579,-2137395972,1489,-80
huawei,-49,226052043164435,40725548472,2024-09-03 18-34-57,66.240.162.220,-1578859564,ims,234.21.76.36,-1853144172,627809060,7555,-120
huawei,-3,226050863275511,40785089358,2024-09-03 18-32-25,113.49.227.234,-2044808159,ims,201.135.10.20,-1796258860,767321123,-30945,-95
huawei,66,226059833234902,40749814506,2024-09-03 18-32-17,1.127.86.229,-1806276110,internet,229.208.233.109,-966970353,-1966733876,26012,91
huawei,-6,226058533517830,40736971851,2024-09-03 18-30-56,7.244.209.69,-276969857,ims,107.72.99.94,81780395,596212837,-6928,89
huawei,-69,226057956414537,40720295440,2024-09-03 18-34-59,234.168.77.174,2135504891,ims,142.15.240.21,407060558,964252653,11065,-31
huawei,85,226058835172209,40717280354,2024-09-03 18-34-57,228.185.97.201,670296567,ims,82.211.42.175,-1600625038,1566777751,4132,110
huawei,-6,226052949570023,40769796293,2024-09-03 18-33-09,248.249.24.98,-2115519887,internet,102.246.48.4,1817312965,346231444,12769,-60
huawei,-42,226052318568607,40786971039,2024-09-03 18-34-56,75.122.231.249,-1199769140,internet,193.50.109.109,1068646878,-1901387542,-28937,48
huawei,-41,226059476197914,40718067567,2024-09-03 18-33-38,250.95.7.185,-1983427941,internet,134.72.8.151,-2122186501,-1019258634,-10692,-33
huawei,-45,226051582101922,40764735141,2024-09-03 18-33-56,120.33.83.101,-595896004,ims,198.214.20.78,-626127168,-539983952,20067,-65
huawei,104,226057107768252,40741275416,2024-09-03 18-31-24,153.195.132.15,-839486152,internet,146.17.14.89,-984669244,977357563,-2826,-119
huawei,-57,226050122407932,40749534923,2024-09-03 18-32-24,26.138.243.184,-1611872690,ims,39.65.55.150,-1051881737,537593813,3802,2
huawei,80,226052282062828,40774233852,2024-09-03 18-30-05,17.255.6.163,183176488,ims,188.192.100.74,-786754924,735014325,-24489,-30
huawei,32,226054235047288,40726467455,2024-09-03 18-31-36,96.207.51.241,-598038596,internet,27.49.238.91,-100100458,-1478362996,29543,87
huawei,-42,226059443985711,40793419416,2024-09-03 18-35-00,229.124.189.80,808707088,internet,202.195.127.136,1214281559,-1060160106,-20941,83
huawei,39,226055480013346,40732631932,2024-09-03 18-32-24,193.180.166.29,859197603,internet,172.31.155.43,-1767765440,-475640381,-26853,-76
huawei,63,226055677688943,40791789896,2024-09-03 18-34-05,109.212.192.26,84087357,internet,217.64.219.67,-1199956581,721512018,-20380,-90
huawei,98,226057191875170,40775098119,2024-09-03 18-31-01,8.161.166.101,1956588741,internet,2.78.90.218,-1559822057,1476146468,-8212,61
huawei,-88,226055964735505,40747897381,2024-09-03 18-34-36,45.255.113.249,712439059,internet,34.156.37.228,-2116327549,1019393722,669,-25
huawei,74,226052114322113,40721908592,2024-09-03 18-31-59,38.95.154.86,-1378145882,internet,236.61.36.45,-2082131831,932756630,12884,110
huawei,44,226054514566309,40731616830,2024-09-03 18-30-31,69.28.196.171,-899658866,ims,253.163.255.160,1624987057,611121936,23453,-122
huawei,51,226059087563648,40770574542,2024-09-03 18-30-07,186.120.67.200,-340555308,ims,213.130.208.149,-1288521955,-2134316562,-29074,7
