src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,125,226050596683732,40761331434,2024-09-03 18-39-13,101.106.139.204,1808534804,internet,98.69.78.18,-1782635261,-846306174,-19634,2
huawei,-49,226051066335781,40700581686,2024-09-03 18-39-44,150.39.14.48,1318221809,ims,35.230.155.81,-1435313865,1037658091,-5225,50
huawei,114,226058849616513,40728450035,2024-09-03 18-37-30,45.142.243.250,1775453468,ims,78.255.71.43,2125797994,-1214501404,-21639,109
huawei,-55,226054871572824,40786765514,2024-09-03 18-35-26,168.36.22.38,-792055822,internet,50.255.77.12,-190112383,-833467582,-9834,76
huawei,-105,226052239248766,40748131265,2024-09-03 18-35-41,202.247.214.107,-1310429832,internet,186.48.219.237,-433018464,-444790087,7872,54
huawei,-67,226050632511830,40720827385,2024-09-03 18-35-28,239.57.232.145,-372077053,ims,65.110.166.144,-1522430196,-1869713947,-23033,-62
huawei,-102,226051476564816,40771657724,2024-09-03 18-35-18,208.240.32.44,-2123212533,ims,5.43.151.122,2086525861,1870019248,-22604,-100
huawei,-12,226058939449257,40798142364,2024-09-03 18-39-10,59.197.96.157,675157215,ims,207.171.44.245,1664953879,1948638966,30284,114
huawei,120,226055518965725,40792219743,2024-09-03 18-36-50,130.211.246.181,-1664340147,internet,70.214.91.69,1833650098,-2022294416,-14655,41
huawei,107,226052534448566,40714960866,2024-09-03 18-39-18,215.53.207.204,631450254,ims,50.76.98.240,-319179615,1483971908,-1504,-81
huawei,-107,226058043289782,40713555969,2024-09-03 18-35-48,102.39.242.148,-1728803621,ims,182.169.186.71,-1587416697,114255272,-25763,44
huawei,11,226052436628896,40786071990,2024-09-03 18-38-32,70.131.106.238,1918024371,ims,146.6.193.60,984840518,889979306,-31075,-66
huawei,-127,226050902216486,40715908265,2024-09-03 18-35-54,115.79.250.88,473704837,ims,24.108.194.249,839769228,1681130113,-26814,-18
huawei,-31,226055417344639,40759208142,2024-09-03 18-36-15,146.72.104.192,1578574352,ims,169.221.23.107,-529143687,-1133732731,4393,79
huawei,42,226054740398998,40748415170,2024-09-03 18-39-11,243.93.211.181,456601001,internet,150.169.108.5,-42187628,-1282724239,13650,27
huawei,1,226055174680578,40731329835,2024-09-03 18-36-26,148.164.179.161,-1829383479,ims,140.49.203.222,-57115181,-439899581,26081,30
huawei,73,226053836224579,40764090296,2024-09-03 18-39-46,87.218.232.184,-953039973,internet,30.117.226.70,-1688944704,-1445266524,31939,47
