src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,118,226051178301922,40720381743,2024-09-03 19-00-40,68.220.127.197,1614521500,ims,127.61.127.188,1891094016,-217037492,-25139,-108
huawei,-45,226052005673835,40717467417,2024-09-03 19-00-40,41.93.67.87,1592178056,internet,196.237.49.54,1973819298,1413420207,23547,-16
huawei,98,226053325114699,40797205521,2024-09-03 19-03-58,227.90.221.26,-473405761,ims,155.67.211.17,2127009867,-1561099578,-31787,112
huawei,-6,226056197336819,40763948091,2024-09-03 19-03-10,83.16.232.76,782240036,ims,151.240.194.177,296454724,236491462,-29920,-42
huawei,-94,226051952330725,40700837041,2024-09-03 19-00-26,79.186.206.4,567831323,internet,171.139.238.122,-2094302624,216070183,1022,39
huawei,-24,226057297565220,40747020272,2024-09-03 19-04-59,83.255.216.39,-1290205310,internet,120.229.59.29,722550495,1525512889,3344,109
huawei,-93,226050600415698,40722219908,2024-09-03 19-00-18,11.212.123.208,-196780135,ims,182.77.13.42,1918012978,-512717852,7939,14
huawei,-98,226058374841576,40751709933,2024-09-03 19-04-41,73.172.135.48,-1913713609,ims,36.74.194.109,-1363878040,-530865437,24812,-115
huawei,-117,226052688847622,40797441124,2024-09-03 19-01-30,2.110.15.174,1676599648,ims,182.185.242.58,-1166455139,1414759489,-5843,-19
huawei,-74,226055945157830,40718856857,2024-09-03 19-03-08,219.102.199.220,1347212250,internet,170.109.180.179,805064026,2120071778,22191,-76
huawei,-39,226050107002192,40774935641,2024-09-03 19-03-06,100.132.254.161,1216614256,internet,59.214.237.122,1966440873,171744276,9367,17
huawei,46,226055057799361,40731450870,2024-09-03 19-03-09,66.52.246.154,1107503102,ims,86.144.15.190,-311643377,108960263,3388,64
huawei,88,226054469876120,40732964585,2024-09-03 19-03-13,35.203.241.254,1919804517,internet,236.23.71.7,1373225397,-675547817,-27395,-17
huawei,-42,226055506003615,40760432505,2024-09-03 19-02-25,6.18.149.139,-1725785677,ims,156.77.152.169,1139455977,923239619,-6379,-124
huawei,-66,226051185745071,40775508305,2024-09-03 19-04-11,27.2.21.7,-1772137327,ims,83.161.150.145,-257041611,-1019044963,5172,67
huawei,-67,226059331772120,40742864297,2024-09-03 19-00-58,219.232.191.70,1071960235,internet,21.194.45.42,428038461,1522875068,14884,117
huawei,89,226052268962401,40755446469,2024-09-03 19-04-25,152.246.214.140,-1424094976,internet,181.241.167.202,-195421730,-859610438,-7143,69
huawei,42,226052085308522,40735389515,2024-09-03 19-03-41,108.22.122.60,-2001614897,ims,5.83.184.33,570777989,1018028516,3360,-46
huawei,6,226053947663601,40767729847,2024-09-03 19-00-59,84.86.71.195,-990794259,ims,76.236.97.143,-561470706,-741870836,25577,-79
huawei,93,226050243920900,40728471190,2024-09-03 19-03-18,108.84.99.80,1880626725,internet,27.75.156.148,-1154438203,-880911620,11425,-18
huawei,119,226059169229942,40739513318,2024-09-03 19-00-20,183.252.3.46,-1040577993,ims,50.162.169.10,-985571173,1919658694,31322,-43
huawei,31,226052271060591,40727393292,2024-09-03 19-03-01,190.221.244.231,192863418,ims,87.56.96.148,-1788895585,-1594517479,-21179,96
huawei,-69,226054254889911,40759447998,2024-09-03 19-01-43,215.0.166.161,2005260466,ims,237.78.254.210,-1589438818,-1230642827,13748,106
huawei,-36,226055566365053,40771006050,2024-09-03 19-04-13,1.62.109.93,-1128227425,ims,3.148.243.197,1155640066,340114262,-14037,56
huawei,75,226053169082258,40791431665,2024-09-03 19-04-50,44.8.135.74,1935056448,ims,120.142.95.116,209422894,-819958937,372,-31
huawei,16,226055649165611,40767427319,2024-09-03 19-01-54,53.190.46.113,-58314376,ims,168.175.5.3,1508789724,1423187398,-16855,48
huawei,41,226054019047505,40750052608,2024-09-03 19-02-22,41.96.103.97,-714962825,ims,4.193.35.198,305499491,1043337845,-27882,81
huawei,107,226054694877959,40763911435,2024-09-03 19-00-08,58.13.138.133,-2146540166,internet,53.16.92.25,1205511019,-1330103081,5719,-15
huawei,-49,226059299272669,40759187124,2024-09-03 19-04-55,182.16.110.8,1956957313,ims,71.126.80.107,1702253977,1758176452,15094,-12
huawei,119,226057439699045,40743006789,2024-09-03 19-02-12,49.128.247.98,242633507,ims,115.22.174.27,-1444176247,-980155205,-27885,77
huawei,86,226054252262724,40791436136,2024-09-03 19-00-14,149.125.243.118,1382147578,internet,0.75.81.119,-600516178,1754741515,16874,7
huawei,82,226056033001019,40785398005,2024-09-03 19-04-28,254.96.81.154,337841932,ims,193.202.41.167,267961249,1213615248,-6286,-120
huawei,119,226052348501912,40720342134,2024-09-03 19-03-12,212.14.191.49,-924420865,ims,219.135.245.53,1995419123,81839459,23920,5
huawei,97,226053604322325,40760195553,2024-09-03 19-03-20,40.17.218.11,-803630565,internet,126.205.38.145,215462802,-1166915093,-9749,96
huawei,126,226050127825127,40712231674,2024-09-03 19-02-13,231.183.142.43,-1883427702,ims,85.203.132.119,504639856,-1866799044,1368,93
huawei,-109,226052167244492,40712084562,2024-09-03 19-03-39,3.215.84.230,-1392086013,ims,210.202.42.123,-103754724,1509144765,-24231,101
huawei,-61,226057905922303,40795696700,2024-09-03 19-03-58,81.21.180.211,771412548,internet,58.210.224.184,893558252,490754506,22930,84
huawei,65,226052813438648,40768362008,2024-09-03 19-01-23,229.134.59.20,-653933200,internet,95.64.33.240,1272821115,1773799673,5921,16
huawei,-61,226056044114507,40719182566,2024-09-03 19-02-26,250.193.222.88,-653414713,internet,21.0.16.251,110860556,-251879352,-29461,-108
huawei,14,226055816015960,40707802082,2024-09-03 19-01-41,190.166.23.26,957019001,internet,127.214.223.205,-765288805,1429062480,-1406,55
