src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,-36,226056488531274,40729215327,2024-09-03 19-10-31,103.105.110.172,2098006736,ims,17.116.221.42,1282214445,-563267587,-17771,100
huawei,68,226058166933412,40776987142,2024-09-03 19-13-45,8.40.5.148,-508906968,ims,191.152.214.146,663340587,1733399795,27992,54
huawei,23,226051010479361,40749840607,2024-09-03 19-13-59,133.36.17.242,-222062912,ims,80.159.42.55,-1780888676,1012928713,5695,-23
huawei,0,226058238794586,40752100103,2024-09-03 19-12-07,241.60.71.151,-995747146,internet,173.120.164.231,-1664790648,1641794798,1021,-128
huawei,-12,226051231684090,40783776256,2024-09-03 19-10-15,198.108.115.224,1544668859,internet,70.184.145.174,-642377164,2038122679,-15295,43
huawei,-114,226055837184174,40747121191,2024-09-03 19-11-55,107.165.211.38,510793118,internet,242.136.49.66,-481465214,343733725,-15615,-62
huawei,20,226056435774144,40797043553,2024-09-03 19-10-47,255.82.229.67,1947109080,internet,37.187.198.170,-1905953549,-342154986,-1735,100
huawei,103,226052926812696,40715705555,2024-09-03 19-10-16,143.249.188.127,-1319121516,ims,126.104.75.45,1161445578,2000601900,-26622,79
huawei,119,226052648501429,40744421773,2024-09-03 19-11-40,55.187.227.249,-812070113,internet,202.253.24.160,-604356047,-124870990,-22728,-41
huawei,-39,226054328633309,40765189849,2024-09-03 19-12-48,178.213.44.157,-1627909584,internet,212.138.200.222,-576426151,1273212431,2968,112
huawei,-122,226055181306224,40710578389,2024-09-03 19-10-29,193.224.103.218,-1634954148,internet,177.89.73.96,1496993258,-66347927,-23116,24
huawei,-42,226051888362363,40754558098,2024-09-03 19-11-49,227.14.62.10,-845502516,ims,247.239.175.105,-308367235,1467314086,-19982,50
huawei,96,226056047836784,40783813481,2024-09-03 19-13-52,46.3.66.36,1161530582,internet,138.200.182.148,1237022709,610847403,21558,27
huawei,64,226051084370039,40754483818,2024-09-03 19-11-40,234.8.77.229,561287630,ims,14.242.46.183,-75244112,-902442156,-24731,-110
huawei,115,226056283644441,40700939419,2024-09-03 19-11-28,248.200.117.49,2037971796,internet,144.153.6.214,910429206,-1508090376,-3961,116
huawei,107,226051695467383,40718043550,2024-09-03 19-10-21,3.14.77.156,-1977828610,ims,127.132.55.245,-1613172750,717597810,30314,1
huawei,91,226057855015367,40796486655,2024-09-03 19-12-04,171.103.138.196,320823464,ims,155.34.14.198,-1621435847,614978011,-3945,-99
huawei,-122,226059191138610,40755596418,2024-09-03 19-12-39,6.189.41.62,-1474910234,internet,35.239.241.236,490968168,454001925,1054,37
huawei,83,226055742405673,40757674380,2024-09-03 19-14-41,58.126.38.75,705048199,ims,40.183.156.204,-72708100,18083965,-26195,-36
huawei,84,226055011764985,40792123454,2024-09-03 19-14-34,49.115.104.210,355016034,ims,139.122.182.124,-1565766009,-1586408679,15732,41
huawei,82,226050716096403,40764281569,2024-09-03 19-14-38,59.172.122.96,-249112818,internet,172.128.116.106,-1808606616,467534779,16625,-78
huawei,80,226051253655705,40715736012,2024-09-03 19-13-54,172.213.208.255,565579522,ims,25.245.146.148,-813056457,577457337,3586,65
huawei,-9,226058533920425,40737459131,2024-09-03 19-14-56,67.230.240.154,-1506515871,ims,201.44.16.70,-1806568532,414920753,-28006,94
huawei,17,226057871825141,40753832672,2024-09-03 19-14-35,179.91.59.106,151638472,ims,44.242.35.97,76860801,172345880,-30644,-91
huawei,80,226052569771998,40761184708,2024-09-03 19-11-34,201.84.244.149,-450303095,ims,170.61.62.23,839733350,-753706433,-27581,74
huawei,124,226051333379106,40726784937,2024-09-03 19-13-48,66.48.38.24,1667439718,internet,124.172.252.157,1558908055,622127789,18280,99
huawei,32,226053743516267,40703561480,2024-09-03 19-10-11,33.154.61.220,1827812604,internet,62.128.165.113,1911961723,-1976859679,-21363,-14
huawei,81,226051969617149,40791521987,2024-09-03 19-13-10,19.169.183.215,1022765996,internet,223.233.238.77,1079020758,-1665478336,25222,-36
