src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,-4,226056524156105,40729631336,2024-09-03 19-35-33,49.126.121.59,1304927421,internet,16.166.117.138,2040288516,-495676349,21410,-90
huawei,-105,226052835498981,40772784865,2024-09-03 19-35-42,213.172.11.153,440902398,internet,11.160.92.65,1804188767,-286351813,-4723,87
huawei,-95,226057623647940,40790701480,2024-09-03 19-38-02,205.210.115.231,-1452550893,internet,97.209.18.157,198066191,1495675637,9204,-118
huawei,35,226053690776719,40790283603,2024-09-03 19-35-44,184.173.99.163,-386697556,ims,40.98.162.163,2014791074,-464865480,-23958,75
huawei,115,226050380088627,40769914527,2024-09-03 19-37-50,79.228.21.43,1744759558,ims,229.193.219.104,1243444367,557973309,21740,-34
huawei,120,226051204170930,40732832541,2024-09-03 19-40-00,239.148.227.83,-48192770,internet,250.66.67.184,1302217305,2016984633,17058,77
huawei,-53,226053091380444,40771897347,2024-09-03 19-38-31,61.80.149.186,-1172324019,internet,182.111.252.32,411575706,-1030107066,-13964,30
huawei,84,226055451980098,40772462294,2024-09-03 19-38-07,81.234.72.102,2073866906,ims,132.152.56.146,1268975979,635772726,8406,3
huawei,63,226056486957213,40739966233,2024-09-03 19-36-32,100.219.109.114,1259468878,ims,244.201.239.173,-1693524823,-373267173,-24062,-38
huawei,-70,226052878059827,40782327815,2024-09-03 19-35-29,171.95.82.179,-881298354,ims,0.31.240.216,1246379446,-243859316,-27811,70
huawei,15,226050372326436,40747731298,2024-09-03 19-37-29,176.115.229.33,-725350072,ims,87.215.73.22,1001524720,569445500,-28818,121
huawei,40,226057948158627,40721498314,2024-09-03 19-36-05,98.51.46.191,1211915941,internet,164.184.17.185,1017121741,387621077,-16055,44
huawei,-59,226054651267738,40792249134,2024-09-03 19-36-24,19.216.136.29,1441015528,internet,230.143.210.212,196106244,799413020,-29380,-100
huawei,46,226054790937556,40737916497,2024-09-03 19-35-53,189.29.213.221,-147635422,internet,223.149.48.130,-940089918,-471322831,-10951,-102
huawei,12,226059375152340,40739149947,2024-09-03 19-36-11,189.75.92.5,416617854,ims,174.132.234.173,599118958,-1452781132,-1269,25
huawei,116,226058791942151,40780376109,2024-09-03 19-35-34,95.97.128.85,1111171049,internet,205.203.8.5,-1215886593,299741126,-10568,48
huawei,121,226051073356153,40789306002,2024-09-03 19-37-25,73.205.100.84,591253529,ims,255.254.170.191,1910980146,-1200341063,15843,-31
huawei,-70,226052149126010,40779611583,2024-09-03 19-36-37,85.51.109.117,-113980994,internet,182.80.218.248,-2093722385,1699819919,-2284,-115
huawei,-117,226059071570594,40732314750,2024-09-03 19-38-48,104.116.229.239,-1478173833,internet,117.120.50.21,-899883333,-533690070,-3189,58
