src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,119,226050664233171,40767393886,2024-09-03 19-53-26,15.242.215.149,1115731721,internet,198.213.18.221,2075754511,1846232487,-5740,124
huawei,-37,226058935706402,40730003487,2024-09-03 19-50-34,188.178.214.110,-1447007843,ims,40.155.119.130,-232055341,1134318622,-16269,-38
huawei,15,226059426029423,40723877315,2024-09-03 19-50-19,238.163.80.109,-1034209736,internet,158.125.143.21,-1464557459,-888006606,-8207,15
huawei,107,226051246253762,40716327526,2024-09-03 19-51-58,61.191.120.216,-2063530378,ims,80.106.17.13,-557254450,-1782137160,4757,97
huawei,56,226052574981426,40746114717,2024-09-03 19-50-07,202.153.60.214,1012674523,internet,179.196.76.131,-423421353,-8159959,-597,-126
huawei,-31,226059840181866,40720058755,2024-09-03 19-52-12,136.105.192.221,-1079246095,ims,197.87.194.129,-1247156490,1696395556,16342,89
huawei,54,226051011627828,40706496106,2024-09-03 19-54-10,137.17.116.57,-2022837905,ims,212.123.104.127,2074857715,595071436,12810,114
huawei,-27,226054613084681,40790369931,2024-09-03 19-50-22,114.81.68.250,742037497,internet,145.11.193.17,811241895,982423022,18756,54
huawei,121,226055361052805,40791873413,2024-09-03 19-54-53,153.42.38.237,28044330,ims,133.163.241.69,-2044438673,1804759634,-5937,-33
huawei,34,226053843611596,40739443839,2024-09-03 19-51-09,160.28.166.66,1657244558,ims,170.1.222.176,-1100485490,-1866263502,10746,-41
huawei,-24,226059932088188,40718970106,2024-09-03 19-53-32,66.113.98.27,1277598346,ims,29.173.37.49,377299832,346045644,29652,-64
huawei,96,226056381088802,40731208739,2024-09-03 19-54-58,200.130.209.167,1991043139,internet,82.74.82.246,2072509685,-1257972587,-1595,-102
huawei,-15,226051940667408,40789503331,2024-09-03 19-53-19,193.117.54.38,-598979417,internet,211.180.113.229,975628073,1462748461,-8945,-125
huawei,121,226055549646626,40723190907,2024-09-03 19-51-18,52.202.112.198,1046098703,internet,70.110.70.229,247974298,-1519671615,27041,87
huawei,28,226059970670139,40743112187,2024-09-03 19-52-29,84.69.204.208,1449617541,ims,44.7.221.123,409760749,-81320452,5554,-30
huawei,-112,226051662559124,40794878494,2024-09-03 19-52-23,124.93.4.63,903671872,ims,102.90.88.119,423257161,563291046,-29481,60
