src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,-23,226053019122207,40729600295,2024-09-03 19-55-17,187.77.67.164,-1198975074,ims,195.24.61.11,-1086703817,1528020377,3958,67
huawei,75,226052156596270,40742504393,2024-09-03 19-59-16,38.125.93.76,805424581,internet,5.230.17.6,-1428395216,-1880257645,30482,94
huawei,-70,226054787937598,40774246568,2024-09-03 19-58-35,234.247.162.216,-6882649,internet,165.77.176.53,413865131,-1035847526,11367,-98
huawei,1,226059728219688,40792407482,2024-09-03 19-55-24,99.93.252.77,1945862375,ims,251.48.121.85,1099629118,438413028,14373,-1
huawei,-113,226050873872979,40795578296,2024-09-03 19-59-42,161.34.51.5,2106727360,ims,69.124.226.63,-204284148,1302404923,23351,83
huawei,26,226050474343384,40729869521,2024-09-03 19-58-57,191.153.47.92,1503576488,ims,81.36.166.222,262177856,348554619,20621,48
huawei,1,226056436832123,40798123366,2024-09-03 19-56-57,171.124.162.79,-1571582832,internet,72.245.192.3,-920816580,-777419049,-1421,126
huawei,77,226059996599594,40726629399,2024-09-03 19-59-59,106.61.190.45,1520746584,internet,66.208.129.91,898661293,-1944405729,-23182,-123
huawei,6,226059609807488,40722060625,2024-09-03 19-56-52,3.84.89.248,1275380357,internet,238.16.252.164,1182104805,-1246992310,13368,-39
huawei,-81,226053631684254,40777536397,2024-09-03 19-56-59,93.124.135.35,514282610,ims,213.18.90.40,259661602,859337828,8486,-116
huawei,-6,226053278744842,40768964971,2024-09-03 19-59-52,93.109.34.31,-547262012,internet,73.35.102.231,-581798297,-428015777,-12098,-42
huawei,20,226057958031965,40748868742,2024-09-03 19-59-17,244.237.229.190,766980579,ims,8.159.59.155,-574020917,-1802339572,-7161,-123
huawei,-22,226057692463567,40772104699,2024-09-03 19-55-20,233.201.55.99,967060155,ims,12.10.120.171,-319215692,546495441,-774,98
huawei,2,226058412080488,40737684475,2024-09-03 19-59-20,255.80.199.38,-1460194266,internet,174.85.175.65,1320786034,1505615246,-17377,-103
huawei,8,226052385886072,40799610190,2024-09-03 19-55-27,159.91.130.248,-194035837,ims,245.32.255.77,-1565958814,344724842,24942,-29
huawei,-33,226051548771503,40787411775,2024-09-03 19-58-25,142.112.124.160,-284713293,internet,94.0.101.59,-28737952,-1579312299,-23351,3
huawei,-90,226054284652161,40769105398,2024-09-03 19-58-45,211.19.1.155,156029564,ims,11.57.90.95,-1785080128,1271837694,-22822,101
huawei,-7,226056967350668,40775628181,2024-09-03 19-56-29,69.100.220.167,2067677644,ims,252.171.137.46,654173758,66315336,-21512,56
huawei,64,226050418496021,40770130401,2024-09-03 19-56-49,205.17.96.223,478394356,ims,214.45.87.83,-1614909835,2072526925,28971,-72
huawei,76,226056114792340,40719241025,2024-09-03 19-58-34,252.211.226.164,-2137854228,ims,217.127.251.173,876733063,-996121348,17110,13
huawei,-46,226059724822932,40754691412,2024-09-03 19-59-10,89.219.82.67,1181719671,internet,81.166.209.5,1531789101,2101165552,-24095,43
huawei,-65,226054509124203,40705785635,2024-09-03 19-57-17,209.245.253.184,-539841942,internet,230.103.45.234,551627253,-1387135152,6308,66
huawei,-41,226052450193585,40744317511,2024-09-03 19-57-11,43.173.36.233,668580688,ims,99.217.188.147,1791296154,1537302894,-11657,-111
huawei,115,226056200412135,40772597033,2024-09-03 19-58-16,141.124.144.89,-1420228879,internet,137.226.185.75,-1254411931,-539882282,-24010,2
huawei,5,226054940280027,40709003136,2024-09-03 19-58-44,205.122.245.245,-245106738,ims,125.245.12.144,-856520723,-1730994455,26574,-37
huawei,-75,226052717374987,40752266478,2024-09-03 19-58-38,79.91.110.114,-337094363,internet,219.45.87.107,1493065482,10756402,17724,38
huawei,80,226057754308360,40758809962,2024-09-03 19-58-19,118.14.100.53,-622759302,internet,183.184.210.101,-1064364728,-1501475248,-31680,-21
huawei,-85,226055933781589,40739459529,2024-09-03 19-59-57,52.4.82.195,-137896604,ims,76.247.147.123,-1750090889,2034318113,30515,93
huawei,117,226059488229948,40753669063,2024-09-03 19-57-45,241.103.54.73,-1307527530,ims,234.215.57.8,603824718,-17247176,31904,45
huawei,-69,226057806851923,40700093310,2024-09-03 19-58-04,182.216.45.91,-802205419,ims,156.225.222.96,-547939421,1500991162,30669,86
huawei,61,226053132135454,40798369653,2024-09-03 19-59-25,236.32.48.174,-113347553,ims,142.12.109.206,-1184748142,-1190371627,-21616,100
huawei,-86,226051166189960,40731970493,2024-09-03 19-55-10,7.250.56.106,-1795969524,ims,225.59.21.238,-1918879552,931659596,1489,52
huawei,-114,226056818449446,40772311390,2024-09-03 19-55-23,110.197.204.54,700409092,ims,119.237.165.167,814159369,403786424,-11511,-16
huawei,32,226056155241250,40755260413,2024-09-03 19-58-53,54.151.253.99,684643765,ims,254.192.171.41,1761914624,695898861,-20540,117
huawei,-106,226054920402715,40702682337,2024-09-03 19-55-20,218.13.50.163,1668209363,internet,253.212.69.194,1218882395,-1681345730,22790,-72
huawei,91,226054221709438,40784985763,2024-09-03 19-57-10,124.143.83.253,605206302,ims,88.207.5.13,796624322,2111768661,14313,-12
huawei,-75,226058846953843,40792113367,2024-09-03 19-56-26,142.87.62.100,135858056,ims,210.71.193.3,1876936012,-1977756386,-9818,24
huawei,-92,226059748522017,40766673442,2024-09-03 19-57-04,200.101.197.254,585778098,internet,189.101.166.162,1153522237,-1058055918,-1348,12
huawei,5,226058144411500,40780930647,2024-09-03 19-55-31,153.219.181.39,2133140266,ims,72.37.243.87,-1735019290,-965864858,9996,80
huawei,-26,226059085572701,40746026961,2024-09-03 19-58-10,180.61.32.134,1688493394,ims,19.160.103.212,-1628720613,-293527804,-13414,-12
huawei,-11,226056418849080,40797850595,2024-09-03 19-55-37,171.94.103.11,-1616801352,internet,181.188.211.218,-607232885,-196221200,-25654,-5
huawei,-2,226050923310299,40765804519,2024-09-03 19-56-18,145.102.208.114,1814485004,ims,16.124.195.105,-2034393702,1800604230,12207,-116
huawei,125,226055408238288,40703338429,2024-09-03 19-59-05,37.253.22.140,2033561673,ims,2.215.210.142,-552834543,-825636629,-3532,-1
huawei,-13,226057709272330,40701730548,2024-09-03 19-58-16,15.142.80.12,1183106405,ims,8.177.242.105,-25281176,-807160615,-7224,49
huawei,-86,226054064881348,40786033042,2024-09-03 19-59-15,200.46.12.80,-389102991,ims,207.79.233.163,-1291096101,-922202713,-11902,71
huawei,-89,226054302240098,40706649853,2024-09-03 19-55-53,24.164.26.112,2112765747,ims,208.238.223.48,1471848765,-72163232,12929,113
huawei,60,226059333860729,40736187971,2024-09-03 19-57-33,132.253.199.119,-1559308396,internet,45.1.88.137,264635122,939241753,-28909,-114
huawei,-99,226059546771989,40749771080,2024-09-03 20-00-00,139.253.113.147,-205611941,ims,176.80.69.129,1976983899,-1122859002,18607,55
huawei,5,226056159869844,40770881853,2024-09-03 19-55-36,228.103.178.90,1954522761,internet,188.164.55.88,-1679839177,580320252,-25183,-49
huawei,-66,226058316356268,40741116505,2024-09-03 19-59-06,16.159.247.24,-411354392,internet,147.53.180.64,-271998304,1077993088,-29621,-90
huawei,-23,226053931534818,40783097145,2024-09-03 19-58-20,15.172.243.170,375816928,internet,160.220.155.132,1759762707,-1897819263,-21033,-20
huawei,-62,226050475367112,40767748146,2024-09-03 19-56-31,140.125.119.64,886560765,ims,24.79.25.6,-348048163,932291650,-30929,22
huawei,114,226050541594211,40793667492,2024-09-03 19-57-40,82.224.122.63,953143290,ims,1.227.45.189,-1987717394,-1297059819,20927,-38
huawei,78,226050588333848,40739902980,2024-09-03 19-55-53,41.188.211.77,-51185230,internet,222.238.1.199,530774780,1984482472,-29879,13
huawei,-65,226056180822077,40751517685,2024-09-03 19-55-10,108.3.249.155,1234257471,internet,65.233.65.120,-1269079985,-1842976860,30433,109
huawei,124,226057377233378,40706178622,2024-09-03 19-56-12,186.35.202.39,-41079610,internet,46.161.128.89,1207760294,458064496,-7525,48
huawei,-64,226055256666632,40716565943,2024-09-03 19-59-02,73.47.157.134,2104765322,ims,178.61.162.96,-447175346,-848755895,-1100,66
huawei,-26,226051942834085,40777004393,2024-09-03 19-55-38,210.72.36.35,-707252795,ims,204.3.150.186,863003192,483429991,11359,-69
huawei,9,226054151594299,40760272012,2024-09-03 19-55-09,219.134.79.220,-1589067016,ims,180.159.75.11,-867822723,-981857592,-5680,-63
