src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,17,226058275425348,40763007861,2024-09-03 20-07-56,68.49.250.3,-1633057982,internet,24.36.229.145,-901241270,1208667652,32639,-58
huawei,33,226051474821579,40785499964,2024-09-03 20-09-44,16.116.230.129,-1180675690,ims,34.38.167.146,875611591,128654955,3868,-43
huawei,122,226058220779083,40744965711,2024-09-03 20-08-20,91.252.15.102,351243508,internet,13.162.46.78,1918382625,-1608215236,30048,70
huawei,-119,226054445249161,40731957946,2024-09-03 20-05-18,169.71.243.128,898193383,internet,21.88.106.99,1073012888,-1692268770,15497,-23
huawei,-28,226051685988217,40755365606,2024-09-03 20-05-25,242.87.133.195,-832235463,ims,142.192.4.76,-639325760,-1254924291,-8508,-32
huawei,63,226054691492148,40701910793,2024-09-03 20-08-56,167.82.107.36,979796612,ims,27.44.111.40,-1459205278,-118317527,29546,87
huawei,34,226053320747121,40779635431,2024-09-03 20-06-34,7.132.151.242,-927177336,internet,0.169.246.219,1783384662,-2064194292,-2458,44
huawei,-104,226054438203147,40735122583,2024-09-03 20-09-46,7.204.226.26,-1599144988,internet,133.170.132.81,-1346621616,1029453337,-31688,-34
huawei,-36,226050566828242,40778890745,2024-09-03 20-08-36,188.133.150.102,-239049098,internet,31.37.32.7,-1822969565,6205308,29446,82
huawei,-5,226050104512453,40793062862,2024-09-03 20-07-37,56.24.207.52,389871958,internet,105.33.221.136,-442894389,-1257191371,19696,-98
huawei,114,226054921060293,40793262472,2024-09-03 20-07-53,244.161.240.88,-1929059957,ims,59.22.41.185,1659155797,-1544466380,6667,23
huawei,-44,226053402149610,40771054762,2024-09-03 20-08-06,217.154.251.240,-674031949,internet,12.245.132.130,2118529148,-2127707014,-971,6
huawei,96,226050816241590,40763141136,2024-09-03 20-07-28,227.221.222.101,-1047748511,internet,28.150.104.251,1376454556,1191697911,23260,47
huawei,52,226053800546148,40729963640,2024-09-03 20-07-00,53.141.232.252,-212712965,ims,102.131.130.210,-870068048,-322934086,-3042,-25
huawei,-58,226055560375581,40778210502,2024-09-03 20-05-36,26.17.0.193,-1232846226,ims,38.102.166.48,-1967668062,721451487,-2027,24
huawei,3,226058992367408,40795845879,2024-09-03 20-08-18,189.44.159.177,-2041772382,ims,245.246.89.215,-315255929,1938073135,18014,71
huawei,-29,226057201838094,40738592651,2024-09-03 20-07-05,231.117.105.50,-588823344,ims,141.40.3.73,1863885263,1797262577,-6383,-119
huawei,63,226053002356320,40726041833,2024-09-03 20-07-32,13.20.198.119,-601375460,internet,93.78.223.28,1368095632,1930904928,-177,-41
huawei,100,226056076855422,40709744284,2024-09-03 20-05-48,35.99.130.105,-2042491968,internet,116.61.245.213,140751192,-25275502,-9855,-72
huawei,93,226058723703326,40760775352,2024-09-03 20-07-55,194.145.130.244,415161920,ims,227.184.173.178,-1060883527,-1119575225,-12640,-128
huawei,101,226054947119359,40798321046,2024-09-03 20-05-26,242.61.90.218,-848898798,ims,47.60.232.118,-1879167633,1769587315,-12695,118
huawei,-4,226057361237971,40747359865,2024-09-03 20-05-20,205.102.99.35,1721605378,ims,103.227.50.95,-2034961060,-620703889,-28343,1
huawei,96,226052200465560,40744264013,2024-09-03 20-07-23,26.218.50.168,1722203828,internet,139.202.32.116,2033489073,2041651955,3914,116
huawei,27,226052125148215,40774809207,2024-09-03 20-05-59,243.43.203.225,1518458178,internet,171.118.253.129,-1373103755,-2010065999,9235,123
huawei,57,226052342366547,40791742236,2024-09-03 20-07-02,171.146.182.159,1578435903,internet,131.191.92.12,572984636,427444699,1744,33
huawei,-70,226058716438714,40768794556,2024-09-03 20-07-14,20.89.4.96,1598053264,ims,149.78.250.127,-1379426695,-282784835,6513,-9
huawei,-83,226050112483791,40748775811,2024-09-03 20-06-10,39.119.178.92,-1534985558,ims,67.130.63.54,-1595679486,-372496256,-20647,77
