src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,22,226054374605920,40764618891,2024-09-03 20-10-22,215.137.67.241,-349398133,internet,213.155.53.37,-297841707,-1972984536,23514,-59
huawei,69,226050921378943,40703274135,2024-09-03 20-11-54,156.140.29.99,-472267227,ims,199.121.44.130,-1822282609,890866246,31107,-68
huawei,-20,226053408439479,40714171631,2024-09-03 20-12-48,98.183.93.46,2001290722,ims,163.13.42.157,146823170,1028383144,20735,21
huawei,20,226052606561795,40741366255,2024-09-03 20-13-08,73.33.104.210,47971957,ims,105.119.240.152,-1608974115,1273923703,659,-124
huawei,31,226059195528043,40775592805,2024-09-03 20-11-43,190.109.207.2,1863020934,internet,197.70.148.27,470351538,-404271112,-17638,-20
huawei,-39,226059408414612,40703691931,2024-09-03 20-11-06,49.109.207.153,-1765832003,internet,9.132.54.110,1197030119,-763308466,27376,-100
huawei,-111,226054818922355,40790631127,2024-09-03 20-12-14,38.8.139.150,1178684908,internet,29.162.0.27,-1358607409,1632611303,-7959,-52
huawei,90,226053700315148,40773558130,2024-09-03 20-12-07,115.162.51.120,751934912,internet,203.212.248.45,-939336234,401778515,6524,-63
huawei,43,226051903259306,40795571294,2024-09-03 20-10-43,169.248.13.253,967657072,internet,51.8.254.24,-1490849201,-648414960,-27860,-72
huawei,78,226059504989889,40717267337,2024-09-03 20-13-56,56.85.220.22,69061012,ims,11.152.229.191,522097911,323707787,-7643,-91
huawei,-101,226057616308654,40706162049,2024-09-03 20-12-00,78.67.40.148,-1651213155,internet,118.143.13.243,1019184715,-509636017,22763,-97
huawei,125,226055622038389,40735948476,2024-09-03 20-14-17,174.88.161.113,354285965,ims,107.147.223.229,1417127131,1752958656,-29171,-124
huawei,-61,226050229394125,40745489134,2024-09-03 20-14-19,43.182.252.223,1377222833,internet,231.10.188.115,-1255635225,-231731217,16565,-75
huawei,39,226058483256203,40774364162,2024-09-03 20-14-29,25.237.93.106,2140368429,internet,9.237.72.119,-2102282715,22444149,31151,-13
huawei,-96,226054492571846,40749445544,2024-09-03 20-13-55,194.254.105.93,-1117136854,ims,139.247.92.124,726147266,-1114053285,-18020,-3
huawei,-82,226059938830990,40792775155,2024-09-03 20-11-37,205.178.211.58,85508604,internet,96.7.217.221,-233696857,1733506497,-21080,-35
huawei,102,226053012809301,40709983746,2024-09-03 20-10-25,50.56.191.47,-1531806301,internet,83.211.15.174,-1595342996,420567071,14523,-118
