src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,-23,226059147631833,40730142297,2024-09-03 20-28-36,5.4.53.40,1693805239,ims,91.86.30.148,-1546193332,737153031,22991,-42
huawei,76,226054830844311,40715864338,2024-09-03 20-29-33,111.226.185.5,-319051479,internet,47.25.217.155,714992579,694351064,-16572,74
huawei,113,226055016731492,40744447971,2024-09-03 20-25-32,208.235.243.151,-107612197,internet,187.60.32.240,-1460086167,-903033687,25165,-24
huawei,32,226050171783739,40786246380,2024-09-03 20-29-20,127.83.38.127,253990779,internet,83.85.234.220,-1261555146,1268315862,9762,-86
huawei,110,226058683571157,40764794376,2024-09-03 20-28-43,121.209.95.31,-1164101258,internet,119.167.147.16,2033259445,2119358929,1487,122
huawei,26,226054190167438,40799701569,2024-09-03 20-25-55,105.35.17.100,-1237429160,ims,246.101.195.102,897726373,-475917885,18847,-52
huawei,45,226052067250907,40710038642,2024-09-03 20-29-37,113.196.174.197,-281479177,ims,242.14.223.230,1537768716,-248868063,-2798,-41
huawei,-120,226059930547887,40799905467,2024-09-03 20-25-33,246.195.37.72,545553733,ims,138.22.23.240,934971491,2025573459,16929,-116
huawei,-2,226059669525526,40770123450,2024-09-03 20-27-40,214.193.76.26,4793869,internet,63.26.34.217,1078693455,-346003967,13689,78
huawei,61,226059946014002,40741538593,2024-09-03 20-26-52,190.198.33.180,720241401,internet,137.67.93.131,1326131281,-1764222314,16853,105
huawei,-122,226056036755868,40780324463,2024-09-03 20-27-19,242.143.64.7,-1315025385,internet,190.219.104.245,-1975830531,237305656,-1066,-36
huawei,-87,226050631310661,40711689155,2024-09-03 20-27-02,75.36.73.39,406112738,internet,3.186.9.56,400204032,-220840941,1536,4
huawei,50,226051118874762,40727453879,2024-09-03 20-26-59,148.83.165.193,-1432146386,ims,246.133.108.26,-1447130614,-1106444044,22956,-109
huawei,-24,226059062935050,40773182690,2024-09-03 20-27-30,195.131.205.250,907717751,internet,63.0.240.53,850764784,-1829134588,-10387,83
huawei,116,226050994630990,40724371993,2024-09-03 20-26-27,40.110.92.94,-1432689109,ims,54.137.134.7,-1228328314,-1584519170,-4261,125
huawei,-30,226050841890429,40731663277,2024-09-03 20-28-17,202.203.198.159,-1633144662,ims,24.255.49.162,-1942668614,-1066687245,-28342,-82
huawei,-115,226050287198812,40790415695,2024-09-03 20-26-57,95.145.184.136,1468637436,ims,45.123.195.191,1007966149,1343067633,56,31
huawei,25,226059799924777,40701081140,2024-09-03 20-29-28,190.40.195.133,-1959367778,internet,80.11.104.200,-922748884,-53755384,-18416,60
huawei,88,226055708198580,40734404667,2024-09-03 20-25-58,167.26.178.78,-1005241033,internet,216.195.180.238,-1397958667,-662329244,15214,121
huawei,-58,226058288074483,40776151004,2024-09-03 20-25-28,132.250.165.16,278311436,ims,21.230.229.30,730509575,-283830198,30594,64
huawei,-76,226050434498384,40744464283,2024-09-03 20-26-20,235.157.175.29,-333531628,ims,150.98.67.35,920915551,659580405,20367,107
huawei,-22,226050015236331,40798698756,2024-09-03 20-28-39,116.178.214.161,-1982744740,internet,42.120.125.27,1084486501,385092212,31356,55
huawei,-63,226056693730323,40751353987,2024-09-03 20-26-00,234.47.221.200,708331028,internet,189.202.21.233,-1632150611,561216927,5484,-68
huawei,109,226054026322744,40745835613,2024-09-03 20-26-52,25.236.210.26,-254125723,internet,137.136.227.253,-1956161670,2853801,9671,-80
huawei,10,226054407405444,40715715472,2024-09-03 20-27-59,189.219.139.80,834578925,internet,56.2.105.173,-1143806791,990757387,11095,-65
huawei,-91,226058873449604,40752166418,2024-09-03 20-25-12,201.91.246.233,-336408741,internet,167.33.35.120,292377372,1430316954,21872,117
huawei,31,226055061139293,40743694606,2024-09-03 20-26-08,41.139.235.139,-527207926,internet,157.95.24.138,-1710261655,-444804296,-18382,42
huawei,-33,226054208092423,40741865502,2024-09-03 20-29-53,5.55.14.205,13730303,internet,4.214.248.177,1256229293,-1567065383,-26046,88
huawei,-44,226053142209732,40725648746,2024-09-03 20-28-05,66.110.37.135,-347896523,ims,69.68.237.116,-1770233909,1720084194,31432,-61
huawei,69,226051752171999,40757483153,2024-09-03 20-28-31,246.192.135.252,-1771696070,ims,248.31.77.76,-115442858,-797085691,21164,121
huawei,-12,226051726293607,40731859696,2024-09-03 20-28-02,234.97.68.30,658269308,internet,178.66.134.161,-1704946134,-209328219,28385,-101
huawei,-98,226059338105326,40715069199,2024-09-03 20-26-56,112.27.15.138,-614835987,internet,40.32.64.249,-945196867,1733579931,-16123,85
huawei,-14,226051952028258,40765287837,2024-09-03 20-28-54,108.47.5.240,-629899008,ims,219.3.179.24,1195880160,28227697,7424,-58
huawei,-35,226053807327032,40709378509,2024-09-03 20-28-27,97.93.248.159,-1355313519,internet,168.150.121.177,-18931626,-868184206,27652,-128
huawei,69,226050348367583,40729362889,2024-09-03 20-25-51,91.133.102.144,1938388321,ims,136.128.112.149,-1494012762,211328165,32134,-20
huawei,-61,226058360339345,40718426309,2024-09-03 20-25-24,198.229.2.205,759307467,ims,220.4.217.199,-794228267,-1368166197,16459,30
huawei,47,226056333001720,40712231015,2024-09-03 20-28-41,23.60.237.41,884395835,ims,80.241.41.83,1564185226,-1296677938,15680,48
huawei,-103,226051019049131,40755181643,2024-09-03 20-28-54,96.173.45.220,-1708575222,ims,229.88.7.222,-1954485964,-1983136271,26885,-4
huawei,-111,226058139308721,40712741438,2024-09-03 20-26-15,131.246.52.37,1059150369,internet,11.136.5.114,2077320273,1717251550,-26990,67
huawei,120,226050703762480,40738919903,2024-09-03 20-26-04,251.72.30.189,-1331907422,internet,140.49.244.82,-1077900751,1696103319,-1540,26
huawei,-69,226051487486738,40701582374,2024-09-03 20-25-17,195.36.146.186,787150134,ims,85.129.211.77,1185030772,-16104631,-7541,-10
huawei,-3,226058467524885,40732248133,2024-09-03 20-28-19,165.155.209.221,-147013332,ims,7.97.140.254,-934609980,1304802310,14912,63
huawei,-65,226059952486447,40742793578,2024-09-03 20-25-40,68.116.83.227,1070862028,ims,91.13.82.130,618515348,934686089,32416,32
huawei,19,226055778822784,40738337481,2024-09-03 20-29-32,253.58.62.111,656656182,ims,252.130.255.248,1193838131,1490348658,31000,-47
huawei,-77,226057885128431,40748760663,2024-09-03 20-27-11,171.159.175.34,-125573516,internet,244.57.230.88,668431926,857548031,19703,-5
huawei,-91,226053863311932,40700176267,2024-09-03 20-25-17,189.46.226.42,-2008441298,ims,113.235.211.161,-1988894502,829652005,-1770,-8
huawei,36,226059705564505,40724292134,2024-09-03 20-25-41,214.142.216.251,942496283,internet,29.74.143.129,-1553383307,1350447436,-8540,12
huawei,-123,226057449596580,40795269712,2024-09-03 20-26-15,10.35.96.129,-1096386222,internet,125.200.85.241,542208517,-1763317557,12265,-50
huawei,-75,226059806694563,40759358464,2024-09-03 20-28-06,88.195.94.14,-1040406836,ims,181.226.30.167,-1231349295,1089217988,-27587,-117
huawei,23,226050150134409,40709894153,2024-09-03 20-26-14,227.225.154.50,-96350224,ims,20.20.225.22,779782786,2068584938,-27067,-77
huawei,18,226057952894594,40769905984,2024-09-03 20-25-54,82.153.80.105,-1531876258,internet,61.79.239.100,1600757926,2127143473,-8937,110
huawei,18,226053369279618,40767176459,2024-09-03 20-27-01,133.5.23.131,2014613361,ims,241.160.77.184,860226161,410708288,18291,-120
huawei,95,226054504014913,40753449797,2024-09-03 20-28-23,94.174.73.52,-384411578,internet,3.5.241.61,-1834340396,1846074406,20070,40
huawei,20,226057510786321,40774967489,2024-09-03 20-26-52,128.176.113.105,-999200713,internet,223.166.174.192,-2046523456,1897381882,-12034,8
huawei,35,226053737702056,40754142261,2024-09-03 20-26-36,176.253.80.71,-1226639708,ims,95.133.194.53,18927779,-49682920,-28541,28
huawei,37,226055155435172,40763743950,2024-09-03 20-28-21,127.180.48.172,-1670161434,internet,69.155.111.147,-194716718,-991081077,6597,-62
huawei,-61,226050600389972,40780539199,2024-09-03 20-25-07,233.59.255.49,1561331092,internet,224.187.127.89,2030286866,-802182749,25396,-114
huawei,6,226058108436923,40781218743,2024-09-03 20-28-57,29.244.201.143,-1905809764,internet,97.73.140.19,1556407003,1796485243,-26829,89
huawei,-104,226058730072485,40712214620,2024-09-03 20-25-39,32.82.247.83,-2036089325,ims,17.172.227.46,526168968,-1926066431,9434,120
huawei,-122,226059391581412,40713723074,2024-09-03 20-27-08,241.14.35.40,-1766851824,internet,49.20.226.129,-748876752,-704074877,17362,-61
