src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,-98,226053880422397,40721500812,2024-09-03 20-38-19,46.139.50.144,-1456443694,ims,150.63.37.72,-2044875457,1579436486,4148,-116
huawei,-6,226052661112470,40706496078,2024-09-03 20-39-03,22.134.230.218,-506250627,ims,39.196.33.252,-522651469,-1766835341,3792,-28
huawei,54,226055263485437,40762940978,2024-09-03 20-39-33,219.62.103.203,-954278662,ims,119.234.149.29,-531574282,-521261733,3163,110
huawei,-97,226054558347092,40774950121,2024-09-03 20-36-30,231.67.59.42,1838936077,internet,90.234.248.17,112261161,-858743324,3669,75
huawei,111,226055199799899,40774707768,2024-09-03 20-38-34,221.159.165.50,-913908444,ims,160.129.228.25,-1127944105,626394011,-16360,-75
huawei,93,226052095889786,40720622119,2024-09-03 20-38-15,41.143.111.148,-1933585163,ims,19.26.70.149,-383916943,2100416390,-25415,98
huawei,125,226050383255899,40707245435,2024-09-03 20-38-54,120.26.241.121,908640664,ims,106.71.8.198,489399638,-234280245,21093,108
huawei,-117,226059455654273,40781510130,2024-09-03 20-37-29,34.56.176.249,-1956707852,ims,44.197.201.216,359116874,-623023735,-14462,-10
huawei,27,226052391411262,40710381599,2024-09-03 20-36-09,61.212.138.246,122518384,internet,164.33.86.242,257168256,425857276,6228,-13
huawei,83,226050638037659,40763114806,2024-09-03 20-37-00,46.97.41.1,-154737328,ims,161.45.211.3,-2097928357,177404341,-11576,-12
huawei,81,226052657719052,40746643342,2024-09-03 20-35-56,14.190.128.157,-125742273,ims,16.30.105.26,-1615873476,-1239916313,27183,7
huawei,23,226059460589599,40795462097,2024-09-03 20-37-00,121.155.170.51,-1932516836,ims,136.67.178.20,1565022558,1793629375,-20072,6
huawei,-35,226058692974040,40797271348,2024-09-03 20-35-08,156.235.183.46,-768905819,ims,140.217.246.244,-1079155404,-323893617,1448,-93
huawei,66,226055918245802,40762952840,2024-09-03 20-36-41,69.208.28.57,449461590,ims,219.111.88.199,-591068300,-717806875,-18168,-91
huawei,6,226050049870194,40748036931,2024-09-03 20-36-22,74.232.82.253,-98828267,internet,22.48.91.157,1711264855,1913642377,4453,-76
huawei,-66,226051897863665,40708860603,2024-09-03 20-36-49,215.83.180.129,850116151,internet,119.116.22.159,83728561,-2031856235,-9079,87
huawei,-7,226057807591801,40716704983,2024-09-03 20-38-12,33.145.247.219,-398907238,ims,184.114.36.168,1559970811,-1997049117,27076,105
huawei,127,226057586597579,40700897710,2024-09-03 20-38-43,29.53.43.69,1675997582,ims,39.22.242.185,-1534311413,-1312732254,22522,11
huawei,-67,226055387064909,40782336734,2024-09-03 20-38-05,49.55.24.134,1512885282,internet,141.164.214.82,1906335307,1007038672,7921,-10
huawei,7,226053000324872,40789056942,2024-09-03 20-35-35,126.69.238.68,1373443092,internet,105.240.79.89,37570153,-1900843774,15606,88
huawei,-91,226056041509918,40724734541,2024-09-03 20-35-47,7.8.125.244,1628003710,internet,246.156.115.42,1502688069,-1494240967,-17551,26
huawei,-110,226055316694175,40741512768,2024-09-03 20-39-09,72.253.183.112,-1496120965,internet,162.210.52.37,1140214807,505972709,22946,127
huawei,102,226056300249526,40789123318,2024-09-03 20-37-41,240.202.195.127,-1125773434,ims,213.174.144.17,-1329232509,408233906,-9148,-20
huawei,-126,226052579725276,40717809616,2024-09-03 20-35-06,156.16.216.176,1450895004,internet,35.155.122.84,1149091710,1386034686,-19026,-54
huawei,90,226057774470353,40785193678,2024-09-03 20-36-45,31.183.37.196,-2026783822,ims,226.165.219.116,213118072,-103583845,26061,70
huawei,-82,226056078803829,40726609965,2024-09-03 20-37-40,47.37.116.79,-345385033,internet,95.68.218.95,617386235,-1804201442,-21084,22
huawei,-28,226056106716774,40799314267,2024-09-03 20-39-00,65.94.212.176,1024367333,internet,178.82.152.169,-268793402,-1660260178,12378,75
huawei,-17,226057150365894,40761054291,2024-09-03 20-38-45,86.150.74.184,-796909390,ims,149.95.131.186,1396800355,-1189014383,11824,96
huawei,-23,226056363425736,40752869537,2024-09-03 20-35-56,34.177.122.191,-851633132,ims,119.43.110.188,-588599671,40569034,-410,114
huawei,14,226053706845090,40704810074,2024-09-03 20-37-57,121.26.8.45,-132650757,ims,101.235.177.1,1686796074,1249952121,1577,-111
huawei,-119,226050543233252,40702684593,2024-09-03 20-36-46,37.42.239.7,188669062,internet,12.119.8.102,-163748100,-1176204268,-17079,-109
huawei,-106,226057889604037,40769957124,2024-09-03 20-38-00,241.64.150.140,2096642845,ims,117.60.44.149,1249261452,1065615070,16512,-14
huawei,-97,226053560712698,40789877319,2024-09-03 20-35-16,95.189.221.241,1397354922,internet,121.121.206.30,1413249086,-536707367,10387,121
huawei,-98,226055586604774,40739837828,2024-09-03 20-35-15,103.136.20.30,397318002,ims,46.254.86.105,-278889460,-1740177256,25949,108
huawei,110,226054886237815,40770594133,2024-09-03 20-36-47,175.149.136.52,486110811,ims,143.196.166.30,-1288714695,-857966486,-16983,-62
huawei,3,226058774225264,40775624106,2024-09-03 20-37-28,30.105.30.185,-26261403,internet,247.238.49.180,2004093615,-747588491,-1398,-98
huawei,-108,226053391519882,40744668275,2024-09-03 20-38-44,105.76.82.170,-588830125,ims,218.125.63.240,338286354,-1598050682,25664,-98
huawei,-125,226059987640401,40702425684,2024-09-03 20-36-50,51.118.200.44,-895319813,ims,228.81.59.205,-1621183115,85507776,-22386,71
huawei,62,226057404292423,40701726631,2024-09-03 20-35-38,132.25.70.111,-1009538539,internet,167.110.187.115,875441147,336660863,16348,112
