src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,61,226050928356696,40738854265,2024-09-03 20-47-26,152.78.200.236,1619146011,ims,146.129.105.155,1254826334,-1535258131,-9844,-119
huawei,76,226057118661315,40702804298,2024-09-03 20-45-25,86.95.41.104,1094311696,internet,105.74.18.223,1073122372,-648954447,-7232,32
huawei,12,226058367099979,40726545640,2024-09-03 20-47-20,187.148.213.104,-1626898975,ims,141.106.149.85,-1862783922,533261148,-17663,65
huawei,-77,226051362315538,40773435412,2024-09-03 20-49-12,114.48.230.253,-1518410837,internet,67.198.82.42,82945211,1278129073,-17553,14
huawei,97,226052103530329,40778636397,2024-09-03 20-48-45,138.145.186.192,-1758453286,ims,218.204.130.74,943962271,-1362826328,29951,-118
huawei,-50,226054917275609,40791413052,2024-09-03 20-45-14,216.83.41.204,1544832172,ims,214.204.8.127,-243394574,-1186407682,5526,53
huawei,105,226059579048061,40772150948,2024-09-03 20-48-22,108.34.241.188,-824726213,internet,247.36.244.186,1547855109,939857118,-28734,-76
huawei,2,226058130348396,40712843623,2024-09-03 20-46-11,1.85.144.71,1949844972,ims,162.207.29.167,-1679289337,-608166733,-25389,-6
huawei,-4,226053261287342,40793410846,2024-09-03 20-48-26,70.157.161.69,-1958438504,internet,144.147.39.76,220765638,-830485855,-12987,-51
huawei,-127,226052529733119,40720353600,2024-09-03 20-46-32,105.107.203.197,670337372,ims,115.176.90.70,-542656420,-444889814,28377,100
huawei,72,226053279632261,40732725907,2024-09-03 20-46-05,2.137.75.191,1059409961,ims,178.75.1.147,-142397358,-183076334,-28380,-123
huawei,-14,226058019658655,40773525004,2024-09-03 20-47-21,165.133.99.237,21887562,ims,215.94.140.125,1645651889,464371179,-14750,-15
huawei,95,226057905974804,40739150740,2024-09-03 20-45-28,241.244.164.185,-1780821336,ims,231.190.212.64,1959844756,773914492,-27781,117
huawei,-100,226051989879037,40726504077,2024-09-03 20-49-41,66.227.24.240,1300943020,ims,219.175.24.48,1061123268,1773474581,3626,34
huawei,-112,226056993316566,40756497391,2024-09-03 20-49-58,138.4.225.95,-598962090,internet,105.54.98.80,-2031169349,-779220907,5059,1
huawei,-55,226053380121879,40728071566,2024-09-03 20-48-46,28.183.161.82,-316737513,ims,125.109.172.43,484832212,672177995,-19553,-12
huawei,-8,226057887980274,40718587441,2024-09-03 20-47-32,127.17.209.201,335112834,ims,123.65.107.178,-326726489,-2022117423,-25203,-57
huawei,-60,226052850744253,40759882512,2024-09-03 20-49-11,141.46.204.210,1433395096,ims,79.45.172.118,950430337,-59977290,1727,65
huawei,-76,226050454662278,40704608453,2024-09-03 20-48-23,21.172.113.118,-424282998,ims,240.65.201.205,97808780,-1710145146,29000,44
huawei,-89,226057650162639,40796259583,2024-09-03 20-46-45,224.199.58.161,-628080510,ims,134.166.83.161,-1694634215,-29672278,26112,24
huawei,93,226059776055601,40723335798,2024-09-03 20-49-32,210.186.229.102,-1525362172,ims,244.180.7.109,-823323259,-1161411966,17810,38
huawei,-117,226051781193530,40707038008,2024-09-03 20-46-05,83.188.212.67,-366961738,internet,39.35.34.185,1865151248,-170542162,-23931,-18
huawei,-123,226053802676614,40777282134,2024-09-03 20-48-08,222.24.124.222,-1105539806,internet,233.216.191.8,-299066397,1545122626,2915,-102
huawei,-4,226051077318747,40784520813,2024-09-03 20-49-40,34.80.96.61,-465179798,internet,41.115.114.187,-362788686,-1986558599,20864,127
huawei,24,226056800536702,40704892393,2024-09-03 20-49-14,58.184.164.0,675992094,internet,37.87.223.38,-1397297103,1713310349,30356,104
huawei,-53,226057936855618,40714379309,2024-09-03 20-47-08,202.230.223.24,1253195480,ims,11.189.103.80,-30094244,116289010,-24032,-65
huawei,-58,226057934400969,40762766665,2024-09-03 20-47-13,84.148.246.71,-1995769110,ims,242.123.77.182,-99587055,-1342239493,15995,53
huawei,46,226056512300976,40795797720,2024-09-03 20-46-34,151.208.236.237,-529727821,ims,94.138.52.90,154328582,2124505487,3919,-33
huawei,-67,226054529146160,40720031839,2024-09-03 20-46-18,162.68.178.215,1617723853,internet,68.196.41.226,1191804843,-611361023,-27778,-51
huawei,1,226058127753681,40759020310,2024-09-03 20-45-45,103.125.49.48,1655862641,ims,199.82.169.207,1000814008,-110224441,28203,116
huawei,-86,226052281415253,40772133092,2024-09-03 20-49-26,74.66.192.83,-1661576261,internet,81.68.27.17,1690388957,997713921,12169,-20
huawei,21,226059556002960,40759192547,2024-09-03 20-45-58,108.156.129.220,-560190305,ims,65.73.20.87,-1563616300,-44283086,2637,-115
huawei,25,226056008071171,40724983577,2024-09-03 20-49-37,250.178.118.54,-626397689,internet,189.235.41.66,-199973945,1590328547,9118,39
huawei,111,226052479655147,40793256930,2024-09-03 20-49-45,138.2.18.1,-185589922,ims,51.10.130.168,-101038434,-695780781,32470,21
huawei,-68,226058422512235,40778870852,2024-09-03 20-49-39,122.1.117.235,-2127668050,ims,9.255.193.20,-1258501287,-422983885,29291,-57
huawei,-107,226052768986532,40708783294,2024-09-03 20-49-59,171.245.27.37,-1985810021,internet,81.100.227.25,577817084,2057958376,17086,-121
huawei,78,226057827318235,40703833095,2024-09-03 20-46-57,31.161.253.215,141610826,internet,133.233.26.88,-1599292266,59907431,-8147,-78
huawei,-11,226058890195649,40752564257,2024-09-03 20-45-27,173.18.41.169,1105763395,ims,79.120.105.106,90715410,-368875675,-2510,-35
huawei,-63,226058346305932,40726019526,2024-09-03 20-48-30,213.1.75.53,1044859652,ims,108.167.111.11,357756644,-416036236,25692,65
huawei,-40,226053212854273,40730717252,2024-09-03 20-49-12,214.94.170.17,716558390,ims,24.133.130.39,-244305055,-1781674477,-18578,99
huawei,-25,226051519487916,40750073261,2024-09-03 20-48-38,122.114.123.32,602226379,ims,132.41.109.244,1488544924,1450312982,-9991,96
huawei,14,226054960363971,40750157179,2024-09-03 20-47-05,219.161.220.121,-494247648,internet,119.167.248.7,1318801923,838656826,-14458,-8
huawei,69,226050583008438,40773439034,2024-09-03 20-48-57,90.40.132.5,873514229,ims,179.18.117.135,445937197,612345722,25153,112
huawei,49,226050900599772,40741630925,2024-09-03 20-48-33,100.203.82.16,384894148,internet,39.52.247.50,-75086484,1353939183,24666,47
huawei,-122,226051579620176,40758805835,2024-09-03 20-46-21,47.246.99.216,289063633,internet,16.1.27.217,-1087165439,970486273,23388,-125
huawei,-60,226053311674503,40762749506,2024-09-03 20-45-07,172.17.236.181,1815509970,internet,164.166.206.7,59995458,-1389706785,-6574,-17
huawei,-31,226056023751080,40792649132,2024-09-03 20-49-06,74.56.104.62,-1715258875,ims,220.79.32.130,-1325991360,1644405722,-6310,33
huawei,-36,226051307410881,40705070915,2024-09-03 20-46-54,133.119.107.9,-1419559991,internet,241.129.89.79,-548687327,314748226,9425,-83
huawei,97,226051708458931,40755209254,2024-09-03 20-49-30,171.56.102.217,-781564258,internet,139.251.183.48,-938077295,348794099,8026,-40
huawei,103,226059117693088,40736531639,2024-09-03 20-49-52,53.20.147.13,-1060602029,ims,228.18.130.101,1944125059,798586460,-10020,-32
huawei,-80,226058043078588,40788106721,2024-09-03 20-48-25,168.249.69.207,-2102211873,internet,91.217.254.132,799885581,-2028608380,25513,112
huawei,-108,226059681832874,40751345136,2024-09-03 20-45-25,242.181.101.27,-1807261665,ims,13.138.163.3,30954373,1833869522,-791,-56
huawei,32,226050659954292,40761467812,2024-09-03 20-48-25,32.182.230.150,1106515653,ims,9.15.139.47,-1702589765,-1520486218,-30157,-4
huawei,24,226055585557304,40755687590,2024-09-03 20-48-28,40.171.32.100,-1621384545,internet,178.15.244.234,-102091803,1106097501,26543,114
huawei,-91,226058311936663,40782654311,2024-09-03 20-46-46,103.91.190.83,613663669,ims,201.209.94.57,1197218947,-1559186602,19036,96
huawei,122,226051051816063,40739324209,2024-09-03 20-47-36,149.112.101.170,-2036785361,ims,20.111.79.85,-719917279,1257494219,10477,67
huawei,-4,226053035489752,40780705604,2024-09-03 20-46-44,5.117.76.89,2056874933,ims,5.0.94.2,1084575986,640620621,-9210,-20
