src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,112,226059664942293,40711203536,2024-09-03 21-24-48,229.97.33.100,-344529951,internet,1.109.0.140,995543479,-798762397,-32010,-72
huawei,-119,226050865446046,40711963093,2024-09-03 21-21-28,17.1.211.97,-1740510218,internet,15.212.246.70,-1187675296,1154405834,-21941,-5
huawei,-97,226059466427107,40731306372,2024-09-03 21-22-53,191.218.40.89,-385127479,ims,203.200.253.134,1327579334,1279102297,28121,-29
huawei,59,226050172074602,40756171099,2024-09-03 21-24-07,220.58.95.173,-1529341698,internet,5.168.145.120,-1504426286,1339425612,-31046,102
huawei,-99,226054876807952,40753294830,2024-09-03 21-24-55,53.151.145.117,-1611138069,internet,248.241.191.164,-60421963,-1049682667,26035,-118
huawei,101,226051057738025,40792154627,2024-09-03 21-20-51,193.250.65.243,488203763,ims,4.185.85.189,1760470009,-345342252,27440,-15
huawei,103,226051384279881,40740622176,2024-09-03 21-23-35,199.159.142.88,-453407743,internet,249.223.65.229,1188123842,626075533,-29525,-26
huawei,-95,226056780967428,40779860626,2024-09-03 21-24-44,238.93.155.133,1040831065,internet,230.64.241.145,763883331,246730719,6815,36
huawei,-21,226050367134153,40775111829,2024-09-03 21-24-17,24.242.101.128,-583091236,ims,255.176.27.54,1011133927,-254820180,-16849,-69
huawei,67,226055332217152,40738613799,2024-09-03 21-22-56,81.252.48.42,1559798343,internet,65.201.176.97,-1448976013,555383104,-24516,94
huawei,-114,226052782189237,40775777264,2024-09-03 21-20-20,142.223.205.174,-1714299720,internet,249.7.139.223,-1941414389,-2145574488,-27371,-49
huawei,41,226053380422719,40785312058,2024-09-03 21-21-28,99.107.250.123,-95980648,ims,28.128.226.146,-1044170849,-2028092925,-22923,-84
huawei,-45,226052877699607,40710118871,2024-09-03 21-22-24,73.179.22.253,-785591370,internet,193.247.36.224,-1509072679,437151163,17147,115
huawei,-74,226051446658092,40704694788,2024-09-03 21-24-58,58.73.253.52,171010598,internet,22.4.36.78,-328867113,419035694,10843,-94
huawei,-47,226050627268193,40702556864,2024-09-03 21-24-54,202.236.160.154,-121778521,internet,148.49.128.38,1492103947,-1455027922,10394,-5
huawei,109,226059689380752,40722652696,2024-09-03 21-21-13,155.184.156.163,-2049815108,ims,147.22.161.61,89737768,1991345627,-2935,-3
huawei,-67,226052333147104,40779166709,2024-09-03 21-24-10,254.22.208.81,924279876,ims,212.169.1.111,-1700055888,-1623550020,-6917,27
huawei,-81,226056016031719,40731451776,2024-09-03 21-22-30,136.80.206.19,-1604338292,internet,99.227.219.133,-599143788,-1150393441,-1309,3
huawei,22,226052934304257,40715232777,2024-09-03 21-23-24,20.43.38.1,-1241329497,internet,179.142.4.249,29966518,-1257861047,-30839,42
huawei,-10,226051845370201,40766720145,2024-09-03 21-20-41,48.248.81.29,-1904110793,ims,18.246.136.107,373344852,657646989,3005,7
huawei,41,226058453377935,40772954383,2024-09-03 21-23-30,217.252.242.237,406164319,ims,126.225.198.107,-1768471707,-893355994,9848,-29
