src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,-100,226053899327091,40742236521,2024-09-03 21-29-27,202.130.140.94,311333423,internet,238.104.200.218,2118623509,869693927,18843,122
huawei,121,226050733714092,40733805250,2024-09-03 21-28-46,137.94.166.39,1389396254,ims,61.133.40.1,52550203,-2143886068,-1439,-22
huawei,84,226058912758670,40770381086,2024-09-03 21-29-54,170.78.70.181,1425749220,internet,121.95.48.59,-1342000196,682467554,-25355,-52
huawei,24,226056113862225,40783227259,2024-09-03 21-25-38,129.125.147.78,443768580,ims,59.197.160.59,1714013428,-1003488598,23568,-123
huawei,127,226050839414034,40736102832,2024-09-03 21-25-44,152.112.8.174,-480943073,internet,116.221.15.251,1043248181,-1657224157,18056,-96
huawei,1,226058924734058,40736637891,2024-09-03 21-26-01,186.239.67.136,1246850068,ims,234.253.177.3,359247261,-1264257472,31209,-70
huawei,33,226059914465669,40790391622,2024-09-03 21-29-06,176.206.34.209,539904149,ims,172.8.170.120,-924233245,135398135,-10084,47
huawei,27,226058735276493,40775747987,2024-09-03 21-27-34,252.230.39.37,820736106,ims,215.159.5.1,-1520871045,1049994159,21757,60
huawei,49,226056834971394,40710911296,2024-09-03 21-25-07,108.251.8.159,-429989552,internet,76.186.201.219,-900730972,1030478365,11947,82
huawei,0,226053324525659,40768989784,2024-09-03 21-25-02,132.201.96.215,-384969942,internet,190.97.243.228,323476030,1518662150,16934,-111
huawei,-38,226053665265693,40774603644,2024-09-03 21-28-18,18.54.219.88,-1120289578,ims,35.209.24.96,203407649,-318599186,13633,-122
huawei,74,226054433221349,40742112848,2024-09-03 21-25-32,233.245.65.242,-2061914501,ims,60.97.80.249,376062927,576792114,27396,2
huawei,-64,226059594220055,40786718449,2024-09-03 21-27-59,89.228.26.175,-1862774624,internet,15.119.114.214,1342866700,1491259670,9004,118
huawei,46,226059092954662,40758314140,2024-09-03 21-27-01,231.139.123.156,-1082090184,internet,203.125.218.90,-833925984,-2126345248,-24022,29
huawei,-114,226050936682190,40773771942,2024-09-03 21-25-16,186.159.216.39,2096796180,internet,19.132.72.66,1557214462,-1314131442,-3985,57
huawei,27,226058357520511,40719985331,2024-09-03 21-26-12,40.56.209.40,-684551905,ims,217.120.18.229,1039363184,-1624837548,-3822,63
huawei,111,226057718315011,40721238011,2024-09-03 21-26-24,37.12.216.105,-217481323,ims,72.25.131.87,578796509,1563566305,-9870,-54
huawei,-37,226053192023381,40798906242,2024-09-03 21-25-52,143.151.59.66,641704690,internet,126.33.231.49,2049897538,62326444,-11484,11
